cellosaurus_id,cell_line_name,tissue
CVCL_0031,MCF-7,Breast
CVCL_0069,SK-MEL-2,Skin
CVCL_0007,U-937,Blood
CVCL_0012,LP-1,Blood
CVCL_0022,U-87MG ATCC,Brain
CVCL_0023,A-549,Lung
CVCL_0026,Capan-2,Pancreas
CVCL_0027,Hep-G2,Liver
CVCL_0028,AN3-CA,Uterus
CVCL_0029,EFO-21,Ovary
CVCL_0033,SK-BR-3,Breast
CVCL_0035,PC-3,Prostate
CVCL_0036,RT-4,Bladder
CVCL_0039,SK-MEL-30,Skin
CVCL_0040,WM115,Skin
CVCL_0041,Rh30,Muscle
CVCL_0042,U2OS,Bone
CVCL_0060,NCI-H1299,Lung
CVCL_0065,Jurkat,Blood
CVCL_0076,SNU-16,Stomach
CVCL_0077,SNU-398,Liver
CVCL_0079,697,Blood
CVCL_0080,A-673,Bone
CVCL_0090,SNU-182,Liver
CVCL_0099,SNU-1,Stomach
CVCL_0105,DU145,Prostate
CVCL_0110,1321N1,Brain
CVCL_0126,5637,Bladder
CVCL_0131,A-172,Brain
CVCL_0132,A-375,Skin
CVCL_0134,A2780,Ovary
CVCL_0152,AsPC-1,Pancreas
CVCL_0153,B-CPAP,Thyroid
CVCL_0178,BT-20,Breast
CVCL_0179,BT-474,Breast
CVCL_0186,BxPC-3,Pancreas
CVCL_0218,COLO 205,Colon
CVCL_0235,Caki-2,Kidney
CVCL_0236,Calu-6,Lung
CVCL_0250,SNU-387,Liver
CVCL_0253,EFM-19,Breast
CVCL_0270,G-401,Muscle
CVCL_0291,HCT 116,Colon
CVCL_0292,HCT 15,Colon
CVCL_0293,HEC-1-A,Uterus
CVCL_0294,HEC-1-B,Uterus
CVCL_0312,HOS,Bone
CVCL_0313,HPAF-II,Pancreas
CVCL_0317,HT-1080,Soft Tissue
CVCL_0318,HT-144,Skin
CVCL_0320,HT-29,Colon
CVCL_0324,HuCC-T1,Liver
CVCL_0326,Hep 3B2.1-7,Liver
CVCL_0331,Hs 294T,Skin
CVCL_0332,Hs 578T,Breast
CVCL_0333,Hs 746.T,Stomach
CVCL_0334,Hs 766T,Pancreas
CVCL_0337,HuT 78,Lymph
CVCL_0346,IMR-32,Nervous System
CVCL_0359,J82,Bladder
CVCL_0364,JHH-5,Liver
CVCL_0366,SNU-423,Liver
CVCL_0374,KG-1,Blood
CVCL_0378,KNS-42,Brain
CVCL_0379,Ku812,Blood
CVCL_0392,LN-18,Brain
CVCL_0393,LN-229,Brain
CVCL_0400,M059J,Brain
CVCL_0418,MDA-MB-453,Breast
CVCL_0419,MDA-MB-468,Breast
CVCL_0425,MEG-01,Blood
CVCL_0426,MG-63,Bone
CVCL_0428,MIA PaCa-2,Pancreas
CVCL_0434,MKN45,Stomach
CVCL_0445,MeWo,Skin
CVCL_0454,SNU-449,Liver
CVCL_0459,NCI-H460,Lung
CVCL_0465,OVCAR-3,Ovary
CVCL_0471,OE33,Esophagus
