drug,gene,direction,mechanism,category,in_paccmann,evidence_level,source
Afatinib,EGFR,sensitive,target_overexpression,target,yes,"Phase III",Sequist et al. JCO 2013
Afatinib,ERBB2,sensitive,target_amplification,target,yes,"Phase III",Solca et al. JPET 2012
Afatinib,ERBB3,sensitive,pathway_activation,pathway,no,"Preclinical",Janjigian et al. Cancer Discov 2013
Erlotinib,EGFR,sensitive,target_overexpression,target,yes,"Phase III",Shepherd et al. NEJM 2005
Gefitinib,EGFR,sensitive,target_overexpression,target,yes,"Phase III",Mok et al. NEJM 2009
Lapatinib,ERBB2,sensitive,target_amplification,target,yes,"Phase III",Geyer et al. NEJM 2006
Lapatinib,EGFR,sensitive,target_overexpression,target,yes,"Phase III",Geyer et al. NEJM 2006
CP724714,ERBB2,sensitive,target_amplification,target,yes,"Preclinical",Jani et al. Cancer Res 2007
AST-1306,EGFR,sensitive,target_overexpression,target,yes,"Preclinical",Song et al. Cancer Sci 2013
Tamoxifen,ESR1,sensitive,target_overexpression,target,yes,"Phase III",EBCTCG Lancet 2011
Fulvestrant,ESR1,sensitive,target_degradation,target,yes,"Phase III",Robertson et al. Cancer Res 2001
I-BET-762,BRD4,sensitive,target_inhibition,target,yes,"Preclinical",Nicodeme et al. Nature 2010
Venetoclax,BCL2,sensitive,target_dependence,target,yes,"Phase III",Roberts et al. NEJM 2016
Navitoclax,BCL2,sensitive,target_dependence,target,yes,"Phase II",Tse et al. Cancer Res 2008
Navitoclax,BCL2L1,sensitive,target_dependence,target,no,"Phase II",Tse et al. Cancer Res 2008
AZD4547,FGFR1,sensitive,target_amplification,target,yes,"Phase II",Paik et al. Clin Cancer Res 2017
AZD4547,FGFR2,sensitive,target_amplification,target,yes,"Phase II",Paik et al. Clin Cancer Res 2017
AZD4547,FGFR3,sensitive,target_overexpression,target,yes,"Phase II",Paik et al. Clin Cancer Res 2017
Crizotinib,ALK,sensitive,target_rearrangement,target,yes,"Phase III",Shaw et al. NEJM 2013
Crizotinib,MET,sensitive,target_amplification,target,yes,"Phase II",Drilon et al. NEJM 2020
Crizotinib,ROS1,sensitive,target_rearrangement,target,yes,"Phase II",Shaw et al. NEJM 2014
Alectinib,ALK,sensitive,target_rearrangement,target,yes,"Phase III",Peters et al. NEJM 2017
Ceritinib,ALK,sensitive,target_rearrangement,target,yes,"Phase III",Soria et al. Lancet 2017
Imatinib,ABL1,sensitive,target_fusion,target,yes,"Phase III",Druker et al. NEJM 2006
Imatinib,KIT,sensitive,target_overexpression,target,yes,"Phase III",Demetri et al. NEJM 2002
Imatinib,PDGFRA,sensitive,target_overexpression,target,yes,"Phase II",Heinrich et al. JCO 2003
Dasatinib,ABL1,sensitive,target_fusion,target,yes,"Phase III",Kantarjian et al. NEJM 2010
Dasatinib,SRC,sensitive,target_inhibition,target,yes,"Preclinical",Montero et al. Clin Cancer Res 2011
Bosutinib,ABL1,sensitive,target_fusion,target,yes,"Phase III",Cortes et al. Blood 2012
Nilotinib,ABL1,sensitive,target_fusion,target,yes,"Phase III",Saglio et al. NEJM 2010
Sorafenib,RAF1,sensitive,target_inhibition,target,no,"Phase III",Llovet et al. NEJM 2008
Sorafenib,KDR,sensitive,target_inhibition,target,yes,"Phase III",Llovet et al. NEJM 2008
