Symbol,variance
RPS4Y1,15.542549998247809
KRT19,15.270919663176581
VIM,13.659690321967025
S100P,13.31540417615596
TACSTD2,12.921471164415175
TGFBI,12.245591042698216
Unnamed: 17086,12.223870443522747
TM4SF1,11.877061516461865
SRGN,11.809151752804665
CAV1,11.5822235288365
DKK1,11.411838331581771
C19orf33,11.389856368860539
SPINT2,11.179037753584751
KRT8,11.158663509359881
NNMT,11.155156730904936
EPCAM,11.079752811530955
BEX1,10.641138908335
UCHL1,10.478595591119731
IFITM3,10.45078104560067
MYOF,10.423323047168676
SPOCK1,10.197482836915853
BASP1,10.074778482612995
MAL2,10.070545890696575
HLA-DRA,9.674693563505466
CYR61,9.665717639955849
DSP,9.624611843578547
GNG11,9.593255398347287
SLPI,9.591064832140662
MGST1,9.57243212205226
FN1,9.52203538701914
PXDN,9.487395151488746
SPP1,9.462479565640713
HSPA1A,9.416797805268175
BST2,9.394474089295137
LGALS1,9.386095148034615
LGALS3,9.375401850710182
NGFRAP1,9.27471743659196
ANXA1,9.260677198418641
PRSS23,9.185269475201423
IFI27,9.155201345072749
TPD52L1,9.148476772736274
GDF15,9.12235420416898
ANXA3,9.100544555574304
NUPR1,9.0673527948095
KRT7,9.039279864681223
S100A14,8.937075906557144
LCN2,8.887930514237983
S100A16,8.87443729073516
MIR205HG,8.8224935603466
EFEMP1,8.67007991203309
SPARC,8.647146152330135
BEX4,8.627369433003002
AKR1C1,8.601944420988234
UCA1,8.569314202900165
HLA-DPA1,8.452139600367447
TSPAN8,8.427030856477684
GYPC,8.321496414130031
LCP1,8.281394798807373
ESRP1,8.23165730645593
IGFBP3,8.100606806874767
RAB25,8.064712330224989
CYBA,8.04441195111227
TUBB2B,7.9800124855122885
CAV2,7.935626314312245
ALDH1A1,7.876904044478666
CLEC2B,7.704582117796962
TFPI,7.697622988622972
ARHGDIB,7.6395908381521895
TSPAN1,7.637989003715514
LAPTM5,7.614865916061038
GPX2,7.499030762323495
TMSB15A,7.489336267388554
GMFG,7.4554844702682335
AKR1C2,7.373222311078687
CTGF,7.336456290379917
VAMP8,7.327841764091099
SNAI2,7.314269712893169
CXCR4,7.286871055852912
S100A6,7.22884254614117
IER3,7.225308517500723
TESC,7.222098543103666
IFI16,7.205782579640956
TIMP3,7.126488769160252
GAL,7.097855362722875
AKR1C3,7.083734660011556
CD9,7.072599756865176
SCG2,7.048844159392267
PRAME,7.042404102531421
S100A10,7.002885721958114
SRPX,6.89950000190993
GTSF1,6.895754795344773
IGFBP6,6.877387548638584
CCL2,6.861565020468557
C15orf48,6.85983951511208
IGFBP2,6.799939862819713
CNN3,6.751461585963607
IL1A,6.750641540273709
CLDN4,6.720688027120985
NMU,6.714953690435185
C3,6.708422517885771
S100A4,6.705823488672166
PLS3,6.705196167217745
HTRA1,6.668827909162207
IL8,6.659094058905972
FGFBP1,6.6495844050005
SERPINE2,6.636160381860943
RAB34,6.62400015546494
BMP4,6.584169744872104
IFITM2,6.5831082546308
ID1,6.5569198046788815
COL1A2,6.5506097874444675
SULF2,6.544098461765452
SFN,6.513850096699297
TUBB6,6.468598998510775
S100A2,6.418447141045502
TSPYL5,6.417906128830209
CTHRC1,6.3914133187062445
MAP1B,6.383823608781697
QPCT,6.3384089769182825
AKR1B10P1,6.312801870738234
F3,6.3078589814761585
QPRT,6.302452204415399
FHL2,6.257384921066146
S100A11,6.246030809024874
PLBD1,6.244196911415835
PLOD2,6.240720909175984
INHBB,6.233781702137005
PLEK2,6.217618179347007
NQO1,6.213790604262038
CPE,6.210867065242016
CTSZ,6.188528245474445
PYGL,6.184165171219454
CSTA,6.157017964155713
C3orf14,6.146037528371938
AKAP12,6.143023930155208
GALNT3,6.138091563238893
AKR1B10,6.066189809009232
S100A9,6.03680891366365
MX1,5.998952586098988
HOXA9,5.98613086378604
CD44,5.958511167767504
PLAU,5.951733725380702
ASS1,5.940855093820939
CXCL2,5.9302848509376584
C1S,5.926979392508112
RNF182,5.915732323235316
ACTA2,5.885689100900292
