gene,landmark,target,pam50,source
AARS1,1,0,0,landmark
ABCC5,1,0,0,landmark
ABCF1,1,0,0,landmark
ABCG2,0,1,0,target
ABHD4,1,0,0,landmark
ABHD6,1,0,0,landmark
ABL1,1,1,0,"landmark,target"
ACAA1,1,0,0,landmark
ACAT1,0,1,0,target
ACAT2,1,0,0,landmark
ACBD3,1,0,0,landmark
ACD,1,0,0,landmark
ACLY,1,0,0,landmark
ACTR3B,0,0,1,pam50
ADAM10,1,0,0,landmark
ADAT1,1,0,0,landmark
ADH5,1,0,0,landmark
ADI1,1,0,0,landmark
ADO,1,0,0,landmark
ADRB2,1,0,0,landmark
AGL,1,0,0,landmark
AHR,0,1,0,target
AKAP8,1,0,0,landmark
AKAP8L,1,0,0,landmark
AKR7A2,1,0,0,landmark
AKT1,1,1,0,"landmark,target"
AKT2,0,1,0,target
AKT3,0,1,0,target
ALAS1,1,0,0,landmark
ALDH7A1,1,0,0,landmark
ALDOA,1,0,0,landmark
ALK,0,1,0,target
AMDHD2,1,0,0,landmark
ANKRD10,1,0,0,landmark
ANLN,0,0,1,pam50
ANO10,1,0,0,landmark
ANPEP,0,1,0,target
ANXA7,1,0,0,landmark
APBB2,1,0,0,landmark
APH1A,0,1,0,target
APOE,1,0,0,landmark
APP,1,0,0,landmark
APPBP2,1,0,0,landmark
ARAF,0,1,0,target
ARF1,0,1,0,target
ARFIP2,1,0,0,landmark
ARHGAP1,1,0,0,landmark
ARHGEF12,1,0,0,landmark
ARHGEF2,1,0,0,landmark
ARID4B,1,0,0,landmark
ARID5B,1,0,0,landmark
ARL4C,1,0,0,landmark
ARNT2,1,0,0,landmark
ARPP19,1,0,0,landmark
ASAH1,1,1,0,"landmark,target"
ASCC3,1,0,0,landmark
ATF1,1,0,0,landmark
ATF5,1,0,0,landmark
ATF6,1,0,0,landmark
ATG3,1,0,0,landmark
ATM,0,1,0,target
ATMIN,1,0,0,landmark
ATP11B,1,0,0,landmark
ATP1A1,0,1,0,target
ATP1A2,0,1,0,target
ATP1A3,0,1,0,target
ATP1A4,0,1,0,target
ATP1B1,1,1,0,"landmark,target"
ATP1B2,0,1,0,target
ATP1B3,0,1,0,target
ATP1B4,0,1,0,target
ATP2C1,1,0,0,landmark
ATP6V0B,1,0,0,landmark
ATP6V1D,1,0,0,landmark
ATR,0,1,0,target
AURKA,1,1,0,"landmark,target"
AURKB,1,1,0,"landmark,target"
AURKC,0,1,0,target
AXIN1,1,0,0,landmark
BACE2,1,0,0,landmark
BAD,1,0,0,landmark
BAG1,0,0,1,pam50
BAG3,1,0,0,landmark
BAMBI,1,0,0,landmark
BAX,1,1,0,"landmark,target"
BCL2,1,1,1,"landmark,target,pam50"
BCL2L1,0,1,0,target
BCL2L2,0,1,0,target
BCL7B,1,0,0,landmark
BCR,0,1,0,target
BDH1,1,0,0,landmark
BECN1,1,0,0,landmark
BHLHE40,1,0,0,landmark
BID,1,0,0,landmark
BIRC2,1,0,0,landmark
BIRC5,1,1,1,"landmark,target,pam50"
BLCAP,1,0,0,landmark
BLMH,1,0,0,landmark
BLTP2,1,0,0,landmark
BLVRA,1,0,1,"landmark,pam50"
