cellosaurus_id,cell_line_name,DepMap_ID,disease,disease_combined,disease_cleaned,disease_sutype,disease_sub_subtype,culture_type,culture_medium,gender,source,cellosaurus_derived_from_site,cellosaurus_disease,tissue
CVCL_0031,MCF-7,ACH-000019,breast,breast,Breast,ERpos, ,Adherent,MEM + 10% FBS + 0.01mg/ml Insulin (Bovine),Female,ATCC,Pleural effusion,Invasive breast carcinoma of no special type,Breast
CVCL_0069,SK-MEL-2,ACH-001190,skin,skin,Skin,melanoma, ,Adherent,MEM + 10% FBS,Male,ATCC,"Thigh, skin",Melanoma,Skin
CVCL_0007,U-937,ACH-000406,leukemia,leukemia,Blood,AML, ,Suspension,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Acute monoblastic/monocytic leukemia,Blood
CVCL_0012,LP-1,ACH-000204,multiple_myeloma,multiple_myeloma,Blood, , ,Semi-adherent,IMDM + 10% FBS,Female,HSRRB,Peripheral blood,Multiple myeloma,Blood
CVCL_0022,U-87MG ATCC,,,glioblastoma,Brain,,,,,,,,Glioblastoma,Brain
CVCL_0023,A-549,ACH-000681,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,DMEM + 10% FBS,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_0026,Capan-2,ACH-000107,pancreas,pancreas,Pancreas, , ,,,Male,ATCC,Pancreas,Pancreatic ductal adenocarcinoma,Pancreas
CVCL_0027,Hep-G2,ACH-000739,liver,liver,Liver, , ,Adherent,MEM + 10% FBS,Male,ATCC,Liver,Hepatoblastoma,Liver
CVCL_0028,AN3-CA,ACH-000940,uterus,uterus,Uterus,uterus_endometrium, ,,,Female,ATCC,Lymph node,Type I endometrial adenocarcinoma,Uterus
CVCL_0029,EFO-21,ACH-000308,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_clear_cell,Adherent,RPMI + 20% FBS + 1mM Sodium pyruvate + 0.1mM NEAA,Female,DSMZ,Ascites,Ovarian serous cystadenocarcinoma,Ovary
CVCL_0033,SK-BR-3,ACH-000017,breast,breast,Breast,HER2Amp, ,Semi-adherent,McCoy's 5A + 10% FBS,Female,ATCC,Pleural effusion,Breast adenocarcinoma,Breast
CVCL_0035,PC-3,ACH-000090,prostate,prostate,Prostate, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Bone,Prostate carcinoma,Prostate
CVCL_0036,RT-4,ACH-000242,urinary_tract,urinary_tract,Bladder, , ,,,Male,ATCC,Urinary bladder,Bladder carcinoma,Bladder
CVCL_0039,SK-MEL-30,ACH-000810,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Male,DSMZ,,Cutaneous melanoma,Skin
CVCL_0040,WM115,ACH-000304,skin,skin,Skin,melanoma, ,Adherent,MEM + 10% FBS,Female,ATCC,"Right anterior leg, skin",Melanoma,Skin
CVCL_0041,Rh30,ACH-000833,rhabdomyosarcoma,rhabdomyosarcoma,Muscle, , ,Adherent,RPMI + 10% FBS,Male,DSMZ,Bone marrow,Alveolar rhabdomyosarcoma,Muscle
CVCL_0042,U2OS,ACH-000364,bone,bone,Bone,osteosarcoma, ,Adherent,McCoy's 5A + 10% FBS,Female,ATCC,"Bone, tibia",Osteosarcoma,Bone
CVCL_0060,NCI-H1299,ACH-000510,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS,Male,ATCC,Lymph node,Lung large cell carcinoma,Lung
CVCL_0065,Jurkat,ACH-000995,leukemia,leukemia,Blood,T-cell_ALL, ,,,Male,DSMZ,Peripheral blood,Precursor T-cell acute lymphoblastic leukemia,Blood
CVCL_0076,SNU-16,ACH-000581,gastric,gastric,Stomach, , ,,,Female,ATCC,Ascites,Gastric adenocarcinoma,Stomach
CVCL_0077,SNU-398,ACH-000221,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0079,697,ACH-000070,leukemia,leukemia,Blood,B-cell_ALL, ,Suspension,RPMI + 20% heat inactivated FBS,Male,DSMZ,Bone marrow,B-lymphoblastic leukemia/lymphoma with t(1,Blood
CVCL_0080,A-673,ACH-000052,bone,bone,Bone,Ewing_sarcoma, ,Adherent,DMEM + 10% FBS,Female,ATCC,Muscle,Ewing sarcoma,Bone
CVCL_0090,SNU-182,ACH-000483,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0099,SNU-1,ACH-000932,gastric,gastric,Stomach, , ,Suspension,RPMI + 10% FBS,Male,ATCC,Stomach,Gastric adenocarcinoma,Stomach
CVCL_0105,DU145,ACH-000979,prostate,prostate,Prostate, , ,,,Male,ATCC,Brain,Prostate carcinoma,Prostate
CVCL_0110,1321N1,ACH-001000,central_nervous_system,central_nervous_system,Brain,glioma,astrocytoma,,,Male,ECACC,Brain,Astrocytoma,Brain
CVCL_0126,5637,ACH-000905,urinary_tract,urinary_tract,Bladder, , ,Light Adherent or Suspension ,RPMI + 10% FBS,Male,ATCC,Urinary bladder,Bladder carcinoma,Bladder
CVCL_0131,A-172,ACH-000558,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,,,Male,ATCC,Brain,Glioblastoma,Brain
CVCL_0132,A-375,ACH-000219,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Female,ATCC,"Leg, skin",Amelanotic melanoma,Skin
CVCL_0134,A2780,ACH-000657,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_endometrioid,Adherent,RPMI + 10% FBS,Female,ECACC,Ovary,Endometrioid carcinoma of ovary,Ovary
CVCL_0152,AsPC-1,ACH-000222,pancreas,pancreas,Pancreas, , ,Adherent,RPMI + 10% FBS,Female,ATCC,Ascites,Pancreatic ductal adenocarcinoma,Pancreas
CVCL_0153,B-CPAP,ACH-000456,thyroid,thyroid,Thyroid, , ,,,Female,DSMZ,Thyroid gland,Thyroid carcinoma,Thyroid
CVCL_0178,BT-20,ACH-000536,breast,breast,Breast,TNBC, ,,,Female,ATCC,Breast,Invasive breast carcinoma of no special type,Breast
CVCL_0179,BT-474,ACH-000927,breast,breast,Breast,TPBC, ,,,Female,ATCC,Breast,Invasive breast carcinoma of no special type,Breast
CVCL_0186,BxPC-3,ACH-000535,pancreas,pancreas,Pancreas, , ,,,Female,ATCC,Pancreas,Pancreatic ductal adenocarcinoma,Pancreas
CVCL_0218,COLO 205,ACH-001039,colorectal,colorectal,Colon, , ,,,Male,ATCC,Ascites,Colon adenocarcinoma,Colon
CVCL_0235,Caki-2,ACH-000234,kidney,kidney,Kidney, , ,Adherent,McCoy's 5A + 10% FBS,Male,ATCC,Kidney,Papillary renal cell carcinoma,Kidney
CVCL_0236,Calu-6,ACH-000264,lung,lung,Lung,lung_NSC, ,Adherent,MEM + 10% FBS,Female,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_0250,SNU-387,ACH-000478,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Female,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0253,EFM-19,ACH-000330,breast,breast,Breast,ERpos, ,Adherent,RPMI + 10% FBS,Female,DSMZ,Pleural effusion,Breast ductal carcinoma,Breast
CVCL_0270,G-401,ACH-000096,rhabdoid,rhabdoid,Muscle, , ,Adherent,McCoy's 5A + 10% FBS,Male,ATCC,Kidney,Rhabdoid tumor,Muscle
CVCL_0291,HCT 116,ACH-000971,colorectal,colorectal,Colon,colorectal_MSI, ,,,Male,ATCC,Colon,Colon carcinoma,Colon
CVCL_0292,HCT 15,ACH-000997,colorectal,colorectal,Colon,colorectal_MSI, ,,,Male,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_0293,HEC-1-A,ACH-000954,uterus,uterus,Uterus,uterus_endometrium, ,,,Female,ATCC,Endometrium,Type II endometrial adenocarcinoma,Uterus
CVCL_0294,HEC-1-B,ACH-000941,uterus,uterus,Uterus,uterus_endometrium, ,Adherent,MEM + 10% FBS,Female,ATCC,Endometrium,Type II endometrial adenocarcinoma,Uterus
CVCL_0312,HOS,ACH-000613,bone,bone,Bone,osteosarcoma, ,,,Female,ATCC,"Bone, right femur",Osteosarcoma,Bone
CVCL_0313,HPAF-II,ACH-000094,pancreas,pancreas,Pancreas, , ,,,Male,ATCC,Ascites,Pancreatic ductal adenocarcinoma,Pancreas
CVCL_0317,HT-1080,ACH-000054,soft_tissue,soft_tissue,Soft Tissue,fibrosarcoma, ,Adherent,MEM + 10% FBS,Male,ATCC,"Bone, pelvis, acetabulum",Fibrosarcoma,Soft Tissue
CVCL_0318,HT-144,ACH-000322,skin,skin,Skin,melanoma, ,Adherent,McCoy's 5A + 10% FBS,Male,ATCC,Hypodermis,Melanoma,Skin
CVCL_0320,HT-29,ACH-000552,colorectal,colorectal,Colon, , ,Adherent,McCoy's 5A + 10% FBS,Female,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_0324,HuCC-T1,ACH-000976,bile_duct,bile_duct,Liver,cholangiocarcinoma,intrahepatic,Adherent,RPMI + 10% FBS,Male,HSSRB,Ascites,Cholangiocarcinoma,Liver
CVCL_0326,Hep 3B2.1-7,ACH-000625,liver,liver,Liver, , ,,,Male,ATCC,Liver,Pediatric hepatocellular carcinoma,Liver
CVCL_0331,Hs 294T,ACH-000014,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,Lymph node,Melanoma,Skin
CVCL_0332,Hs 578T,ACH-000148,breast,breast,Breast,TNBC, ,Adherent,DMEM + 10% FBS,Female,ATCC,Breast,Invasive breast carcinoma of no special type,Breast
CVCL_0333,Hs 746.T,ACH-000616,gastric,gastric,Stomach,gastric_adenocarcinoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,"Left leg, skeletal muscle",Gastric adenocarcinoma,Stomach
CVCL_0334,Hs 766T,ACH-000178,pancreas,pancreas,Pancreas, , ,Adherent,DMEM + 10% FBS,Male,ATCC,Lymph node,Pancreatic adenocarcinoma,Pancreas
