dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
depmap,full,marginal,0.3,0.556060603169064,0.0028534042462182497,200,0.556060603169064,0.0
depmap,full,marginal,0.4,0.5412028774358041,0.003846214804862603,200,0.5412028774358041,0.0
depmap,full,marginal,0.5,0.4914538610614192,0.005207609443099708,200,0.4914538610614192,0.0
depmap,full,marginal,0.6,0.4343356350700983,0.008332730541014698,200,0.4343356350700983,0.0
depmap,full,marginal,0.7,0.2915901997503121,0.010382869488902362,200,0.2915901997503121,0.0
depmap,a61,marginal,0.3,0.5439110454675986,0.0028517863115473815,144,,
depmap,a61,marginal,0.4,0.5229674371755352,0.00374851314271158,144,,
depmap,a61,marginal,0.5,0.46733084735749464,0.005127582877628028,144,,
depmap,a61,marginal,0.6,0.4065428030038827,0.008952172371631196,144,,
depmap,a61,marginal,0.7,0.2638021917048134,0.011541604531347413,144,,
depmap,marginal,marginal,0.3,0.5507327201592421,0.0029427052262313794,170,,
depmap,marginal,marginal,0.4,0.5324424518790701,0.0038975787865469114,170,,
depmap,marginal,marginal,0.5,0.479483964128287,0.005211118434319902,170,,
depmap,marginal,marginal,0.6,0.4174784289107984,0.008464364102003033,170,,
depmap,marginal,marginal,0.7,0.2754020709407358,0.010846291367810188,170,,
depmap,all4,marginal,0.3,0.5418162976821931,0.002800759360685013,138,,
depmap,all4,marginal,0.4,0.5204426889734073,0.0036970445386514056,138,,
depmap,all4,marginal,0.5,0.4637922417244965,0.005078855994435346,138,,
depmap,all4,marginal,0.6,0.4026341087669181,0.009099425831203416,138,,
depmap,all4,marginal,0.7,0.25662215708625086,0.011584914657185797,138,,
depmap,full,residualized,0.3,0.4188891781807871,0.0030488734579378687,200,0.4188891781807871,0.0
depmap,full,residualized,0.4,0.3631304002509156,0.00370926061674605,200,0.3631304002509156,0.0
depmap,full,residualized,0.5,0.2938018038163387,0.0045808055199091065,200,0.2938018038163387,0.0
depmap,full,residualized,0.6,0.1894308432726512,0.0060285151398331936,200,0.1894308432726512,0.0
depmap,full,residualized,0.7,0.08117197253433207,0.006322348997016277,200,0.081171972534332,6.938893903907228e-17
depmap,a61,residualized,0.3,0.4331605457953619,0.0031248693819179376,144,,
depmap,a61,residualized,0.4,0.38058956884554074,0.003750104516133048,144,,
depmap,a61,residualized,0.5,0.3107738962874622,0.005165184098097654,144,,
depmap,a61,residualized,0.6,0.20247945293064562,0.007379547552456434,144,,
depmap,a61,residualized,0.7,0.0811312248578166,0.007808569227526166,144,,
depmap,marginal,residualized,0.3,0.4253359296367976,0.0031269282992956457,170,,
depmap,marginal,residualized,0.4,0.37115592002599623,0.00380079724222945,170,,
depmap,marginal,residualized,0.5,0.3014669344183708,0.004893590314210092,170,,
depmap,marginal,residualized,0.6,0.19639784350651748,0.006656847348201783,170,,
depmap,marginal,residualized,0.7,0.08082727473011675,0.0070285233108791315,170,,
depmap,all4,residualized,0.3,0.43447163142929346,0.0031630118646540956,138,,
depmap,all4,residualized,0.4,0.3819927045016717,0.0038384611485696185,138,,
depmap,all4,residualized,0.5,0.3119946188702509,0.005337785920664589,138,,
depmap,all4,residualized,0.6,0.204614239228994,0.0075929646639889305,138,,
depmap,all4,residualized,0.7,0.08253948868262498,0.00808739775249678,138,,
depmap,full,irm,0.3,0.5511193415413472,0.0028274374704675286,200,0.5511193415413472,0.0
depmap,full,irm,0.4,0.5320588994111577,0.0038712925486598395,200,0.5320588994111577,0.0
depmap,full,irm,0.5,0.4878106365533691,0.005257538529133482,200,0.4878106365533691,0.0
depmap,full,irm,0.6,0.4194883866917765,0.007157512883074277,200,0.4194883866917765,0.0
depmap,full,irm,0.7,0.25518570536828966,0.008730461488084925,200,0.2551857053682896,5.551115123125783e-17
depmap,a61,irm,0.3,0.5381043057842628,0.002800701074687663,144,,
depmap,a61,irm,0.4,0.5140091755082953,0.00384805441240566,144,,
depmap,a61,irm,0.5,0.4636781468782438,0.005427182268824025,144,,
depmap,a61,irm,0.6,0.39183290321080655,0.008020586714847788,144,,
depmap,a61,irm,0.7,0.23314389998612844,0.010586959149595268,144,,
depmap,marginal,irm,0.3,0.5453970407015793,0.002928562670529807,170,,
depmap,marginal,irm,0.4,0.523802526534805,0.003921435594611791,170,,
depmap,marginal,irm,0.5,0.47541975048815,0.0052852855478796356,170,,
