dataset,method,half,K,contamination,n,published,abs_diff_vs_published
depmap,marginal,halfA,10,0.23450000000000004,200,,
depmap,marginal,halfA,50,0.25170000000000003,200,,
depmap,marginal,halfA,100,0.24535000000000004,200,,
depmap,marginal,halfB,10,0.233,200,,
depmap,marginal,halfB,50,0.252,200,,
depmap,marginal,halfB,100,0.24365000000000003,200,,
depmap,marginal,full,10,0.231,200,0.231,0.0
depmap,marginal,full,50,0.25220000000000004,200,0.25220000000000004,0.0
depmap,marginal,full,100,0.24509999999999998,200,0.24509999999999998,0.0
depmap,residualized,halfA,10,0.1375,200,,
depmap,residualized,halfA,50,0.15810000000000002,200,,
depmap,residualized,halfA,100,0.1588,200,,
depmap,residualized,halfB,10,0.137,200,,
depmap,residualized,halfB,50,0.1587,200,,
depmap,residualized,halfB,100,0.15960000000000002,200,,
depmap,residualized,full,10,0.1355,200,0.1355,0.0
depmap,residualized,full,50,0.1562,200,0.1562,0.0
depmap,residualized,full,100,0.1588,200,0.1588,0.0
depmap,irm,halfA,10,0.2305,200,,
depmap,irm,halfA,50,0.243,200,,
depmap,irm,halfA,100,0.2413,200,,
depmap,irm,halfB,10,0.22450000000000003,200,,
depmap,irm,halfB,50,0.24450000000000002,200,,
depmap,irm,halfB,100,0.24465000000000003,200,,
depmap,irm,full,10,0.231,200,0.231,0.0
depmap,irm,full,50,0.24520000000000003,200,0.24520000000000003,0.0
depmap,irm,full,100,0.24270000000000003,200,0.24270000000000003,0.0
depmap,within_tissue,halfA,10,0.10800000000000001,200,,
depmap,within_tissue,halfA,50,0.1373,200,,
depmap,within_tissue,halfA,100,0.15360000000000001,200,,
depmap,within_tissue,halfB,10,0.10550000000000001,200,,
depmap,within_tissue,halfB,50,0.1401,200,,
depmap,within_tissue,halfB,100,0.1523,200,,
depmap,within_tissue,full,10,0.1075,200,0.1075,0.0
depmap,within_tissue,full,50,0.13870000000000002,200,0.13870000000000002,0.0
depmap,within_tissue,full,100,0.1527,200,0.1527,0.0
depmap,dann,halfA,10,0.23950000000000002,200,,
depmap,dann,halfA,50,0.24470000000000003,200,,
depmap,dann,halfA,100,0.24265,200,,
depmap,dann,halfB,10,0.24300000000000005,200,,
depmap,dann,halfB,50,0.24150000000000002,200,,
depmap,dann,halfB,100,0.24200000000000002,200,,
depmap,dann,full,10,0.24150000000000002,200,0.24150000000000002,0.0
depmap,dann,full,50,0.24370000000000006,200,0.24370000000000006,0.0
depmap,dann,full,100,0.2433,200,0.2433,0.0
depmap,adae,halfA,10,0.5115,200,,
depmap,adae,halfA,50,0.4595,200,,
depmap,adae,halfA,100,0.41609999999999997,200,,
depmap,adae,halfB,10,0.509,200,,
depmap,adae,halfB,50,0.4568000000000001,200,,
depmap,adae,halfB,100,0.41725,200,,
depmap,adae,full,10,0.509,200,0.509,0.0
depmap,adae,full,50,0.4573,200,0.4573,0.0
depmap,adae,full,100,0.41534999999999994,200,0.41534999999999994,0.0
ctrpv2,marginal,halfA,10,0.2986363636363636,440,,
ctrpv2,marginal,halfA,50,0.3037272727272727,440,,
ctrpv2,marginal,halfA,100,0.2994318181818182,440,,
ctrpv2,marginal,halfB,10,0.30522727272727274,440,,
ctrpv2,marginal,halfB,50,0.30209090909090913,440,,
ctrpv2,marginal,halfB,100,0.3008863636363637,440,,
ctrpv2,marginal,full,10,0.30250000000000005,440,0.30250000000000005,0.0
ctrpv2,marginal,full,50,0.30468181818181816,440,0.30468181818181816,0.0
ctrpv2,marginal,full,100,0.3015227272727272,440,0.3015227272727272,0.0
ctrpv2,residualized,halfA,10,0.09522727272727273,440,,
ctrpv2,residualized,halfA,50,0.1186818181818182,440,,
ctrpv2,residualized,halfA,100,0.13204545454545455,440,,
ctrpv2,residualized,halfB,10,0.09454545454545454,440,,
ctrpv2,residualized,halfB,50,0.11740909090909094,440,,
ctrpv2,residualized,halfB,100,0.13336363636363635,440,,
ctrpv2,residualized,full,10,0.0934090909090909,440,0.0934090909090909,0.0
ctrpv2,residualized,full,50,0.11600000000000002,440,0.11600000000000002,0.0
ctrpv2,residualized,full,100,0.13113636363636363,440,0.13113636363636363,0.0
ctrpv2,irm,halfA,10,0.28704545454545455,440,,
ctrpv2,irm,halfA,50,0.2872727272727273,440,,
ctrpv2,irm,halfA,100,0.2823409090909091,440,,
ctrpv2,irm,halfB,10,0.2847727272727273,440,,
ctrpv2,irm,halfB,50,0.2858636363636364,440,,
ctrpv2,irm,halfB,100,0.2842045454545455,440,,
ctrpv2,irm,full,10,0.2918181818181818,440,0.2918181818181818,0.0
ctrpv2,irm,full,50,0.2892727272727273,440,0.2892727272727273,0.0
ctrpv2,irm,full,100,0.28504545454545455,440,0.28504545454545455,0.0
ctrpv2,within_tissue,halfA,10,0.1281818181818182,440,,
ctrpv2,within_tissue,halfA,50,0.17600000000000002,440,,
ctrpv2,within_tissue,halfA,100,0.19611363636363635,440,,
ctrpv2,within_tissue,halfB,10,0.12522727272727274,440,,
ctrpv2,within_tissue,halfB,50,0.17618181818181822,440,,
ctrpv2,within_tissue,halfB,100,0.19454545454545452,440,,
ctrpv2,within_tissue,full,10,0.1318181818181818,440,0.1318181818181818,0.0
ctrpv2,within_tissue,full,50,0.17631818181818185,440,0.17631818181818185,0.0
ctrpv2,within_tissue,full,100,0.1964318181818182,440,0.1964318181818182,0.0
ctrpv2,dann,halfA,10,0.23068181818181818,440,,
ctrpv2,dann,halfA,50,0.24663636363636365,440,,
ctrpv2,dann,halfA,100,0.24370454545454545,440,,
ctrpv2,dann,halfB,10,0.2359090909090909,440,,
ctrpv2,dann,halfB,50,0.24472727272727274,440,,
ctrpv2,dann,halfB,100,0.24597727272727274,440,,
ctrpv2,dann,full,10,0.23454545454545458,440,0.23454545454545458,0.0
ctrpv2,dann,full,50,0.24695454545454545,440,0.24695454545454545,0.0
ctrpv2,dann,full,100,0.24518181818181817,440,0.24518181818181817,0.0
ctrpv2,adae,halfA,10,0.24363636363636365,440,,
ctrpv2,adae,halfA,50,0.2741363636363636,440,,
ctrpv2,adae,halfA,100,0.2790681818181819,440,,
ctrpv2,adae,halfB,10,0.24113636363636365,440,,
ctrpv2,adae,halfB,50,0.27640909090909094,440,,
ctrpv2,adae,halfB,100,0.2786363636363636,440,,
ctrpv2,adae,full,10,0.24136363636363636,440,0.24136363636363636,0.0
ctrpv2,adae,full,50,0.2767727272727273,440,0.2767727272727273,0.0
ctrpv2,adae,full,100,0.2787045454545455,440,0.2787045454545455,0.0
