dataset,method,pearson,spearman,top_decile_sign_agree,n_genes
depmap,residualized,0.9972593558632042,0.9958299364216424,1.0,1071
depmap,irm,0.9847126600097882,0.9812038697709616,1.0,1071
depmap,within_tissue,0.9946349218678333,0.9827023094625745,1.0,1071
depmap,dann,0.9933457078261541,0.9918690777629809,1.0,1071
depmap,adae,0.998889789542003,0.9987809983079113,1.0,1071
ctrpv2,residualized,0.9983120850666177,0.9966793258885285,1.0,1109
ctrpv2,irm,0.9798697588166356,0.9725018301561228,1.0,1109
ctrpv2,within_tissue,0.9944846298786431,0.9826217711006753,1.0,1109
ctrpv2,dann,0.9938707330129684,0.9917893878665357,1.0,1109
ctrpv2,adae,0.9962177676809848,0.9951108669932717,1.0,1109
