,eta2
AARS1,0.0743734567506736
ABCC5,0.1741981605895966
ABCF1,0.16307574441004014
ABCG2,0.13810729183924983
ABHD4,0.18558977295000992
ABHD6,0.26234421424706533
ABL1,0.20298262732782665
ACAA1,0.1969561019216764
ACAT1,0.15088225799599742
ACAT2,0.0799107046212395
ACBD3,0.1438203141423394
ACD,0.07520886348464403
ACLY,0.18772042077722165
ACTR3B,0.21118686030103354
ADAM10,0.15737056134705574
ADAT1,0.13589456601389188
ADH5,0.16991976239802328
ADI1,0.13141795514876828
ADO,0.1498957356555942
ADRB2,0.298877302176368
AGL,0.11049676518982221
AHR,0.3310169363291202
AKAP8,0.19464252574591998
AKAP8L,0.20252775440273552
AKR7A2,0.14006196159627754
AKT1,0.1609515863536207
AKT2,0.12747012201850727
AKT3,0.2774431384663531
ALAS1,0.13745770936957533
ALDH7A1,0.5933795971362974
ALDOA,0.1715264055855981
ALK,0.28104275385710276
AMDHD2,0.17739092212363955
ANKRD10,0.09415052413705804
ANLN,0.43572931905895984
ANO10,0.39383364185647574
ANPEP,0.15135089408111488
ANXA7,0.19466273381992136
APBB2,0.29858011654530847
APH1A,0.048579103186169446
APOE,0.19733233075459183
APP,0.6134515341311764
APPBP2,0.1559173772674347
ARAF,0.10880088027087696
ARF1,0.10235933866494412
ARFIP2,0.11709808264103765
ARHGAP1,0.14137243176300368
ARHGEF12,0.3031789734083476
ARHGEF2,0.2889440203812661
ARID4B,0.12381610668162435
ARID5B,0.21456410262583248
ARL4C,0.23319796854026625
ARNT2,0.4130994979676144
ARPP19,0.11362914399092398
ASAH1,0.21684046624547118
ASCC3,0.06526834592097232
ATF1,0.09526429788655666
ATF5,0.28963959198682676
ATF6,0.09970103195406717
ATG3,0.14038250926714338
ATM,0.2783669860144583
ATMIN,0.16551370841214283
ATP11B,0.1375777821499306
ATP1A1,0.3621822315560258
ATP1A2,0.09238145666232629
ATP1A3,0.2838148399428589
ATP1A4,0.12537079765904044
ATP1B1,0.6401746251764647
ATP1B2,0.107096479135492
ATP1B3,0.20517919920293368
ATP1B4,0.040755721566060645
ATP2C1,0.18491696814818637
ATP6V0B,0.14955076608234194
ATP6V1D,0.43228428804800856
ATR,0.056941865096179614
AURKA,0.1626905216024696
AURKB,0.07207060022261479
AURKC,0.04581321863927877
AXIN1,0.13465767709766505
BACE2,0.4265264176827265
BAD,0.2796337295280024
BAG1,0.18219378448137571
BAG3,0.4647377891596339
BAMBI,0.39912891638087156
BAX,0.22716862837132293
BCL2,0.41285152277643217
BCL2L1,0.2748470827247017
BCL2L2,0.47690138986640723
BCL7B,0.15483781472964683
BCR,0.14031768555667515
BDH1,0.2738152562026883
BECN1,0.18543535339983835
BHLHE40,0.23383009738541005
BID,0.11450751770643544
BIRC2,0.16968139781050487
BIRC5,0.11680560022799215
BLCAP,0.2949717440795272
BLMH,0.19808770977784787
BLTP2,0.11443218524652919
BLVRA,0.2900691053441784
BMP4,0.39747114052067434
BNIP3,0.3629484827314481
BNIP3L,0.20693905605613158
BPHL,0.23665317255664522
BRAF,0.1678508144036493
BRCA1,0.2327114464063498
BRD2,0.17072130782314648
BRD3,0.1587171809197883
BRD4,0.16647651492567533
BRDT,0.0716367020968996
BTK,0.6427813578981425
BZW2,0.11127904327104893
C2CD2,0.23148983475102616
C2CD2L,0.2398246944612257
C2CD5,0.1493115229070657
C5,0.07320877880566551
CA9,0.17456609104516885
CAB39,0.09765030273069035
CALM3,0.10750469581149141
