,eta2
AARS1,0.07909374085680582
ABCC5,0.14473320720278182
ABCF1,0.155477301238295
ABHD4,0.17083407762371508
ABHD6,0.2653416444074106
ABL1,0.2017848423663803
ACAA1,0.18158558853381027
ACAT2,0.09135231727952624
ACBD3,0.1454701365658184
ACD,0.13118514407525614
ACLY,0.17971224514947487
ACO2,0.08955325311994343
ACTB,0.13471982414181347
ACTR1A,0.2593635033828314
ACTR3B,0.1937108374099465
ADAM10,0.15924028409844296
ADAT1,0.14119653646097904
ADH5,0.24687461229123076
ADI1,0.1384425475339304
ADO,0.12937195575696914
ADRB2,0.2678547499317147
ADSL,0.22986640734933964
AGL,0.09745833128379959
AK6,0.19300962688067497
AKAP8,0.18232250412448794
AKAP8L,0.19738215197175096
AKR7A2,0.12494013992336499
AKT1,0.16486404234129484
ALAS1,0.1495490683795398
ALDH7A1,0.536407718336453
ALDOA,0.13042159329273262
ALG13,0.07604786378317042
AMDHD2,0.1253827476649041
ANKLE2,0.14436154471575094
ANKRD10,0.10350391809842778
ANLN,0.34200188862703473
ANO10,0.4057518373738361
ANXA7,0.16654927647521386
APBB2,0.28975079475648685
APOE,0.22249668623347774
APP,0.5636278972318843
APPBP2,0.2354489741346443
ARFIP2,0.11921360987195212
ARHGAP1,0.1445823865364832
ARHGEF12,0.28752161553253536
ARHGEF2,0.23868091020590404
ARID4B,0.10952275631445207
ARID5B,0.2608464617004705
ARL4C,0.22456257484164904
ARNT2,0.38517930025366165
ARPP19,0.1348308124500695
ASAH1,0.23948204456227778
ASCC3,0.10479981661495287
ATF1,0.11850912475710768
ATF5,0.289826307052616
ATF6,0.13684951413232532
ATG3,0.10968103053072806
ATMIN,0.1663319388163716
ATP11B,0.12904803647323682
ATP1A1,0.3087614311795255
ATP1B1,0.5499886663712579
ATP2C1,0.20320857628340563
ATP6AP1,0.22312111123762673
ATP6V0B,0.1230772175550305
ATP6V0C,0.1623977549040284
ATP6V1A,0.145929865227695
ATP6V1B2,0.327111993364891
ATP6V1D,0.4270726113468281
ATP6V1F,0.1656816908916731
AURKA,0.13832497139894104
AURKB,0.11515657734091789
AXIN1,0.16797757074911107
BACE2,0.4036589476633811
BAD,0.20485314146373385
BAG1,0.1792137765004887
BAG3,0.4170850773597035
BAMBI,0.32495317109707356
BAX,0.16847321858158462
BCL2,0.4391009403644997
BCL2L1,0.2850451899325966
BCL7B,0.13537335819065754
BDH1,0.31635389650788004
BECN1,0.17363071353343273
BHLHE40,0.1820016648266404
BID,0.12449846912265723
BIRC2,0.15718103455836377
BIRC5,0.11970317731886253
BLCAP,0.2646498080644308
BLMH,0.22582056076542925
BLVRA,0.2725466427535854
BMP4,0.339740614940502
BNIP3,0.39274311448701477
BNIP3L,0.25867080057840525
BPHL,0.21718199183886383
BRCA1,0.19017834896451866
BUB3,0.13711786964405617
BZW2,0.13478281653861884
C2CD2,0.24779542124546947
C2CD2L,0.22426739636711213
C2CD5,0.15591309236153567
C5,0.07584600319838947
CAB39,0.10225476421274436
CALM3,0.14953466306335728
CALU,0.5282477114057648
CAMSAP2,0.5415787621823628
CANT1,0.26182533268658464
CAPN1,0.30202737999338053
CASC3,0.1629437292218803
CASP10,0.2771974556793025
CASP2,0.20500859099060934
CASP3,0.1869288177530147
CASP7,0.13796394124458863
CAST,0.3158534727834935
CAT,0.27899212751186103
CBFB,0.17142810503029332
CBLB,0.12060780485651032
CBR1,0.29814185599870036
CBR3,0.32457678128124084
CCDC85B,0.128053658539574
CCDC86,0.08746333398182408
CCDC92,0.24146533337124892
CCL2,0.2937604235634532
CCNA1,0.17364743528699703
CCNA2,0.10036131793796128
CCNB1,0.13019904564265478
CCND1,0.47175013881264233
CCND3,0.20327416596458509
CCNE1,0.19413939112375928
CCNE2,0.17625208404852255
CCNF,0.16709986434063975
CCNH,0.14024403374273978
CCP110,0.1924425815668137
CD320,0.15146628844443374
CD40,0.18275429420631092
CD44,0.2515289790481782
CDAN1,0.16399354940175942
CDC20,0.13298470542284382
CDC25A,0.26266692678684594
CDC25B,0.12149339438920752
CDC42,0.12392221944485635
CDC45,0.15147047114235296
CDC6,0.11156417822461692
CDCA4,0.114332566026387
CDH3,0.4723606398506999
CDK1,0.0891500329731224
CDK19,0.16319501756436464
CDK2,0.2082496153384582
CDK4,0.22169637157973077
CDK5R1,0.22179561679779097
CDK6,0.20457043312005216
CDK7,0.1603212753131372
CDKN1B,0.10421332534519812
CDKN2A,0.10362983755100291
CEBPD,0.340732589317682
CEBPZ,0.16414749991358915
CENPE,0.11211094234249526
CENPF,0.11923740448378058
CENPW,0.060404652542676705
CEP55,0.12606355959582669
CEP57,0.18425311176966772
CERK,0.21497067522395755
CETN3,0.08470660805084639
CFL1,0.10726437962926574
CFLAR,0.2351783999402514
CGRRF1,0.19063296339250266
CHAC1,0.10362676691301426
CHAF1B,0.17094072997195542
CHEK1,0.19604320585174767
CHEK2,0.15080538542463706
CHIC2,0.15751778920427528
CHMP4B,0.19249800945395268
CHMP6,0.1702581904339592
CHN1,0.3737881019488418
CIAO3,0.15741910027380593
CIAPIN1,0.12070609652365678
CIRBP,0.20069667215807563
CISD1,0.10153735428747249
CLIC4,0.3639902648543832
CLPX,0.1158231675504011
CLSTN1,0.17344585520928016
CLTB,0.24043303870720692
CLTC,0.28734868942872727
CNDP2,0.18806402785601542
CNOT4,0.1441518817638305
CNPY3,0.16584551762608762
COASY,0.15376172005881333
COG2,0.16880110615438876
COG4,0.1296985494390272
COG7,0.08909505031693306
COL1A1,0.46592583532046256
COL4A1,0.4658477799357915
COPB2,0.26019672285768464
COPG1,0.20767703797978324
COPS7A,0.34389507718547313
CORO1A,0.6792391035877885
CPNE3,0.19796011755643247
CPSF4,0.17818024097228916
CREB1,0.19268515735039296
CREG1,0.12037517908439098
CRELD2,0.16735750083033668
CRK,0.49934632327477124
CRKL,0.097936868659842
CRTAP,0.40223388738878246
CRYZ,0.22176342960443018
CSK,0.4096652491166373
CSNK1A1,0.18647757802199777
CSNK1E,0.11403354136210958
CSNK2A2,0.10438107523942448
CSRP1,0.22749503863864856
CTNNAL1,0.24667317807150907
CTNND1,0.6771408370836833
CTPS1,0.20002012918367296
CTTN,0.6633679953883154
CXCL2,0.23507305844058546
CXCR4,0.486755415025866
CXXC5,0.12190722234519592
CYB561,0.4403168971132456
CYTH1,0.2951436363175288
DAG1,0.5611423394872137
DAXX,0.15351216069278725
DBR1,0.1251596000976227
DCK,0.2699622059097882
DCTD,0.14572966142105895
DCUN1D4,0.22985635069063973
DDB2,0.09817375437280004
DDIT4,0.11060181332450554
DDR1,0.5855615805402568
DDX10,0.1521323962471044
DDX3X,0.11065081862025743
DDX42,0.12088936310848318
DECR1,0.09492309966833391
DENND2D,0.3468387459727808
DERA,0.17395277792430552
DFFA,0.1184203743427982
DFFB,0.2235708759937657
DHDDS,0.1714351022847521
DHFR,0.14857953545802238
DHRS7,0.200873935496963
DHX29,0.20211035996222626
DIPK1A,0.30652646339477224
DLD,0.13721342039683979
DMTF1,0.1957754669204761
DNAJA3,0.1299518485267727
DNAJB1,0.30818709590109483
DNAJB2,0.20692295731124555
DNAJB6,0.19241501143203465
DNAJC15,0.12893642209224132
DNAJC9,0.12172474963717804
DNM1,0.25505142508253664
DNM1L,0.10355111946022656
DNM2,0.1928134728693415
DNMT1,0.2403001333596891
DNMT3A,0.18076155384993792
DNTTIP2,0.09215125615979487
DONSON,0.15662016631814743
DPAGT1,0.14422433467819942
DPH2,0.15419083068474954
DRAP1,0.19117705798799778
DSG2,0.48848513276063343
DTYMK,0.11004707049236934
DUSP11,0.09805036513122582
DUSP14,0.33597288875502335
DUSP22,0.332291560293391
DUSP3,0.5025899168674004
DUSP4,0.3237343016568554
DUSP6,0.19026645793174451
DUT,0.24709117793975882
DYNLRB1,0.16652903976954064
DYRK3,0.251363051223577
E2F2,0.37417456939122634
EAPP,0.07407388696313988
EBNA1BP2,0.15937951510048745
ECD,0.10892989725705193
ECH1,0.145253045029659
EDEM1,0.3594983034236352
EDN1,0.29135570594359456
EED,0.16686043759711758
EEF1A1,0.24948560456977667
EEF2,0.24814567845053584
EFCAB14,0.13617570083572605
EFR3A,0.1568283569084054
EGF,0.22826591630881612
EGFR,0.5299238317159988
EGR1,0.17610051693703346
EIF1AX,0.1053038905336594
EIF4A1,0.15864118860495396
EIF4EBP1,0.12701272661071805
EIF5,0.1930763116806423
ELAC2,0.11118338878247087
ELAVL1,0.16565116304118105
ELL,0.23609684105045708
ELOVL6,0.07392649100658133
EMC3,0.2022386766692544
EML3,0.19339788916937872
ENOPH1,0.1481288920417363
ENOSF1,0.27177560611867585
EP300,0.12344520093747871
EPB41L2,0.21285385031662596
EPHA3,0.23069914781445197
EPHB2,0.39848630674270397
EPN2,0.3904352860841329
EPRS1,0.10736407427867295
ERBB2,0.48979737006270024
ERBB3,0.5463228139296049
ESPL1,0.20682990154882452
ESR1,0.23431510915063777
ETFB,0.08546815535298556
ETS1,0.2617386612016011
ETV1,0.3564885666950573
EVL,0.40690674467827553
EXO1,0.18993900913342032
EXOSC4,0.14786605653665852
EXT1,0.5222138244124107
EZH2,0.27995622424501704
FAH,0.22988532118369995
FAIM,0.14703151135763598
FAM20B,0.2588852983547139
FAM50A,0.21998499380952016
FARSB,0.156152820673916
FAS,0.21168591767265924
FAT1,0.4883305610080979
FAU,0.22544192021353032
FBXL12,0.17403344992046435
FBXO11,0.10445246732539469
FBXO21,0.3039428638899044
FBXO7,0.3131688802157277
FCHO1,0.4580785834191886
FDFT1,0.12571434027949785
FERMT2,0.5460482332694604
FEZ2,0.302146757869795
FGFR2,0.2736279122231686
FGFR4,0.34018650319591787
FHL2,0.49499838469568813
FIS1,0.1368425576198219
FKBP14,0.29391268534553366
FKBP4,0.19142304204969332
FOS,0.253147605115122
FOSL1,0.36342023603355594
FOXA1,0.5040976811543758
FOXC1,0.2510012152830602
FOXJ3,0.1524140445074703
FOXO3,0.1102073482993105
FPGS,0.08151203294307043
FRS2,0.25009781647414997
FSD1,0.26877723538661247
FUT1,0.361171826085496
FYN,0.24651033354742397
FZD1,0.3190517065162155
FZD7,0.3575494357369274
G3BP1,0.14119001630768194
GAA,0.1549281972206868
GABPB1,0.14972264178354597
GADD45A,0.16427609926665931
GADD45B,0.21351833568887363
GALE,0.34719778541033525
GAPDH,0.13556799288541094
GARRE1,0.1868923255382405
GATA2,0.3605286538062009
GATA3,0.3258118088910039
GDPD5,0.07819357092773538
GET1,0.24644369524874768
GFOD1,0.14941675511083963
GFPT1,0.2812838280784778
GFUS,0.22840379804840097
GGPS1,0.08895776192848669
GHR,0.24029180717656415
GINS2,0.14550528644594485
GLI2,0.3211028429588766
GLOD4,0.11357443267227087
GLRX,0.19434864703827562
GMNN,0.1189963470996439
GMPS,0.09283555916096232
GNA11,0.5800714810479277
GNA15,0.4123811889100755
GNAI1,0.3685069504424639
GNAI2,0.2927257757267646
GNAS,0.09926215373605875
GNB5,0.19858535805468436
GNPDA1,0.36681517971610145
GOLT1B,0.23655149845431409
GPATCH8,0.1361126258667784
GPC1,0.5509725317363449
GPN2,0.1008278992729162
GPR160,0.3490745285952148
GPX4,0.13777479815467963
GRB10,0.29713964548139643
GRB2,0.199199950263844
GRB7,0.5540947849179155
GRN,0.21691060846527996
GRWD1,0.12110441454460923
GSPT1,0.07538912760689721
GSTZ1,0.09260945743896978
GTF2A2,0.11961575195178735
GTF2E2,0.11710860082039862
GTPBP4,0.13319933606892662
GTPBP8,0.10989895256324958
GUK1,0.15819920646732838
H2AZ2,0.12433351184792259
H2BC12,0.0787812857167021
H2BC15,0.04927003235839513
H2BC21,0.10011449986787936
HADH,0.2287879846533447
HAT1,0.11330733619843524
HDAC2,0.18494373925100985
HEATR1,0.12413508651402379
HEBP1,0.4586540705355748
HERC6,0.17894694421774154
HERPUD1,0.1251670079364291
HES1,0.3927667910481296
HK1,0.23015065382339278
HLA-DRA,0.46452062157835694
HMG20B,0.22099325849380513
HMGA2,0.34050561029209014
HMGCR,0.09064295022521614
HMGCS1,0.09060457568043255
HMOX1,0.264435340250491
HNF1B,0.3615748848857191
HNRNPH1,0.1928864046412049
HOMER2,0.1865267980750802
HOOK2,0.2935116422802894
HS2ST1,0.16963410422001965
HSPA1A,0.3633229766460536
HSPA4,0.12053111511772112
HSPA8,0.14776985522833308
HSPD1,0.20086570113393176
HTRA1,0.4393290508809187
HYOU1,0.12445336170151763
IARS2,0.15750682515445508
ICAM1,0.18290794351482312
ICAM3,0.43811084342763956
ICMT,0.22387915687908785
ID2,0.16168357047767984
IDE,0.10214915254458676
IER3,0.3977615418281142
IFNAR1,0.1090663986185829
IFRD2,0.12372444542453596
IGF1R,0.19720242287642703
IGF2BP2,0.4038673317048285
IGF2R,0.2191789086651976
IGFBP3,0.34424872850522675
IGHMBP2,0.13856479726805188
IKBKB,0.2231495028920885
IKBKE,0.17293342490217747
IKZF1,0.9065620431769547
IL1B,0.21455395135531952
IL4R,0.16144181908162442
ILK,0.2928732194526735
INPP1,0.2792868203749582
INPP4B,0.35721267310896254
INSIG1,0.14359367841072904
INTS3,0.12761147648160948
INTS6,0.08852193753192761
IPO13,0.24395238483977888
IQGAP1,0.1869105046005686
ISOC1,0.19903952022213087
ITFG1,0.24444357273739864
ITGAE,0.10765365047898588
ITGAV,0.5382458291510716
ITGB1BP1,0.1464047359268246
ITGB5,0.5305467895941688
JMJD6,0.14886422396885776
JUN,0.3036590835394192
KAT6A,0.17104537499827513
KAT6B,0.1881679450271683
KCNK1,0.4032685571477587
KCTD5,0.11612790119407003
KDM3A,0.1170097516370875
KDM5A,0.10328161391138174
KDM5B,0.29870092129651415
KEAP1,0.09771355758964327
KIAA0753,0.14452274139236063
KIF11,0.1204001746148379
KIF14,0.11408704224286705
KIF18A,0.10302320299081692
KIF20A,0.1489901390346652
KIF2C,0.13333068746030546
KIF5C,0.2822809114695428
KIT,0.21861427320910287
KLF5,0.5752291808854214
KLHDC2,0.13812166453142485
KLHL21,0.22541331331933537
KLHL9,0.08384299793738398
KRAS,0.09497165780509575
KRT14,0.3897639768247213
KRT17,0.41404071138570525
KRT5,0.41273314515326864
KTN1,0.22327894271113796
LAMA3,0.44159241751659417
LAP3,0.11897743238152489
LBR,0.33160570771285985
LGALS8,0.1938449652383949
LGMN,0.4651169645128492
LIG1,0.2105577823887344
LIPA,0.1631175563132068
LONP1,0.2306951415775215
LOXL1,0.4585412280217695
LPAR2,0.302410264643768
LPGAT1,0.17680040595682142
LRP10,0.25461276506627534
LRPAP1,0.20878181423660006
LRRC41,0.17581545768063267
LSM6,0.21683548720376974
LSM8,0.17718915448008596
LSR,0.5745245121822751
LYN,0.28160044982542
LYRM1,0.14108669563232498
MACF1,0.21391214319254048
MAD2L2,0.19579374762249413
MAGOH,0.12617307576540612
MALT1,0.19157240247488086
MAN2B1,0.20587043423006005
MAP2K5,0.17364995795481117
MAP3K4,0.16164051698703139
MAP4K4,0.23382819651705425
MAP7,0.49411993934466447
MAPK13,0.4434399317112132
MAPK1IP1L,0.18413982765788905
MAPK9,0.16782529383929626
MAPKAPK2,0.11904615417257035
MAPKAPK3,0.18395534562352406
MAPKAPK5,0.176754489281084
MAPT,0.21647815177162483
MARS2,0.35319029424688386
MAST2,0.22089454685650947
MAT2A,0.14899201256315708
MBNL1,0.3426568065189015
MBNL2,0.29679170908764274
MBOAT7,0.28611515242512325
MBTPS1,0.104447572747828
MCL1,0.10818048132816889
MCM3,0.23793153513547113
MCOLN1,0.22981281283707022
MDM2,0.14665888629478738
ME2,0.3021541576865476
MED1,0.13016467877567706
MED12,0.20002620102024302
MEF2C,0.43613852320849655
MELK,0.1402376968209416
MEST,0.2395453861953625
MFSD10,0.1906144582488295
MIA,0.5001910484684001
MICALL1,0.22155456343903154
MKI67,0.14143050440605548
MKNK1,0.14877369361346776
MLEC,0.20746672286484658
MLLT11,0.343842521515027
MLPH,0.3830340940149261
MMP1,0.22656810210254383
MMP11,0.10930585996846771
MMP2,0.4902885823265602
MMS22L,0.14886451103332088
MOK,0.32666266290004886
MPC2,0.1826636595654388
MPZL1,0.23001072257319824
MRPL19,0.1596154368500461
MRPL33,0.25046322797005927
MRPL57,0.12973295744836721
MRPS16,0.08161240576783546
MRPS2,0.10383518231537739
MSH6,0.22112886957970052
MSRA,0.19484745702255735
MSTO1,0.15718509969663932
MTA1,0.23278463805360589
MTF2,0.24506730494010362
MTFR1,0.18605669396743055
MTHFD2,0.23065215302163541
MUC1,0.3299288370175386
MVP,0.29903802683063
MYBL2,0.2400203577654796
MYC,0.3400246647270333
MYCBP,0.12042611230678964
MYCBP2,0.2875118624596805
MYH9,0.1998491827784218
MYL9,0.33389117580723143
MYLK,0.3453477271449643
MYO10,0.43288162663545976
NAA10,0.09777778343182207
NAPG,0.10110831412523297
NAT1,0.13188023201101043
NCAPD2,0.1507880098196374
NCAPD3,0.21339786955449594
NCK2,0.1290415519398943
NCOA3,0.14239281121488903
NELFB,0.1281447872324206
NENF,0.14227726734991
NET1,0.32417352615698886
NF2,0.19504279046286938
NFATC3,0.2834992793290264
NFATC4,0.1906242709975036
NFE2L2,0.27306021677128306
NFIL3,0.07968491511094773
NFKB2,0.18722948559202984
NFKBIA,0.21314782741512855
NFKBIB,0.16730052426278347
NFKBIE,0.18565726714296774
NHLRC2,0.1032660815041494
NIPSNAP1,0.14526248851928603
NISCH,0.17007553133769426
NIT1,0.08409769628869548
NMNAT1,0.12318719106026908
NMT1,0.1510038561175936
NNT,0.1740019376593583
NOL3,0.34288013860019456
NOLC1,0.19511384739757806
NOS3,0.12298058931270968
NOSIP,0.09344286734649587
NOTCH1,0.14570740377929467
NPC1,0.2082589851847824
NPDC1,0.31007939261459433
NPEPL1,0.18486489513708795
NPM1,0.10746422199040166
NPRL2,0.26246158035436756
NR1H2,0.1638456975156146
NR2F6,0.3281623775409141
NR3C1,0.355741886469837
NRAS,0.17910027395376357
NRIP1,0.17051827090485552
NSF,0.22126699463409777
NT5DC2,0.16188694039582172
NUCB2,0.21211234400172213
NUDCD3,0.15892652024911819
NUDT9,0.23753837971722103
NUF2,0.13183185522122068
NUP133,0.12675279651810947
NUP43,0.14706069118173934
NUP85,0.14927548460470533
NUP88,0.09997141339980016
NUP93,0.11473144808757105
NUSAP1,0.1479330839738027
NVL,0.2176510467786272
NXT1,0.12111877337051992
ORC1,0.24054181487894186
ORC6,0.13211648235546244
OXA1L,0.12242445067353407
OXCT1,0.14345558001503575
OXSR1,0.11741710535961053
P4HA2,0.50642595029718
P4HTM,0.2770295156498556
PACSIN3,0.4003231839827664
PAF1,0.17527574492015857
PAFAH1B1,0.17280317982912216
PAFAH1B3,0.2058286776658079
PAICS,0.1890400784089764
PAK1,0.09498958454799072
PAK4,0.31013233089815656
PAK6,0.3755379629334742
PAN2,0.18199273120737341
PARP1,0.3064511560908733
PARP2,0.1758927877992876
PAX8,0.4372332986956669
PCBD1,0.4071048033688284
PCCB,0.15649745513897276
PCK2,0.16564135845765166
PCM1,0.24561445570501225
PCMT1,0.12612007291254523
PCNA,0.11201571465001342
PDCD2,0.12046460780815932
PDGFA,0.26623170809604385
PDHX,0.12993849425245813
PDIA5,0.22047423761240906
PDLIM1,0.21438233345492824
PDS5A,0.16812693850267743
PECR,0.20287177451559882
PELO,0.2543101512862218
PEX11A,0.37213449147980837
PFKL,0.20479063464815278
PFN1,0.13150575770047673
PGD,0.14232271339581604
PGK1,0.11266216623886391
PGM1,0.20854867497117566
PGR,0.1385661702363619
PHGDH,0.08762051748659533
PHKB,0.16054579007280018
PHKG2,0.15163792807053275
PIGB,0.20239334403396184
PIH1D1,0.1369184573977845
PIK3C2B,0.2909850763054627
PIK3C3,0.233666172286548
PIK3CA,0.10808792998952528
PIK3R3,0.22212515145533399
PIK3R4,0.13326854353188128
PIN1,0.12961187513383718
PIP4K2B,0.21058658229635271
PKIG,0.24044756643357398
PKMYT1,0.1451538365479464
PLA2G15,0.2325732217166362
PLA2G4A,0.1955890961514559
PLCB3,0.36757389953315345
PLEKHJ1,0.20065498440715496
PLEKHM1,0.1010961914699337
PLK1,0.08991693900301304
PLOD3,0.4247863042707556
PLS1,0.48548082671971365
PLSCR1,0.2448946030046126
PMAIP1,0.16855796829433775
PMM2,0.10741320054486972
PNKP,0.12852243574379882
PNP,0.2784259191747661
POLB,0.14747905145394832
POLE2,0.1714362968599453
POLG2,0.2518261719833202
POLR1C,0.12804081904074546
POLR2I,0.17740233286721088
POLR2K,0.0920501671299314
POLR2L,0.25809585932470436
POP4,0.12944609911332622
POP5,0.10878773198390344
PPARD,0.1860995991020274
PPARG,0.3791361549374573
PPIC,0.5808349831179087
PPIE,0.08867050541832683
PPOX,0.19569111939369405
PPP1R12A,0.19999909400873692
PPP1R13B,0.31606736500586824
PPP1R15B,0.13902395679061166
PPP2CA,0.10343813381491396
PPP2R1A,0.09228186416947148
PPP2R3C,0.23401189064983047
PPP2R5A,0.21080584723803159
PPP2R5E,0.17232081848928468
PPWD1,0.14616609434036573
PRCP,0.19604746772751058
PRKACA,0.21195290316175658
PRKAG2,0.36370560793615475
PRKCD,0.2926297382884367
PRKCQ,0.26000009876479707
PRKRA,0.12177980305426708
PROS1,0.36059276672943924
PRPF4,0.13028713845870601
PRR15L,0.4563558638362432
PRSS23,0.4682516827247149
PSIP1,0.17536346393619767
PSMA3,0.16153437921890434
PSMB5,0.39904758353765934
PSMB6,0.2218075164779987
PSMB8,0.25711647999526804
PSMD14,0.16478813729126432
PSMD4,0.15749988777066465
PSMD7,0.08416308648416615
PSME1,0.20220742548974643
PSMF1,0.11773160338451008
PSMG1,0.12622543198853975
PSMG4,0.08596458726969486
PSRC1,0.18749445080332078
PTGS2,0.2023578213576163
PTK2,0.5525973024479363
PTK2B,0.5500360605212746
PTPN1,0.10079597626441124
PTPN12,0.47906660836385695
PTPN6,0.6197752983767458
PTPRC,0.7246920156949785
PTPRF,0.6336018856881235
PTPRK,0.4842710390587604
PTTG1,0.11023102788551899
PUF60,0.13500757224815402
PWP1,0.19095820181531414
PXN,0.49733872945137486
PYCR1,0.13028546041350408
PYGL,0.33076514966860576
RAB11FIP2,0.16620691044769964
RAB21,0.12304600546651438
RAB27A,0.23133949338085308
RAB31,0.3603744739118374
RAB4A,0.17068087301758209
RACK1,0.1832308359093051
RAD51C,0.18038179116510064
RAD9A,0.24171690867260553
RAE1,0.14369839169552293
RAI14,0.5435442700718922
RALA,0.17223939115540063
RALB,0.2720854167090782
RALGDS,0.17332230772668722
RAN,0.12337943207755162
RAP1GAP,0.3004697948621292
RASA1,0.20869087787596313
RB1,0.10569733462147082
RBKS,0.22406198738623345
RBM15B,0.14842224663710105
RBM6,0.2103042647344003
REEP5,0.3049195284787142
RELB,0.22267881322314975
RFC2,0.1582798362794928
RFC5,0.1896981860238617
RFNG,0.16380634697951915
RFX5,0.3401287805673515
RGS2,0.1464574546520454
RHEB,0.30528583374357804
RHOA,0.22927112873834532
RIC1,0.23639995366903363
RNF167,0.08187758505460306
RNH1,0.2562697824295773
RNMT,0.13275903883386264
RNPS1,0.1373462137568206
RPA1,0.11694535313077827
RPA2,0.22413349905697544
RPA3,0.16257113147698632
RPIA,0.34080563264099695
RPL12,0.17658916301937447
RPL13A,0.29184677780145574
RPL21,0.2384741466163743
RPL23A,0.22499040119001845
