variant,method,n_drugs,breast_auroc,other_auroc,breast_minus_other
full,adae,440,0.6354192751402832,0.46131880003724746,0.17410047510303572
full,dann,440,0.632130772822979,0.46813743632412547,0.16399333649885356
full,irm,440,0.6458470992467292,0.46505427938810806,0.18079281985862117
full,marginal,440,0.6368005565376972,0.4627065516249774,0.17409400491271976
full,residualized,440,0.6411705921263309,0.3595369721865338,0.2816336199397971
full,within_tissue,440,0.6456392970327607,0.3494260030001487,0.296213294032612
a61,adae,232,0.6371691408601677,0.46279192051114754,0.1743772203490202
a61,dann,232,0.6299223969575496,0.4704021846401423,0.15952021231740732
a61,irm,232,0.6442998105810317,0.46798238626506306,0.17631742431596864
a61,marginal,232,0.6367946345975948,0.46608611974022923,0.17070851485736555
a61,residualized,232,0.646447219652585,0.3625991773962425,0.2838480422563425
a61,within_tissue,232,0.6466481652790625,0.35138092924877046,0.2952672360302921
marginal,adae,330,0.6371620772184073,0.462596845469669,0.17456523174873834
marginal,dann,330,0.6301896778390105,0.46881283171864857,0.1613768461203619
marginal,irm,330,0.6436693675031193,0.4656686562467495,0.1780007112563698
marginal,marginal,330,0.6358551914584688,0.4638715087040275,0.1719836827544413
marginal,residualized,330,0.6427229520182474,0.36091771580881904,0.2818052362094283
marginal,within_tissue,330,0.6446937659934885,0.3496327195906207,0.2950610464028678
all4,adae,226,0.6372292369979697,0.4631367171879001,0.17409251981006962
all4,dann,226,0.6296279749390296,0.4701243993752195,0.15950357556381006
all4,irm,226,0.6441094405132333,0.4678359998796089,0.17627344063362438
all4,marginal,226,0.6365783095258118,0.46596700307175576,0.1706113064540561
all4,residualized,226,0.6461961026947151,0.3630060389709247,0.28319006372379035
all4,within_tissue,226,0.6463444742121892,0.3512566004270726,0.29508787378511664
