ground_truth,set,half,method,n,marg_mean,method_mean,delta,wilcoxon_p
coessG_0.01,ALL,halfA,residualized,200,0.5084108490566038,0.5103688679245283,0.001958018867924536,0.48140886501334723
coessG_0.01,ALL,halfA,within_tissue,200,0.5084108490566038,0.5202110849056604,0.011800235849056605,8.82541499265479e-09
coessG_0.01,ALL,halfA,irm,200,0.5084108490566038,0.5028132075471698,-0.005597641509433964,0.6485814006220261
coessG_0.01,ALL,halfA,dann,200,0.5084108490566038,0.49875094339622633,-0.00965990566037735,0.06505240218189705
coessG_0.01,ALL,halfA,adae,200,0.5084108490566038,0.47396108490566036,-0.03444976415094339,0.0008243486506994496
coessG_0.01,ALL,halfB,residualized,200,0.5086905660377359,0.510301179245283,0.00161061320754717,0.5115335867753763
coessG_0.01,ALL,halfB,within_tissue,200,0.5086905660377359,0.5209603773584905,0.01226981132075471,3.19450317323967e-08
coessG_0.01,ALL,halfB,irm,200,0.5086905660377359,0.5029589622641509,-0.005731603773584908,0.5072263707180724
coessG_0.01,ALL,halfB,dann,200,0.5086905660377359,0.4983396226415094,-0.010350943396226416,0.02798282229646685
coessG_0.01,ALL,halfB,adae,200,0.5086905660377359,0.4733983490566038,-0.03529221698113208,0.0007853456089540852
coessG_0.01,ALL,full,residualized,200,0.5085594339622642,0.5104084905660377,0.0018490566037735856,0.5041059536399525
coessG_0.01,ALL,full,within_tissue,200,0.5085594339622642,0.5206900943396225,0.012130660377358491,3.064586198325637e-10
coessG_0.01,ALL,full,irm,200,0.5085594339622642,0.5025849056603774,-0.0059745283018867975,0.5704564432315212
coessG_0.01,ALL,full,dann,200,0.5085594339622642,0.4985202830188679,-0.010039150943396222,0.04551545888096988
coessG_0.01,ALL,full,adae,200,0.5085594339622642,0.4734966981132075,-0.03506273584905661,0.000748058774646284
coessG_0.01,INTER,halfA,residualized,144,0.5105928983228512,0.5096534329140461,-0.0009394654088050289,0.8779554519402708
coessG_0.01,INTER,halfA,within_tissue,144,0.5105928983228512,0.5214566954926625,0.01086379716981132,1.1520252715389308e-05
coessG_0.01,INTER,halfA,irm,144,0.5105928983228512,0.5055509696016771,-0.005041928721174006,0.7564738922554588
coessG_0.01,INTER,halfA,dann,144,0.5105928983228512,0.4987591719077568,-0.01183372641509433,0.06335401807312717
coessG_0.01,INTER,halfA,adae,144,0.5105928983228512,0.4726565775681342,-0.037936320754716965,0.0016835509362487394
coessG_0.01,INTER,halfB,residualized,144,0.5102928459119497,0.5089033018867926,-0.001389544025157233,0.9189872410701655
coessG_0.01,INTER,halfB,within_tissue,144,0.5102928459119497,0.5197110849056604,0.009418238993710682,0.00018016966495371225
coessG_0.01,INTER,halfB,irm,144,0.5102928459119497,0.5057481656184487,-0.004544680293501049,0.6695386627100521
coessG_0.01,INTER,halfB,dann,144,0.5102928459119497,0.4976316823899371,-0.012661163522012584,0.032363723964564474
coessG_0.01,INTER,halfB,adae,144,0.5102928459119497,0.4705719339622642,-0.039720911949685536,0.0014681041719953165
coessG_0.01,INTER,full,residualized,144,0.5104520440251572,0.509295073375262,-0.001156970649895182,0.9427650702370766
coessG_0.01,INTER,full,within_tissue,144,0.5104520440251572,0.5206505503144654,0.010198506289308178,1.256577005730095e-05
coessG_0.01,INTER,full,irm,144,0.5104520440251572,0.5053662211740042,-0.005085822851153044,0.7173769803952863
coessG_0.01,INTER,full,dann,144,0.5104520440251572,0.49822589098532494,-0.012226153039832282,0.04913921075322661
coessG_0.01,INTER,full,adae,144,0.5104520440251572,0.47147995283018873,-0.038972091194968556,0.00147823441136921
coessW_0.01,ALL,halfA,residualized,200,0.5064566037735849,0.5174174528301887,0.010960849056603772,0.083485320965727
coessW_0.01,ALL,halfA,within_tissue,200,0.5064566037735849,0.5227134433962264,0.01625683962264151,1.5787980377795533e-14
coessW_0.01,ALL,halfA,irm,200,0.5064566037735849,0.4998698113207547,-0.006586792452830194,0.38131694812327477
coessW_0.01,ALL,halfA,dann,200,0.5064566037735849,0.4995995283018868,-0.006857075471698119,0.3002371936541045
coessW_0.01,ALL,halfA,adae,200,0.5064566037735849,0.46236462264150946,-0.044091981132075485,2.2833709715187366e-05
coessW_0.01,ALL,halfB,residualized,200,0.5074665094339622,0.5180558962264151,0.010589386792452827,0.0649636380129709
coessW_0.01,ALL,halfB,within_tissue,200,0.5074665094339622,0.523520283018868,0.016053773584905662,2.1191918014948233e-15
coessW_0.01,ALL,halfB,irm,200,0.5074665094339622,0.5003849056603774,-0.0070816037735849015,0.33477272464493
coessW_0.01,ALL,halfB,dann,200,0.5074665094339622,0.49885849056603776,-0.008608018867924522,0.10229903863321231
coessW_0.01,ALL,halfB,adae,200,0.5074665094339622,0.46165306603773587,-0.04581344339622641,1.6442335351733954e-05
coessW_0.01,ALL,full,residualized,200,0.5069806603773584,0.5177905660377359,0.010809905660377357,0.07414473034457032
coessW_0.01,ALL,full,within_tissue,200,0.5069806603773584,0.5231655660377359,0.016184905660377363,8.680690610321058e-17
coessW_0.01,ALL,full,irm,200,0.5069806603773584,0.499808962264151,-0.007171698113207552,0.3262835040905526
coessW_0.01,ALL,full,dann,200,0.5069806603773584,0.4992415094339623,-0.007739150943396228,0.1803274137309323
coessW_0.01,ALL,full,adae,200,0.5069806603773584,0.4618443396226415,-0.045136320754716984,1.6716655541673472e-05
coessW_0.01,INTER,halfA,residualized,144,0.5114937106918239,0.5192695230607965,0.007775812368972745,0.25149527699170515
coessW_0.01,INTER,halfA,within_tissue,144,0.5114937106918239,0.527591391509434,0.016097680817610063,1.5626569171619638e-09
coessW_0.01,INTER,halfA,irm,144,0.5114937106918239,0.5078301886792453,-0.003663522012578621,0.763307707755017
coessW_0.01,INTER,halfA,dann,144,0.5114937106918239,0.5049095911949686,-0.006584119496855354,0.33542244212188843
coessW_0.01,INTER,halfA,adae,144,0.5114937106918239,0.46424200733752624,-0.0472517033542977,0.00010841430475707587
coessW_0.01,INTER,halfB,residualized,144,0.5120040618448637,0.5193075209643605,0.007303459119496851,0.24133594237610456
coessW_0.01,INTER,halfB,within_tissue,144,0.5120040618448637,0.5264223008385743,0.014418238993710693,2.2876422515454592e-09
coessW_0.01,INTER,halfB,irm,144,0.5120040618448637,0.5081715146750524,-0.0038325471698113173,0.7969738523833046
coessW_0.01,INTER,halfB,dann,144,0.5120040618448637,0.5040808438155135,-0.0079232180293501,0.20288879115976965
coessW_0.01,INTER,halfB,adae,144,0.5120040618448637,0.4620296121593291,-0.049974449685534585,7.856863903661362e-05
coessW_0.01,INTER,full,residualized,144,0.5118003144654089,0.519329140461216,0.007528825995807126,0.24780401089951554
coessW_0.01,INTER,full,within_tissue,144,0.5118003144654089,0.5270256813417191,0.015225366876310277,2.516854894372421e-10
coessW_0.01,INTER,full,irm,144,0.5118003144654089,0.5077148846960168,-0.004085429769392041,0.7572322114915878
coessW_0.01,INTER,full,dann,144,0.5118003144654089,0.5045702306079664,-0.007230083857442353,0.2627978193652458
coessW_0.01,INTER,full,adae,144,0.5118003144654089,0.4629848008385744,-0.04881551362683439,8.537800371214934e-05
string,ALL,halfA,residualized,169,0.5081581774878488,0.5252399779065818,0.017081800418733094,0.017732921885506542
string,ALL,halfA,within_tissue,169,0.5081581774878488,0.5250368878403465,0.016878710352497862,5.87338995162698e-12
string,ALL,halfA,irm,169,0.5081581774878488,0.51608206366325,0.00792388617540132,0.23687773279115742
string,ALL,halfA,dann,169,0.5081581774878488,0.5067075968867336,-0.0014505806011150646,0.6665383321901901
string,ALL,halfA,adae,169,0.5081581774878488,0.470504899603892,-0.03765327788395672,0.0002401954814122581
string,ALL,halfB,residualized,169,0.5099058088206572,0.5246655930762526,0.014759784255595378,0.048561134489102126
string,ALL,halfB,within_tissue,169,0.5099058088206572,0.5256611153283349,0.015755306507677713,2.5176145108437186e-11
string,ALL,halfB,irm,169,0.5099058088206572,0.5187506490352758,0.008844840214618524,0.2861238309008456
string,ALL,halfB,dann,169,0.5099058088206572,0.5079213162609136,-0.0019844925597434964,0.6653972642957293
string,ALL,halfB,adae,169,0.5099058088206572,0.4699710736352392,-0.03993473518541805,0.00010594183247846294
string,ALL,full,residualized,169,0.5092043981241141,0.5251987427263533,0.015994344602239193,0.03022897311448259
string,ALL,full,within_tissue,169,0.5092043981241141,0.5250008325377356,0.015796434413621423,6.257131632910162e-15
string,ALL,full,irm,169,0.5092043981241141,0.5174597447054923,0.00825534658137813,0.2294936236413837
string,ALL,full,dann,169,0.5092043981241141,0.5072114519184941,-0.0019929462056199557,0.600066005804849
string,ALL,full,adae,169,0.5092043981241141,0.4700468243867157,-0.039157573737398345,0.00013173519474431875
string,INTER,halfA,residualized,118,0.5154919066906627,0.526228542178878,0.01073663548821544,0.18597382503104498
string,INTER,halfA,within_tissue,118,0.5154919066906627,0.5287091223366807,0.01321721564601812,6.72676357686435e-06
string,INTER,halfA,irm,118,0.5154919066906627,0.5213715493711139,0.005879642680451246,0.5079947668928895
string,INTER,halfA,dann,118,0.5154919066906627,0.5156908247747521,0.00019891808408953232,0.9155226489184639
string,INTER,halfA,adae,118,0.5154919066906627,0.47337568392609025,-0.042116222764572483,0.0016250381642359136
string,INTER,halfB,residualized,118,0.5149238527779736,0.5281429812350869,0.013219128457113106,0.14814509838143167
string,INTER,halfB,within_tissue,118,0.5149238527779736,0.5296427285621407,0.01471887578416684,5.227685874708815e-07
string,INTER,halfB,irm,118,0.5149238527779736,0.5255679262372104,0.010644073459236483,0.30814219168452794
string,INTER,halfB,dann,118,0.5149238527779736,0.518065736862881,0.0031418840849072108,0.7666633732477784
string,INTER,halfB,adae,118,0.5149238527779736,0.4716472527877532,-0.04327659999022061,0.0014545576617646368
string,INTER,full,residualized,118,0.5152072404847912,0.5273699383377708,0.01216269785297947,0.16543121785468684
string,INTER,full,within_tissue,118,0.5152072404847912,0.5286859161671565,0.013478675682365254,5.3870680794157356e-08
string,INTER,full,irm,118,0.5152072404847912,0.5235125351116054,0.008305294626814322,0.3805957090771587
string,INTER,full,dann,118,0.5152072404847912,0.516862122569795,0.0016548820850038652,0.9357890815325314
string,INTER,full,adae,118,0.5152072404847912,0.47234910951628584,-0.04285813096850526,0.001427801572387527
RANDOM,ALL,halfA,residualized,200,0.5113608490566038,0.4928198113207547,-0.01854103773584905,0.015485633846136677
RANDOM,ALL,halfA,within_tissue,200,0.5113608490566038,0.5059212264150943,-0.005439622641509441,0.025314126002408184
