set,half,method,n,marg_mean,method_mean,delta,wilcoxon_p
ALL,halfA,residualized,200,0.6417897196261683,0.6803177570093457,0.03852803738317757,0.07189985659299536
ALL,halfA,within_tissue,200,0.6417897196261683,0.6578504672897196,0.0160607476635514,8.646205575463866e-06
ALL,halfA,irm,200,0.6417897196261683,0.6004579439252337,-0.04133177570093458,0.015246845705634438
ALL,halfA,dann,200,0.6417897196261683,0.631803738317757,-0.009985981308411213,0.5063028152647339
ALL,halfA,adae,200,0.6417897196261683,0.5133691588785048,-0.12842056074766353,2.2113338547705037e-05
ALL,halfB,residualized,200,0.6400280373831775,0.6847570093457943,0.04472897196261682,0.02868810768639934
ALL,halfB,within_tissue,200,0.6400280373831775,0.6606121495327102,0.020584112149532707,8.826608489684965e-08
ALL,halfB,irm,200,0.6400280373831775,0.6036355140186916,-0.03639252336448598,0.046723062233843246
ALL,halfB,dann,200,0.6400280373831775,0.6369532710280374,-0.003074766355140188,0.7992230123083373
ALL,halfB,adae,200,0.6400280373831775,0.5142803738317757,-0.12574766355140188,3.3135750662522444e-05
ALL,full,residualized,200,0.6413177570093458,0.6831495327102803,0.041831775700934576,0.050715909371324225
ALL,full,within_tissue,200,0.6413177570093458,0.6597943925233645,0.018476635514018694,3.8581844388491786e-12
ALL,full,irm,200,0.6413177570093458,0.6022803738317757,-0.039037383177570086,0.032874708858447836
ALL,full,dann,200,0.6413177570093458,0.6345794392523365,-0.006738317757009345,0.606084712294501
ALL,full,adae,200,0.6413177570093458,0.5140467289719627,-0.12727102803738316,2.4524381876000193e-05
INTER,halfA,residualized,144,0.6668094496365524,0.6949376947040498,0.0281282450674974,0.14835513290304683
INTER,halfA,within_tissue,144,0.6668094496365524,0.6808086708203531,0.013999221183800623,9.978975904911016e-06
INTER,halfA,irm,144,0.6668094496365524,0.6179452232606438,-0.04886422637590862,0.005688294645630786
INTER,halfA,dann,144,0.6668094496365524,0.6409527518172378,-0.025856697819314642,0.11789482305044947
INTER,halfA,adae,144,0.6668094496365524,0.5161734164070614,-0.15063603322949118,2.8529992781997206e-05
INTER,halfB,residualized,144,0.6590602284527518,0.7014278296988578,0.04236760124610592,0.024466550946958824
INTER,halfB,within_tissue,144,0.6590602284527518,0.67821261682243,0.019152388369678086,6.651316655427232e-06
INTER,halfB,irm,144,0.6590602284527518,0.6212746625129802,-0.037785565939771545,0.04230058356158414
INTER,halfB,dann,144,0.6590602284527518,0.6453465732087227,-0.013713655244029073,0.3231971572500153
INTER,halfB,adae,144,0.6590602284527518,0.5172637590861889,-0.14179646936656282,7.578304723158766e-05
INTER,full,residualized,144,0.6635254413291797,0.6986889927310488,0.035163551401869164,0.06375270760687785
INTER,full,within_tissue,144,0.6635254413291797,0.6805685358255451,0.017043094496365527,9.90604582911762e-10
INTER,full,irm,144,0.6635254413291797,0.620203790238837,-0.043321651090342674,0.019649332184066642
INTER,full,dann,144,0.6635254413291797,0.6434774143302181,-0.02004802699896158,0.18645959039162507
INTER,full,adae,144,0.6635254413291797,0.5168029595015576,-0.14672248182762201,3.99253474005035e-05
