drug,tissue,method,n_cells,aurocA,aurocB,auroc_full
"(1S,3R)-Rsl3",Bladder,marginal,21,0.5012389322056298,0.494459495176424,0.49038588608431344
"(1S,3R)-Rsl3",Bladder,residualized,21,0.49593299854631956,0.4845331703449188,0.4978525175102418
"(1S,3R)-Rsl3",Bladder,irm,21,0.5071725915157923,0.5170064094092771,0.5105061451037399
"(1S,3R)-Rsl3",Bladder,within_tissue,21,0.4853475617814193,0.48876701466895733,0.4767741509184617
"(1S,3R)-Rsl3",Bladder,dann,21,0.4622670807453416,0.4907096603673847,0.4696709396061847
"(1S,3R)-Rsl3",Bladder,adae,21,0.5754278445883442,0.5767543280031717,0.578432668164398
"(1S,3R)-Rsl3",Blood,marginal,94,0.4870622439540108,0.48432668164398046,0.4847033170344918
"(1S,3R)-Rsl3",Blood,residualized,94,0.20823642130302628,0.21307651645301967,0.20655477732258493
"(1S,3R)-Rsl3",Blood,irm,94,0.4177448130038324,0.3998513281353244,0.4054116558741905
"(1S,3R)-Rsl3",Blood,within_tissue,94,0.24110281485397117,0.2339996035416942,0.2341416677679398
"(1S,3R)-Rsl3",Blood,dann,94,0.40822320602616624,0.408946742434254,0.4072287564424475
"(1S,3R)-Rsl3",Blood,adae,94,0.5365468481564689,0.5204869829522928,0.526562706488701
"(1S,3R)-Rsl3",Brain,marginal,46,0.48336527025241177,0.5005319148936171,0.4908484207744152
"(1S,3R)-Rsl3",Brain,residualized,46,0.34096735826615565,0.3429430421567332,0.33583322320602615
"(1S,3R)-Rsl3",Brain,irm,46,0.4486454341218448,0.4542718382450112,0.44806396194000264
"(1S,3R)-Rsl3",Brain,within_tissue,46,0.36859059072287564,0.3862032509581076,0.37475221355887406
"(1S,3R)-Rsl3",Brain,dann,46,0.4032608695652174,0.4004790537861768,0.3978459098718118
"(1S,3R)-Rsl3",Brain,adae,46,0.5504658385093169,0.5417305405048236,0.5488965243821858
"(1S,3R)-Rsl3",Breast,marginal,38,0.6410648209329984,0.6451301704770716,0.6540901281881856
"(1S,3R)-Rsl3",Breast,residualized,38,0.5823113519228228,0.6027355623100304,0.5917800977930487
"(1S,3R)-Rsl3",Breast,irm,38,0.6208041495969341,0.6262323245671997,0.6354235496233646
"(1S,3R)-Rsl3",Breast,within_tissue,38,0.6367913307783798,0.6447832694594953,0.6455993128056032
"(1S,3R)-Rsl3",Breast,dann,38,0.5617120391172195,0.5546352583586627,0.5638297872340426
"(1S,3R)-Rsl3",Breast,adae,38,0.7093531121977005,0.7010076648605789,0.7173252279635258
"(1S,3R)-Rsl3",Colon,marginal,43,0.5113981762917935,0.5151777454737676,0.5095810757235364
"(1S,3R)-Rsl3",Colon,residualized,43,0.41532311351922824,0.42403198097000133,0.4172062904717854
"(1S,3R)-Rsl3",Colon,irm,43,0.5056561384961015,0.5229549359059071,0.5165190960750629
"(1S,3R)-Rsl3",Colon,within_tissue,43,0.45666710717589537,0.46213823179595614,0.45259019426456987
"(1S,3R)-Rsl3",Colon,dann,43,0.4607142857142857,0.4545031055900621,0.45714946478128715
"(1S,3R)-Rsl3",Colon,adae,43,0.5971719307519492,0.6001123298533104,0.6030791595083917
"(1S,3R)-Rsl3",Esophagus,marginal,23,0.5016799920708339,0.5168626932734239,0.4964649134399366
"(1S,3R)-Rsl3",Esophagus,residualized,23,0.48617847231399497,0.4912911325492269,0.4893947403198097
"(1S,3R)-Rsl3",Esophagus,irm,23,0.5216796616889124,0.5240154618739263,0.5170146689573147
"(1S,3R)-Rsl3",Esophagus,within_tissue,23,0.5042900092506939,0.4972016651248844,0.4851162944363685
"(1S,3R)-Rsl3",Esophagus,dann,23,0.4885324435046915,0.47999537465309894,0.4854301572617946
"(1S,3R)-Rsl3",Esophagus,adae,23,0.5865336328796088,0.56973371217127,0.5760208801374389
"(1S,3R)-Rsl3",Head And Neck,marginal,32,0.4517675432800317,0.44230210122902075,0.4396392229417206
"(1S,3R)-Rsl3",Head And Neck,residualized,32,0.3846834941192018,0.3825393154486587,0.3750825954803753
"(1S,3R)-Rsl3",Head And Neck,irm,32,0.46966433196775464,0.4537382714417867,0.45714946478128715
"(1S,3R)-Rsl3",Head And Neck,within_tissue,32,0.3880005286110744,0.37777851195982554,0.375545130170477
"(1S,3R)-Rsl3",Head And Neck,dann,32,0.4465276860050218,0.43053720100436105,0.4351790670014537
"(1S,3R)-Rsl3",Head And Neck,adae,32,0.5309931280560328,0.5272333817893485,0.5277520814061054
"(1S,3R)-Rsl3",Kidney,marginal,21,0.44132417074137703,0.4487643716135853,0.4337584247389983
"(1S,3R)-Rsl3",Kidney,residualized,21,0.32937756045989164,0.34408451169552007,0.33328928241046646
"(1S,3R)-Rsl3",Kidney,irm,21,0.4931197964847363,0.49372935112990624,0.4917404519624686
"(1S,3R)-Rsl3",Kidney,within_tissue,21,0.29122505616492667,0.31741443108233114,0.2839962997224792
"(1S,3R)-Rsl3",Kidney,dann,21,0.4212600766486059,0.417883573410863,0.4153561517113784
"(1S,3R)-Rsl3",Kidney,adae,21,0.5111503898506673,0.5236636051275274,0.5162217523457117
"(1S,3R)-Rsl3",Liver,marginal,30,0.512379410598652,0.5120754592308708,0.5111669089467424
"(1S,3R)-Rsl3",Liver,residualized,30,0.437235694462799,0.4423301836923484,0.4355755253072552
"(1S,3R)-Rsl3",Liver,irm,30,0.4919948460420246,0.4967754724461478,0.4932602088013744
"(1S,3R)-Rsl3",Liver,within_tissue,30,0.4659690101757631,0.48078333553587943,0.47016651248843666
"(1S,3R)-Rsl3",Liver,dann,30,0.46871613585304617,0.4635291396854765,0.47099246729218974
"(1S,3R)-Rsl3",Liver,adae,30,0.578412845249108,0.5575211444429761,0.5680751949253338
"(1S,3R)-Rsl3",Lung,marginal,148,0.47975749966961806,0.48564490551077044,0.48110215409012824
"(1S,3R)-Rsl3",Lung,residualized,148,0.4291132549226906,0.42960882780494253,0.4284723139949782
"(1S,3R)-Rsl3",Lung,irm,148,0.44248711510506145,0.45916809832165983,0.4496167569710586
"(1S,3R)-Rsl3",Lung,within_tissue,148,0.4643650059468746,0.4628915025769789,0.4619730408352056
"(1S,3R)-Rsl3",Lung,dann,148,0.44283731994185277,0.4331373067265759,0.4375247786441126
"(1S,3R)-Rsl3",Lung,adae,148,0.5723288621646623,0.5600171798599181,0.5659772697238007
"(1S,3R)-Rsl3",Lymph,marginal,48,0.5085387207612,0.5093035549094753,0.5082925862296815
"(1S,3R)-Rsl3",Lymph,residualized,48,0.2973172987974098,0.30204506409409276,0.29288357341086296
"(1S,3R)-Rsl3",Lymph,irm,48,0.45546782080084575,0.4483712171269988,0.44998017708470994
"(1S,3R)-Rsl3",Lymph,within_tissue,48,0.3294750231267345,0.3148176291793313,0.31435839830844453
"(1S,3R)-Rsl3",Lymph,dann,48,0.4446445090524646,0.4607671468217259,0.4533831108761729
"(1S,3R)-Rsl3",Lymph,adae,48,0.5748546319545393,0.5645698427382053,0.5715607241971719
"(1S,3R)-Rsl3",Ovary,marginal,39,0.4789216334082199,0.47470265627064884,0.46960486322188444
"(1S,3R)-Rsl3",Ovary,residualized,39,0.44740319809700013,0.4464583058015066,0.44809700013215276
"(1S,3R)-Rsl3",Ovary,irm,39,0.4547707149464781,0.4752114444297608,0.46445090524646493
"(1S,3R)-Rsl3",Ovary,within_tissue,39,0.4687590855028413,0.47319281088938814,0.47082727633143917
"(1S,3R)-Rsl3",Ovary,dann,39,0.45946213823179594,0.44251354565878154,0.4517972776529668
"(1S,3R)-Rsl3",Ovary,adae,39,0.5353772961543545,0.531333421435179,0.5384234174705961
"(1S,3R)-Rsl3",Pancreas,marginal,38,0.5178356680322453,0.5216334082199021,0.5207149464781287
"(1S,3R)-Rsl3",Pancreas,residualized,38,0.42829060393815244,0.42541958504030664,0.4249702656270649
"(1S,3R)-Rsl3",Pancreas,irm,38,0.5091879212369499,0.504995374653099,0.5074666314259284
"(1S,3R)-Rsl3",Pancreas,within_tissue,38,0.4623992335139421,0.4766948592573014,0.4667635786969737
"(1S,3R)-Rsl3",Pancreas,dann,38,0.5093993656667107,0.4980044931941324,0.5066076384300251
"(1S,3R)-Rsl3",Pancreas,adae,38,0.5871861371745738,0.5828994317430951,0.5912514867186467
"(1S,3R)-Rsl3",Skin,marginal,41,0.5269129113254923,0.5267989295625743,0.5220364741641337
"(1S,3R)-Rsl3",Skin,residualized,41,0.3537333157129642,0.36084148275406375,0.3488172327210255
"(1S,3R)-Rsl3",Skin,irm,41,0.5074831505220034,0.49551010968679793,0.49927315977269726
