dataset,method,n_items,mean_r1,mean_rhalf_pearson,mean_rhalf_spearman,min_rhalf_spearman,sb_rmse,mean_full_reliability_sb,spearman_stability_vs_rwt,p_stability_vs_rwt,mean_rhalf_a61,mean_rhalf_excluded,mw_p_a61_vs_excluded
ctrpv2,adae,440,0.10835142843806639,0.9487966697543143,0.9436915474819715,0.7179831805539514,0.024802998148508018,0.9731630716572266,0.5428560158791202,4.353218280125743e-35,0.9658930711058887,0.9189283095937562,2.0879212627026043e-43
ctrpv2,between_tissue,440,0.29580528519757116,0.9854393782525431,0.9830382228395568,0.9080260185534377,0.006403148363209448,0.9926257310720568,,,0.9904943193554465,0.9747218074949102,8.54635708773323e-45
ctrpv2,dann,440,0.13703574599990082,0.9583287151955442,0.9501341085068438,0.6625643326720689,0.03935219375325628,0.9779692298641638,0.5397666873748878,1.233675253141705e-34,0.9728503329913036,0.9247967811972538,5.648327685429624e-42
ctrpv2,irm,440,0.09529117180248282,0.9398175374846376,0.9327366063039368,0.6586917046010778,0.044822534275021225,0.9677144661208482,0.5458171506332912,1.5877080262367e-35,0.9630735116205102,0.8988992888354509,1.2004931017841634e-43
ctrpv2,marginal,440,0.10949653498394396,0.9480185797474098,0.9408603001715827,0.6178772646822276,0.04129601198196108,0.9723218202136032,0.5633588452983181,3.2675642347381253e-38,0.9673474185918656,0.9113169757797288,1.4987792227495776e-42
ctrpv2,residualized,440,0.08136330115517734,0.9349495688433567,0.9303222067309823,0.6307846856339342,0.031775111786732015,0.9653416154450386,0.584683805184944,1.0581798057470599e-41,0.9606356410713425,0.896511068428273,2.537078276203944e-46
ctrpv2,within_tissue,440,0.08414673068809359,0.9231627332905805,0.9146381863559774,0.5059330604152132,0.07410432074169852,0.9572546857117015,0.5718396366622854,1.4351293992167218e-39,0.9579507448146561,0.8663280249982207,2.9110123539520597e-44
depmap,adae,200,0.16303408804576452,0.9851172603920254,0.9816179990864873,0.9141673234608654,0.023197160717572135,0.9924538079702575,0.616759918997975,2.393336344875816e-22,0.9858001175140273,0.9708639802728124,1.908685352097744e-08
depmap,between_tissue,200,0.3017397656676904,0.9943361947995087,0.9935175124939452,0.9679502937811438,0.005648254252535542,0.997155293554192,,,0.9946043839297867,0.9907227002303524,4.642627142541872e-07
depmap,dann,200,0.16717906828318552,0.9875916380604154,0.9831125282157057,0.9085015990767362,0.009509289455800653,0.9937194861377944,0.4398184954623866,7.213923573186229e-11,0.986750963130013,0.9737565527217728,4.138288032671812e-09
depmap,irm,200,0.1078672947890525,0.9803126618279566,0.9741101867826102,0.8718833897872047,0.00925852739416481,0.9899828020898034,-0.10923573089327235,0.12362014681754166,0.9771321853188124,0.9663393334038047,0.004521401209864797
depmap,marginal,200,0.1291505199727113,0.984003159151174,0.9782507175862204,0.8768543483790505,0.008566370594951331,0.9918879881692854,0.08786769669241733,0.21599707785172984,0.9814367837719055,0.9700579759658875,0.8564132345632025
depmap,residualized,200,0.08904497533133324,0.9734560396880186,0.9670882392887572,0.8266780173211347,0.018832283340525783,0.9863835292543784,0.7392289807245181,7.717714656166216e-36,0.9754016935886204,0.9457107853748224,1.8596757648195674e-19
depmap,within_tissue,200,0.1108329291579518,0.9798692468390178,0.9719467574567424,0.8584974109725174,0.015005064999522257,0.9897476653169486,0.19578639465986653,0.005462334864013598,0.9765894471493927,0.960008412532785,0.015050950337616775
