dataset,tissue,accuracy,accuracy_std,n_samples,n_folds
depmap,Biliary Tract,0.5428571428571428,0.11952286093343938,35,5
depmap,Bladder/Urinary Tract,0.761904761904762,0.08908708063747477,34,5
depmap,Bone,0.6714285714285715,0.20919888225227426,31,5
depmap,Bowel,0.8106060606060606,0.06839193214116586,58,5
depmap,Breast,0.6599999999999999,0.21105262347704473,47,5
depmap,CNS/Brain,0.7397058823529411,0.10480843251356999,81,5
depmap,Cervix,0.7,0.32596012026013244,18,5
depmap,Esophagus/Stomach,0.4756410256410256,0.18996435528478486,61,5
depmap,Eye,0.8666666666666666,0.18257418583505539,15,5
depmap,Head and Neck,0.7757575757575758,0.1287433077954425,59,5
depmap,Kidney,0.7666666666666667,0.14907119849998599,30,5
depmap,Liver,0.72,0.22803508501982758,24,5
depmap,Lung,0.8020000000000002,0.07297640410129533,121,5
depmap,Lymphoid,1.0,0.0,86,5
depmap,Myeloid,0.9214285714285715,0.07209510442209412,39,5
depmap,Ovary/Fallopian Tube,0.5666666666666667,0.18042394723156602,56,5
depmap,Pancreas,0.6666666666666666,0.1571348402636772,45,5
depmap,Peripheral Nervous System,0.8607142857142858,0.1013304354222222,36,5
depmap,Pleura,0.8099999999999999,0.10839741694339398,21,5
depmap,Prostate,0.3,0.4472135954999579,9,5
depmap,Skin,0.8628571428571428,0.11159531683376782,73,5
depmap,Soft Tissue,0.7083333333333333,0.22438186696393767,41,5
depmap,Thyroid,0.1,0.223606797749979,11,5
depmap,Uterus,0.5904761904761904,0.10962728031639371,34,5
ctrpv2,Bladder,0.42000000000000004,0.14832396974191325,24,5
ctrpv2,Blood,0.968421052631579,0.07061267297367758,97,5
ctrpv2,Bone,0.39999999999999997,0.14907119849998599,15,5
ctrpv2,Brain,0.8688888888888888,0.051159397480983713,46,5
ctrpv2,Breast,0.65,0.24044230077089182,40,5
ctrpv2,Colon,0.8088888888888889,0.04608098078517268,47,5
ctrpv2,Esophagus,0.43999999999999995,0.08944271909999157,25,5
ctrpv2,Head And Neck,0.8428571428571429,0.1557659736552012,32,5
ctrpv2,Kidney,0.95,0.11180339887498947,21,5
ctrpv2,Liver,0.4666666666666666,0.13944333775567927,30,5
ctrpv2,Lung,0.8961290322580645,0.04196029042970086,154,5
ctrpv2,Lymph,0.9072727272727272,0.09099995459085232,54,5
ctrpv2,Muscle,0.5666666666666667,0.27888667551135854,14,5
ctrpv2,Nervous System,1.0,0.0,14,5
ctrpv2,Ovary,0.5392857142857143,0.0761811750275055,37,5
ctrpv2,Pancreas,0.75,0.30618621784789724,38,5
ctrpv2,Prostate,0.2,0.44721359549995804,6,5
ctrpv2,Skin,0.9333333333333333,0.09938079899999067,44,5
ctrpv2,Soft Tissue,0.5999999999999999,0.25276251480171835,12,5
ctrpv2,Stomach,0.3095238095238095,0.25421614885788835,32,5
ctrpv2,Thyroid,0.2,0.2738612787525831,10,5
ctrpv2,Uterus,0.5866666666666667,0.21421692017412838,27,5
