dataset,confounder,arm,item,eta2,n
depmap,OncotreeLineage,expression,AARS1,0.05995631683707265,1065
depmap,OncotreeLineage,expression,ABCC5,0.1158599730885737,1065
depmap,OncotreeLineage,expression,ABCF1,0.15265244001693298,1065
depmap,OncotreeLineage,expression,ABHD4,0.15373158004266177,1065
depmap,OncotreeLineage,expression,ABHD6,0.28329257524309615,1065
depmap,OncotreeLineage,expression,ABL1,0.18885467280155685,1065
depmap,OncotreeLineage,expression,ACAA1,0.18006787765658006,1065
depmap,OncotreeLineage,expression,ACAT2,0.08059639810110548,1065
depmap,OncotreeLineage,expression,ACBD3,0.0963973982823547,1065
depmap,OncotreeLineage,expression,ACD,0.11587980346978438,1065
depmap,OncotreeLineage,expression,ACLY,0.18034564928784008,1065
depmap,OncotreeLineage,expression,ACO2,0.09391599366743138,1065
depmap,OncotreeLineage,expression,ACTB,0.10054112691189118,1065
depmap,OncotreeLineage,expression,ACTR1A,0.2110470654990646,1065
depmap,OncotreeLineage,expression,ACTR3B,0.19641691341557058,1065
depmap,OncotreeLineage,expression,ADAM10,0.13460410515692442,1065
depmap,OncotreeLineage,expression,ADAT1,0.13837210183000168,1065
depmap,OncotreeLineage,expression,ADH5,0.18882013738146367,1065
depmap,OncotreeLineage,expression,ADI1,0.11159754367858367,1065
depmap,OncotreeLineage,expression,ADO,0.13932790426994396,1065
depmap,OncotreeLineage,expression,ADRB2,0.28336768360077447,1065
depmap,OncotreeLineage,expression,ADSL,0.22125566738279917,1065
depmap,OncotreeLineage,expression,AGL,0.07615795306148457,1065
depmap,OncotreeLineage,expression,AK6,0.20741314581992534,1065
depmap,OncotreeLineage,expression,AKAP8,0.15788787942851856,1065
depmap,OncotreeLineage,expression,AKAP8L,0.19018764365271648,1065
depmap,OncotreeLineage,expression,AKR7A2,0.13077232912436618,1065
depmap,OncotreeLineage,expression,AKT1,0.13708459238668005,1065
depmap,OncotreeLineage,expression,ALAS1,0.14823546092261122,1065
depmap,OncotreeLineage,expression,ALDH7A1,0.48921501137412116,1065
depmap,OncotreeLineage,expression,ALDOA,0.12790840107175264,1065
