dataset,confounder,arm,item,eta2_null
depmap,OncotreeLineage,expression,AARS1,0.02192470175766521
depmap,OncotreeLineage,expression,ABCC5,0.020962292496331924
depmap,OncotreeLineage,expression,ABCF1,0.021372860508318603
depmap,OncotreeLineage,expression,ABHD4,0.021593500686823797
depmap,OncotreeLineage,expression,ABHD6,0.02223980319566572
depmap,OncotreeLineage,expression,ABL1,0.023004402606790625
depmap,OncotreeLineage,expression,ACAA1,0.022560826421474937
depmap,OncotreeLineage,expression,ACAT2,0.02138954272083233
depmap,OncotreeLineage,expression,ACBD3,0.021656131882295943
depmap,OncotreeLineage,expression,ACD,0.020725135086522583
depmap,OncotreeLineage,expression,ACLY,0.021795764130442822
depmap,OncotreeLineage,expression,ACO2,0.02285393779771043
depmap,OncotreeLineage,expression,ACTB,0.02241164664959392
depmap,OncotreeLineage,expression,ACTR1A,0.01995005502284171
depmap,OncotreeLineage,expression,ACTR3B,0.02284596395936218
depmap,OncotreeLineage,expression,ADAM10,0.021435237153824956
depmap,OncotreeLineage,expression,ADAT1,0.021760553999606594
depmap,OncotreeLineage,expression,ADH5,0.02164364203081517
depmap,OncotreeLineage,expression,ADI1,0.021647029161227044
depmap,OncotreeLineage,expression,ADO,0.021646956177997563
depmap,OncotreeLineage,expression,ADRB2,0.023192896407757513
depmap,OncotreeLineage,expression,ADSL,0.022291911705430094
depmap,OncotreeLineage,expression,AGL,0.0193538053433414
depmap,OncotreeLineage,expression,AK6,0.018912109823103106
depmap,OncotreeLineage,expression,AKAP8,0.021301797811473202
depmap,OncotreeLineage,expression,AKAP8L,0.02286019075129764
depmap,OncotreeLineage,expression,AKR7A2,0.019955056669938093
depmap,OncotreeLineage,expression,AKT1,0.022224129250154233
depmap,OncotreeLineage,expression,ALAS1,0.020737055224931796
depmap,OncotreeLineage,expression,ALDH7A1,0.020890914626461407
depmap,OncotreeLineage,expression,ALDOA,0.023547453518314804
depmap,OncotreeLineage,expression,ALG13,0.020583901686993776
depmap,OncotreeLineage,expression,AMDHD2,0.02301086882080581
depmap,OncotreeLineage,expression,ANKLE2,0.021647939464298056
depmap,OncotreeLineage,expression,ANKRD10,0.023331990012122154
depmap,OncotreeLineage,expression,ANLN,0.01895577727798039
depmap,OncotreeLineage,expression,ANO10,0.020240552698710834
depmap,OncotreeLineage,expression,ANXA7,0.020478258882909908
depmap,OncotreeLineage,expression,APBB2,0.02001869865991874
depmap,OncotreeLineage,expression,APOE,0.022406062572420844
depmap,OncotreeLineage,expression,APP,0.018701028932156416
depmap,OncotreeLineage,expression,APPBP2,0.02197583439066459
depmap,OncotreeLineage,expression,ARFIP2,0.021750155821528307
depmap,OncotreeLineage,expression,ARHGAP1,0.022394330785128803
depmap,OncotreeLineage,expression,ARHGEF12,0.01872909095309435
depmap,OncotreeLineage,expression,ARHGEF2,0.020531430980341873
depmap,OncotreeLineage,expression,ARID4B,0.020421317432468757
depmap,OncotreeLineage,expression,ARID5B,0.023389681722042293
depmap,OncotreeLineage,expression,ARL4C,0.019959349443281964
depmap,OncotreeLineage,expression,ARNT2,0.021479827817291765
depmap,OncotreeLineage,expression,ARPP19,0.019884318267410873
depmap,OncotreeLineage,expression,ASAH1,0.021000710693312146
depmap,OncotreeLineage,expression,ASCC3,0.018786232426594156
depmap,OncotreeLineage,expression,ATF1,0.019858356260189232
depmap,OncotreeLineage,expression,ATF5,0.019200646782200105
depmap,OncotreeLineage,expression,ATF6,0.020695193143678802
depmap,OncotreeLineage,expression,ATG3,0.021665705483380763
depmap,OncotreeLineage,expression,ATMIN,0.02190668605463849
