dataset,gene,eta2_X
depmap,AARS1,0.07019447233633706
depmap,ABCC5,0.11978146997043074
depmap,ABCF1,0.16759229086102323
depmap,ABHD4,0.15624476322850062
depmap,ABHD6,0.281938241024077
depmap,ABL1,0.20317615766149474
depmap,ACAA1,0.18780112159935913
depmap,ACAT2,0.08188343318400171
depmap,ACBD3,0.10923157770329595
depmap,ACD,0.13467048360988423
depmap,ACLY,0.18834561705478886
depmap,ACO2,0.09869860883385667
depmap,ACTB,0.10204358638807884
depmap,ACTR1A,0.2229124044879086
depmap,ACTR3B,0.20404741411887617
depmap,ADAM10,0.14423518186747608
depmap,ADAT1,0.14566583786289336
depmap,ADH5,0.19269470466283867
depmap,ADI1,0.1272283732777494
depmap,ADO,0.14529978959524856
depmap,ADRB2,0.2860473185981661
depmap,ADSL,0.22456779855144537
depmap,AGL,0.08059221433261883
depmap,AK6,0.21643252589437234
depmap,AKAP8,0.17180882931615837
depmap,AKAP8L,0.19699446325807857
depmap,AKR7A2,0.15204774180810007
depmap,AKT1,0.15888826085354057
depmap,ALAS1,0.15658941915217856
depmap,ALDH7A1,0.4890572735263898
depmap,ALDOA,0.13961654168155305
depmap,ALG13,0.09521366582441039
depmap,AMDHD2,0.12892608797566987
depmap,ANKLE2,0.14155248481154287
depmap,ANKRD10,0.09691698049067717
depmap,ANLN,0.3099915447930628
depmap,ANO10,0.30978467720320346
depmap,ANXA7,0.16140202757425137
depmap,APBB2,0.2536691460741218
depmap,APOE,0.21286393161670342
depmap,APP,0.5432877736394218
depmap,APPBP2,0.2308962762677722
depmap,ARFIP2,0.0948826725443602
depmap,ARHGAP1,0.09767191592442592
depmap,ARHGEF12,0.23835405499139506
depmap,ARHGEF2,0.23374298090206153
depmap,ARID4B,0.09698491728778694
depmap,ARID5B,0.20465418770858065
depmap,ARL4C,0.22217114480447805
depmap,ARNT2,0.3551690220284035
depmap,ARPP19,0.14368677655088452
depmap,ASAH1,0.20570980216020748
depmap,ASCC3,0.06429152507167314
depmap,ATF1,0.131493880292279
depmap,ATF5,0.30929624649821724
depmap,ATF6,0.113540553271421
depmap,ATG3,0.13788374404041412
depmap,ATMIN,0.1486158133065713
depmap,ATP11B,0.12355081233056393
depmap,ATP1A1,0.2733273790815513
depmap,ATP1B1,0.49283635852200464
depmap,ATP2C1,0.17057466782161118
depmap,ATP6AP1,0.20353905148480067
depmap,ATP6V0B,0.11332583454994272
depmap,ATP6V0C,0.12059351358105129
depmap,ATP6V1A,0.11511420609108296
depmap,ATP6V1B2,0.3379210149947579
depmap,ATP6V1D,0.34365938627716924
depmap,ATP6V1F,0.17267573066764064
depmap,AURKA,0.13210041213234433
depmap,AURKB,0.11773461996167817
depmap,AXIN1,0.1418276827097019
depmap,BACE2,0.3812714584204662
depmap,BAD,0.18404055415825846
depmap,BAG1,0.16367372203120806
depmap,BAG3,0.38180136004486503
depmap,BAMBI,0.3052609748643819
depmap,BAX,0.15566599513467802
depmap,BCL2,0.4660426249113954
depmap,BCL2L1,0.2868047632487237
depmap,BCL7B,0.14568026191047237
depmap,BDH1,0.2824486497476783
depmap,BECN1,0.170000353867257
depmap,BHLHE40,0.2124224410650913
depmap,BID,0.1422991266933688
depmap,BIRC2,0.12009409711530668
depmap,BIRC5,0.13938607913048742
depmap,BLCAP,0.2689476247563599
depmap,BLMH,0.22602674204358503
depmap,BLVRA,0.2627196965689961
depmap,BMP4,0.3298369800404753
depmap,BNIP3,0.3715503688018042
depmap,BNIP3L,0.21970596001988743
depmap,BPHL,0.18103609849823002
depmap,BRCA1,0.16836562231628735
depmap,BUB3,0.15216744686707023
depmap,BZW2,0.1336187408651037
depmap,C2CD2,0.22395404858574014
depmap,C2CD2L,0.22325724885518164
depmap,C2CD5,0.16744718689440602
depmap,C5,0.0853375451204988
depmap,CAB39,0.10907643407775292
depmap,CALM3,0.1560202203381762
depmap,CALU,0.4407454262327465
depmap,CAMSAP2,0.5062622526641419
depmap,CANT1,0.23001000199941665
depmap,CAPN1,0.32325270834356695
depmap,CASC3,0.15969273023395072
depmap,CASP10,0.27880976582958733
depmap,CASP2,0.17948032642701298
depmap,CASP3,0.16766090168325423
depmap,CASP7,0.16087681361265305
depmap,CAST,0.3146396972730768
depmap,CAT,0.2459273778697885
depmap,CBFB,0.16740295399551225
depmap,CBLB,0.09724847550377361
depmap,CBR1,0.24494498216014185
depmap,CBR3,0.31127604577770734
depmap,CCDC85B,0.101297987102997
depmap,CCDC86,0.10653089186420298
