dataset,perm,gene,eta2_X
depmap,0,AARS1,0.01831509130060348
depmap,0,ABCC5,0.02907350074957827
depmap,0,ABCF1,0.02993936392076874
depmap,0,ABHD4,0.022995792815868915
depmap,0,ABHD6,0.027028949396720937
depmap,0,ABL1,0.019707350882272667
depmap,0,ACAA1,0.02296793321225329
depmap,0,ACAT2,0.027945148672169174
depmap,0,ACBD3,0.05035653237733969
depmap,0,ACD,0.028646634939423557
depmap,0,ACLY,0.02910261665760375
depmap,0,ACO2,0.026259393592051657
depmap,0,ACTB,0.026192430521822203
depmap,0,ACTR1A,0.041373217060948576
depmap,0,ACTR3B,0.029604806569327704
depmap,0,ADAM10,0.03141739353729692
depmap,0,ADAT1,0.026221491988978114
depmap,0,ADH5,0.027449354165518268
depmap,0,ADI1,0.018360059182229056
depmap,0,ADO,0.0259008638141837
depmap,0,ADRB2,0.029756443657864673
depmap,0,ADSL,0.012466363924135714
depmap,0,AGL,0.029030297078383654
depmap,0,AK6,0.03567136141017934
depmap,0,AKAP8,0.02317534036512253
depmap,0,AKAP8L,0.024843787603819466
depmap,0,AKR7A2,0.02821337467675973
depmap,0,AKT1,0.02334136771936212
depmap,0,ALAS1,0.04403578190025255
depmap,0,ALDH7A1,0.021378750320233408
depmap,0,ALDOA,0.03473516841489189
depmap,0,ALG13,0.027616499856523095
depmap,0,AMDHD2,0.028237225572962567
depmap,0,ANKLE2,0.020181153158797007
depmap,0,ANKRD10,0.024700337121857364
depmap,0,ANLN,0.031022574579500323
depmap,0,ANO10,0.030086589900957108
depmap,0,ANXA7,0.044216113759649366
depmap,0,APBB2,0.020440326844642254
depmap,0,APOE,0.027265149619183165
depmap,0,APP,0.025453069958847836
depmap,0,APPBP2,0.027995688644485334
depmap,0,ARFIP2,0.02686298916151818
depmap,0,ARHGAP1,0.03148342721341278
depmap,0,ARHGEF12,0.05000500723408357
depmap,0,ARHGEF2,0.03435881539965789
depmap,0,ARID4B,0.0279756697033308
depmap,0,ARID5B,0.028247349937989774
depmap,0,ARL4C,0.03627649577054055
depmap,0,ARNT2,0.02237313943569239
depmap,0,ARPP19,0.03064518915523182
depmap,0,ASAH1,0.027819879041564147
depmap,0,ASCC3,0.034476561286333904
depmap,0,ATF1,0.035369595876639535
depmap,0,ATF5,0.01088115438445089
depmap,0,ATF6,0.03884157620147392
depmap,0,ATG3,0.025310184206984998
depmap,0,ATMIN,0.0297171370030844
depmap,0,ATP11B,0.016815467053577837
depmap,0,ATP1A1,0.034340905336365135
depmap,0,ATP1B1,0.033664254771410405
depmap,0,ATP2C1,0.03155907320325509
depmap,0,ATP6AP1,0.0303267445546979
depmap,0,ATP6V0B,0.024925780917703016
depmap,0,ATP6V0C,0.022396626713366025
depmap,0,ATP6V1A,0.047427633138858144
depmap,0,ATP6V1B2,0.03510009631316161
depmap,0,ATP6V1D,0.04388962940890255
depmap,0,ATP6V1F,0.0273399326139182
depmap,0,AURKA,0.0316371464891515
depmap,0,AURKB,0.022428779008612204
depmap,0,AXIN1,0.02481264840276203
depmap,0,BACE2,0.03802252228223193
depmap,0,BAD,0.027434352347376255
depmap,0,BAG1,0.020286725418944128
depmap,0,BAG3,0.035957840891292926
depmap,0,BAMBI,0.029167555744490602
depmap,0,BAX,0.02016316797651665
depmap,0,BCL2,0.011560624536765571
depmap,0,BCL2L1,0.030760073253695317
depmap,0,BCL7B,0.02648546117970328
depmap,0,BDH1,0.02862365066688417
depmap,0,BECN1,0.0198300204490953
depmap,0,BHLHE40,0.028209851561005837
depmap,0,BID,0.02578901985970619
depmap,0,BIRC2,0.039632412682917624
depmap,0,BIRC5,0.028001089833885336
depmap,0,BLCAP,0.03122602962015112
depmap,0,BLMH,0.019321783125886664
depmap,0,BLVRA,0.027750598553672238
depmap,0,BMP4,0.03003571888309195
depmap,0,BNIP3,0.01227843809748663
depmap,0,BNIP3L,0.03022999362525461
depmap,0,BPHL,0.0371329776485934
depmap,0,BRCA1,0.028227217187075004
depmap,0,BUB3,0.020313334282544417
depmap,0,BZW2,0.01733234943280757
depmap,0,C2CD2,0.030172089542188602
depmap,0,C2CD2L,0.02456275603846111
depmap,0,C2CD5,0.02749069018224799
depmap,0,C5,0.022025989211739785
depmap,0,CAB39,0.03379514388797312
depmap,0,CALM3,0.02575407078719961
depmap,0,CALU,0.0451092377739013
depmap,0,CAMSAP2,0.03713383485791059
depmap,0,CANT1,0.027783176175703677
depmap,0,CAPN1,0.021595118193333297
depmap,0,CASC3,0.025295800457113733
depmap,0,CASP10,0.030580982882364296
depmap,0,CASP2,0.028593844826774194
depmap,0,CASP3,0.024964085326671097
depmap,0,CASP7,0.026475239058673106
depmap,0,CAST,0.02608920547754475
depmap,0,CAT,0.02305418450009251
depmap,0,CBFB,0.02796056089403666
depmap,0,CBLB,0.02145747651927426
depmap,0,CBR1,0.038871227754678724
depmap,0,CBR3,0.04542781037587462
depmap,0,CCDC85B,0.030175446525170912
depmap,0,CCDC86,0.03697585166070269
depmap,0,CCDC92,0.022642027741787807
depmap,0,CCL2,0.015617747988040871
depmap,0,CCNA1,0.026895170992934057
depmap,0,CCNA2,0.02570977931300165
depmap,0,CCNB1,0.033551824185213
depmap,0,CCND1,0.023617059428954444
depmap,0,CCND3,0.026266083043924065
depmap,0,CCNE1,0.02117220058618997
depmap,0,CCNE2,0.029405740414171343
depmap,0,CCNF,0.02840718446256535
depmap,0,CCNH,0.03508415838083837
depmap,0,CCP110,0.02308311800819616
depmap,0,CD320,0.017668250105288913
depmap,0,CD40,0.028714140754577035
depmap,0,CD44,0.02947139174946736
depmap,0,CDAN1,0.0241321058133813
depmap,0,CDC20,0.02824520871378552
depmap,0,CDC25A,0.02267284188574315
depmap,0,CDC25B,0.030541048661218005
depmap,0,CDC42,0.027966607742273306
depmap,0,CDC45,0.027663065090666954
depmap,0,CDC6,0.026623131113739405
depmap,0,CDCA4,0.025082617314458783
depmap,0,CDH3,0.016902583100401082
depmap,0,CDK1,0.0311746621798718
depmap,0,CDK19,0.021245363563536422
depmap,0,CDK2,0.019109253609585437
depmap,0,CDK4,0.023750266720920413
depmap,0,CDK5R1,0.02842144079139987
depmap,0,CDK6,0.02642967328466175
depmap,0,CDK7,0.03908882072353553
depmap,0,CDKN1B,0.0370797692926584
depmap,0,CDKN2A,0.01878582780617906
depmap,0,CEBPD,0.015885946026647408
depmap,0,CEBPZ,0.01927101405135329
depmap,0,CENPE,0.02710105544274557
depmap,0,CENPF,0.030014283325270768
depmap,0,CENPW,0.032965230389396714
depmap,0,CEP55,0.03207127882173639
depmap,0,CEP57,0.029651253283435045
depmap,0,CERK,0.025279741460834646
depmap,0,CETN3,0.03492663107755285
depmap,0,CFL1,0.027968296534396163
depmap,0,CFLAR,0.03494022649950117
depmap,0,CGRRF1,0.031778473640562195
depmap,0,CHAC1,0.033526102644164196
depmap,0,CHAF1B,0.024149982957228068
depmap,0,CHEK1,0.027939365646777015
depmap,0,CHEK2,0.02960493851350315
depmap,0,CHIC2,0.027602704205783053
depmap,0,CHMP4B,0.03791451732747777
depmap,0,CHMP6,0.019672384091674145
depmap,0,CHN1,0.02685105834719293
depmap,0,CIAO3,0.024827816267893363
depmap,0,CIAPIN1,0.03701185365011167
depmap,0,CIRBP,0.027751385854205717
depmap,0,CISD1,0.03349840996687734
depmap,0,CLIC4,0.03376157875314077
depmap,0,CLPX,0.03558028508446869
depmap,0,CLSTN1,0.020244271244486592
depmap,0,CLTB,0.025761398079724017
depmap,0,CLTC,0.038412067848053524
depmap,0,CNDP2,0.018220866245403304
depmap,0,CNOT4,0.0353541382312921
depmap,0,CNPY3,0.04026890728831358
depmap,0,COASY,0.02108560524104237
depmap,0,COG2,0.022697413230733304
depmap,0,COG4,0.026036760705850197
depmap,0,COG7,0.022085198874201312
depmap,0,COL1A1,0.02667681844462661
depmap,0,COL4A1,0.020641076976097957
depmap,0,COPB2,0.04538168823298316
depmap,0,COPG1,0.031906083022952475
depmap,0,COPS7A,0.03982421209840961
depmap,0,CORO1A,0.018597509124879813
depmap,0,CPNE3,0.04096148542416098
depmap,0,CPSF4,0.03231256722845684
depmap,0,CREB1,0.026924753732294745
depmap,0,CREG1,0.015151388064764005
