dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
depmap,YRDC,0.22803007929531763,2.8947148630570582e-33,1076,29,True,5.7894297261141165e-31,True
depmap,CCND1,0.22781384882166816,1.0047817607463159e-64,1076,29,True,2.0095635214926318e-62,True
depmap,EIF1AX,0.12356316173554382,2.1497039069469647e-19,1076,29,True,4.299407813893929e-17,True
depmap,INTS6,0.09693682195089885,3.4647573426471393e-13,1076,29,True,6.929514685294279e-11,True
depmap,DNAJC9,0.09095505167036634,1.565663124460158e-14,1076,29,True,3.131326248920316e-12,True
depmap,SCAP,0.10977251027313042,2.8400947331884222e-12,1076,29,True,5.680189466376845e-10,True
depmap,KIF18A,0.09799073956346949,2.4973097669925707e-11,1076,29,True,4.994619533985141e-09,True
depmap,MYC,0.23079340599953585,4.310491048214912e-27,1076,29,True,8.620982096429825e-25,True
depmap,TYMS,0.10948208710166092,4.1786134727047834e-14,1076,29,True,8.357226945409567e-12,True
depmap,TUBB,0.1666147910698265,4.9041495407173925e-23,1076,29,True,9.808299081434785e-21,True
depmap,SNRPD3,0.2411710228212312,1.0017929847476254e-10,276,21,True,2.003585969495251e-08,True
depmap,PSMB5,0.22749251738954354,1.3937830395522331e-27,1076,29,True,2.7875660791044664e-25,True
depmap,EEF1A1,0.22864952652236487,8.296466586313433e-07,276,21,True,0.00016592933172626868,True
depmap,BCL2L1,0.10588027063841199,4.832241691117226e-13,1076,29,True,9.664483382234452e-11,True
depmap,GRB2,0.2374653370736942,9.14664606568902e-46,1076,29,True,1.8293292131378043e-43,True
depmap,PSMB6,0.13901288361247932,1.116394834368016e-16,1076,29,True,2.2327896687360323e-14,True
depmap,RPL36A,0.10617646743104867,0.10814842739664986,276,21,False,1.0,False
depmap,CHMP4B,0.296680434183878,7.045894021812137e-44,1076,29,True,1.4091788043624275e-41,True
depmap,KRAS,0.3369121390543134,4.239649229729943e-27,1076,29,True,8.479298459459885e-25,True
depmap,SNAP23,0.19044341308580254,1.6942719239028716e-28,1076,29,True,3.3885438478057435e-26,True
depmap,CRKL,0.21223350581738837,3.6063741088808974e-58,1076,29,True,7.212748217761795e-56,True
depmap,THAP1,0.10542251294145391,3.5412187573775304e-12,1076,29,True,7.08243751475506e-10,True
depmap,SOD2,0.09033329487401322,7.489343887198198e-09,1076,29,True,1.4978687774396395e-06,True
depmap,ADSL,0.2672237671309152,2.211204710422239e-42,1076,29,True,4.4224094208444784e-40,True
depmap,ATP6V1B2,0.07505289030514901,1.830631354561796e-06,1076,29,True,0.0003661262709123592,True
depmap,CFLAR,0.18668700111820358,6.2806720038608376e-30,1076,29,True,1.2561344007721675e-27,True
depmap,COPG1,0.13517291463662384,4.6042305567512195e-17,1076,29,True,9.208461113502439e-15,True
depmap,DTYMK,0.1801071452423288,1.698869357161574e-20,1076,29,True,3.397738714323148e-18,True
depmap,SEPHS2,0.19932997282439263,1.857749604118473e-36,1076,29,True,3.715499208236946e-34,True
