dataset,perm,item,eta2_y
depmap,0,YRDC,0.017428503926269955
depmap,0,CCND1,0.019925396584378446
depmap,0,EIF1AX,0.018352515421240823
depmap,0,INTS6,0.031643245532065906
depmap,0,DNAJC9,0.033354050449213926
depmap,0,SCAP,0.023879370028397226
depmap,0,KIF18A,0.01697622656207543
depmap,0,MYC,0.018694565920716527
depmap,0,TYMS,0.021387033910299426
depmap,0,TUBB,0.02084231263050574
depmap,0,SNRPD3,0.11014676371066917
depmap,0,PSMB5,0.021524597920325624
depmap,0,EEF1A1,0.045310365318687124
depmap,0,BCL2L1,0.01921499640472953
depmap,0,GRB2,0.02156210248020615
depmap,0,PSMB6,0.010375686164078076
depmap,0,RPL36A,0.07133611534151657
depmap,0,CHMP4B,0.025068621439644046
depmap,0,KRAS,0.0269198554651015
depmap,0,SNAP23,0.01991549041367771
depmap,0,CRKL,0.043089754370188554
depmap,0,THAP1,0.019520481451276016
depmap,0,SOD2,0.019378170275382797
depmap,0,ADSL,0.01795802177606962
depmap,0,ATP6V1B2,0.0398316370254344
depmap,0,CFLAR,0.02439987311471972
depmap,0,COPG1,0.028476475450337997
depmap,0,DTYMK,0.024139243065837406
depmap,0,SEPHS2,0.013291998337854868
depmap,0,ATP1A1,0.026142394747288387
depmap,0,RPS4X,0.022716933820734846
depmap,0,BUB3,0.03664868657397227
depmap,0,CDAN1,0.022541462212214355
depmap,0,SS18L2,0.02446812655513576
depmap,0,YARS2,0.03422256022967119
depmap,0,SBDS,0.027579465509337313
depmap,0,LONP1,0.0218977956858325
depmap,0,RAD9A,0.028671536039083494
depmap,0,FERMT2,0.020749997406158807
depmap,0,KIF11,0.022028185733840567
depmap,0,ATP6V0C,0.024718681641133583
depmap,0,PDCD2,0.016620201007072108
depmap,0,FAM50A,0.02714448901728602
depmap,0,DYNLRB1,0.015417799072640768
depmap,0,PPP2CA,0.02064301939797676
depmap,0,EEF2,0.018660483138391765
depmap,0,TP53,0.026067147814811897
depmap,0,CDK4,0.02259506629463766
depmap,0,PPP1R12A,0.030173311842442662
depmap,0,TFRC,0.023196381565643357
depmap,0,PRKRA,0.024861447935241393
depmap,0,NAA10,0.032577140328880226
depmap,0,MDM2,0.027588520750360605
depmap,0,WDR1,0.03825606187565368
depmap,0,PGD,0.024669321345437246
depmap,0,DPAGT1,0.03121246606470445
depmap,0,RPP21,0.01823561793199551
depmap,0,WDR82,0.024259619842673733
depmap,0,SYS1,0.022935097423690216
depmap,0,MED1,0.04084903318328726
depmap,0,GMPS,0.024166577768535997
depmap,0,RPL21,0.06573961313970862
depmap,0,NXT1,0.023746850092979943
depmap,0,HNRNPH1,0.018404705112267165
depmap,0,PPP2R1A,0.020898225389440552
depmap,0,DNM2,0.019661578968314792
depmap,0,RRM1,0.025238695892990805
depmap,0,RPL6,0.11291350819193506
depmap,0,SMG1,0.06615569840448215
depmap,0,RRM2,0.023344298445292712
depmap,0,CDK6,0.018058416762120586
depmap,0,VPS25,0.014351549446352124
depmap,0,SPC24,0.030044277171119016
depmap,0,UMPS,0.028852894229588037
depmap,0,TOP2A,0.019189284472044158
depmap,0,NHLRC2,0.019259954579996838
depmap,0,SOD1,0.025107351386862934
depmap,0,AK6,0.019521314839470196
depmap,0,H2BC15,0.020129901517865482
depmap,0,MARS2,0.03208050543455917
depmap,0,RPL13A,0.07688058416836838
depmap,0,DUT,0.026222760354656316
depmap,0,GPX4,0.02107685231612843
depmap,0,HMGCS1,0.032314681980909275
depmap,0,UBE2M,0.03972339145516328
depmap,0,UROD,0.02631142259525108
depmap,0,RAN,0.023721336209813055
depmap,0,RIC1,0.04004560669596361
depmap,0,ACTR1A,0.02297548692241576
depmap,0,SARS1,0.019702832763058495
depmap,0,MCL1,0.0184017916233333
depmap,0,ELL,0.0272126152157632
depmap,0,PSMG4,0.03535112609126304
depmap,0,YPEL5,0.038546767270988574
depmap,0,EIF4A1,0.022412184704243845
depmap,0,RPL12,0.02213261301110617
depmap,0,PLK1,0.02522321711601949
depmap,0,POLR2L,0.02406822261682839
depmap,0,GSPT1,0.021735303756089563
