dataset,sample_id,tissue,PC1,PC2
depmap,ACH-000001,Ovary/Fallopian Tube,7.076690961804067,-0.2561084270754435
depmap,ACH-000004,Myeloid,-25.164045449732452,-7.943362420194824
depmap,ACH-000005,Myeloid,-22.402430473237526,-14.308524226269885
depmap,ACH-000007,Bowel,-4.203085919541493,16.69188620930788
depmap,ACH-000009,Bowel,6.998796886776548,0.024643572105289935
depmap,ACH-000011,Bladder/Urinary Tract,3.9190024249408144,5.669184780138909
depmap,ACH-000012,Lung,12.360320737444832,3.163981182120847
depmap,ACH-000013,Ovary/Fallopian Tube,4.100475994871365,1.7890263565562716
depmap,ACH-000014,Skin,13.88671097731766,-12.328891762826096
depmap,ACH-000015,Lung,-10.171782582911185,-9.407221315073128
depmap,ACH-000017,Breast,-2.3678832176879747,8.604891274120252
depmap,ACH-000018,Bladder/Urinary Tract,14.279768356235428,-9.278558965321409
depmap,ACH-000019,Breast,-1.8614829160417699,5.725282687009919
depmap,ACH-000021,Lung,1.946144452994876,1.8354681058807214
depmap,ACH-000022,Pancreas,0.9308489450302789,14.626004084924636
depmap,ACH-000023,Pancreas,4.311566218343826,-9.224398262083628
depmap,ACH-000024,Lymphoid,-28.739994363326193,-0.7894703160722452
depmap,ACH-000025,CNS/Brain,9.34916949524131,-9.96132892541131
depmap,ACH-000026,Bladder/Urinary Tract,4.691134987892762,-1.0676454539063778
depmap,ACH-000028,Breast,-0.0637569785190153,4.3453453741337675
depmap,ACH-000029,Lung,4.778548652823677,10.159471620525103
depmap,ACH-000030,Lung,12.51531619968463,9.111758029290396
depmap,ACH-000035,Lung,14.675084998831476,0.5155526825760993
depmap,ACH-000036,CNS/Brain,12.696652135356114,-10.427053689399061
depmap,ACH-000037,Soft Tissue,14.261232991593928,-11.291771372066139
depmap,ACH-000039,Bone,-14.68779301445804,-17.497963294509404
depmap,ACH-000040,CNS/Brain,15.95485254617554,-22.886785238727715
depmap,ACH-000041,Bone,-12.163174827400097,-16.112334108051645
depmap,ACH-000042,Pancreas,3.072359365439491,16.135996179963215
depmap,ACH-000045,Myeloid,-34.41598227542136,2.1873992574641226
depmap,ACH-000048,Ovary/Fallopian Tube,-9.32837456714952,-15.66486966579523
depmap,ACH-000052,Bone,-6.114642673906997,-15.645459862106255
depmap,ACH-000053,Lymphoid,-19.996347426027928,-2.63758849713543
depmap,ACH-000054,Soft Tissue,10.233451531476945,-14.34020947982786
depmap,ACH-000055,CNS/Brain,-16.595057688983886,-9.352760506317253
depmap,ACH-000060,Pancreas,9.308359893154813,6.275122828222843
depmap,ACH-000067,CNS/Brain,20.29172483995818,-18.654291450678027
depmap,ACH-000070,Lymphoid,-30.834403390002347,-9.63492839835159
depmap,ACH-000074,Myeloid,-25.368674531365127,-5.053027945116762
depmap,ACH-000075,CNS/Brain,15.96653512457136,-17.299296658048586
depmap,ACH-000076,Myeloid,-26.02619904597627,-4.42078814068267
depmap,ACH-000077,Lymphoid,-22.49991687710565,-9.865603648497073
depmap,ACH-000078,Peripheral Nervous System,-16.65241722761027,-12.153927885128015
depmap,ACH-000082,Bone,11.638473665671144,-24.240700675044188
depmap,ACH-000085,Pancreas,8.683837622205933,11.932229288454659
depmap,ACH-000086,Pleura,3.5467613506602986,-1.1392448450158732
depmap,ACH-000087,Bone,-13.650517447356139,-19.139941009032363
depmap,ACH-000090,Prostate,6.958938269685279,9.030090554291698
depmap,ACH-000092,Pleura,16.08673117043127,-8.98641508192306
depmap,ACH-000093,Pancreas,9.824829433885643,27.131432969262328
depmap,ACH-000094,Pancreas,10.05902228753747,16.93665225449414
depmap,ACH-000095,CNS/Brain,-25.97220654707556,-6.312189404050473
depmap,ACH-000096,Kidney,-4.63702799484488,-17.400827235273137
depmap,ACH-000097,Breast,-2.1788420468317353,4.1358224992930674
depmap,ACH-000098,CNS/Brain,18.86011860716218,-17.428742130628713
depmap,ACH-000099,Peripheral Nervous System,-15.021844983566584,-12.627945914196944
depmap,ACH-000100,Soft Tissue,-6.1977784701734855,-14.819663332182271
depmap,ACH-000101,Lymphoid,-35.867258301335916,-0.786615970101972
depmap,ACH-000103,Ovary/Fallopian Tube,1.3441882192136465,7.508787645105984
depmap,ACH-000106,Lymphoid,-22.274142978631613,4.13028404750701
depmap,ACH-000108,Pancreas,8.889889184955253,3.993996094293896
depmap,ACH-000111,Breast,3.6804905788162703,-2.2432256731896123
depmap,ACH-000113,Myeloid,-31.620634999144954,-3.746903799585253
depmap,ACH-000114,Pancreas,12.995751930590215,14.915006597766377
depmap,ACH-000115,Prostate,-9.016118000799276,0.9879551854706993
depmap,ACH-000116,Ovary/Fallopian Tube,7.122680183063389,0.266280742670966
depmap,ACH-000118,Pancreas,8.775401627223502,7.99696908679421
depmap,ACH-000120,Peripheral Nervous System,4.5478654304194075,-19.246147142126198
depmap,ACH-000123,Ovary/Fallopian Tube,-12.214417715054807,-8.71493916874882
depmap,ACH-000124,Lymphoid,-33.15256783640307,-3.2089207717952895
depmap,ACH-000127,Bladder/Urinary Tract,3.8394684535285926,-3.728380560172612
depmap,ACH-000128,CNS/Brain,3.1935107641066676,-16.298340761776796
depmap,ACH-000132,Ovary/Fallopian Tube,6.925405717299357,8.684149083094836
depmap,ACH-000133,Fibroblast,17.088637556198123,-17.07392013524644
depmap,ACH-000137,CNS/Brain,10.207903113338295,-11.55713342009907
depmap,ACH-000138,Pancreas,13.727200392126914,14.581107652758696
depmap,ACH-000139,Pancreas,7.851646766377693,15.463161923973521
depmap,ACH-000141,Biliary Tract,14.585314476163562,7.54045855860342
depmap,ACH-000142,Bladder/Urinary Tract,17.93146417032503,10.799567618728746
depmap,ACH-000143,Lung,-15.508297292049555,-0.26540936933661835
depmap,ACH-000144,Esophagus/Stomach,10.187076242173871,-0.6880035736474702
depmap,ACH-000145,Soft Tissue,14.423146256291414,-12.819373259520647
depmap,ACH-000146,Myeloid,-19.745316151377647,-6.201752626120309
depmap,ACH-000147,Breast,-2.323460471145438,5.6453441621855625
depmap,ACH-000148,Breast,23.50593163538997,-9.63955105831434
depmap,ACH-000149,Peripheral Nervous System,9.706773413558038,-21.78629964352086
depmap,ACH-000151,Lymphoid,-38.06575671265493,-12.65943838657134
depmap,ACH-000152,CNS/Brain,18.42966608248257,-18.223163384987334
depmap,ACH-000153,Pleura,15.304035718728706,-13.964531408649236
depmap,ACH-000155,Pancreas,4.90513773278255,3.9699187627930486
depmap,ACH-000159,Kidney,18.757310189144206,-5.51841155275241
depmap,ACH-000160,CNS/Brain,-10.969387695712099,0.7814820080955031
depmap,ACH-000161,Lung,7.865984844561939,4.804367628725489
depmap,ACH-000163,Head and Neck,14.737941668451013,-18.221149822995017
depmap,ACH-000164,Pancreas,13.006925971878243,-10.964018434301941
