dataset,kind,r
depmap,within,0.9833131548743576
depmap,within,0.9860067576158178
depmap,within,0.9782644911033896
depmap,within,0.983569370364975
depmap,within,0.9850979877740963
depmap,within,0.9804438590815209
depmap,within,0.988025530966416
depmap,within,0.9800320323646105
depmap,within,0.9835234251798554
depmap,within,0.9865997396388229
depmap,within,0.9809703943486445
depmap,within,0.9781109845016659
depmap,within,0.9843201199258508
depmap,within,0.9779161479665687
depmap,within,0.9854360037842267
depmap,within,0.9842996561364
depmap,within,0.9794369062443662
depmap,within,0.9818984677139112
depmap,within,0.9811951526807875
depmap,within,0.9863826042062706
depmap,within,0.9851040301205519
depmap,within,0.9832200087178615
depmap,within,0.978563061086295
depmap,within,0.9823013787007793
depmap,within,0.9821623098330133
depmap,within,0.9819951832615055
depmap,within,0.9808856029545444
depmap,within,0.9878302513419513
depmap,within,0.9815736334075225
depmap,within,0.9796331893956003
depmap,within,0.9882002992643607
depmap,within,0.9812336980729199
depmap,within,0.9808545016240834
depmap,within,0.9868090142270672
depmap,within,0.9829525322281082
depmap,within,0.9854252513784089
depmap,within,0.9827942506780758
depmap,within,0.9867015068909387
depmap,within,0.9823162756692511
depmap,within,0.9872538285375656
depmap,within,0.9652271370597878
depmap,within,0.9871932156097389
depmap,within,0.9854231460300147
depmap,within,0.9851426075374263
depmap,within,0.9876907642882744
depmap,within,0.9878256746579066
depmap,within,0.9777905333403308
depmap,within,0.9869537380219974
depmap,within,0.980829580274483
depmap,within,0.9864855900294648
depmap,within,0.9795415827706343
depmap,within,0.9890285841267812
depmap,within,0.9869617140901535
depmap,within,0.9881702997271137
depmap,within,0.9806759104179829
depmap,within,0.9879949496791788
depmap,within,0.9886756805595761
depmap,within,0.988384168914923
depmap,within,0.9822823207104268
depmap,within,0.9876442318454387
depmap,within,0.9928892859920896
depmap,within,0.9934023008408921
depmap,within,0.9908232157943485
depmap,within,0.9933422750422856
depmap,within,0.9907349807747423
depmap,within,0.9943578322489592
depmap,within,0.994284781753014
depmap,within,0.9939300105108398
depmap,within,0.9925742690621195
depmap,within,0.9922701821009821
depmap,within,0.992525070925923
depmap,within,0.9901939518320068
depmap,within,0.9946970495294234
depmap,within,0.9939542310762229
depmap,within,0.9938630242064982
depmap,within,0.9927544719546019
depmap,within,0.9916191385689335
depmap,within,0.9924601858391728
