item,method,K,contamination
"(1S,3R)-Rsl3",marginal,10,0.3
"(1S,3R)-Rsl3",marginal,50,0.3
"(1S,3R)-Rsl3",marginal,100,0.22
"(1S,3R)-Rsl3",residualized,10,0.3
"(1S,3R)-Rsl3",residualized,50,0.14
"(1S,3R)-Rsl3",residualized,100,0.16
"(1S,3R)-Rsl3",irm,10,0.3
"(1S,3R)-Rsl3",irm,50,0.22
"(1S,3R)-Rsl3",irm,100,0.22
"(1S,3R)-Rsl3",within_tissue,10,0.1
"(1S,3R)-Rsl3",within_tissue,50,0.16
"(1S,3R)-Rsl3",within_tissue,100,0.12
"(1S,3R)-Rsl3",dann,10,0.4
"(1S,3R)-Rsl3",dann,50,0.24
"(1S,3R)-Rsl3",dann,100,0.25
"(1S,3R)-Rsl3",adae,10,0.2
"(1S,3R)-Rsl3",adae,50,0.28
"(1S,3R)-Rsl3",adae,100,0.32
16beta-Bromoandrosterone,marginal,10,0.5
16beta-Bromoandrosterone,marginal,50,0.42
16beta-Bromoandrosterone,marginal,100,0.37
16beta-Bromoandrosterone,residualized,10,0.1
16beta-Bromoandrosterone,residualized,50,0.16
16beta-Bromoandrosterone,residualized,100,0.16
16beta-Bromoandrosterone,irm,10,0.5
16beta-Bromoandrosterone,irm,50,0.52
16beta-Bromoandrosterone,irm,100,0.45
16beta-Bromoandrosterone,within_tissue,10,0.2
16beta-Bromoandrosterone,within_tissue,50,0.22
16beta-Bromoandrosterone,within_tissue,100,0.24
16beta-Bromoandrosterone,dann,10,0.5
16beta-Bromoandrosterone,dann,50,0.4
16beta-Bromoandrosterone,dann,100,0.42
16beta-Bromoandrosterone,adae,10,0.1
16beta-Bromoandrosterone,adae,50,0.36
16beta-Bromoandrosterone,adae,100,0.27
3-Cl-AHPC,marginal,10,0.1
3-Cl-AHPC,marginal,50,0.14
3-Cl-AHPC,marginal,100,0.16
3-Cl-AHPC,residualized,10,0.0
3-Cl-AHPC,residualized,50,0.06
3-Cl-AHPC,residualized,100,0.08
3-Cl-AHPC,irm,10,0.1
3-Cl-AHPC,irm,50,0.08
3-Cl-AHPC,irm,100,0.13
3-Cl-AHPC,within_tissue,10,0.1
3-Cl-AHPC,within_tissue,50,0.04
3-Cl-AHPC,within_tissue,100,0.08
3-Cl-AHPC,dann,10,0.1
3-Cl-AHPC,dann,50,0.06
3-Cl-AHPC,dann,100,0.08
3-Cl-AHPC,adae,10,0.0
3-Cl-AHPC,adae,50,0.14
3-Cl-AHPC,adae,100,0.15
5-Fluorouracil,marginal,10,0.2
5-Fluorouracil,marginal,50,0.28
5-Fluorouracil,marginal,100,0.31
5-Fluorouracil,residualized,10,0.1
5-Fluorouracil,residualized,50,0.08
5-Fluorouracil,residualized,100,0.08
5-Fluorouracil,irm,10,0.1
5-Fluorouracil,irm,50,0.18
5-Fluorouracil,irm,100,0.18
5-Fluorouracil,within_tissue,10,0.2
5-Fluorouracil,within_tissue,50,0.14
5-Fluorouracil,within_tissue,100,0.19
5-Fluorouracil,dann,10,0.0
5-Fluorouracil,dann,50,0.2
5-Fluorouracil,dann,100,0.19
5-Fluorouracil,adae,10,0.0
5-Fluorouracil,adae,50,0.18
5-Fluorouracil,adae,100,0.19
ABT-737,marginal,10,0.2
ABT-737,marginal,50,0.12
ABT-737,marginal,100,0.13
ABT-737,residualized,10,0.0
ABT-737,residualized,50,0.12
ABT-737,residualized,100,0.14
ABT-737,irm,10,0.1
ABT-737,irm,50,0.2
ABT-737,irm,100,0.2
ABT-737,within_tissue,10,0.0
ABT-737,within_tissue,50,0.08
ABT-737,within_tissue,100,0.07
ABT-737,dann,10,0.1
ABT-737,dann,50,0.12
ABT-737,dann,100,0.13
ABT-737,adae,10,0.1
ABT-737,adae,50,0.18
ABT-737,adae,100,0.21
AGK-2,marginal,10,0.6
AGK-2,marginal,50,0.54
AGK-2,marginal,100,0.5
AGK-2,residualized,10,0.1
AGK-2,residualized,50,0.06
AGK-2,residualized,100,0.11
AGK-2,irm,10,0.7
AGK-2,irm,50,0.46
AGK-2,irm,100,0.4
AGK-2,within_tissue,10,0.4
AGK-2,within_tissue,50,0.4
AGK-2,within_tissue,100,0.29
AGK-2,dann,10,0.7
AGK-2,dann,50,0.46
AGK-2,dann,100,0.39
AGK-2,adae,10,0.5
AGK-2,adae,50,0.28
AGK-2,adae,100,0.32
AM-580,marginal,10,0.3
AM-580,marginal,50,0.4
AM-580,marginal,100,0.39
AM-580,residualized,10,0.1
AM-580,residualized,50,0.12
AM-580,residualized,100,0.14
AM-580,irm,10,0.4
AM-580,irm,50,0.36
AM-580,irm,100,0.39
AM-580,within_tissue,10,0.1
AM-580,within_tissue,50,0.24
AM-580,within_tissue,100,0.29
AM-580,dann,10,0.2
AM-580,dann,50,0.36
AM-580,dann,100,0.3
AM-580,adae,10,0.1
AM-580,adae,50,0.16
AM-580,adae,100,0.19
AT13387,marginal,10,0.1
AT13387,marginal,50,0.16
AT13387,marginal,100,0.18
AT13387,residualized,10,0.1
AT13387,residualized,50,0.08
AT13387,residualized,100,0.09
AT13387,irm,10,0.2
AT13387,irm,50,0.12
AT13387,irm,100,0.12
AT13387,within_tissue,10,0.0
AT13387,within_tissue,50,0.04
AT13387,within_tissue,100,0.04
AT13387,dann,10,0.0
AT13387,dann,50,0.12
AT13387,dann,100,0.12
AT13387,adae,10,0.1
AT13387,adae,50,0.24
AT13387,adae,100,0.21
AT7867,marginal,10,0.2
AT7867,marginal,50,0.22
AT7867,marginal,100,0.28
AT7867,residualized,10,0.0
AT7867,residualized,50,0.06
AT7867,residualized,100,0.12
AT7867,irm,10,0.2
AT7867,irm,50,0.22
AT7867,irm,100,0.26
AT7867,within_tissue,10,0.0
AT7867,within_tissue,50,0.1
AT7867,within_tissue,100,0.15
AT7867,dann,10,0.2
AT7867,dann,50,0.12
AT7867,dann,100,0.2
