set	source	official_category	class
	HGA	tissue signature	lineage
721 B lymphoblasts	HGA	tissue signature	lineage
ABC transporters	KEGG	Environmental Information Processing / Membrane transport	intrinsic
AGE-RAGE signaling pathway in diabetic complications	KEGG	Human Diseases / Endocrine and metabolic disease	context
AMPK signaling pathway	KEGG	Environmental Information Processing / Signal transduction	intrinsic
Acute myeloid leukemia	KEGG	Human Diseases / Cancer: specific types	context
Adherens junction	KEGG	Cellular Processes / Cellular community - eukaryotes	context
Adipocyte	HGA	tissue signature	lineage
Adipocytokine signaling pathway	KEGG	Organismal Systems / Endocrine system	context
Adipogenesis	Hallmark	Hallmark:development	context
AdrenalCortex	HGA	tissue signature	lineage
Adrenalgland	HGA	tissue signature	lineage
Adrenergic signaling in cardiomyocytes	KEGG	Organismal Systems / Circulatory system	context
African trypanosomiasis	KEGG	Human Diseases / Infectious disease: parasitic	context
Alanine, aspartate and glutamate metabolism	KEGG	Metabolism / Amino acid metabolism	intrinsic
Alcoholism	KEGG	Human Diseases / Substance dependence	context
Aldosterone synthesis and secretion	KEGG	Organismal Systems / Endocrine system	context
Aldosterone-regulated sodium reabsorption	KEGG	Organismal Systems / Excretory system	context
Allograft Rejection	Hallmark	Hallmark:immune	context
Allograft rejection	KEGG	Human Diseases / Immune disease	context
Alzheimer disease	KEGG	Human Diseases / Neurodegenerative disease	context
Amino sugar and nucleotide sugar metabolism	KEGG	Metabolism / Glycan biosynthesis and metabolism	intrinsic
Aminoacyl-tRNA biosynthesis	KEGG	Genetic Information Processing / Translation	intrinsic
Amoebiasis	KEGG	Human Diseases / Infectious disease: parasitic	context
Amphetamine addiction	KEGG	Human Diseases / Substance dependence	context
Amygdala	HGA	tissue signature	lineage
Amyotrophic lateral sclerosis	KEGG	Human Diseases / Neurodegenerative disease	context
Androgen Response	Hallmark	Hallmark:signaling	intrinsic
Angiogenesis	Hallmark	Hallmark:development	context
Antigen processing and presentation	KEGG	Organismal Systems / Immune system	context
Apelin signaling pathway	KEGG	Environmental Information Processing / Signal transduction	intrinsic
Apical Junction	Hallmark	Hallmark:cellular component	context
Apical Surface	Hallmark	Hallmark:cellular component	context
Apoptosis	Hallmark	Hallmark:pathway	intrinsic
