dataset,method,library,set,NES,nom_p,fdr_q
depmap,residualized,functional,Epithelial Mesenchymal Transition,-2.4756796228914024,0.0,0.0
depmap,residualized,lineage,BronchialEpithelialCells,-2.145810904118994,0.0,0.0009953850330286851
depmap,residualized,functional,Apical Junction,-2.0477756162018714,0.0001481042654028436,0.0046451301541338644
depmap,residualized,lineage,small intestine,-2.0426530217760677,0.00032,0.003677394705355976
depmap,residualized,functional,TNF-alpha Signaling via NF-kB,-2.0197979743238905,0.00014330753797649757,0.0040257794669160156
depmap,residualized,functional,Myc Targets V1,2.007350152375028,0.0,0.030715680880524676
depmap,residualized,functional,Transcriptional misregulation in cancer,-1.975661952595712,0.00015229972586049346,0.0074653877477151385
depmap,residualized,functional,Estrogen Response Early,-1.9603900768907994,0.00029197080291970805,0.008231676225522936
depmap,residualized,lineage,colon,-1.9245266122989098,0.0006344171292624901,0.01187549643571723
depmap,residualized,functional,UV Response Dn,-1.9229852454852334,0.00045864546705396726,0.010801770913977953
depmap,residualized,functional,E2F Targets,1.9004419519671365,0.000791765637371338,0.05211991519490604
depmap,residualized,functional,Estrogen Response Late,-1.8846900862607419,0.0010235414534288639,0.01611417770136438
depmap,residualized,functional,RNA transport,1.8596436743610172,0.002160410477990818,0.052805173167306194
depmap,residualized,functional,Focal adhesion,-1.8550054390250286,0.0011469534050179211,0.020983520847786524
depmap,residualized,lineage,Placenta,-1.8283073398317,0.001898641740908427,0.026267105038256966
depmap,residualized,functional,KRAS Signaling Up,-1.8099469008968123,0.0041713460612867,0.030040209842942624
depmap,residualized,functional,Proteoglycans in cancer,-1.801488434645632,0.00127750177430802,0.03080953673660216
depmap,residualized,functional,Calcium signaling pathway,-1.7917056732512036,0.0030921459492888066,0.03205877128599054
depmap,residualized,lineage,SmoothMuscle,-1.7854290200415632,0.0014112334180073384,0.03228088961280527
depmap,residualized,functional,Bladder cancer,-1.780582629442904,0.0037538762852945976,0.03195641360939151
depmap,residualized,functional,Pyrimidine metabolism,1.779991391091044,0.01125748502994012,0.08323868900037198
depmap,residualized,functional,Coagulation,-1.7687521401539565,0.0077930691427623945,0.03416874178192912
depmap,residualized,functional,Th1 and Th2 cell differentiation,-1.7377014525849888,0.006269592476489028,0.04432082831275093
depmap,residualized,functional,Cytokine-cytokine receptor interaction,-1.7306961150332458,0.008816547982366904,0.04532319850390613
depmap,residualized,lineage,Liver,-1.7215065321147158,0.004836582148614979,0.04706222568859435
depmap,residualized,functional,PI3K-Akt signaling pathway,-1.7097576405433341,0.0017696705690171523,0.05047808644768196
depmap,residualized,lineage,Adipocyte,-1.7083231115017978,0.01074743527112848,0.04899506329241195
depmap,residualized,functional,Hypoxia,-1.7016684914520497,0.00463768115942029,0.05010104666244382
depmap,residualized,functional,Ribosome,-1.6622012005383715,0.014939759036144579,0.06917704782875356
depmap,residualized,functional,DNA Repair,1.6600835314746825,0.010344827586206896,0.1730074833847925
depmap,residualized,functional,Th17 cell differentiation,-1.6550492271682382,0.013191763191763193,0.07089353401904303
depmap,residualized,functional,"Parathyroid hormone synthesis, secretion and action",-1.6243968236715034,0.024446267432321575,0.08903575752226957
depmap,residualized,functional,Adherens junction,-1.620461443075961,0.021896660365469438,0.08883811419781015
depmap,residualized,functional,Myogenesis,-1.6060702453196911,0.01877346683354193,0.0964951421674015
depmap,residualized,functional,G2-M Checkpoint,1.6038182107168761,0.01225854383358098,0.21409608886713916
depmap,residualized,functional,p53 signaling pathway,-1.5930927352047848,0.01946690625935909,0.10377810622132402
depmap,residualized,functional,Leukocyte transendothelial migration,-1.5825813205427937,0.028014812429560457,0.10909634023291816
depmap,residualized,functional,MAPK signaling pathway,-1.567911649354072,0.014827248566233039,0.11836787017766115
depmap,residualized,functional,Nucleotide excision repair,1.551637379217457,0.04454611124488322,0.2598336994171418
depmap,residualized,lineage,CD14+ Monocytes,-1.5428858608529172,0.024251497005988023,0.1385227413641132
depmap,residualized,lineage,Thyroid,-1.5355901834659205,0.034605283485246406,0.14174478043864364
depmap,residualized,lineage,CD105+ Endothelial,1.5108313828525026,0.02262443438914027,0.29498340247202043
depmap,residualized,lineage,CD34+,1.5093925934520682,0.017203513909224012,0.2645095773464605
depmap,residualized,functional,Apoptosis,-1.4973571611299905,0.03376251788268956,0.18008253221356108
depmap,residualized,functional,Ribosome biogenesis in eukaryotes,1.493096510586516,0.06182081622796426,0.26184110218334933
depmap,residualized,functional,Allograft Rejection,-1.4890314079481894,0.050938750384733764,0.1853628128173418
depmap,residualized,functional,p53 Pathway,-1.4746935977461297,0.040621792051620476,0.19841939487220456
depmap,residualized,lineage,CardiacMyocytes,-1.4711428841378447,0.05127810286418232,0.19796520227059974
depmap,residualized,functional,Inflammatory Response,-1.4704583999286234,0.06530408773678963,0.19373425617204462
depmap,residualized,functional,Regulation of actin cytoskeleton,-1.4614229258516878,0.046246158349187765,0.20048437044410258
depmap,residualized,lineage,CD71+ EarlyErythroid,1.4609333821373425,0.015116279069767442,0.287287992086778
depmap,residualized,functional,Small cell lung cancer,-1.4506991553092927,0.05282167042889391,0.20961621886601636
depmap,residualized,functional,Osteoclast differentiation,-1.4478982562247704,0.06256843422493352,0.2083620003265284
depmap,residualized,functional,PD-L1 expression and PD-1 checkpoint pathway in cancer,-1.4326972511265337,0.06940112289457268,0.22349609059430123
depmap,residualized,lineage,Uterus,-1.4316519160810002,0.08316430020283976,0.21978654520958382
depmap,residualized,functional,Relaxin signaling pathway,-1.426432655192065,0.06587735276259866,0.22181848243441463
depmap,residualized,lineage,retina,-1.4183194754570245,0.08984635938543754,0.22797683292700466
depmap,residualized,functional,Pathways in cancer,-1.4097115583801076,0.028567864271457084,0.2348826299214923
depmap,residualized,functional,GnRH signaling pathway,-1.4093936069888244,0.08172620929497312,0.23040859382593162
depmap,residualized,functional,IL-17 signaling pathway,-1.400683086091688,0.09396960287628697,0.2378293096263028
depmap,residualized,functional,Thyroid cancer,-1.3966240530148688,0.10796036897847626,0.23872208648789955
depmap,residualized,lineage,Heart,-1.3871515447307627,0.07717472118959108,0.2468945228982915
depmap,residualized,functional,Estrogen signaling pathway,-1.3822435722680797,0.08725033788857185,0.2492376062188749
depmap,residualized,functional,ErbB signaling pathway,-1.3812636809788854,0.08761101911786844,0.24597070149508846
depmap,residualized,functional,PI3K/AKT/mTOR  Signaling,-1.3806557593557898,0.08754716981132075,0.24230252331781604
depmap,residualized,functional,Hippo signaling pathway,-1.379725385431883,0.09876543209876543,0.2391538221779829
depmap,residualized,functional,Gap junction,-1.3745222885668809,0.10673624288425047,0.24233675613641228
depmap,residualized,functional,Purine metabolism,1.372196562049255,0.11781678288050013,0.4271911636373409
depmap,residualized,functional,Phagosome,-1.3692410876004062,0.10673422687152664,0.24535367919391277
depmap,residualized,functional,JAK-STAT signaling pathway,-1.3528989469526613,0.11243531441116512,0.26387619088232855
depmap,residualized,functional,Tight junction,-1.3516514715135324,0.11761045426260112,0.2611395445972883
depmap,residualized,lineage,Prostate,-1.3500312663514442,0.10034038774604115,0.25905817137379894
depmap,residualized,functional,Rap1 signaling pathway,-1.347572147546745,0.0979381443298969,0.2580295464034195
depmap,residualized,functional,Spliceosome,1.34492840509284,0.11624203821656051,0.4543663449937981
depmap,residualized,lineage,PrefrontalCortex,-1.3417270069846299,0.09455792029710042,0.262169790177765
depmap,residualized,functional,Lysosome,1.3402101173048537,0.11638709677419355,0.4319543783670635
depmap,residualized,functional,Melanoma,-1.3184550203771022,0.1301830699421061,0.2918426784140294
depmap,residualized,functional,Adrenergic signaling in cardiomyocytes,-1.3097062076398627,0.14407582938388624,0.30034706512231174
depmap,residualized,functional,Androgen Response,-1.305078598176566,0.1368119630925867,0.30278251494431024
depmap,residualized,functional,Prostate cancer,-1.29016507061023,0.1473846153846154,0.32135352255703353
depmap,residualized,lineage,Lung,-1.2822882897614614,0.15357792601576714,0.32879565013889317
depmap,residualized,functional,Pperoxisome,1.2723564475214748,0.15870898906375033,0.560782877178293
depmap,residualized,functional,Oxytocin signaling pathway,-1.2611607561555498,0.17092187738877848,0.35843457221213826
depmap,residualized,functional,NOD-like receptor signaling pathway,-1.2489486754687134,0.18048318332543817,0.3739297716588775
depmap,residualized,functional,MicroRNAs in cancer,-1.2474713239009667,0.153141730064807,0.37122489812744086
depmap,residualized,functional,Ubiquitin mediated proteolysis,1.2407725195423325,0.1789280084077772,0.6092296080946716
depmap,residualized,functional,TNF signaling pathway,-1.2389291089600203,0.18879148403256105,0.38060158981215136
depmap,residualized,functional,Chemical carcinogenesis,-1.2279750004284786,0.19121105232216343,0.3943137931766411
depmap,residualized,functional,Glycolysis,-1.2236432987867045,0.18361664712778428,0.39645716201361697
depmap,residualized,functional,Breast cancer,-1.2040661484109012,0.20620064346300088,0.4260711258720488
depmap,residualized,functional,mRNA surveillance pathway,1.1898579261681794,0.2352191641182467,0.7182783963574044
depmap,residualized,functional,Gastric cancer,-1.1839740388048834,0.2393418100224383,0.4576780381865894
depmap,residualized,functional,Central carbon metabolism in cancer,-1.1756249163765022,0.26260955845873984,0.46746861044566895
depmap,residualized,functional,NF-kappa B signaling pathway,-1.1658184452105618,0.26084233599498985,0.47987038449440045
depmap,residualized,functional,T cell receptor signaling pathway,-1.1565344632112924,0.2592925659472422,0.4916110259065648
depmap,residualized,functional,Cellular senescence,-1.1553650261369877,0.24622761246650685,0.4876182679944067
depmap,residualized,functional,Glioma,-1.1437619327793704,0.27995053331272224,0.5040477734543882
depmap,residualized,functional,Phosphatidylinositol signaling system,1.1238082731744667,0.30515759312320917,0.8912115841834822
depmap,residualized,functional,Non-small cell lung cancer,-1.1053252807090437,0.32683451028553884,0.5756370358702307
depmap,residualized,functional,Neurotrophin signaling pathway,1.0929942460806257,0.3001193317422434,0.9533826568208273
depmap,residualized,functional,FoxO signaling pathway,-1.0812077448379651,0.35139135583185316,0.6196838309890654
depmap,residualized,functional,Endocytosis,-1.0774513847441636,0.35268721155277655,0.620171513429824
depmap,residualized,functional,Wnt signaling pathway,-1.0555273216427807,0.38367975365665896,0.6596769475242011
depmap,residualized,functional,mTOR signaling pathway,1.0529582119511818,0.36680972818311874,1.0
depmap,residualized,lineage,CD4+ Tcells,-1.0507424144748805,0.3948876156897312,0.6622277107386254
depmap,residualized,functional,Glucagon signaling pathway,1.0505017767092675,0.384710846363862,1.0
depmap,residualized,lineage,pineal night,-1.029221288505157,0.41394889171255117,0.701489242850332
depmap,residualized,functional,IL-2/STAT5 Signaling,-1.02803304347555,0.41670449387199276,0.6960779657024964
depmap,residualized,functional,Chronic myeloid leukemia,-1.0270846078257057,0.4300916346438073,0.6902278828461978
depmap,residualized,functional,Insulin signaling pathway,1.0268798238824213,0.407029137879243,1.0
depmap,residualized,functional,Endometrial cancer,-1.0244792655187434,0.42477312529851935,0.687987518090849
depmap,residualized,functional,Signaling pathways regulating pluripotency of stem cells,-1.0175176263635966,0.43454661558109836,0.6953059384604041
depmap,residualized,lineage,WholeBlood,-0.9985746292763935,0.4630338733431517,0.7283799862751994
depmap,residualized,functional,Myc Targets V2,0.9934257638274793,0.45781099324975894,1.0
depmap,residualized,functional,Natural killer cell mediated cytotoxicity,-0.9896685479203589,0.4735483870967742,0.7399377370705954
depmap,residualized,functional,Chemokine signaling pathway,-0.9882060241007404,0.4784146161779873,0.7349663831868041
depmap,residualized,lineage,CD33+ Myeloid,-0.9877284833423791,0.4766267007948269,0.7281135624580043
depmap,residualized,functional,Viral carcinogenesis,0.9845570525243513,0.48741672834937083,1.0
depmap,residualized,functional,Pancreatic cancer,-0.983961011456447,0.4831242532855436,0.7284472152238346
depmap,residualized,functional,HIF-1 signaling pathway,-0.980854273338935,0.4927936215884698,0.7273027285950324
depmap,residualized,lineage,SuperiorCervicalGanglion,0.9777009935496788,0.4858504617217754,1.0
depmap,residualized,functional,Neutrophil extracellular trap formation,0.9766542561564482,0.48388800845219226,1.0
depmap,residualized,functional,AMPK signaling pathway,0.9619788561309475,0.5113473139902327,1.0
depmap,residualized,functional,Colorectal cancer,-0.9588649802693983,0.5180072028811524,0.7655856327059288
depmap,residualized,functional,Unfolded Protein Response,0.9566391638305972,0.5142028985507247,1.0
depmap,residualized,functional,UV Response Up,-0.9566380252478851,0.5246432249521847,0.7625292629041482
depmap,residualized,lineage,AdrenalCortex,-0.9516089607515769,0.5153342522398346,0.7651863246832028
depmap,residualized,functional,Renal cell carcinoma,0.9238916914467458,0.5676100628930818,1.0
depmap,residualized,lineage,TestisGermCell,0.9213063606932935,0.551278928136419,1.0
depmap,residualized,lineage,Amygdala,0.9126542693408908,0.577876337072789,1.0
depmap,residualized,functional,Necroptosis,0.9068831412782031,0.6056773468240585,1.0
depmap,residualized,functional,Apelin signaling pathway,-0.906284301056761,0.5954258675078864,0.8523847012336743
depmap,residualized,functional,Prolactin signaling pathway,-0.8923086964268727,0.6072639225181599,0.8731486848802518
depmap,residualized,lineage,Testis,-0.890926579795124,0.6170146463072609,0.8674054083572519
depmap,residualized,functional,Mitotic Spindle,-0.8788943300415513,0.6383422778771616,0.8836667536420578
depmap,residualized,functional,B cell receptor signaling pathway,-0.8670016250279269,0.6416786801217363,0.8994026916386884
depmap,residualized,functional,Hepatocellular carcinoma,-0.8669297512877887,0.666128795657914,0.8909917893901244
depmap,residualized,functional,Spermatogenesis,-0.8540578818524602,0.6577137242056993,0.9084703908522465
depmap,residualized,functional,Dopaminergic synapse,-0.8499932396300431,0.6701244813278008,0.9080671291500101
depmap,residualized,functional,Axon guidance,-0.845617805433342,0.688514641177363,0.9082908907560272
depmap,residualized,functional,Long-term depression,-0.844323956562145,0.6614922383575363,0.9024844592732923
depmap,residualized,functional,Progesterone-mediated oocyte maturation,-0.8409828203954708,0.6831775700934579,0.9007450306156305
depmap,residualized,lineage,CD8+ Tcells,0.8387264856776979,0.7702186740715029,1.0
depmap,residualized,functional,Reactive Oxygen Species Pathway,0.8287644083829012,0.6752336448598131,1.0
depmap,residualized,functional,Adipocytokine signaling pathway,0.827943193459722,0.6782259966973343,1.0
depmap,residualized,functional,Cell cycle,-0.8254374406969358,0.738914155770324,0.9218969218064322
