target,method,auroc_string,auroc_RANDOM,auroc_CORUM
AT7867,marginal,0.5067622950819672,0.5317228877679697,
AT7867,residualized,0.49136191677175284,0.5211538461538461,
AT7867,within_tissue,0.4882881462799496,0.5301465952080706,
AT7867,irm,0.4946800126103405,0.4394467213114754,
AZD1480,marginal,0.5115642118076689,0.5541334001646915,
AZD1480,residualized,0.44745981167877985,0.5657871182557015,
AZD1480,within_tissue,0.4756900934445598,0.5482438867208478,
AZD1480,irm,0.473076509971,0.5656081056890194,
AZD4547,marginal,0.5002801120448179,0.49563825530212086,
AZD4547,residualized,0.5694544484460451,0.43105242096838736,
AZD4547,within_tissue,0.497265572895825,0.49414432439642525,
AZD4547,irm,0.5002534347072162,0.522422302254235,
AZD7762,marginal,0.5402121504339441,0.47944620471139276,
AZD7762,residualized,0.5312026449924232,0.4491803278688524,
AZD7762,within_tissue,0.5756578041052487,0.49418652706984434,
AZD7762,irm,0.5332828213252514,0.4896817743490839,
Afatinib,marginal,0.49546084798949136,0.4822301685762242,0.6373792270531401
Afatinib,residualized,0.4719988323724732,0.4826461358826535,0.5727657004830917
Afatinib,within_tissue,0.45012770926074586,0.481544187404218,0.6141304347826086
Afatinib,irm,0.5081369043275196,0.4750346639422025,0.6023550724637681
Alisertib,marginal,0.41079009433962266,0.5618514150943396,
Alisertib,residualized,0.3931603773584906,0.516627358490566,
Alisertib,within_tissue,0.43276336477987426,0.5362421383647799,
Alisertib,irm,0.3640133647798742,0.5794614779874214,
Axitinib,marginal,0.5208771929824562,0.49025518341307817,
Axitinib,residualized,0.47454545454545455,0.5426794258373205,
Axitinib,within_tissue,0.47086124401913876,0.48330143540669857,
Axitinib,irm,0.5247208931419458,0.4363795853269537,
BI-2536,marginal,0.4578768640188986,0.5083419459619076,
BI-2536,residualized,0.4269747526945224,0.5130222944042522,
BI-2536,within_tissue,0.4793739849402038,0.49995570648161825,
BI-2536,irm,0.45477631773217186,0.5258378857227226,
BIBR-1532,marginal,0.424764576237227,0.5463434181526747,
