panel,ground_truth,set,method,n,marg_mean,method_mean,delta,frac_better,wilcoxon_p,marg_sem,method_sem,delta_sem
ctrpv2,string,ALL,residualized,69,0.4955,0.4851,-0.0104,0.435,0.21474195988554923,0.00673,0.00701,0.00864
ctrpv2,string,ALL,within_tissue,69,0.4955,0.4797,-0.0158,0.319,0.0006472773028140305,0.00673,0.00612,0.00417
ctrpv2,string,ALL,irm,69,0.4955,0.4854,-0.0101,0.348,0.01342489439923443,0.00673,0.00602,0.00414
ctrpv2,string,INTER,residualized,44,0.4956,0.4921,-0.0035,0.455,0.4985244839349434,0.00837,0.00868,0.01075
ctrpv2,string,INTER,within_tissue,44,0.4956,0.4776,-0.018,0.295,0.0008180637369150645,0.00837,0.00742,0.00475
ctrpv2,string,INTER,irm,44,0.4956,0.4853,-0.0103,0.295,0.022887773092975294,0.00837,0.0081,0.0051
ctrpv2,RANDOM,ALL,residualized,69,0.4993,0.4991,-0.0003,0.507,0.7536010291132242,0.00529,0.00488,0.00448
ctrpv2,RANDOM,ALL,within_tissue,69,0.4993,0.4966,-0.0027,0.449,0.850612631774417,0.00529,0.00505,0.00273
ctrpv2,RANDOM,ALL,irm,69,0.4993,0.4954,-0.0039,0.449,0.26997696761659606,0.00529,0.00559,0.00305
ctrpv2,RANDOM,INTER,residualized,44,0.5008,0.5053,0.0045,0.523,0.574901594198991,0.00678,0.00605,0.00611
ctrpv2,RANDOM,INTER,within_tissue,44,0.5008,0.5023,0.0015,0.5,0.33323858081485014,0.00678,0.00582,0.00251
ctrpv2,RANDOM,INTER,irm,44,0.5008,0.494,-0.0068,0.409,0.07894009283631931,0.00678,0.00694,0.00373
ctrpv2,CORUM,ALL,residualized,34,0.4834,0.5331,0.0497,0.618,0.039095704327337444,0.02791,0.02548,0.02401
ctrpv2,CORUM,ALL,within_tissue,34,0.4834,0.4733,-0.0101,0.529,0.5429379880661145,0.02791,0.02648,0.01078
ctrpv2,CORUM,ALL,irm,34,0.4834,0.4791,-0.0043,0.529,1.0,0.02791,0.02722,0.01331
ctrpv2,CORUM,INTER,residualized,22,0.4874,0.5301,0.0427,0.545,0.1761918067932129,0.02997,0.03553,0.02635
ctrpv2,CORUM,INTER,within_tissue,22,0.4874,0.4703,-0.0171,0.5,0.30530881881713867,0.02997,0.02864,0.0115
ctrpv2,CORUM,INTER,irm,22,0.4874,0.4741,-0.0133,0.455,0.5235109329223633,0.02997,0.03004,0.014
