target,method,auroc_coessG_0.01,auroc_coessW_0.01,auroc_string,auroc_RANDOM,auroc_CORUM
ACO2,marginal,0.39207547169811324,0.39207547169811324,0.5236066017316018,0.6184905660377358,
ACO2,residualized,0.4254716981132075,0.4254716981132075,0.5629058441558442,0.6630188679245282,
ACO2,within_tissue,0.43018867924528303,0.43018867924528303,0.5597267316017316,0.6563207547169811,
ACO2,irm,0.48471698113207545,0.48471698113207545,0.5900974025974026,0.6065094339622641,
ACO2,dann,0.3510377358490566,0.3510377358490566,0.49749729437229434,0.7726415094339623,
ACO2,adae,0.3058490566037736,0.3058490566037736,0.42660984848484845,0.7014150943396227,
ACTB,marginal,0.6043396226415094,0.6720754716981132,0.4493479288278046,0.6166037735849057,0.40126382306477093
ACTB,residualized,0.5467924528301887,0.6361320754716981,0.44359999489072544,0.5209433962264152,0.42274881516587676
ACTB,within_tissue,0.5486792452830189,0.6636792452830189,0.4362809590108444,0.5978301886792453,0.4081516587677725
ACTB,irm,0.595754716981132,0.6082075471698113,0.4358083511093513,0.5866981132075472,0.3732069510268562
ACTB,dann,0.46943396226415096,0.5738679245283018,0.4380308855650219,0.6134905660377359,0.45036334913112164
ACTB,adae,0.5304716981132076,0.49575471698113205,0.5105953582240161,0.5118867924528302,0.43203791469194314
ACTR1A,marginal,0.4494339622641509,0.3052830188679245,0.24484052532833023,0.40179245283018866,
ACTR1A,residualized,0.42311320754716986,0.32669811320754716,0.2825984990619137,0.28273584905660376,
ACTR1A,within_tissue,0.47047169811320755,0.3561320754716981,0.3022983114446529,0.36254716981132074,
ACTR1A,irm,0.41915094339622644,0.2931132075471698,0.13813320825515946,0.3753773584905661,
ACTR1A,dann,0.460377358490566,0.3730188679245283,0.23874296435272044,0.369811320754717,
ACTR1A,adae,0.42141509433962265,0.34896226415094334,0.5612101313320825,0.6069811320754717,
ADSL,marginal,0.5146226415094339,0.5146226415094339,0.5411153119092628,0.6778301886792453,
ADSL,residualized,0.4775471698113208,0.4775471698113208,0.5367832388153749,0.6613207547169812,
ADSL,within_tissue,0.5528301886792453,0.5528301886792453,0.5613579080025205,0.6733018867924528,
ADSL,irm,0.4733018867924528,0.4733018867924528,0.5275677378701953,0.5833962264150944,
ADSL,dann,0.5335849056603773,0.5335849056603773,0.5550567107750473,0.6691509433962265,
ADSL,adae,0.3008490566037736,0.3008490566037736,0.5484404536862004,0.4869811320754717,
AK6,marginal,0.5365094339622641,0.4916981132075472,0.5166197183098592,0.5885849056603774,
AK6,residualized,0.4679245283018868,0.48575471698113204,0.5573708920187794,0.41575471698113203,
AK6,within_tissue,0.5885849056603774,0.5457547169811321,0.5015962441314554,0.5647169811320755,
AK6,irm,0.6056603773584905,0.5482075471698113,0.5496713615023474,0.5472641509433962,
AK6,dann,0.5334905660377358,0.4967924528301887,0.536150234741784,0.6197169811320755,
AK6,adae,0.37981132075471696,0.34084905660377357,0.5549295774647888,0.6141509433962264,
ALDOA,marginal,0.6045283018867924,0.5700943396226416,0.48308270676691734,0.625,
ALDOA,residualized,0.4960377358490566,0.600566037735849,0.3197055137844611,0.5767924528301887,
ALDOA,within_tissue,0.6419811320754717,0.5936792452830189,0.5263157894736843,0.6640566037735849,
ALDOA,irm,0.6080188679245282,0.5449056603773585,0.47901002506265666,0.5283962264150944,
ALDOA,dann,0.5554716981132075,0.5566981132075471,0.4882518796992481,0.5426415094339624,
ALDOA,adae,0.4514150943396226,0.5238679245283019,0.599624060150376,0.5792452830188679,
ALG13,marginal,0.5995283018867925,0.639245283018868,,0.7172641509433961,
ALG13,residualized,0.48745283018867924,0.5735849056603773,,0.6258490566037735,
ALG13,within_tissue,0.6532075471698113,0.685377358490566,,0.6426415094339623,
ALG13,irm,0.6046226415094339,0.6310377358490565,,0.569433962264151,
ALG13,dann,0.5237735849056604,0.625754716981132,,0.6369811320754717,
ALG13,adae,0.6098113207547169,0.5714150943396227,,0.6635849056603774,
ANKLE2,marginal,0.5491509433962264,0.5832075471698114,,0.3360377358490566,
ANKLE2,residualized,0.5825471698113207,0.5495283018867925,,0.36933962264150944,
ANKLE2,within_tissue,0.565377358490566,0.6066981132075472,,0.3665094339622642,
ANKLE2,irm,0.5468867924528301,0.6167924528301887,,0.4473584905660377,
ANKLE2,dann,0.5457547169811321,0.5449056603773585,,0.30056603773584906,
ANKLE2,adae,0.5140566037735849,0.5274528301886792,,0.4038679245283019,
ATP1A1,marginal,0.3772641509433962,0.39679245283018866,,0.3732075471698113,
ATP1A1,residualized,0.36226415094339626,0.40150943396226413,,0.3460377358490566,
ATP1A1,within_tissue,0.4243396226415095,0.4333962264150943,,0.389622641509434,
ATP1A1,irm,0.35867924528301887,0.37198113207547173,,0.4404716981132075,
ATP1A1,dann,0.39886792452830183,0.39990566037735853,,0.5129245283018868,
ATP1A1,adae,0.3854716981132076,0.4420754716981132,,0.4173584905660378,
ATP6AP1,marginal,0.5922641509433962,0.6311320754716981,0.8012363929579358,0.4658490566037736,
ATP6AP1,residualized,0.6176415094339622,0.5879245283018868,0.7462706625453568,0.3027358490566038,
ATP6AP1,within_tissue,0.6173584905660378,0.6233018867924528,0.7868566052949872,0.44254716981132075,
ATP6AP1,irm,0.5391509433962264,0.5730188679245283,0.6863324821932536,0.42726415094339626,
ATP6AP1,dann,0.5882075471698114,0.5830188679245283,0.764682166375487,0.3849056603773585,
ATP6AP1,adae,0.703490566037736,0.7614150943396226,0.7708641311651658,0.39339622641509436,
ATP6V0C,marginal,0.5412264150943397,0.5808490566037735,0.6758500201585809,0.4370754716981132,
ATP6V0C,residualized,0.5121698113207547,0.5248113207547169,0.6661739013573444,0.5262264150943397,
ATP6V0C,within_tissue,0.5576415094339622,0.6008490566037736,0.6941271334498051,0.4549056603773585,
ATP6V0C,irm,0.5279245283018867,0.5325471698113208,0.6480311786050261,0.4913207547169811,
ATP6V0C,dann,0.5540566037735849,0.5917924528301887,0.7724768176320387,0.4220754716981132,
ATP6V0C,adae,0.4166037735849057,0.4661320754716981,0.49388523047977423,0.5249056603773585,
ATP6V1A,marginal,0.5515094339622642,0.5515094339622642,0.669329573934837,0.514245283018868,
ATP6V1A,residualized,0.5652830188679245,0.5652830188679245,0.5914786967418546,0.5407547169811321,
ATP6V1A,within_tissue,0.5539622641509433,0.5539622641509433,0.6596177944862156,0.5410377358490566,
ATP6V1A,irm,0.5554716981132075,0.5554716981132075,0.6015037593984962,0.48254716981132073,
ATP6V1A,dann,0.5365094339622642,0.5365094339622642,0.6641604010025063,0.4591509433962264,
ATP6V1A,adae,0.5356603773584906,0.5356603773584906,0.599937343358396,0.49433962264150944,
ATP6V1B2,marginal,0.4454716981132075,0.41283018867924526,0.4310263653483992,0.5481132075471697,
ATP6V1B2,residualized,0.4939622641509434,0.37273584905660373,0.417725988700565,0.495,
