panel,ground_truth,set,method,n,marg_mean,method_mean,delta,frac_better,wilcoxon_p,marg_sem,method_sem,delta_sem
newpanel_depmap,coessG_0.01,ALL,residualized,200,0.4986,0.5154,0.0169,0.55,0.032389580863847196,0.00728,0.00683,0.00671
newpanel_depmap,coessG_0.01,ALL,within_tissue,200,0.4986,0.5169,0.0184,0.78,8.141771309558592e-13,0.00728,0.00722,0.00268
newpanel_depmap,coessG_0.01,ALL,irm,200,0.4986,0.4979,-0.0007,0.51,0.91884856053952,0.00728,0.00754,0.00374
newpanel_depmap,coessG_0.01,INTER,residualized,144,0.4984,0.5071,0.0087,0.542,0.3153147394109722,0.00875,0.00833,0.00731
newpanel_depmap,coessG_0.01,INTER,within_tissue,144,0.4984,0.5133,0.0149,0.715,6.701800138241655e-07,0.00875,0.00863,0.00346
newpanel_depmap,coessG_0.01,INTER,irm,144,0.4984,0.4992,0.0007,0.535,0.9316610908158853,0.00875,0.00875,0.00433
newpanel_depmap,coessW_0.01,ALL,residualized,200,0.4923,0.5191,0.0269,0.575,0.000447383228893601,0.00766,0.00666,0.00667
newpanel_depmap,coessW_0.01,ALL,within_tissue,200,0.4923,0.5163,0.024,0.845,1.1760880579863528e-18,0.00766,0.00749,0.00226
newpanel_depmap,coessW_0.01,ALL,irm,200,0.4923,0.4942,0.002,0.515,0.4139828495962887,0.00766,0.00772,0.00399
newpanel_depmap,coessW_0.01,INTER,residualized,144,0.4983,0.5148,0.0166,0.542,0.04294762463866096,0.00925,0.00807,0.00687
newpanel_depmap,coessW_0.01,INTER,within_tissue,144,0.4983,0.5203,0.022,0.799,1.8320420897485337e-11,0.00925,0.00898,0.00293
newpanel_depmap,coessW_0.01,INTER,irm,144,0.4983,0.5023,0.0041,0.528,0.3006474042234658,0.00925,0.00906,0.00464
newpanel_depmap,string,ALL,residualized,169,0.5052,0.5333,0.0281,0.627,6.618809928171329e-05,0.0099,0.00987,0.00682
newpanel_depmap,string,ALL,within_tissue,169,0.5052,0.5249,0.0197,0.852,1.6509971705853105e-17,0.0099,0.00977,0.00185
newpanel_depmap,string,ALL,irm,169,0.5052,0.5061,0.0009,0.533,0.6082785995143819,0.0099,0.01095,0.00525
newpanel_depmap,string,INTER,residualized,118,0.5118,0.5346,0.0228,0.627,0.0032337744645391966,0.0125,0.01294,0.00805
newpanel_depmap,string,INTER,within_tissue,118,0.5118,0.5289,0.0171,0.788,1.1248699797084296e-09,0.0125,0.01235,0.00249
newpanel_depmap,string,INTER,irm,118,0.5118,0.5146,0.0028,0.525,0.65091010810693,0.0125,0.01299,0.00634
newpanel_depmap,RANDOM,ALL,residualized,200,0.5062,0.4969,-0.0093,0.445,0.1060692986600055,0.00665,0.00668,0.00691
newpanel_depmap,RANDOM,ALL,within_tissue,200,0.5062,0.5011,-0.0051,0.47,0.18716729362304374,0.00665,0.00683,0.00237
newpanel_depmap,RANDOM,ALL,irm,200,0.5062,0.5041,-0.0021,0.475,0.6648980589687985,0.00665,0.00662,0.00424
newpanel_depmap,RANDOM,INTER,residualized,144,0.5093,0.5005,-0.0089,0.438,0.1615128080368201,0.00751,0.00765,0.00734
newpanel_depmap,RANDOM,INTER,within_tissue,144,0.5093,0.5055,-0.0038,0.493,0.38565512230936594,0.00751,0.00776,0.00273
newpanel_depmap,RANDOM,INTER,irm,144,0.5093,0.5059,-0.0034,0.458,0.5331395685067888,0.00751,0.00748,0.00492
newpanel_depmap,CORUM,ALL,residualized,40,0.4756,0.5269,0.0513,0.725,0.0032013230738812126,0.02903,0.02619,0.01767
newpanel_depmap,CORUM,ALL,within_tissue,40,0.4756,0.4935,0.018,0.85,9.59746103035286e-06,0.02903,0.02885,0.00437
newpanel_depmap,CORUM,ALL,irm,40,0.4756,0.4584,-0.0171,0.425,0.1058129653429205,0.02903,0.02982,0.00979
newpanel_depmap,CORUM,INTER,residualized,26,0.4844,0.5482,0.0638,0.846,0.0010443925857543945,0.04128,0.03467,0.01779
newpanel_depmap,CORUM,INTER,within_tissue,26,0.4844,0.5007,0.0163,0.808,0.0014439225196838379,0.04128,0.04082,0.00625
newpanel_depmap,CORUM,INTER,irm,26,0.4844,0.4601,-0.0243,0.385,0.05935487151145935,0.04128,0.04111,0.01322
