target,in_inter,N,rank_marginal,selfauroc_marginal,rank_residualized,selfauroc_residualized,rank_within_tissue,selfauroc_within_tissue,rank_irm,selfauroc_irm
ACO2,True,1071,847,0.20934579439252338,462,0.569158878504673,704,0.3429906542056075,812,0.24205607476635513
ACTB,True,1071,1,1.0,1,1.0,1,1.0,2,0.9990654205607477
ACTR1A,True,1071,4,0.997196261682243,2,0.9990654205607477,4,0.997196261682243,10,0.991588785046729
ADSL,True,1071,960,0.10373831775700934,736,0.3130841121495327,949,0.11401869158878504,607,0.4336448598130841
AK6,True,1071,116,0.8925233644859814,104,0.9037383177570093,121,0.8878504672897196,164,0.8476635514018691
ALDOA,True,1071,137,0.8728971962616823,25,0.9775700934579439,125,0.8841121495327103,215,0.8
ALG13,True,1071,259,0.7588785046728972,61,0.9439252336448598,194,0.819626168224299,201,0.8130841121495327
ANKLE2,False,1071,645,0.3981308411214953,632,0.4102803738317757,618,0.42336448598130844,821,0.2336448598130841
ATP1A1,True,1071,14,0.9878504672897196,7,0.994392523364486,13,0.9887850467289719,43,0.9607476635514018
ATP6AP1,True,1071,30,0.9728971962616823,21,0.9813084112149533,28,0.974766355140187,34,0.9691588785046729
ATP6V0C,False,1071,861,0.19626168224299065,420,0.608411214953271,827,0.22803738317757008,851,0.205607476635514
ATP6V1A,True,1071,932,0.12990654205607477,501,0.5327102803738317,882,0.1766355140186916,834,0.22149532710280373
ATP6V1B2,True,1071,428,0.6009345794392523,921,0.14018691588785046,565,0.47289719626168225,648,0.39532710280373834
ATP6V1F,False,1071,153,0.8579439252336448,495,0.5383177570093458,141,0.8691588785046729,282,0.7373831775700934
BCL2L1,True,1071,2,0.9990654205607477,1,1.0,2,0.9990654205607477,2,0.9990654205607477
BUB3,True,1071,72,0.9336448598130841,44,0.9598130841121495,59,0.9457943925233645,122,0.8869158878504673
CBFB,True,1071,258,0.7598130841121495,42,0.9616822429906542,243,0.7738317757009345,205,0.8093457943925234
CCND1,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
CDAN1,True,1071,925,0.13644859813084112,883,0.17570093457943925,902,0.15794392523364487,926,0.13551401869158877
CDC42,True,1071,342,0.6813084112149532,158,0.8532710280373832,298,0.7224299065420561,264,0.7542056074766356
CDC45,False,1071,433,0.5962616822429907,256,0.7616822429906542,379,0.6467289719626168,360,0.6644859813084112
CDK1,False,1071,133,0.8766355140186916,882,0.1766355140186916,89,0.9177570093457944,170,0.8420560747663551
CDK4,True,1071,3,0.9981308411214953,3,0.9981308411214953,2,0.9990654205607477,3,0.9981308411214953
CDK6,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
CENPW,True,1071,771,0.2803738317757009,220,0.7953271028037383,673,0.3719626168224299,645,0.3981308411214953
CFL1,True,1071,635,0.4074766355140187,444,0.585981308411215,582,0.4570093457943925,667,0.3775700934579439
CFLAR,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
CHAF1B,False,1071,288,0.7317757009345794,495,0.5383177570093458,288,0.7317757009345794,397,0.6299065420560748
CHMP4B,True,1071,807,0.2467289719626168,1031,0.037383177570093455,795,0.25794392523364484,891,0.16822429906542055
COPG1,True,1071,81,0.9252336448598131,13,0.9887850467289719,77,0.9289719626168225,111,0.897196261682243
CRKL,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
CTPS1,True,1071,1021,0.04672897196261682,583,0.45607476635514016,1024,0.04392523364485981,1065,0.005607476635514018
DBR1,False,1071,940,0.12242990654205607,272,0.7467289719626168,880,0.17850467289719626,1039,0.029906542056074768
DDX3X,False,1071,4,0.997196261682243,5,0.9962616822429906,3,0.9981308411214953,20,0.9822429906542056
DHFR,True,1071,66,0.9392523364485982,114,0.8943925233644859,57,0.9476635514018692,61,0.9439252336448598
DNAJC9,True,1071,956,0.10747663551401869,412,0.6158878504672897,806,0.24766355140186916,1050,0.019626168224299065
DNM2,True,1071,140,0.8700934579439252,188,0.8252336448598131,128,0.8813084112149533,275,0.7439252336448599
DONSON,False,1071,455,0.5757009345794393,124,0.8850467289719626,413,0.6149532710280374,326,0.6962616822429907
DPAGT1,True,1071,423,0.6056074766355141,23,0.9794392523364486,434,0.5953271028037384,590,0.44953271028037384
DTYMK,True,1071,465,0.5663551401869159,372,0.6532710280373831,422,0.6065420560747663,1043,0.026168224299065422
DUT,False,1071,931,0.1308411214953271,930,0.13177570093457944,879,0.17943925233644858,889,0.17009345794392525
DYNLRB1,False,1071,525,0.5102803738317757,832,0.22336448598130842,490,0.5429906542056074,553,0.48411214953271026
EEF1A1,False,1071,24,0.9785046728971962,25,0.9775700934579439,29,0.9738317757009346,37,0.9663551401869159
EEF2,False,1071,25,0.9775700934579439,260,0.7579439252336448,27,0.9757009345794393,120,0.888785046728972
EFR3A,True,1071,196,0.8177570093457944,97,0.9102803738317757,173,0.8392523364485981,133,0.8766355140186916
EIF1AX,False,1071,3,0.9981308411214953,2,0.9990654205607477,2,0.9990654205607477,4,0.997196261682243
EIF4A1,True,1071,6,0.9953271028037384,4,0.997196261682243,4,0.997196261682243,12,0.9897196261682243
ELL,True,1071,804,0.24953271028037383,579,0.45981308411214955,773,0.27850467289719627,569,0.4691588785046729
EMC3,True,1071,192,0.8214953271028037,61,0.9439252336448598,174,0.8383177570093457,178,0.8345794392523365
EP300,True,1071,2,0.9990654205607477,2,0.9990654205607477,2,0.9990654205607477,15,0.9869158878504672
ESPL1,False,1071,984,0.08130841121495327,906,0.1542056074766355,984,0.08130841121495327,990,0.07570093457943926
FAM50A,True,1071,665,0.3794392523364486,477,0.5551401869158878,701,0.34579439252336447,547,0.4897196261682243
FARSB,False,1071,103,0.9046728971962616,90,0.9168224299065421,87,0.9196261682242991,269,0.7495327102803738
FAU,False,1071,433,0.5962616822429907,529,0.5065420560747663,374,0.6514018691588785,624,0.4177570093457944
FERMT2,True,1071,3,0.9981308411214953,1,1.0,4,0.997196261682243,3,0.9981308411214953
GGPS1,True,1071,7,0.994392523364486,31,0.9719626168224299,4,0.997196261682243,10,0.991588785046729
GINS2,True,1071,1069,0.001869158878504673,1040,0.02897196261682243,1059,0.011214953271028037,896,0.16355140186915887
GMPS,True,1071,973,0.09158878504672897,610,0.4308411214953271,848,0.20841121495327103,923,0.1383177570093458
GPN2,False,1071,96,0.9112149532710281,172,0.8401869158878504,73,0.9327102803738317,77,0.9289719626168225
GPX4,True,1071,537,0.49906542056074765,517,0.5177570093457944,476,0.5560747663551402,477,0.5551401869158878
GRB2,True,1071,107,0.9009345794392524,311,0.7102803738317757,104,0.9037383177570093,195,0.8186915887850468
GSPT1,True,1071,914,0.14672897196261683,1048,0.02149532710280374,832,0.22336448598130842,947,0.11588785046728972
GTPBP4,False,1071,616,0.4252336448598131,313,0.708411214953271,547,0.4897196261682243,497,0.5364485981308411
GUK1,True,1071,119,0.8897196261682243,30,0.9728971962616823,97,0.9102803738317757,176,0.8364485981308412
H2BC15,False,1071,641,0.40186915887850466,797,0.2560747663551402,484,0.5485981308411215,334,0.688785046728972
HMGCS1,True,1071,702,0.3448598130841122,409,0.6186915887850467,569,0.4691588785046729,554,0.48317757009345796
HNF1B,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
HNRNPH1,True,1071,4,0.997196261682243,5,0.9962616822429906,4,0.997196261682243,9,0.9925233644859813
INTS6,True,1071,349,0.6747663551401869,201,0.8130841121495327,281,0.7383177570093458,503,0.5308411214953271
ITGAV,True,1071,16,0.985981308411215,43,0.9607476635514018,35,0.9682242990654205,23,0.9794392523364486
KEAP1,True,1071,178,0.8345794392523365,103,0.9046728971962616,154,0.8570093457943925,276,0.7429906542056075
KIF11,False,1071,983,0.08224299065420561,553,0.48411214953271026,975,0.08971962616822429,1044,0.025233644859813085
KIF18A,True,1071,21,0.9813084112149533,19,0.983177570093458,10,0.991588785046729,17,0.9850467289719627
KLF5,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
KRAS,True,1071,6,0.9953271028037384,1,1.0,3,0.9981308411214953,9,0.9925233644859813
LONP1,True,1071,200,0.814018691588785,116,0.8925233644859814,217,0.7981308411214953,248,0.7691588785046729
LSM8,False,1071,380,0.6457943925233645,216,0.7990654205607477,355,0.6691588785046729,553,0.48411214953271026
MAD2L2,True,1071,480,0.5523364485981308,715,0.33271028037383177,472,0.5598130841121496,367,0.6579439252336449
MAGOH,True,1071,381,0.6448598130841121,884,0.17476635514018693,318,0.7037383177570093,574,0.46448598130841123
MARS2,True,1071,992,0.07383177570093458,947,0.11588785046728972,1011,0.056074766355140186,735,0.31401869158878504
MAT2A,True,1071,809,0.24485981308411214,410,0.6177570093457944,796,0.2570093457943925,473,0.5588785046728972
MCL1,True,1071,6,0.9953271028037384,5,0.9962616822429906,5,0.9962616822429906,4,0.997196261682243
MDM2,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
MED1,True,1071,923,0.1383177570093458,940,0.12242990654205607,866,0.19158878504672897,770,0.28130841121495326
MED12,True,1071,125,0.8841121495327103,226,0.7897196261682243,112,0.8962616822429906,150,0.8607476635514019
MMS22L,False,1071,138,0.8719626168224299,32,0.9710280373831776,129,0.8803738317757009,202,0.8121495327102803
MRPL33,True,1071,44,0.9598130841121495,67,0.9383177570093458,47,0.9570093457943926,31,0.9719626168224299
MRPL57,True,1071,733,0.31588785046728973,747,0.30280373831775703,582,0.4570093457943925,775,0.2766355140186916
MSTO1,True,1071,86,0.9205607476635514,20,0.9822429906542056,92,0.9149532710280374,173,0.8392523364485981
MYC,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
MYH9,True,1071,594,0.4457943925233645,480,0.5523364485981308,598,0.44205607476635517,666,0.37850467289719625
NAA10,True,1071,160,0.8514018691588785,145,0.8654205607476636,125,0.8841121495327103,356,0.6682242990654206
NAPG,True,1071,10,0.991588785046729,16,0.985981308411215,7,0.994392523364486,15,0.9869158878504672
NCAPD3,True,1071,484,0.5485981308411215,704,0.3429906542056075,501,0.5327102803738317,466,0.5654205607476636
NELFB,True,1071,1011,0.056074766355140186,777,0.27476635514018694,965,0.09906542056074766,1004,0.06261682242990654
NF2,True,1071,510,0.5242990654205607,913,0.14766355140186915,463,0.5682242990654206,408,0.6196261682242991
NHLRC2,True,1071,868,0.1897196261682243,655,0.38878504672897196,715,0.33271028037383177,685,0.36074766355140186
NMNAT1,True,1071,201,0.8130841121495327,54,0.9504672897196261,140,0.8700934579439252,253,0.7644859813084112
NPM1,False,1071,197,0.8168224299065421,309,0.7121495327102804,157,0.8542056074766355,202,0.8121495327102803
NSF,False,1071,219,0.7962616822429907,181,0.8317757009345794,255,0.7626168224299066,220,0.7953271028037383
NUP43,True,1071,876,0.1822429906542056,561,0.4766355140186916,849,0.20747663551401868,905,0.15514018691588785
NXT1,True,1071,293,0.7271028037383177,144,0.8663551401869158,237,0.7794392523364486,221,0.794392523364486
ORC6,True,1071,1061,0.009345794392523364,276,0.7429906542056075,1047,0.022429906542056073,1061,0.009345794392523364
PCNA,False,1071,315,0.7065420560747664,108,0.9,256,0.7616822429906542,606,0.43457943925233644
PDCD2,True,1071,37,0.9663551401869159,42,0.9616822429906542,30,0.9728971962616823,66,0.9392523364485982
PELO,True,1071,717,0.33084112149532713,558,0.4794392523364486,697,0.34953271028037386,833,0.22242990654205608
PFN1,True,1071,211,0.8037383177570093,277,0.7420560747663552,172,0.8401869158878504,129,0.8803738317757009
PGD,True,1071,238,0.7785046728971963,325,0.697196261682243,204,0.8102803738317756,199,0.8149532710280374
PGK1,True,1071,242,0.7747663551401869,288,0.7317757009345794,197,0.8168224299065421,213,0.8018691588785046
PKMYT1,True,1071,282,0.7373831775700934,63,0.9420560747663551,231,0.7850467289719626,492,0.5411214953271029
PLK1,False,1071,891,0.16822429906542055,847,0.20934579439252338,846,0.2102803738317757,1031,0.037383177570093455
POLR2L,False,1071,170,0.8420560747663551,829,0.2261682242990654,135,0.874766355140187,72,0.9336448598130841
POP5,True,1071,699,0.34766355140186916,166,0.8457943925233645,636,0.40654205607476634,1041,0.028037383177570093
PPP1R12A,True,1071,220,0.7953271028037383,48,0.9560747663551402,197,0.8168224299065421,268,0.7504672897196262
PPP1R15B,True,1071,815,0.23925233644859814,552,0.4850467289719626,710,0.33738317757009345,765,0.28598130841121494
PPP2CA,True,1071,612,0.4289719626168224,298,0.7224299065420561,497,0.5364485981308411,956,0.10747663551401869
PPP2R1A,True,1071,47,0.9570093457943926,180,0.8327102803738318,35,0.9682242990654205,50,0.9542056074766355
PPWD1,True,1071,530,0.505607476635514,344,0.6794392523364486,470,0.5616822429906542,869,0.18878504672897195
PRKRA,True,1071,1,1.0,1,1.0,1,1.0,2,0.9990654205607477
PSMA3,False,1071,704,0.3429906542056075,256,0.7616822429906542,682,0.36355140186915885,939,0.1233644859813084
PSMB5,True,1071,984,0.08130841121495327,643,0.4,1032,0.03644859813084112,979,0.08598130841121496
PSMB6,True,1071,272,0.7467289719626168,65,0.9401869158878504,238,0.7785046728971963,437,0.5925233644859813
PSMD14,True,1071,187,0.8261682242990654,316,0.705607476635514,159,0.8523364485981308,814,0.24018691588785046
PSMD7,False,1071,1067,0.003738317757009346,585,0.4542056074766355,1061,0.009345794392523364,1014,0.05327102803738318
PSMG4,False,1071,4,0.997196261682243,1,1.0,3,0.9981308411214953,6,0.9953271028037384
RACK1,False,1071,138,0.8719626168224299,427,0.6018691588785047,122,0.8869158878504673,48,0.9560747663551402
RAD9A,True,1071,123,0.8859813084112149,414,0.6140186915887851,112,0.8962616822429906,233,0.7831775700934579
RAN,False,1071,1008,0.058878504672897194,313,0.708411214953271,1003,0.06355140186915888,1026,0.04205607476635514
RIC1,True,1071,903,0.15700934579439252,948,0.11495327102803739,908,0.15233644859813084,580,0.4588785046728972
RPL12,False,1071,127,0.8822429906542056,136,0.8738317757009346,131,0.8785046728971962,34,0.9691588785046729
RPL13A,False,1071,23,0.9794392523364486,516,0.5186915887850467,27,0.9757009345794393,26,0.9766355140186916
RPL21,False,1071,526,0.5093457943925234,990,0.07570093457943926,427,0.6018691588785047,575,0.4635514018691589
RPL23A,False,1071,195,0.8186915887850468,382,0.6439252336448598,168,0.8439252336448598,162,0.8495327102803738
RPL36A,True,1071,24,0.9785046728971962,26,0.9766355140186916,25,0.9775700934579439,149,0.8616822429906542
RPL4,False,1071,24,0.9785046728971962,75,0.930841121495327,27,0.9757009345794393,13,0.9887850467289719
