target,in_inter,n_targets,rank_marginal,selfauroc_marginal,rank_residualized,selfauroc_residualized,rank_within_tissue,selfauroc_within_tissue,rank_irm,selfauroc_irm
AT7867,True,3,450,0.5947653429602888,148,0.8673285198555957,423,0.6191335740072202,177,0.8411552346570397
AZD1480,False,2,302,0.7283393501805054,873,0.2129963898916967,324,0.7084837545126353,314,0.7175090252707581
AZD4547,True,3,284,0.7445848375451264,182,0.8366425992779783,438,0.605595667870036,200,0.8203971119133574
AZD7762,True,2,20,0.9828519855595668,70,0.9377256317689532,15,0.9873646209386282,87,0.9223826714801444
Afatinib,True,2,26,0.9774368231046932,20,0.9828519855595668,80,0.9287003610108304,4,0.9972924187725632
Alisertib,True,1,35,0.9693140794223828,42,0.9629963898916968,41,0.9638989169675092,41,0.9638989169675092
Axitinib,True,4,236,0.7879061371841155,145,0.8700361010830325,255,0.7707581227436823,227,0.796028880866426
BI-2536,True,2,39,0.9657039711191336,3,0.9981949458483754,41,0.9638989169675092,65,0.9422382671480144
BIBR-1532,True,1,437,0.6064981949458483,389,0.6498194945848376,398,0.6416967509025271,655,0.4097472924187725
BMS-536924,False,2,3,0.9981949458483754,3,0.9981949458483754,4,0.9972924187725632,42,0.9629963898916968
BMS-754807,True,2,2,0.9990974729241876,4,0.9972924187725632,4,0.9972924187725632,6,0.9954873646209388
Belinostat,True,1,942,0.1507220216606498,423,0.6191335740072202,878,0.2084837545126353,597,0.4620938628158845
Bortezomib,True,14,329,0.703971119133574,74,0.934115523465704,346,0.6886281588447654,78,0.9305054151624548
Bosutinib,True,1,391,0.648014440433213,618,0.4431407942238267,491,0.5577617328519856,431,0.6119133574007221
CHIR-99021,True,2,578,0.4792418772563176,579,0.4783393501805054,491,0.5577617328519856,173,0.8447653429602888
Cabozantinib,False,7,277,0.7509025270758123,241,0.7833935018050542,350,0.6850180505415162,205,0.8158844765342961
Cediranib,False,6,149,0.8664259927797834,119,0.8935018050541517,239,0.7851985559566786,202,0.8185920577617328
Crizotinib,True,2,77,0.9314079422382672,334,0.6994584837545126,144,0.8709386281588448,327,0.7057761732851986
Dabrafenib,False,1,667,0.3989169675090253,1074,0.0315884476534296,220,0.8023465703971119,1015,0.0848375451263537
Daporinad,True,1,1,1.0,1,1.0,1,1.0,1,1.0
Dasatinib,True,2,775,0.3014440433212996,389,0.6498194945848376,873,0.2129963898916967,810,0.26985559566787
Dinaciclib,False,4,44,0.9611913357400722,172,0.8456678700361011,26,0.9774368231046932,186,0.8330324909747292
Doramapimod,False,2,110,0.901624548736462,486,0.5622743682310469,220,0.8023465703971119,85,0.924187725631769
Entinostat,True,2,109,0.9025270758122744,70,0.9377256317689532,73,0.9350180505415162,24,0.9792418772563176
Erlotinib,False,1,665,0.4007220216606498,629,0.4332129963898917,1088,0.0189530685920577,817,0.2635379061371841
Fedratinib,False,1,192,0.8276173285198556,801,0.2779783393501805,193,0.8267148014440433,450,0.5947653429602888
Foretinib,True,4,933,0.1588447653429603,919,0.1714801444043321,930,0.1615523465703971,789,0.2888086642599278
GSK1059615,False,4,330,0.7030685920577617,202,0.8185920577617328,352,0.6832129963898917,236,0.7879061371841155
Gefitinib,True,1,240,0.7842960288808665,320,0.7120938628158845,1060,0.0442238267148014,521,0.5306859205776173
I-BET-151,False,3,367,0.6696750902527075,445,0.5992779783393501,285,0.7436823104693141,719,0.351985559566787
I-BET-762,False,3,432,0.6110108303249098,542,0.5117328519855595,353,0.6823104693140795,683,0.3844765342960289
Ibrutinib,False,1,1084,0.0225631768953068,1104,0.0045126353790613,1104,0.0045126353790613,1098,0.009927797833935
Imatinib,True,1,417,0.6245487364620939,652,0.4124548736462093,456,0.5893501805054152,128,0.8853790613718412
JQ12,True,2,341,0.6931407942238267,41,0.9638989169675092,273,0.7545126353790613,586,0.4720216606498195
KU-55933,False,1,176,0.842057761732852,465,0.5812274368231047,95,0.9151624548736462,142,0.8727436823104693
KU-60019,False,1,552,0.5027075812274369,924,0.1669675090252707,551,0.5036101083032491,982,0.1146209386281588
Lapatinib,False,2,81,0.927797833935018,152,0.8637184115523465,565,0.4909747292418772,51,0.9548736462093864
Linifanib,True,5,222,0.8005415162454874,344,0.6904332129963899,189,0.8303249097472925,121,0.8916967509025271
