set,method,n,marg_mean,method_mean,delta,frac_better,marg_medrank,method_medrank,wilcoxon_p,marg_sem,method_sem,delta_sem
ALL,residualized,200,0.625,0.6837,0.0587,0.58,286,256,0.0002723349891056915,0.02398,0.02195,0.0166
ALL,within_tissue,200,0.625,0.6489,0.0239,0.7,286,255,8.537972885977012e-17,0.02398,0.02301,0.00279
ALL,irm,200,0.625,0.6153,-0.0097,0.375,286,316,0.24455715395832645,0.02398,0.02371,0.00933
ALL,dann,200,0.625,0.6387,0.0137,0.5,286,248,0.23208547681184755,0.02398,0.02394,0.0109
ALL,adae,200,0.625,0.5234,-0.1016,0.355,286,464,0.00035193024584323935,0.02398,0.02306,0.02762
INTER,residualized,144,0.6413,0.6941,0.0528,0.569,250,184,0.0018222092253650723,0.02848,0.02678,0.01713
INTER,within_tissue,144,0.6413,0.6646,0.0234,0.701,250,221,5.47438519321434e-12,0.02848,0.02728,0.00344
INTER,irm,144,0.6413,0.6345,-0.0067,0.382,250,266,0.6107983851553959,0.02848,0.02777,0.01147
INTER,dann,144,0.6413,0.6511,0.0099,0.472,250,238,0.3508315369165794,0.02848,0.028,0.01257
INTER,adae,144,0.6413,0.5544,-0.0869,0.354,250,432,0.005551123492997139,0.02848,0.02675,0.0314
