drug,tissue,method,auroc,n_cells
"(1S,3R)-Rsl3",Bladder,marginal,0.47403642089409187,21
"(1S,3R)-Rsl3",Bladder,residualized,0.4928630108851921,21
"(1S,3R)-Rsl3",Bladder,irm,0.4939583761210378,21
"(1S,3R)-Rsl3",Bladder,within_tissue,0.4607551174094612,21
"(1S,3R)-Rsl3",Blood,marginal,0.47040802355035255,94
"(1S,3R)-Rsl3",Blood,residualized,0.21469158622578216,94
"(1S,3R)-Rsl3",Blood,irm,0.3897617580612035,94
"(1S,3R)-Rsl3",Blood,within_tissue,0.24161360991305536,94
"(1S,3R)-Rsl3",Bone,marginal,0.46195317313616757,13
"(1S,3R)-Rsl3",Bone,residualized,0.3670500444992127,13
"(1S,3R)-Rsl3",Bone,irm,0.3915759567330731,13
"(1S,3R)-Rsl3",Bone,within_tissue,0.36732388580817416,13
"(1S,3R)-Rsl3",Brain,marginal,0.48206339426302447,46
"(1S,3R)-Rsl3",Brain,residualized,0.34700828369959613,46
"(1S,3R)-Rsl3",Brain,irm,0.436845348120764,46
"(1S,3R)-Rsl3",Brain,within_tissue,0.3758300814677894,46
"(1S,3R)-Rsl3",Breast,marginal,0.6488840966659821,38
"(1S,3R)-Rsl3",Breast,residualized,0.6092113370301909,38
"(1S,3R)-Rsl3",Breast,irm,0.628380228657493,38
"(1S,3R)-Rsl3",Breast,within_tissue,0.6506298350106113,38
"(1S,3R)-Rsl3",Colon,marginal,0.49529335250222495,43
"(1S,3R)-Rsl3",Colon,residualized,0.42642226329841854,43
"(1S,3R)-Rsl3",Colon,irm,0.5007188334360239,43
"(1S,3R)-Rsl3",Colon,within_tissue,0.4449578968987472,43
"(1S,3R)-Rsl3",Esophagus,marginal,0.4779386595467926,23
"(1S,3R)-Rsl3",Esophagus,residualized,0.4976210036283973,23
"(1S,3R)-Rsl3",Esophagus,irm,0.4991784760731156,23
"(1S,3R)-Rsl3",Esophagus,within_tissue,0.4842370096529061,23
"(1S,3R)-Rsl3",Head And Neck,marginal,0.41892585746559874,32
"(1S,3R)-Rsl3",Head And Neck,residualized,0.3883754364345861,32
"(1S,3R)-Rsl3",Head And Neck,irm,0.4368966933661943,32
"(1S,3R)-Rsl3",Head And Neck,within_tissue,0.3843191620455946,32
"(1S,3R)-Rsl3",Kidney,marginal,0.42233175874580675,21
"(1S,3R)-Rsl3",Kidney,residualized,0.34574176764564934,21
"(1S,3R)-Rsl3",Kidney,irm,0.4788628739645375,21
"(1S,3R)-Rsl3",Kidney,within_tissue,0.2943794071335661,21
"(1S,3R)-Rsl3",Liver,marginal,0.5105257753132061,30
"(1S,3R)-Rsl3",Liver,residualized,0.44476963099883615,30
"(1S,3R)-Rsl3",Liver,irm,0.4854521804614226,30
"(1S,3R)-Rsl3",Liver,within_tissue,0.47285548024919555,30
"(1S,3R)-Rsl3",Lung,marginal,0.4687649756965838,148
"(1S,3R)-Rsl3",Lung,residualized,0.4311973711234339,148
