n_cells,method,gene_class,n_seeds,n_genes_per_seed,median_rank,mean_rank,median_d_rank,mean_d_rank,retention@10,retention@25,retention@50,retention@100
500,irm,causal,8,200.0,255.5,252.769375,0.5,0.795,0.0175,0.044375,0.09375,0.1925
500,irm,confounder,8,50.0,258.5,251.2475,9.5,23.2225,0.0225,0.065,0.125,0.2175
500,irm,mixed,8,100.0,230.5,240.32,-9.0,-12.30625,0.015,0.05125,0.10625,0.21
500,marginal,causal,8,200.0,254.5,251.974375,0.0,0.0,0.018125,0.049375,0.0975,0.196875
500,marginal,confounder,8,50.0,210.5,228.025,0.0,0.0,0.0375,0.0925,0.145,0.26
500,marginal,mixed,8,100.0,249.0,252.62625,0.0,0.0,0.0175,0.04,0.0875,0.19
500,residualized,causal,8,200.0,227.5,229.04125,-19.0,-22.933125,0.0225,0.054375,0.106875,0.215625
500,residualized,confounder,8,50.0,475.5,460.335,253.5,232.31,0.0,0.0,0.0,0.0
500,residualized,mixed,8,100.0,227.0,225.17875,-30.0,-27.4475,0.02375,0.06,0.11875,0.225
500,within_tissue,causal,8,200.0,225.0,225.390625,-22.0,-26.58375,0.024375,0.06125,0.116875,0.225625
500,within_tissue,confounder,8,50.0,475.5,465.755,260.5,237.73,0.0,0.0,0.0,0.0
500,within_tissue,mixed,8,100.0,220.5,223.73625,-24.0,-28.89,0.02375,0.05125,0.10875,0.225
1000,adae,causal,32,200.0,252.0,251.60609375,2.0,1.3584375,0.01859375,0.04953125,0.10046875,0.1946875
1000,adae,confounder,32,50.0,240.0,246.995,6.0,6.605625,0.02125,0.049375,0.10375,0.2025
1000,adae,mixed,32,100.0,246.0,247.4828125,1.0,-1.041875,0.023125,0.04875,0.0953125,0.209375
1000,dann,causal,32,200.0,252.0,250.9359375,0.0,0.68828125,0.02,0.04921875,0.09984375,0.204375
1000,dann,confounder,32,50.0,226.5,235.101875,-6.0,-5.2875,0.035625,0.080625,0.1425,0.241875
1000,dann,mixed,32,100.0,245.0,248.2234375,0.5,-0.30125,0.0225,0.0540625,0.1028125,0.2034375
1000,irm,causal,32,200.0,245.0,246.01515625,-3.0,-4.2325,0.02234375,0.0565625,0.10734375,0.21125
1000,irm,confounder,32,50.0,282.5,271.476875,24.0,31.0875,0.0125,0.036875,0.073125,0.165625
1000,irm,mixed,32,100.0,244.0,244.470625,-5.0,-4.0540625,0.02125,0.0590625,0.1090625,0.2159375
1000,marginal,causal,32,200.0,250.0,250.24765625,0.0,0.0,0.0215625,0.05015625,0.0975,0.1975
1000,marginal,confounder,32,50.0,229.5,240.389375,0.0,0.0,0.031875,0.070625,0.124375,0.228125
1000,marginal,mixed,32,100.0,250.5,248.5246875,0.0,0.0,0.0196875,0.0540625,0.113125,0.214375
1000,residualized,causal,32,200.0,223.0,225.5303125,-22.0,-24.71734375,0.02546875,0.05796875,0.115,0.2271875
1000,residualized,confounder,32,50.0,475.5,457.315,231.0,216.925625,0.0,0.0,0.0,0.000625
1000,residualized,mixed,32,100.0,222.5,224.405625,-22.0,-24.1190625,0.023125,0.06125,0.1165625,0.231875
1000,within_tissue,causal,32,200.0,223.0,225.9575,-20.0,-24.29015625,0.0234375,0.05609375,0.11296875,0.2228125
1000,within_tissue,confounder,32,50.0,475.0,464.6625,239.0,224.273125,0.0,0.0,0.0,0.0
1000,within_tissue,mixed,32,100.0,224.5,223.588125,-20.0,-24.9365625,0.0271875,0.0615625,0.1265625,0.240625
2000,irm,causal,8,200.0,242.0,244.935625,1.0,1.96375,0.025,0.055,0.11,0.21375
2000,irm,confounder,8,50.0,277.0,276.5975,26.5,23.7875,0.005,0.0325,0.0575,0.1275
2000,irm,mixed,8,100.0,261.0,253.51375,-3.5,-1.04375,0.02375,0.06,0.11375,0.215
2000,marginal,causal,8,200.0,244.0,242.971875,0.0,0.0,0.0275,0.058125,0.111875,0.22375
2000,marginal,confounder,8,50.0,250.5,252.81,0.0,0.0,0.025,0.0625,0.1025,0.19
2000,marginal,mixed,8,100.0,255.0,254.5575,0.0,0.0,0.01875,0.04125,0.09375,0.19125
2000,residualized,causal,8,200.0,219.0,225.175625,-13.5,-17.79625,0.02875,0.060625,0.115625,0.23625
2000,residualized,confounder,8,50.0,475.5,455.765,206.5,202.955,0.0,0.0,0.0,0.0
2000,residualized,mixed,8,100.0,223.0,225.98875,-18.5,-28.56875,0.02,0.06,0.11875,0.20875
2000,within_tissue,causal,8,200.0,219.5,220.6425,-18.0,-22.329375,0.02625,0.065,0.124375,0.246875
2000,within_tissue,confounder,8,50.0,475.5,463.38,220.0,210.57,0.0,0.0,0.0,0.0
2000,within_tissue,mixed,8,100.0,226.0,230.90125,-18.0,-23.65625,0.02125,0.05125,0.09875,0.1975
5000,irm,causal,8,200.0,229.0,233.491875,-1.0,-2.516875,0.028125,0.06625,0.12375,0.243125
5000,irm,confounder,8,50.0,304.5,293.4875,11.5,9.395,0.01,0.035,0.0625,0.145
5000,irm,mixed,8,100.0,246.5,250.29625,14.5,11.86875,0.02875,0.065,0.12,0.2025
5000,marginal,causal,8,200.0,232.5,236.00875,0.0,0.0,0.0325,0.073125,0.13375,0.23875
5000,marginal,confounder,8,50.0,288.0,284.0925,0.0,0.0,0.0,0.0125,0.0325,0.125
5000,marginal,mixed,8,100.0,235.0,238.4275,0.0,0.0,0.03,0.0725,0.13625,0.2475
