n_cells,method,effect_bin,effect_median,n_seeds,median_dRank_causal,median_dRank_mixed,differential (mixed - causal),wilcoxon_p
1000,adae,0,0.0067,32,-13.0,0.5,26.75,0.05448048235848546
1000,adae,1,0.0209,32,-15.0,10.5,38.0,0.059545967262238264
1000,adae,2,0.039349999999999996,32,5.75,18.5,25.5,0.012499021831899881
1000,adae,3,0.0759,32,10.25,13.25,10.25,0.19655908923596144
1000,dann,0,0.0067,32,-2.0,25.75,28.0,0.020511694252490997
1000,dann,1,0.0209,32,-6.75,6.0,11.75,0.0881902855140814
1000,dann,2,0.039349999999999996,32,-0.25,25.0,34.0,0.0025649620220065117
1000,dann,3,0.0759,32,-18.0,-4.0,15.0,0.1544793052598834
1000,irm,0,0.0067,32,-2.0,11.75,15.75,0.05731373728075106
1000,irm,1,0.0209,32,-19.25,6.75,8.0,0.18378333235159516
1000,irm,2,0.039349999999999996,32,-7.25,6.25,7.75,0.20317862927913666
1000,irm,3,0.0759,32,4.0,14.5,12.75,0.06498370366171002
1000,residualized,0,0.0067,32,-38.5,73.5,113.25,3.259629011154175e-08
1000,residualized,1,0.0209,32,-36.75,72.0,126.5,2.3283064365386963e-09
1000,residualized,2,0.039349999999999996,32,-27.0,87.25,104.25,4.656612873077393e-10
1000,residualized,3,0.0759,32,-20.75,84.25,101.75,2.561137080192566e-08
1000,within_tissue,0,0.0067,32,-29.25,76.5,108.0,4.656612873077393e-10
1000,within_tissue,1,0.0209,32,-29.75,68.0,98.5,4.656612873077393e-10
1000,within_tissue,2,0.039349999999999996,32,-24.75,78.0,105.5,4.656612873077393e-10
1000,within_tissue,3,0.0759,32,-22.0,70.5,94.5,4.656612873077393e-10
