seed,n_cells,method,gene,gene_class,effect,rank
1,500,marginal,g0098,mixed,0.0956,261
1,500,marginal,g0152,mixed,0.0443,180
1,500,marginal,g0432,mixed,0.0125,103
1,500,marginal,g0279,mixed,0.1212,212
1,500,marginal,g0232,mixed,0.0074,291
1,500,marginal,g0036,mixed,0.0501,392
1,500,marginal,g0119,mixed,0.0078,452
1,500,marginal,g0221,mixed,0.0491,396
1,500,marginal,g0481,mixed,0.0785,407
1,500,marginal,g0045,mixed,0.1328,353
1,500,marginal,g0286,mixed,0.015,119
1,500,marginal,g0185,mixed,0.0415,107
1,500,marginal,g0387,mixed,0.0164,128
1,500,marginal,g0454,mixed,0.0575,388
1,500,marginal,g0035,mixed,0.0001,300
1,500,marginal,g0405,mixed,0.0076,233
1,500,marginal,g0111,mixed,0.0467,141
1,500,marginal,g0115,mixed,0.0664,97
1,500,marginal,g0494,mixed,0.0432,463
1,500,marginal,g0218,mixed,0.0604,478
1,500,marginal,g0165,mixed,0.0536,182
1,500,marginal,g0429,mixed,0.0209,116
1,500,marginal,g0409,mixed,0.0773,497
1,500,marginal,g0485,mixed,0.0599,400
1,500,marginal,g0057,mixed,0.011,85
1,500,marginal,g0459,mixed,0.0067,434
1,500,marginal,g0248,mixed,0.0469,283
1,500,marginal,g0214,mixed,0.2457,148
1,500,marginal,g0107,mixed,0.0191,163
1,500,marginal,g0324,mixed,0.111,124
1,500,marginal,g0120,mixed,0.0047,101
1,500,marginal,g0219,mixed,0.1337,38
1,500,marginal,g0273,mixed,0.0861,243
1,500,marginal,g0291,mixed,0.0071,397
1,500,marginal,g0491,mixed,0.0487,271
1,500,marginal,g0453,mixed,0.0215,277
1,500,marginal,g0272,mixed,0.0994,55
1,500,marginal,g0419,mixed,0.036,499
1,500,marginal,g0005,mixed,0.0815,269
1,500,marginal,g0025,mixed,0.0415,249
1,500,marginal,g0260,mixed,0.1076,99
1,500,marginal,g0176,mixed,0.0842,193
1,500,marginal,g0095,mixed,0.0415,203
1,500,marginal,g0439,mixed,0.0262,299
1,500,marginal,g0342,mixed,0.0503,443
1,500,marginal,g0461,mixed,0.0082,278
