seed,n_cells,method,gene,gene_class,effect,rank
25,1000,dann,g0055,mixed,0.0279,129
25,1000,dann,g0400,mixed,0.0125,263
25,1000,dann,g0410,mixed,0.0266,390
25,1000,dann,g0251,mixed,0.0484,152
25,1000,dann,g0153,mixed,0.0107,367
25,1000,dann,g0050,mixed,0.0037,461
25,1000,dann,g0298,mixed,0.0247,198
25,1000,dann,g0453,mixed,0.0048,271
25,1000,dann,g0327,mixed,0.0107,250
25,1000,dann,g0409,mixed,0.0313,48
25,1000,dann,g0375,mixed,0.0019,175
25,1000,dann,g0193,mixed,0.0095,139
25,1000,dann,g0439,mixed,0.0062,219
25,1000,dann,g0177,mixed,0.0041,481
25,1000,dann,g0269,mixed,0.0022,439
25,1000,dann,g0374,mixed,0.1285,340
25,1000,dann,g0071,mixed,0.0682,322
25,1000,dann,g0234,mixed,0.0331,79
25,1000,dann,g0422,mixed,0.0121,27
25,1000,dann,g0113,mixed,0.0224,197
25,1000,dann,g0297,mixed,0.0232,121
25,1000,dann,g0261,mixed,0.0139,34
25,1000,dann,g0098,mixed,0.0824,432
25,1000,dann,g0218,mixed,0.0034,443
25,1000,dann,g0168,mixed,0.0225,291
25,1000,dann,g0090,mixed,0.0183,235
25,1000,dann,g0271,mixed,0.0011,405
25,1000,dann,g0238,mixed,0.0058,392
25,1000,dann,g0230,mixed,0.0052,146
25,1000,dann,g0014,mixed,0.0236,86
25,1000,dann,g0493,mixed,0.0074,363
25,1000,dann,g0345,mixed,0.021,428
25,1000,dann,g0421,mixed,0.0438,378
25,1000,dann,g0204,mixed,0.0752,40
25,1000,dann,g0424,mixed,0.0318,180
25,1000,dann,g0119,mixed,0.0525,342
25,1000,dann,g0294,mixed,0.0394,256
25,1000,dann,g0142,mixed,0.0397,329
25,1000,dann,g0487,mixed,0.0858,153
25,1000,dann,g0301,mixed,0.1584,409
25,1000,dann,g0323,mixed,0.0476,400
25,1000,dann,g0479,mixed,0.0023,29
25,1000,dann,g0413,mixed,0.0112,425
25,1000,dann,g0103,mixed,0.1283,247
25,1000,dann,g0237,mixed,0.0331,402
25,1000,dann,g0325,mixed,0.0351,477
25,1000,dann,g0021,mixed,0.0188,421
25,1000,dann,g0282,mixed,0.0251,319
25,1000,dann,g0170,mixed,0.0387,444
25,1000,dann,g0276,mixed,0.0227,334
25,1000,dann,g0012,mixed,0.0166,469
25,1000,dann,g0432,mixed,0.0049,455
25,1000,dann,g0037,mixed,0.02,472
25,1000,dann,g0086,mixed,0.0047,483
25,1000,dann,g0498,mixed,0.0672,468
25,1000,dann,g0139,mixed,0.0157,406
25,1000,dann,g0041,mixed,0.0535,361
25,1000,dann,g0221,mixed,0.0509,134
25,1000,dann,g0382,mixed,0.0338,500
25,1000,dann,g0180,mixed,0.0419,17
25,1000,dann,g0235,mixed,0.0323,240
25,1000,dann,g0081,mixed,0.0121,264
25,1000,dann,g0303,mixed,0.0067,391
25,1000,dann,g0017,mixed,0.0644,498
25,1000,dann,g0030,mixed,0.079,91
25,1000,dann,g0130,mixed,0.0198,336
25,1000,dann,g0206,mixed,0.016,5
25,1000,dann,g0211,mixed,0.0046,210
25,1000,dann,g0152,mixed,0.1568,427
25,1000,dann,g0048,mixed,0.0255,416
25,1000,dann,g0175,mixed,0.013,366
25,1000,dann,g0197,mixed,0.0031,109
25,1000,dann,g0258,mixed,0.0006,410
25,1000,dann,g0184,mixed,0.0191,186
25,1000,dann,g0146,mixed,0.0435,110
25,1000,dann,g0027,mixed,0.0231,315
25,1000,dann,g0199,mixed,0.0054,346
25,1000,dann,g0025,mixed,0.0105,295
25,1000,dann,g0205,mixed,0.0085,26
25,1000,dann,g0485,mixed,0.0352,458
25,1000,dann,g0305,mixed,0.0181,387
25,1000,dann,g0248,mixed,0.0534,248
25,1000,dann,g0449,mixed,0.0035,374
25,1000,dann,g0228,mixed,0.0477,66
25,1000,dann,g0381,mixed,0.0468,431
25,1000,dann,g0389,mixed,0.0245,9
25,1000,dann,g0212,mixed,0.0018,474
25,1000,dann,g0337,mixed,0.0779,234
25,1000,dann,g0468,mixed,0.0838,127
25,1000,dann,g0451,mixed,0.0166,216
25,1000,dann,g0350,mixed,0.0137,489
25,1000,dann,g0176,mixed,0.0324,200
25,1000,dann,g0463,mixed,0.0372,124
25,1000,dann,g0076,mixed,0.036,83
25,1000,dann,g0015,mixed,0.0645,339
25,1000,dann,g0315,mixed,0.0029,2
25,1000,dann,g0004,mixed,0.0345,195
25,1000,dann,g0194,mixed,0.0739,38
25,1000,dann,g0332,mixed,0.0491,471
25,1000,dann,g0378,mixed,0.0123,182
25,1000,dann,g0182,causal,0.0924,57
25,1000,dann,g0122,causal,0.0076,241
25,1000,dann,g0339,causal,0.052,4
25,1000,dann,g0392,causal,0.021,55
25,1000,dann,g0402,causal,0.0184,403
25,1000,dann,g0476,causal,0.0002,183
25,1000,dann,g0283,causal,0.0048,159
25,1000,dann,g0341,causal,0.0346,426
25,1000,dann,g0281,causal,0.0235,178
25,1000,dann,g0366,causal,0.0701,306
25,1000,dann,g0415,causal,0.0308,436
25,1000,dann,g0161,causal,0.0919,424
25,1000,dann,g0106,causal,0.0201,494
25,1000,dann,g0489,causal,0.1514,45
25,1000,dann,g0397,causal,0.0218,479
25,1000,dann,g0100,causal,0.0159,181
25,1000,dann,g0214,causal,0.0091,318
25,1000,dann,g0483,causal,0.0129,62
25,1000,dann,g0309,causal,0.0471,107
25,1000,dann,g0151,causal,0.0686,399
25,1000,dann,g0022,causal,0.023,99
25,1000,dann,g0079,causal,0.0353,389
25,1000,dann,g0328,causal,0.0103,243
25,1000,dann,g0005,causal,0.0236,274
25,1000,dann,g0326,causal,0.0104,222
25,1000,dann,g0232,causal,0.2011,16
25,1000,dann,g0444,causal,0.0495,94
25,1000,dann,g0423,causal,0.0382,309
25,1000,dann,g0148,causal,0.0625,328
25,1000,dann,g0300,causal,0.0173,286
25,1000,dann,g0255,causal,0.0328,359
25,1000,dann,g0474,causal,0.0301,298
25,1000,dann,g0162,causal,0.0453,296
25,1000,dann,g0284,causal,0.0125,299
25,1000,dann,g0201,causal,0.0096,488
25,1000,dann,g0414,causal,0.1081,467
25,1000,dann,g0452,causal,0.0014,238
25,1000,dann,g0222,causal,0.0234,77
25,1000,dann,g0396,causal,0.0065,360
25,1000,dann,g0104,causal,0.0494,448
25,1000,dann,g0053,causal,0.105,130
25,1000,dann,g0429,causal,0.005,122
25,1000,dann,g0042,causal,0.0695,54
25,1000,dann,g0496,causal,0.0428,131
25,1000,dann,g0330,causal,0.0236,144
25,1000,dann,g0127,causal,0.0143,280
25,1000,dann,g0252,causal,0.0334,466
25,1000,dann,g0278,causal,0.0273,228
25,1000,dann,g0433,causal,0.0637,440
25,1000,dann,g0347,causal,0.0577,260
25,1000,dann,g0364,causal,0.0441,420
25,1000,dann,g0430,causal,0.0214,433
25,1000,dann,g0318,causal,0.012,413
25,1000,dann,g0013,causal,0.0034,117
25,1000,dann,g0075,causal,0.0715,381
25,1000,dann,g0263,causal,0.0224,283
25,1000,dann,g0482,causal,0.0242,36
25,1000,dann,g0373,causal,0.0778,261
25,1000,dann,g0111,causal,0.0156,239
25,1000,dann,g0065,causal,0.0271,141
25,1000,dann,g0394,causal,0.0423,103
25,1000,dann,g0123,causal,0.0049,148
25,1000,dann,g0196,causal,0.0033,423
25,1000,dann,g0459,causal,0.0034,237
25,1000,dann,g0164,causal,0.1123,73
25,1000,dann,g0033,causal,0.0415,496
25,1000,dann,g0231,causal,0.001,473
25,1000,dann,g0094,causal,0.0109,111
25,1000,dann,g0203,causal,0.0253,60
25,1000,dann,g0383,causal,0.0126,331
25,1000,dann,g0143,causal,0.0087,138
25,1000,dann,g0471,causal,0.014,108
25,1000,dann,g0322,causal,0.0048,72
25,1000,dann,g0077,causal,0.0275,101
25,1000,dann,g0393,causal,0.0528,174
25,1000,dann,g0128,causal,0.0145,310
25,1000,dann,g0447,causal,0.0192,199
25,1000,dann,g0026,causal,0.0085,358
25,1000,dann,g0208,causal,0.0022,384
25,1000,dann,g0260,causal,0.0273,96
25,1000,dann,g0380,causal,0.0049,43
25,1000,dann,g0310,causal,0.0008,393
25,1000,dann,g0488,causal,0.01,231
25,1000,dann,g0401,causal,0.0365,69
25,1000,dann,g0470,causal,0.0155,218
25,1000,dann,g0110,causal,0.0782,246
25,1000,dann,g0338,causal,0.0663,8
25,1000,dann,g0307,causal,0.0714,100
25,1000,dann,g0372,causal,0.063,7
25,1000,dann,g0209,causal,0.0084,68
25,1000,dann,g0087,causal,0.0114,194
25,1000,dann,g0385,causal,0.1261,140
25,1000,dann,g0334,causal,0.0129,335
25,1000,dann,g0034,causal,0.0998,81
25,1000,dann,g0352,causal,0.0052,115
25,1000,dann,g0335,causal,0.052,470
25,1000,dann,g0216,causal,0.07,449
25,1000,dann,g0244,causal,0.047,277
25,1000,dann,g0450,causal,0.0011,1
25,1000,dann,g0286,causal,0.0334,305
25,1000,dann,g0456,causal,0.0189,25
25,1000,dann,g0066,causal,0.0338,267
25,1000,dann,g0215,causal,0.1155,156
25,1000,dann,g0188,causal,0.0108,209
25,1000,dann,g0265,causal,0.0207,276
25,1000,dann,g0220,causal,0.1414,185
25,1000,dann,g0134,causal,0.0502,172
25,1000,dann,g0344,causal,0.0164,388
25,1000,dann,g0101,causal,0.2048,353
25,1000,dann,g0247,causal,0.0342,338
25,1000,dann,g0249,causal,0.0292,408
25,1000,dann,g0036,causal,0.0034,454
25,1000,dann,g0398,causal,0.0181,253
25,1000,dann,g0495,causal,0.0415,325
25,1000,dann,g0061,causal,0.0811,316
25,1000,dann,g0262,causal,0.043,490
25,1000,dann,g0270,causal,0.0626,126
25,1000,dann,g0279,causal,0.0712,352
25,1000,dann,g0336,causal,0.1473,137
25,1000,dann,g0426,causal,0.0477,401
25,1000,dann,g0070,causal,0.0027,480
25,1000,dann,g0137,causal,0.0117,207
25,1000,dann,g0120,causal,0.0057,257
25,1000,dann,g0166,causal,0.016,70
25,1000,dann,g0020,causal,0.0286,220
