seed,n_cells,method,gene,gene_class,effect,rank
9,1000,marginal,g0268,mixed,0.1064,68
9,1000,marginal,g0030,mixed,0.0213,245
9,1000,marginal,g0123,mixed,0.0173,201
9,1000,marginal,g0265,mixed,0.0345,32
9,1000,marginal,g0035,mixed,0.0583,468
9,1000,marginal,g0497,mixed,0.0178,353
9,1000,marginal,g0180,mixed,0.0261,408
9,1000,marginal,g0072,mixed,0.0279,109
9,1000,marginal,g0405,mixed,0.0297,198
9,1000,marginal,g0364,mixed,0.0416,11
9,1000,marginal,g0184,mixed,0.0747,244
9,1000,marginal,g0499,mixed,0.0188,272
9,1000,marginal,g0316,mixed,0.1758,14
9,1000,marginal,g0284,mixed,0.0048,444
9,1000,marginal,g0314,mixed,0.006,36
9,1000,marginal,g0074,mixed,0.0084,93
9,1000,marginal,g0092,mixed,0.028,43
9,1000,marginal,g0203,mixed,0.0562,438
9,1000,marginal,g0255,mixed,0.0856,361
9,1000,marginal,g0292,mixed,0.0636,104
9,1000,marginal,g0367,mixed,0.0151,424
9,1000,marginal,g0256,mixed,0.0209,339
9,1000,marginal,g0382,mixed,0.0003,255
9,1000,marginal,g0274,mixed,0.027,145
9,1000,marginal,g0163,mixed,0.0456,359
9,1000,marginal,g0260,mixed,0.0004,223
9,1000,marginal,g0090,mixed,0.0317,61
9,1000,marginal,g0229,mixed,0.0536,177
9,1000,marginal,g0204,mixed,0.006,404
9,1000,marginal,g0371,mixed,0.0262,224
9,1000,marginal,g0434,mixed,0.0666,358
9,1000,marginal,g0243,mixed,0.0271,222
9,1000,marginal,g0198,mixed,0.0137,357
9,1000,marginal,g0391,mixed,0.0419,210
9,1000,marginal,g0309,mixed,0.0038,479
9,1000,marginal,g0306,mixed,0.1467,180
9,1000,marginal,g0059,mixed,0.063,147
9,1000,marginal,g0278,mixed,0.0508,292
9,1000,marginal,g0084,mixed,0.0137,186
9,1000,marginal,g0007,mixed,0.082,296
9,1000,marginal,g0422,mixed,0.0492,126
9,1000,marginal,g0210,mixed,0.009,446
9,1000,marginal,g0388,mixed,0.0177,434
9,1000,marginal,g0236,mixed,0.1067,309
9,1000,marginal,g0105,mixed,0.0412,69
9,1000,marginal,g0331,mixed,0.0359,329
9,1000,marginal,g0073,mixed,0.001,375
9,1000,marginal,g0383,mixed,0.026,6
9,1000,marginal,g0091,mixed,0.0465,403
9,1000,marginal,g0088,mixed,0.0892,130
9,1000,marginal,g0068,mixed,0.0023,31
9,1000,marginal,g0286,mixed,0.065,111
9,1000,marginal,g0419,mixed,0.0158,203
9,1000,marginal,g0197,mixed,0.0033,251
9,1000,marginal,g0301,mixed,0.0126,80
9,1000,marginal,g0257,mixed,0.0285,56
9,1000,marginal,g0230,mixed,0.018,181
9,1000,marginal,g0223,mixed,0.0442,184
9,1000,marginal,g0040,mixed,0.0803,288
9,1000,marginal,g0099,mixed,0.0395,266
9,1000,marginal,g0318,mixed,0.0084,175
9,1000,marginal,g0447,mixed,0.0763,433
9,1000,marginal,g0401,mixed,0.0853,297
9,1000,marginal,g0445,mixed,0.0316,278
9,1000,marginal,g0064,mixed,0.0272,417
9,1000,marginal,g0173,mixed,0.0073,429
9,1000,marginal,g0089,mixed,0.0203,437
9,1000,marginal,g0396,mixed,0.056,60
9,1000,marginal,g0048,mixed,0.0146,199
9,1000,marginal,g0117,mixed,0.0566,442
9,1000,marginal,g0001,mixed,0.0306,405
9,1000,marginal,g0206,mixed,0.0329,15
9,1000,marginal,g0373,mixed,0.066,158
9,1000,marginal,g0420,mixed,0.0259,289
9,1000,marginal,g0426,mixed,0.0427,128
9,1000,marginal,g0407,mixed,0.0411,39
9,1000,marginal,g0247,mixed,0.0173,132
9,1000,marginal,g0355,mixed,0.0513,343
9,1000,marginal,g0341,mixed,0.1035,148
9,1000,marginal,g0387,mixed,0.0411,35
9,1000,marginal,g0235,mixed,0.0267,275
9,1000,marginal,g0439,mixed,0.0428,384
