seed,n_cells,method,within_r,pearson_r,eta_y,contam50,conf_median_rank
1,500,marginal,-0.2085,0.302,0.1325,0.14,182.5
1,500,within_tissue,,,0.1325,0.0,475.5
1,500,residualized,,,0.1325,0.0,475.5
1,500,irm,,,0.1325,0.14,259.5
1,1000,marginal,0.2299,0.3079,0.1509,0.0,379.5
1,1000,within_tissue,,,0.1509,0.0,475.5
1,1000,residualized,,,0.1509,0.0,475.5
1,1000,irm,,,0.1509,0.0,390.0
1,2000,marginal,0.1126,0.5193,0.2426,0.08,253.5
1,2000,within_tissue,,,0.2426,0.0,475.5
1,2000,residualized,,,0.2426,0.0,475.5
1,2000,irm,,,0.2426,0.02,294.0
1,5000,marginal,0.1337,0.5663,0.3074,0.06,269.0
1,5000,within_tissue,,,0.3074,0.0,474.5
1,5000,residualized,,,0.3074,0.0,475.5
1,5000,irm,,,0.3074,0.06,255.0
1,10000,marginal,0.1749,0.5303,0.2722,0.02,288.5
1,10000,within_tissue,,,0.2722,0.0,475.0
1,10000,residualized,,,0.2722,0.0,475.5
1,10000,irm,,,0.2722,0.06,323.5
1,20000,marginal,0.2007,0.4766,0.212,0.02,240.5
1,20000,within_tissue,,,0.212,0.0,475.5
1,20000,residualized,,,0.212,0.0,475.5
1,20000,irm,,,0.212,0.02,328.0
1,40000,marginal,0.1927,0.5001,0.232,0.04,219.5
1,40000,within_tissue,,,0.232,0.0,475.5
1,40000,residualized,,,0.232,0.0,475.5
1,40000,irm,,,0.232,0.0,287.5
1,80000,marginal,0.2984,0.497,0.1698,0.04,190.5
1,80000,within_tissue,,,0.1698,0.0,475.5
1,80000,residualized,,,0.1698,0.0,474.5
1,80000,irm,,,0.1698,0.0,191.0
2,500,marginal,0.2247,0.5036,0.2846,0.0,386.5
2,500,within_tissue,,,0.2846,0.0,475.5
2,500,residualized,,,0.2846,0.0,475.5
2,500,irm,,,0.2846,0.0,359.0
2,1000,marginal,0.0244,0.4828,0.2146,0.16,225.0
2,1000,within_tissue,,,0.2146,0.0,474.5
2,1000,residualized,,,0.2146,0.0,475.5
2,1000,irm,,,0.2146,0.08,199.5
2,2000,marginal,0.0641,0.5171,0.2224,0.18,203.0
2,2000,within_tissue,,,0.2224,0.0,475.5
2,2000,residualized,,,0.2224,0.0,475.5
2,2000,irm,,,0.2224,0.1,237.5
2,5000,marginal,0.0939,0.4851,0.2301,0.08,264.5
2,5000,within_tissue,,,0.2301,0.0,475.5
2,5000,residualized,,,0.2301,0.0,475.5
2,5000,irm,,,0.2301,0.06,295.5
2,10000,marginal,0.2266,0.5123,0.1902,0.0,274.5
2,10000,within_tissue,,,0.1902,0.0,475.5
2,10000,residualized,,,0.1902,0.0,475.5
2,10000,irm,,,0.1902,0.0,362.5
2,20000,marginal,0.2222,0.466,0.1765,0.0,298.0
2,20000,within_tissue,,,0.1765,0.0,475.5
