seed,n_cells,method,within_r,pearson_r,eta_y,contam50,conf_median_rank,diag_domain_acc_train,diag_domain_acc_val,diag_n_domains,diag_final_lambda,diag_last_epoch_lambda,diag_eligible_from_epoch,diag_majority_domain_frac,diag_adv_acc_train,diag_adv_acc_val,diag_recon_val_pretrain,diag_recon_val_final,diag_adv_ce_val_pretrain,diag_adv_ce_val_final,diag_adv_ce_chance,diag_joint_rounds_run,diag_joint_round_selected,diag_diverged,diag_n_classes,diag_majority_class_frac,diag_head_degenerate,diag_head_en_alpha,diag_head_en_l1_ratio,diag_head_en_nnz,diag_head_en_val_mse,diag_head_ridge_alpha,diag_head_ridge_val_mse,diag_emb_abs_max
1,1000,marginal,0.0692,0.2507,0.1885,0.04,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,within_tissue,,,0.1885,0.0,371.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,residualized,,,0.1885,0.02,382.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,irm,,,0.1885,0.06,291.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,dann,0.1449,0.2525,0.1885,0.1,235.0,0.0482,0.0667,12.0,0.9875,0.9971,26.0,0.1976,,,,,,,,,,,,,,,,,,,,
1,1000,adae,0.1092,0.2536,0.1885,0.12,217.0,,,,,,,,0.6129,0.6533,0.4273,0.7889,0.0006,1.6199,2.1562,29.0,14.0,0.0,12.0,0.1976,0.0,0.0047,1.0,8.0,5.2082,4.1246,5.2453,670.9577
2,1000,marginal,0.0449,0.5285,0.2533,0.08,256.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,within_tissue,,,0.2533,0.02,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,residualized,,,0.2533,0.02,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,irm,,,0.2533,0.16,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,dann,0.1184,0.4091,0.2533,0.08,235.5,0.2176,0.2067,12.0,0.9705,0.993,26.0,0.2435,,,,,,,,,,,,,,,,,,,,
2,1000,adae,0.0518,0.5262,0.2533,0.06,268.0,,,,,,,,0.62,0.6,0.4266,0.7865,0.0005,3.1169,2.3122,26.0,11.0,0.0,12.0,0.2435,0.0,0.0024,0.5,52.0,3.7708,2.2855,3.7853,221.9167
3,1000,marginal,0.1215,0.3864,0.1784,0.1,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,within_tissue,,,0.1784,0.06,345.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,residualized,,,0.1784,0.02,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,irm,,,0.1784,0.08,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,dann,0.056,0.2387,0.1784,0.04,253.5,0.1059,0.1133,12.0,0.9608,0.9907,26.0,0.2141,,,,,,,,,,,,,,,,,,,,
3,1000,adae,0.1147,0.37,0.1784,0.04,289.5,,,,,,,,0.4341,0.4067,0.4344,0.54,0.0004,1.6556,2.2373,33.0,18.0,0.0,12.0,0.2141,0.0,0.0025,0.5,43.0,4.0801,1.2664,4.0596,319.4584
4,1000,marginal,0.1627,0.3801,0.178,0.12,207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,within_tissue,,,0.178,0.02,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,residualized,,,0.178,0.04,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,irm,,,0.178,0.06,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,dann,0.1559,0.3439,0.178,0.1,256.5,0.0035,0.0,12.0,0.9549,0.9892,26.0,0.1447,,,,,,,,,,,,,,,,,,,,
4,1000,adae,-0.0489,0.3626,0.178,0.18,159.5,,,,,,,,0.6082,0.6467,0.4098,0.5876,0.0005,1.4452,2.2773,27.0,12.0,0.0,12.0,0.1447,0.0,0.0088,0.1,67.0,4.7891,2.2855,4.8254,457.0212
