seed,n_cells,method,gene,gene_class,effect,rank
29,1000,marginal,g0317,mixed,0.0072,266
29,1000,marginal,g0195,mixed,0.0077,37
29,1000,marginal,g0360,mixed,0.0269,27
29,1000,marginal,g0030,mixed,0.0263,308
29,1000,marginal,g0081,mixed,0.2113,321
29,1000,marginal,g0437,mixed,0.0335,371
29,1000,marginal,g0140,mixed,0.0715,24
29,1000,marginal,g0242,mixed,0.017,208
29,1000,marginal,g0041,mixed,0.0025,454
29,1000,marginal,g0069,mixed,0.02,207
29,1000,marginal,g0023,mixed,0.0352,155
29,1000,marginal,g0190,mixed,0.007,168
29,1000,marginal,g0217,mixed,0.0196,180
29,1000,marginal,g0455,mixed,0.0358,6
29,1000,marginal,g0025,mixed,0.0491,405
29,1000,marginal,g0040,mixed,0.0478,240
29,1000,marginal,g0450,mixed,0.0039,353
29,1000,marginal,g0300,mixed,0.1476,378
29,1000,marginal,g0467,mixed,0.0739,349
29,1000,marginal,g0054,mixed,0.0533,36
29,1000,marginal,g0029,mixed,0.1743,112
29,1000,marginal,g0401,mixed,0.0131,411
29,1000,marginal,g0189,mixed,0.0174,410
29,1000,marginal,g0257,mixed,0.0644,235
29,1000,marginal,g0275,mixed,0.0251,137
29,1000,marginal,g0436,mixed,0.0373,474
29,1000,marginal,g0418,mixed,0.0995,211
29,1000,marginal,g0381,mixed,0.0025,291
29,1000,marginal,g0252,mixed,0.0499,5
29,1000,marginal,g0472,mixed,0.0457,440
29,1000,marginal,g0131,mixed,0.0082,98
29,1000,marginal,g0165,mixed,0.0657,12
29,1000,marginal,g0247,mixed,0.0227,464
29,1000,marginal,g0321,mixed,0.0035,455
29,1000,marginal,g0059,mixed,0.0688,461
29,1000,marginal,g0108,mixed,0.0339,146
29,1000,marginal,g0368,mixed,0.0351,224
29,1000,marginal,g0272,mixed,0.0468,38
29,1000,marginal,g0246,mixed,0.0512,473
29,1000,marginal,g0379,mixed,0.001,106
29,1000,marginal,g0243,mixed,0.1967,49
29,1000,marginal,g0157,mixed,0.0046,26
29,1000,marginal,g0114,mixed,0.0941,302
29,1000,marginal,g0278,mixed,0.0828,33
29,1000,marginal,g0294,mixed,0.0757,174
29,1000,marginal,g0013,mixed,0.0019,54
29,1000,marginal,g0138,mixed,0.0252,403
29,1000,marginal,g0490,mixed,0.0519,151
29,1000,marginal,g0295,mixed,0.0727,467
29,1000,marginal,g0486,mixed,0.06,369
29,1000,marginal,g0087,mixed,0.0303,185
29,1000,marginal,g0061,mixed,0.0517,391
29,1000,marginal,g0260,mixed,0.0924,66
29,1000,marginal,g0342,mixed,0.0045,243
29,1000,marginal,g0491,mixed,0.0116,275
29,1000,marginal,g0274,mixed,0.0458,326
29,1000,marginal,g0079,mixed,0.0341,141
29,1000,marginal,g0422,mixed,0.0233,247
29,1000,marginal,g0413,mixed,0.0096,7
29,1000,marginal,g0060,mixed,0.099,80
29,1000,marginal,g0099,mixed,0.0248,241
29,1000,marginal,g0281,mixed,0.0138,344
29,1000,marginal,g0314,mixed,0.0051,300
29,1000,marginal,g0199,mixed,0.0318,494
29,1000,marginal,g0231,mixed,0.1056,78
29,1000,marginal,g0111,mixed,0.0163,172
29,1000,marginal,g0496,mixed,0.0159,447
29,1000,marginal,g0182,mixed,0.0175,477
29,1000,marginal,g0251,mixed,0.0374,312
29,1000,marginal,g0159,mixed,0.0254,331
29,1000,marginal,g0445,mixed,0.0362,354
29,1000,marginal,g0172,mixed,0.0585,120
29,1000,marginal,g0043,mixed,0.0087,426
29,1000,marginal,g0145,mixed,0.0814,327
29,1000,marginal,g0498,mixed,0.0417,116
29,1000,marginal,g0356,mixed,0.0163,182
29,1000,marginal,g0210,mixed,0.037,178
29,1000,marginal,g0305,mixed,0.005,165
29,1000,marginal,g0420,mixed,0.0052,286
29,1000,marginal,g0144,mixed,0.0925,34
29,1000,marginal,g0090,mixed,0.0075,483
29,1000,marginal,g0365,mixed,0.0141,475
29,1000,marginal,g0233,mixed,0.011,169
29,1000,marginal,g0035,mixed,0.0076,488
29,1000,marginal,g0451,mixed,0.0027,140
29,1000,marginal,g0207,mixed,0.0124,45
29,1000,marginal,g0133,mixed,0.0057,487
29,1000,marginal,g0077,mixed,0.0256,186
29,1000,marginal,g0104,mixed,0.0408,152
29,1000,marginal,g0448,mixed,0.0101,472
29,1000,marginal,g0269,mixed,0.0013,366
29,1000,marginal,g0068,mixed,0.0318,214
29,1000,marginal,g0407,mixed,0.0076,338
29,1000,marginal,g0343,mixed,0.021,73
29,1000,marginal,g0045,mixed,0.0276,229
29,1000,marginal,g0253,mixed,0.0104,127
29,1000,marginal,g0289,mixed,0.0141,123
29,1000,marginal,g0238,mixed,0.008,198
29,1000,marginal,g0180,mixed,0.0088,228
29,1000,marginal,g0223,mixed,0.004,396
29,1000,marginal,g0417,causal,0.0413,277
29,1000,marginal,g0039,causal,0.0255,414
29,1000,marginal,g0333,causal,0.0561,493
29,1000,marginal,g0262,causal,0.0572,274
29,1000,marginal,g0384,causal,0.0086,346
29,1000,marginal,g0076,causal,0.0347,296
29,1000,marginal,g0346,causal,0.0142,263
29,1000,marginal,g0444,causal,0.0365,459
29,1000,marginal,g0312,causal,0.2331,14
29,1000,marginal,g0086,causal,0.0307,193
29,1000,marginal,g0177,causal,0.0264,309
29,1000,marginal,g0410,causal,0.0203,273
29,1000,marginal,g0290,causal,0.0348,299
29,1000,marginal,g0367,causal,0.0183,232
29,1000,marginal,g0334,causal,0.0086,184
29,1000,marginal,g0184,causal,0.0423,10
29,1000,marginal,g0256,causal,0.0606,131
29,1000,marginal,g0014,causal,0.0167,340
29,1000,marginal,g0174,causal,0.0585,416
29,1000,marginal,g0297,causal,0.0073,179
29,1000,marginal,g0156,causal,0.0734,315
29,1000,marginal,g0284,causal,0.0398,148
29,1000,marginal,g0470,causal,0.0359,359
29,1000,marginal,g0414,causal,0.0231,41
29,1000,marginal,g0481,causal,0.0034,149
29,1000,marginal,g0357,causal,0.0263,478
29,1000,marginal,g0473,causal,0.0375,358
29,1000,marginal,g0135,causal,0.0611,21
29,1000,marginal,g0341,causal,0.0073,53
29,1000,marginal,g0236,causal,0.0172,351
29,1000,marginal,g0441,causal,0.047,333
29,1000,marginal,g0126,causal,0.1062,62
29,1000,marginal,g0109,causal,0.0121,400
29,1000,marginal,g0345,causal,0.1453,143
29,1000,marginal,g0228,causal,0.0104,421
29,1000,marginal,g0311,causal,0.0297,81
29,1000,marginal,g0192,causal,0.05,161
29,1000,marginal,g0463,causal,0.0284,471
29,1000,marginal,g0202,causal,0.0703,75
29,1000,marginal,g0008,causal,0.0396,254
29,1000,marginal,g0447,causal,0.003,68
29,1000,marginal,g0405,causal,0.0386,282
29,1000,marginal,g0292,causal,0.0237,109
29,1000,marginal,g0127,causal,0.049,13
29,1000,marginal,g0329,causal,0.0139,85
29,1000,marginal,g0432,causal,0.0312,230
29,1000,marginal,g0298,causal,0.0086,15
29,1000,marginal,g0423,causal,0.0171,177
29,1000,marginal,g0132,causal,0.0085,231
29,1000,marginal,g0083,causal,0.0681,383
29,1000,marginal,g0474,causal,0.0291,492
29,1000,marginal,g0458,causal,0.0579,303
29,1000,marginal,g0435,causal,0.0223,468
29,1000,marginal,g0387,causal,0.061,139
29,1000,marginal,g0154,causal,0.0142,270
29,1000,marginal,g0411,causal,0.0012,498
29,1000,marginal,g0161,causal,0.0116,194
29,1000,marginal,g0048,causal,0.0454,462
29,1000,marginal,g0485,causal,0.0431,430
29,1000,marginal,g0142,causal,0.075,183
29,1000,marginal,g0385,causal,0.0108,203
29,1000,marginal,g0143,causal,0.0397,465
29,1000,marginal,g0120,causal,0.0522,188
29,1000,marginal,g0320,causal,0.082,209
29,1000,marginal,g0378,causal,0.0195,466
29,1000,marginal,g0462,causal,0.0067,102
29,1000,marginal,g0006,causal,0.0042,40
29,1000,marginal,g0268,causal,0.0036,197
29,1000,marginal,g0171,causal,0.0291,42
29,1000,marginal,g0115,causal,0.0234,264
29,1000,marginal,g0124,causal,0.0569,245
29,1000,marginal,g0266,causal,0.0214,298
29,1000,marginal,g0273,causal,0.0958,225
29,1000,marginal,g0095,causal,0.1467,390
29,1000,marginal,g0071,causal,0.0362,288
29,1000,marginal,g0193,causal,0.0498,311
29,1000,marginal,g0388,causal,0.1115,153
29,1000,marginal,g0186,causal,0.1055,398
29,1000,marginal,g0363,causal,0.0581,82
29,1000,marginal,g0075,causal,0.0254,90
29,1000,marginal,g0362,causal,0.056,469
29,1000,marginal,g0026,causal,0.0049,210
29,1000,marginal,g0427,causal,0.0101,84
29,1000,marginal,g0371,causal,0.0189,83
29,1000,marginal,g0394,causal,0.0137,71
29,1000,marginal,g0002,causal,0.0113,496
29,1000,marginal,g0226,causal,0.0145,386
29,1000,marginal,g0128,causal,0.0025,304
29,1000,marginal,g0121,causal,0.0223,294
29,1000,marginal,g0070,causal,0.0399,70
29,1000,marginal,g0270,causal,0.0578,420
29,1000,marginal,g0066,causal,0.1613,250
29,1000,marginal,g0150,causal,0.0066,170
29,1000,marginal,g0271,causal,0.0321,363
29,1000,marginal,g0433,causal,0.0163,8
29,1000,marginal,g0421,causal,0.0186,445
29,1000,marginal,g0264,causal,0.0126,290
29,1000,marginal,g0240,causal,0.0738,160
29,1000,marginal,g0024,causal,0.025,406
29,1000,marginal,g0094,causal,0.0212,142
29,1000,marginal,g0499,causal,0.0645,28
29,1000,marginal,g0067,causal,0.0258,72
29,1000,marginal,g0431,causal,0.0021,158
29,1000,marginal,g0062,causal,0.0097,394
29,1000,marginal,g0007,causal,0.0907,476
29,1000,marginal,g0046,causal,0.0824,79
29,1000,marginal,g0377,causal,0.0426,437
29,1000,marginal,g0092,causal,0.0752,431
29,1000,marginal,g0047,causal,0.0198,408
29,1000,marginal,g0096,causal,0.0219,480
29,1000,marginal,g0351,causal,0.0997,427
29,1000,marginal,g0313,causal,0.0345,227
29,1000,marginal,g0050,causal,0.0374,370
29,1000,marginal,g0276,causal,0.0089,365
29,1000,marginal,g0449,causal,0.0558,242
29,1000,marginal,g0214,causal,0.0261,320
29,1000,marginal,g0326,causal,0.0381,429
29,1000,marginal,g0028,causal,0.002,395
29,1000,marginal,g0254,causal,0.0102,201
29,1000,marginal,g0323,causal,0.0765,125
29,1000,marginal,g0089,causal,0.0612,439
29,1000,marginal,g0277,causal,0.0918,350
29,1000,marginal,g0265,causal,0.0643,495
29,1000,marginal,g0073,causal,0.0239,289
29,1000,marginal,g0497,causal,0.0658,191
29,1000,marginal,g0354,causal,0.0249,293
29,1000,marginal,g0386,causal,0.0296,105
29,1000,marginal,g0209,causal,0.2231,205
29,1000,marginal,g0216,causal,0.0142,91
29,1000,marginal,g0175,causal,0.0383,126
29,1000,marginal,g0058,causal,0.1505,22
29,1000,marginal,g0482,causal,0.0106,52
29,1000,marginal,g0370,causal,0.0132,20
29,1000,marginal,g0141,causal,0.0047,150
29,1000,marginal,g0492,causal,0.0826,401
29,1000,marginal,g0239,causal,0.0503,276
29,1000,marginal,g0134,causal,0.0486,432
29,1000,marginal,g0118,causal,0.0279,460
29,1000,marginal,g0391,causal,0.0595,121
29,1000,marginal,g0350,causal,0.0207,136
29,1000,marginal,g0424,causal,0.0086,167
29,1000,marginal,g0430,causal,0.0258,328
29,1000,marginal,g0375,causal,0.0066,402
29,1000,marginal,g0487,causal,0.0326,101
29,1000,marginal,g0110,causal,0.0134,122
29,1000,marginal,g0181,causal,0.018,226
29,1000,marginal,g0125,causal,0.0213,171
29,1000,marginal,g0117,causal,0.0162,442
29,1000,marginal,g0019,causal,0.1032,89
29,1000,marginal,g0263,causal,0.0039,417
29,1000,marginal,g0374,causal,0.0942,458
29,1000,marginal,g0403,causal,0.191,318
29,1000,marginal,g0218,causal,0.0438,435
29,1000,marginal,g0129,causal,0.0002,348
29,1000,marginal,g0082,causal,0.0439,192
29,1000,marginal,g0211,causal,0.0412,219
29,1000,marginal,g0166,causal,0.2012,113
29,1000,marginal,g0215,causal,0.0027,283
29,1000,marginal,g0358,causal,0.0439,399
29,1000,marginal,g0464,causal,0.0705,114
29,1000,marginal,g0319,causal,0.0413,124
29,1000,marginal,g0461,causal,0.0216,441
29,1000,marginal,g0471,causal,0.0422,306
29,1000,marginal,g0308,causal,0.0303,213
29,1000,marginal,g0173,causal,0.0518,117
29,1000,marginal,g0459,causal,0.0647,134
29,1000,marginal,g0139,causal,0.0153,46
29,1000,marginal,g0119,causal,0.0409,118
29,1000,marginal,g0425,causal,0.197,88
29,1000,marginal,g0457,causal,0.0084,260
29,1000,marginal,g0178,causal,0.0195,69
29,1000,marginal,g0188,causal,0.2259,96
29,1000,marginal,g0056,causal,0.0042,375
29,1000,marginal,g0429,causal,0.0706,357
29,1000,marginal,g0105,causal,0.0215,233
29,1000,marginal,g0225,causal,0.0356,279
29,1000,marginal,g0055,causal,0.0414,103
29,1000,marginal,g0053,causal,0.0168,99
29,1000,marginal,g0027,causal,0.001,236
29,1000,marginal,g0344,causal,0.0508,1
29,1000,marginal,g0453,causal,0.0364,336
29,1000,marginal,g0404,causal,0.0954,364
29,1000,marginal,g0052,causal,0.0048,64
29,1000,marginal,g0101,causal,0.0345,297
29,1000,marginal,g0112,causal,0.0396,63
29,1000,marginal,g0304,causal,0.0621,280
29,1000,marginal,g0072,causal,0.0092,200
29,1000,marginal,g0488,causal,0.0754,377
29,1000,marginal,g0376,causal,0.0056,268
29,1000,marginal,g0307,causal,0.0286,374
29,1000,marginal,g0149,causal,0.0394,341
29,1000,marginal,g0456,causal,0.0243,76
29,1000,marginal,g0088,causal,0.0259,60
29,1000,marginal,g0224,causal,0.0235,463
29,1000,marginal,g0091,causal,0.0405,261
29,1000,marginal,g0280,causal,0.0098,202
29,1000,marginal,g0348,causal,0.0079,17
29,1000,marginal,g0031,causal,0.0084,94
29,1000,marginal,g0074,causal,0.0359,248
29,1000,marginal,g0021,causal,0.0059,489
29,1000,marginal,g0241,confounder,0.0,284
29,1000,marginal,g0206,confounder,0.0,343
29,1000,marginal,g0222,confounder,0.0,259
29,1000,marginal,g0318,confounder,0.0,218
29,1000,marginal,g0080,confounder,0.0,144
29,1000,marginal,g0337,confounder,0.0,332
29,1000,marginal,g0169,confounder,0.0,3
29,1000,marginal,g0198,confounder,0.0,175
29,1000,marginal,g0279,confounder,0.0,9
29,1000,marginal,g0364,confounder,0.0,35
29,1000,marginal,g0042,confounder,0.0,87
29,1000,marginal,g0136,confounder,0.0,481
29,1000,marginal,g0245,confounder,0.0,16
29,1000,marginal,g0393,confounder,0.0,217
29,1000,marginal,g0475,confounder,0.0,281
29,1000,marginal,g0324,confounder,0.0,301
29,1000,marginal,g0400,confounder,0.0,347
