dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,PDCD2,marginal,shap,0.06,0.1035125546483745,1076
depmap,PDCD2,marginal,grad_x_input,0.06,0.092835424040828,1076
depmap,PDCD2,marginal,lrp_eps,0.08,0.0931508537027239,1076
depmap,PDCD2,marginal,lrp_ab,0.1,0.1042384212674159,1076
depmap,PDCD2,marginal,int_grad,0.08,0.09430340300356,1076
depmap,PDCD2,marginal,lime,0.06,0.0401561423831668,1076
depmap,PDCD2,residualized,shap,0.06,0.0287407621221533,1076
depmap,PDCD2,residualized,grad_x_input,0.06,0.0286171107040497,1076
depmap,PDCD2,residualized,lrp_eps,0.06,0.0388398556966307,1076
depmap,PDCD2,residualized,lrp_ab,0.12,0.0104620959146212,1076
depmap,PDCD2,residualized,int_grad,0.06,0.0291585328175515,1076
depmap,PDCD2,residualized,lime,0.02,0.025287313169863,1076
depmap,PKMYT1,marginal,shap,0.16,0.0984256550519103,1076
depmap,PKMYT1,marginal,grad_x_input,0.18,0.0866493641889652,1076
depmap,PKMYT1,marginal,lrp_eps,0.22,0.0858392113106965,1076
depmap,PKMYT1,marginal,lrp_ab,0.32,0.139765074659625,1076
depmap,PKMYT1,marginal,int_grad,0.18,0.0882522383652888,1076
depmap,PKMYT1,marginal,lime,0.14,0.0377726392850724,1076
depmap,PKMYT1,residualized,shap,0.08,0.0312285877711705,1076
depmap,PKMYT1,residualized,grad_x_input,0.08,0.030823765189715,1076
depmap,PKMYT1,residualized,lrp_eps,0.08,0.0407837907508438,1076
depmap,PKMYT1,residualized,lrp_ab,0.18,0.0157740251057357,1076
depmap,PKMYT1,residualized,int_grad,0.08,0.0314543253492464,1076
depmap,PKMYT1,residualized,lime,0.12,0.0261086418191181,1076
depmap,WDR73,marginal,shap,0.18,0.0785619884690465,1076
depmap,WDR73,marginal,grad_x_input,0.18,0.0620295481101792,1076
depmap,WDR73,marginal,lrp_eps,0.2,0.0632109116519304,1076
depmap,WDR73,marginal,lrp_ab,0.2,0.0934926696615583,1076
depmap,WDR73,marginal,int_grad,0.2,0.0650844280260045,1076
depmap,WDR73,marginal,lime,0.16,0.0333155521381447,1076
depmap,WDR73,residualized,shap,0.14,0.0334003912981304,1076
depmap,WDR73,residualized,grad_x_input,0.12,0.0330054796322357,1076
depmap,WDR73,residualized,lrp_eps,0.1,0.0430580133333656,1076
depmap,WDR73,residualized,lrp_ab,0.14,0.0200198365545403,1076
depmap,WDR73,residualized,int_grad,0.12,0.0332948487873821,1076
depmap,WDR73,residualized,lime,0.14,0.0270917177354649,1076
depmap,PRKRA,marginal,shap,0.16,0.0929160503817459,1076
depmap,PRKRA,marginal,grad_x_input,0.18,0.0764870020524773,1076
depmap,PRKRA,marginal,lrp_eps,0.16,0.0756134041209609,1076
depmap,PRKRA,marginal,lrp_ab,0.16,0.0625614332716588,1076
depmap,PRKRA,marginal,int_grad,0.16,0.0795063600426499,1076
depmap,PRKRA,marginal,lime,0.18,0.0358972747799721,1076
depmap,PRKRA,residualized,shap,0.14,0.0298093924189086,1076
depmap,PRKRA,residualized,grad_x_input,0.14,0.0314518198411461,1076
depmap,PRKRA,residualized,lrp_eps,0.14,0.0389513474089399,1076
depmap,PRKRA,residualized,lrp_ab,0.16,0.0239163049676757,1076
depmap,PRKRA,residualized,int_grad,0.14,0.0311174413806156,1076
depmap,PRKRA,residualized,lime,0.14,0.0263194992099081,1076
depmap,SS18L2,marginal,shap,0.2,0.1020808447238796,1076
depmap,SS18L2,marginal,grad_x_input,0.28,0.0937002010025509,1076
depmap,SS18L2,marginal,lrp_eps,0.26,0.0953582114118452,1076
depmap,SS18L2,marginal,lrp_ab,0.26,0.1574657992779905,1076
depmap,SS18L2,marginal,int_grad,0.28,0.0947511823757077,1076
depmap,SS18L2,marginal,lime,0.16,0.0370510943702513,1076
depmap,SS18L2,residualized,shap,0.14,0.037292379556727,1076
depmap,SS18L2,residualized,grad_x_input,0.08,0.0361387807903294,1076
depmap,SS18L2,residualized,lrp_eps,0.08,0.0508199982325911,1076
depmap,SS18L2,residualized,lrp_ab,0.12,0.0459659660031969,1076
depmap,SS18L2,residualized,int_grad,0.06,0.0366757500813338,1076
depmap,SS18L2,residualized,lime,0.24,0.0290864497746724,1076
depmap,CFLAR,marginal,shap,0.36,0.0950762796808559,1076
depmap,CFLAR,marginal,grad_x_input,0.38,0.0776389258693636,1076
depmap,CFLAR,marginal,lrp_eps,0.36,0.0785246786983611,1076
depmap,CFLAR,marginal,lrp_ab,0.24,0.2546612650762613,1076
depmap,CFLAR,marginal,int_grad,0.38,0.0806702886272925,1076
depmap,CFLAR,marginal,lime,0.32,0.0318880355669013,1076
depmap,CFLAR,residualized,shap,0.2,0.0291755700175754,1076
depmap,CFLAR,residualized,grad_x_input,0.18,0.0286711883501016,1076
