dataset,item,condition,xai,contam50,eta2,n_cell_lines
ctrpv2,GSK4112,marginal,shap,0.5,0.2461506383295652,123
ctrpv2,GSK4112,marginal,grad_x_input,0.88,0.24438241982610256,123
ctrpv2,GSK4112,marginal,lrp_eps,0.92,0.25520305382583225,123
ctrpv2,GSK4112,marginal,lrp_ab,0.68,0.2995172859927302,123
ctrpv2,GSK4112,marginal,int_grad,0.88,0.2451528857434178,123
ctrpv2,GSK4112,marginal,lime,0.2,0.1981070888519879,123
ctrpv2,GSK4112,residualized,shap,0.18,0.1656496381032523,123
ctrpv2,GSK4112,residualized,grad_x_input,0.16,0.1666075780159542,123
ctrpv2,GSK4112,residualized,lrp_eps,0.14,0.16276966513043603,123
ctrpv2,GSK4112,residualized,lrp_ab,0.18,0.15157605423304804,123
ctrpv2,GSK4112,residualized,int_grad,0.18,0.1686236484747002,123
ctrpv2,GSK4112,residualized,lime,0.14,0.17527316002871893,123
ctrpv2,XL765,marginal,shap,0.32,0.19059004315737096,156
ctrpv2,XL765,marginal,grad_x_input,0.64,0.18578838660376296,156
ctrpv2,XL765,marginal,lrp_eps,0.68,0.19066122574070038,156
ctrpv2,XL765,marginal,lrp_ab,0.3,0.27228324605300025,156
ctrpv2,XL765,marginal,int_grad,0.62,0.18581918591848648,156
ctrpv2,XL765,marginal,lime,0.3,0.1366908177957978,156
ctrpv2,XL765,residualized,shap,0.12,0.1382035015359582,156
ctrpv2,XL765,residualized,grad_x_input,0.08,0.13822309595002497,156
ctrpv2,XL765,residualized,lrp_eps,0.14,0.14705156601276412,156
ctrpv2,XL765,residualized,lrp_ab,0.38,0.07108597803127109,156
ctrpv2,XL765,residualized,int_grad,0.12,0.13873868640656709,156
ctrpv2,XL765,residualized,lime,0.3,0.13003612324642,156
ctrpv2,Ki8751,marginal,shap,0.54,0.21170740203693306,194
ctrpv2,Ki8751,marginal,grad_x_input,0.58,0.2002305845441197,194
ctrpv2,Ki8751,marginal,lrp_eps,0.6,0.22071116470007682,194
ctrpv2,Ki8751,marginal,lrp_ab,0.26,0.5955145323024195,194
ctrpv2,Ki8751,marginal,int_grad,0.58,0.20090768950475216,194
ctrpv2,Ki8751,marginal,lime,0.18,0.1390179773595704,194
ctrpv2,Ki8751,residualized,shap,0.2,0.11062025883249615,194
ctrpv2,Ki8751,residualized,grad_x_input,0.2,0.10832044362116929,194
ctrpv2,Ki8751,residualized,lrp_eps,0.22,0.10455608248001798,194
ctrpv2,Ki8751,residualized,lrp_ab,0.26,0.08046532697234446,194
ctrpv2,Ki8751,residualized,int_grad,0.22,0.10784851624242314,194
ctrpv2,Ki8751,residualized,lime,0.2,0.10482468510093569,194
