dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,PDCD2,marginal,shap,0.06,0.1035125546483745,1076
depmap,PDCD2,marginal,grad_x_input,0.06,0.09283542404082805,1076
depmap,PDCD2,marginal,lrp_eps,0.08,0.09315085370272398,1076
depmap,PDCD2,marginal,lrp_ab,0.1,0.10423842126741596,1076
depmap,PDCD2,marginal,int_grad,0.08,0.09430340300356008,1076
depmap,PDCD2,marginal,lime,0.06,0.04015614238316684,1076
depmap,PDCD2,residualized,shap,0.06,0.028740762122153336,1076
depmap,PDCD2,residualized,grad_x_input,0.06,0.028617110704049792,1076
depmap,PDCD2,residualized,lrp_eps,0.06,0.03883985569663077,1076
depmap,PDCD2,residualized,lrp_ab,0.12,0.01046209591462128,1076
depmap,PDCD2,residualized,int_grad,0.06,0.029158532817551597,1076
depmap,PDCD2,residualized,lime,0.02,0.02528731316986301,1076
depmap,PKMYT1,marginal,shap,0.16,0.09842565505191037,1076
depmap,PKMYT1,marginal,grad_x_input,0.18,0.08664936418896525,1076
depmap,PKMYT1,marginal,lrp_eps,0.22,0.08583921131069654,1076
depmap,PKMYT1,marginal,lrp_ab,0.32,0.139765074659625,1076
depmap,PKMYT1,marginal,int_grad,0.18,0.08825223836528885,1076
depmap,PKMYT1,marginal,lime,0.14,0.03777263928507246,1076
depmap,PKMYT1,residualized,shap,0.08,0.031228587771170557,1076
depmap,PKMYT1,residualized,grad_x_input,0.08,0.03082376518971505,1076
depmap,PKMYT1,residualized,lrp_eps,0.08,0.040783790750843846,1076
depmap,PKMYT1,residualized,lrp_ab,0.18,0.01577402510573576,1076
depmap,PKMYT1,residualized,int_grad,0.08,0.03145432534924648,1076
depmap,PKMYT1,residualized,lime,0.12,0.026108641819118157,1076
depmap,WDR73,marginal,shap,0.18,0.07856198846904651,1076
depmap,WDR73,marginal,grad_x_input,0.18,0.0620295481101792,1076
depmap,WDR73,marginal,lrp_eps,0.2,0.06321091165193049,1076
depmap,WDR73,marginal,lrp_ab,0.2,0.09349266966155838,1076
depmap,WDR73,marginal,int_grad,0.2,0.06508442802600456,1076
depmap,WDR73,marginal,lime,0.16,0.03331555213814479,1076
depmap,WDR73,residualized,shap,0.14,0.033400391298130445,1076
depmap,WDR73,residualized,grad_x_input,0.12,0.03300547963223579,1076
depmap,WDR73,residualized,lrp_eps,0.1,0.043058013333365654,1076
depmap,WDR73,residualized,lrp_ab,0.14,0.02001983655454039,1076
depmap,WDR73,residualized,int_grad,0.12,0.033294848787382154,1076
depmap,WDR73,residualized,lime,0.14,0.02709171773546496,1076
depmap,PRKRA,marginal,shap,0.16,0.0929160503817459,1076
depmap,PRKRA,marginal,grad_x_input,0.18,0.0764870020524773,1076
depmap,PRKRA,marginal,lrp_eps,0.16,0.0756134041209609,1076
depmap,PRKRA,marginal,lrp_ab,0.16,0.06256143327165882,1076
depmap,PRKRA,marginal,int_grad,0.16,0.07950636004264992,1076
depmap,PRKRA,marginal,lime,0.18,0.035897274779972135,1076
depmap,PRKRA,residualized,shap,0.14,0.029809392418908634,1076
depmap,PRKRA,residualized,grad_x_input,0.14,0.031451819841146186,1076
depmap,PRKRA,residualized,lrp_eps,0.14,0.03895134740893996,1076
depmap,PRKRA,residualized,lrp_ab,0.16,0.023916304967675793,1076
depmap,PRKRA,residualized,int_grad,0.14,0.03111744138061564,1076
depmap,PRKRA,residualized,lime,0.14,0.02631949920990813,1076
depmap,SS18L2,marginal,shap,0.2,0.10208084472387961,1076
depmap,SS18L2,marginal,grad_x_input,0.28,0.09370020100255094,1076
depmap,SS18L2,marginal,lrp_eps,0.26,0.09535821141184528,1076
depmap,SS18L2,marginal,lrp_ab,0.26,0.15746579927799056,1076
depmap,SS18L2,marginal,int_grad,0.28,0.09475118237570772,1076
depmap,SS18L2,marginal,lime,0.16,0.03705109437025132,1076
depmap,SS18L2,residualized,shap,0.14,0.03729237955672706,1076
depmap,SS18L2,residualized,grad_x_input,0.08,0.03613878079032946,1076
depmap,SS18L2,residualized,lrp_eps,0.08,0.0508199982325911,1076
depmap,SS18L2,residualized,lrp_ab,0.12,0.04596596600319697,1076
depmap,SS18L2,residualized,int_grad,0.06,0.036675750081333836,1076
depmap,SS18L2,residualized,lime,0.24,0.029086449774672427,1076
depmap,CFLAR,marginal,shap,0.36,0.0950762796808559,1076
depmap,CFLAR,marginal,grad_x_input,0.38,0.07763892586936365,1076
depmap,CFLAR,marginal,lrp_eps,0.36,0.07852467869836119,1076
depmap,CFLAR,marginal,lrp_ab,0.24,0.25466126507626136,1076
depmap,CFLAR,marginal,int_grad,0.38,0.08067028862729259,1076
depmap,CFLAR,marginal,lime,0.32,0.03188803556690136,1076
depmap,CFLAR,residualized,shap,0.2,0.029175570017575446,1076
depmap,CFLAR,residualized,grad_x_input,0.18,0.028671188350101698,1076
depmap,CFLAR,residualized,lrp_eps,0.16,0.031101170141674288,1076
depmap,CFLAR,residualized,lrp_ab,0.2,0.013578173417504148,1076
depmap,CFLAR,residualized,int_grad,0.18,0.02877757027959108,1076
depmap,CFLAR,residualized,lime,0.14,0.024422239624742922,1076
depmap,ELL,marginal,shap,0.18,0.09398936731461932,1076
depmap,ELL,marginal,grad_x_input,0.2,0.08426215959498116,1076
depmap,ELL,marginal,lrp_eps,0.2,0.08462721080994161,1076
depmap,ELL,marginal,lrp_ab,0.2,0.0956450204098671,1076
depmap,ELL,marginal,int_grad,0.2,0.08576486850135809,1076
depmap,ELL,marginal,lime,0.18,0.034902783156157136,1076
depmap,ELL,residualized,shap,0.2,0.029761295229100333,1076
depmap,ELL,residualized,grad_x_input,0.16,0.02891230878208499,1076
depmap,ELL,residualized,lrp_eps,0.16,0.03744509970402405,1076
depmap,ELL,residualized,lrp_ab,0.2,0.02530319164003291,1076
depmap,ELL,residualized,int_grad,0.16,0.02918871315568033,1076
depmap,ELL,residualized,lime,0.18,0.02597729263816483,1076
depmap,ITGAV,marginal,shap,0.36,0.09811171519356832,1076
depmap,ITGAV,marginal,grad_x_input,0.36,0.07961186194229253,1076
depmap,ITGAV,marginal,lrp_eps,0.32,0.08031986020859395,1076
depmap,ITGAV,marginal,lrp_ab,0.32,0.13659579258991378,1076
depmap,ITGAV,marginal,int_grad,0.36,0.08264123947840367,1076
depmap,ITGAV,marginal,lime,0.34,0.03536893826738337,1076
depmap,ITGAV,residualized,shap,0.26,0.02828135456863424,1076
depmap,ITGAV,residualized,grad_x_input,0.22,0.02849671414842157,1076
depmap,ITGAV,residualized,lrp_eps,0.28,0.03688802642943111,1076
depmap,ITGAV,residualized,lrp_ab,0.38,0.012262283898068457,1076
depmap,ITGAV,residualized,int_grad,0.24,0.028861160548825156,1076
depmap,ITGAV,residualized,lime,0.28,0.026134495004992264,1076
depmap,GPN2,marginal,shap,0.24,0.10130875832324855,1076
depmap,GPN2,marginal,grad_x_input,0.28,0.09297586799419409,1076
depmap,GPN2,marginal,lrp_eps,0.3,0.09393827549965643,1076
depmap,GPN2,marginal,lrp_ab,0.18,0.24604728168125894,1076
depmap,GPN2,marginal,int_grad,0.28,0.09403904862271054,1076
depmap,GPN2,marginal,lime,0.18,0.03863019789807838,1076
depmap,GPN2,residualized,shap,0.04,0.03443072841368171,1076
depmap,GPN2,residualized,grad_x_input,0.04,0.030930946475286103,1076
