dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r,domain_acc_train,domain_acc_val,n_domains,final_lambda,last_epoch_lambda,eligible_from_epoch,majority_domain_frac,adv_acc_train,adv_acc_val,recon_val_pretrain,recon_val_final,adv_ce_val_pretrain,adv_ce_val_final,adv_ce_chance,joint_rounds_run,joint_round_selected,diverged,n_classes,majority_class_frac,head_degenerate,head_en_alpha,head_en_l1_ratio,head_en_nnz,head_en_val_mse,head_ridge_alpha,head_ridge_val_mse,emb_abs_max
ctrpv2,pitstop2,dann,0.0,116,22,0.46,0.2399,0.0736,0.0952,0.3055,0.2716,19.4,0.0,0.0,0.0,0.2452,,,,,,,,,,,,,,,,,,,,
ctrpv2,pitstop2,adae,0.0,116,22,0.08,0.2496,-0.1654,-0.0805,,,,,,,,1.0,0.5217,0.6363,0.6404,1.7767,1.8944,2.7242,38.4,26.4,0.0,19.4,0.2452,0.2,5.6747,0.242,16.8,0.4248,401180.8141,0.4268,7.5747
ctrpv2,pitstop2,dann,0.1,116,22,0.36,0.2535,0.0795,0.1284,0.3341,0.2854,19.4,0.099,0.0998,29.0,0.2452,,,,,,,,,,,,,,,,,,,,
ctrpv2,pitstop2,adae,0.1,116,22,0.12,0.6114,-0.2145,-0.1332,,,,,,,,0.2929,0.2559,0.6362,0.6634,1.7437,2.7204,2.7242,37.8,25.8,0.0,19.4,0.2452,0.8,17.7199,0.028,7.4,0.4326,400876.5237,0.4287,10.9492
ctrpv2,pitstop2,dann,1.0,116,22,0.38,0.2522,0.0766,0.1267,0.2833,0.2491,19.4,0.99,0.9977,29.0,0.2452,,,,,,,,,,,,,,,,,,,,
ctrpv2,pitstop2,adae,1.0,116,22,0.12,0.3515,-0.142,-0.0871,,,,,,,,0.5727,0.1817,0.6357,0.7302,1.83,2.7779,2.7242,16.8,4.8,0.0,19.4,0.2452,0.4,8.5839,0.406,15.6,0.433,600102.8766,0.4338,6.5721
ctrpv2,pitstop2,dann,10.0,116,22,0.34,0.2534,0.0191,0.0561,0.2071,0.2199,19.4,9.9987,9.9991,29.0,0.2452,,,,,,,,,,,,,,,,,,,,
ctrpv2,pitstop2,adae,10.0,116,22,0.06,0.3433,-0.0696,-0.0436,,,,,,,,0.5978,0.2294,0.6354,0.7539,1.7651,2.6118,2.7242,15.8,3.8,0.0,19.4,0.2452,0.4,9.763,0.346,9.4,0.4396,605817.0343,0.4387,6.7415
ctrpv2,pitstop2,dann,100.0,116,22,0.36,0.2319,0.0977,0.0759,0.0544,0.1187,19.4,96.8708,99.3017,29.0,0.2452,,,,,,,,,,,,,,,,,,,,
ctrpv2,pitstop2,adae,100.0,116,22,0.12,0.2607,-0.2978,-0.2443,,,,,,,,0.4263,0.2204,0.6354,0.7839,1.8542,2.7509,2.7242,16.4,4.4,0.0,19.4,0.2452,0.4,9.3494,0.026,24.0,0.4443,410615.0506,0.442,6.3444
