dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r,domain_acc_train,domain_acc_val,n_domains,final_lambda,last_epoch_lambda,eligible_from_epoch,majority_domain_frac,adv_acc_train,adv_acc_val,recon_val_pretrain,recon_val_final,adv_ce_val_pretrain,adv_ce_val_final,adv_ce_chance,joint_rounds_run,joint_round_selected,diverged,n_classes,majority_class_frac,head_degenerate,head_en_alpha,head_en_l1_ratio,head_en_nnz,head_en_val_mse,head_ridge_alpha,head_ridge_val_mse,emb_abs_max
depmap,SNRPD3,dann,0.0,276,21,0.34,0.1415,0.1191,0.1728,0.2642,0.2013,19.8,0.0,0.0,0.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,0.0,276,21,0.32,0.1324,-0.069,0.213,,,,,,,,1.0,0.5922,0.5279,0.5415,1.2553,1.6604,2.5229,59.6,47.6,0.0,19.8,0.131,0.0,1.4399,0.108,55.4,0.3792,572.1729,0.3742,10.573
depmap,SNRPD3,dann,0.1,276,21,0.36,0.1403,0.1018,0.1705,0.3547,0.3051,19.8,0.0981,0.0996,29.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,0.1,276,21,0.36,0.1303,-0.0949,0.1131,,,,,,,,0.4601,0.3125,0.5301,0.5746,1.2106,2.4596,2.5229,20.0,8.0,0.0,19.8,0.131,0.0,2.0982,0.208,38.6,0.3812,200804.9616,0.383,12.6586
depmap,SNRPD3,dann,1.0,276,21,0.36,0.1403,0.0989,0.1648,0.1544,0.1472,19.8,0.9847,0.9966,29.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,1.0,276,21,0.28,0.1304,-0.1194,0.1277,,,,,,,,0.4335,0.342,0.5279,0.6249,1.1391,2.7941,2.5229,14.2,2.2,0.0,19.8,0.131,0.0,1.1979,0.242,24.4,0.3827,1066.4013,0.3784,10.0884
depmap,SNRPD3,dann,10.0,276,21,0.36,0.1444,0.0944,0.0979,0.0319,0.0727,19.8,9.628,9.9172,29.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,10.0,276,21,0.26,0.1291,-0.1033,0.1488,,,,,,,,0.4646,0.3114,0.5285,0.65,1.1451,2.5868,2.5229,13.8,1.8,0.0,19.8,0.131,0.0,1.1976,0.406,40.4,0.3833,762.9739,0.3763,9.7298
depmap,SNRPD3,dann,100.0,276,21,0.34,0.1604,0.0633,-0.1231,0.0426,0.0667,19.8,96.1421,99.1377,29.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,100.0,276,21,0.5,0.1411,-0.1139,0.1607,,,,,,,,0.4983,0.3235,0.5277,0.6277,1.1973,2.6021,2.5229,13.6,1.6,0.0,19.8,0.131,0.0,2.6016,0.108,40.6,0.3817,1107.3166,0.3799,8.8344
depmap,SNRPD3,dann,1000.0,276,21,0.56,0.181,-0.0584,-0.2038,0.0277,0.067,19.8,999.9092,999.9092,29.0,0.131,,,,,,,,,,,,,,,,,,,,
depmap,SNRPD3,adae,1000.0,276,21,0.32,0.1336,-0.1163,0.1326,,,,,,,,0.4567,0.3174,0.531,0.6543,1.2187,2.6355,2.5229,13.8,1.8,0.0,19.8,0.131,0.0,0.5588,0.452,26.2,0.389,823.0896,0.3825,9.1309
depmap,UMPS,dann,0.0,1076,29,0.3,0.088,0.2342,0.5127,0.1164,0.1118,28.4,0.0,0.0,0.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,0.0,1076,29,0.38,0.1075,0.2584,0.5409,,,,,,,,1.0,0.6538,0.3714,0.391,1.2636,2.0019,3.0628,82.4,72.4,0.0,28.4,0.1099,0.0,0.2655,0.224,64.6,0.1388,464.1589,0.1383,14.9581
depmap,UMPS,dann,0.1,1076,29,0.28,0.1031,0.2605,0.4925,0.117,0.1303,28.4,0.0963,0.0992,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,0.1,1076,29,0.38,0.1125,0.2505,0.5366,,,,,,,,0.4864,0.3835,0.3701,0.5533,1.3036,2.4875,3.0628,17.8,5.8,0.0,28.4,0.1099,0.0,0.2775,0.206,66.6,0.1414,288.5832,0.14,762.7634
depmap,UMPS,dann,1.0,1076,29,0.26,0.0998,0.2394,0.38,0.0631,0.0652,28.4,0.9565,0.9903,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,1.0,1076,29,0.56,0.1325,0.1736,0.5054,,,,,,,,0.2151,0.2034,0.371,0.9909,1.2829,4.6929,3.0628,50.2,38.2,0.0,28.4,0.1099,0.0,0.0108,0.65,51.4,0.1434,8.7737,0.1411,4831.4089
depmap,UMPS,dann,10.0,1076,29,0.28,0.0893,0.0836,0.0826,0.0492,0.0667,28.4,9.6318,9.918,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,10.0,1076,29,0.56,0.1312,0.1505,0.4944,,,,,,,,0.194,0.1537,0.3707,1.0028,1.2625,6.6872,3.0628,50.6,38.6,0.0,28.4,0.1099,0.0,0.0023,0.88,38.2,0.1448,15.8079,0.1419,8757.1243
depmap,UMPS,dann,100.0,1076,29,0.58,0.0675,-0.0333,-0.1091,0.044,0.0527,28.4,97.4471,99.4329,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,100.0,1076,29,0.56,0.123,0.1612,0.4988,,,,,,,,0.1599,0.1459,0.3708,0.9641,1.2364,5.1885,3.0628,37.6,25.6,0.0,28.4,0.1099,0.0,0.0103,0.672,60.6,0.1421,4.8883,0.1395,5759.1042
depmap,UMPS,dann,1000.0,1076,29,0.68,0.0719,-0.0644,-0.1998,0.0437,0.045,28.4,985.5886,996.7951,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,UMPS,adae,1000.0,1076,29,0.72,0.1602,0.1594,0.5018,,,,,,,,0.2279,0.1987,0.3707,0.9251,1.2659,3.141,3.0628,67.0,55.0,0.0,28.4,0.1099,0.0,0.0005,0.648,37.8,0.1414,0.0383,0.1378,8361.1088
depmap,MED12,dann,0.0,1076,29,0.3,0.1025,0.325,0.4784,0.2714,0.2841,28.4,0.0,0.0,0.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,0.0,1076,29,0.38,0.1071,0.3205,0.4787,,,,,,,,1.0,0.6538,0.3714,0.391,1.2636,2.0019,3.0628,82.4,72.4,0.0,28.4,0.1099,0.0,0.3487,0.01,83.8,0.1254,422.7654,0.1252,14.9581
depmap,MED12,dann,0.1,1076,29,0.26,0.1073,0.3032,0.4421,0.1099,0.1102,28.4,0.0977,0.0995,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,0.1,1076,29,0.32,0.1083,0.3125,0.4761,,,,,,,,0.4864,0.3835,0.3701,0.5533,1.3036,2.4875,3.0628,17.8,5.8,0.0,28.4,0.1099,0.0,0.2496,0.206,68.6,0.1296,329.9575,0.13,762.7634
depmap,MED12,dann,1.0,1076,29,0.28,0.1062,0.278,0.3734,0.0702,0.073,28.4,0.9759,0.9947,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,1.0,1076,29,0.36,0.1086,0.2963,0.457,,,,,,,,0.2151,0.2034,0.371,0.9909,1.2829,4.6929,3.0628,50.2,38.2,0.0,28.4,0.1099,0.0,0.0006,0.83,58.4,0.1318,8.7962,0.1297,4831.4089
depmap,MED12,dann,10.0,1076,29,0.28,0.0959,0.1102,0.1293,0.0517,0.0574,28.4,9.6101,9.9132,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,10.0,1076,29,0.46,0.1223,0.2997,0.4585,,,,,,,,0.194,0.1537,0.3707,1.0028,1.2625,6.6872,3.0628,50.6,38.6,0.0,28.4,0.1099,0.0,0.0158,0.678,53.8,0.1331,8.7636,0.1313,8757.1243
depmap,MED12,dann,100.0,1076,29,0.46,0.0692,-0.0349,0.0138,0.0659,0.0636,28.4,98.1614,99.5935,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,100.0,1076,29,0.44,0.1009,0.2828,0.4375,,,,,,,,0.1599,0.1459,0.3708,0.9641,1.2364,5.1885,3.0628,37.6,25.6,0.0,28.4,0.1099,0.0,0.0007,0.88,52.2,0.1363,15.8069,0.1334,5759.1042
depmap,MED12,dann,1000.0,1076,29,0.6,0.0588,-0.0276,0.0124,0.0629,0.0745,28.4,989.5636,997.6575,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,MED12,adae,1000.0,1076,29,0.52,0.1302,0.2813,0.4444,,,,,,,,0.2279,0.1987,0.3707,0.9251,1.2659,3.141,3.0628,67.0,55.0,0.0,28.4,0.1099,0.0,0.0002,0.778,43.2,0.1341,0.036,0.1316,8361.1088
depmap,FAM50A,dann,0.0,1076,29,0.2,0.0983,0.2577,0.3747,0.2222,0.2562,28.4,0.0,0.0,0.0,0.1099,,,,,,,,,,,,,,,,,,,,
depmap,FAM50A,adae,0.0,1076,29,0.22,0.0978,0.2004,0.3369,,,,,,,,1.0,0.6538,0.3714,0.391,1.2636,2.0019,3.0628,82.4,72.4,0.0,28.4,0.1099,0.0,0.622,0.01,74.6,0.219,538.8626,0.2189,14.9581
depmap,FAM50A,dann,0.1,1076,29,0.28,0.1069,0.2944,0.394,0.1014,0.118,28.4,0.0967,0.0993,29.0,0.1099,,,,,,,,,,,,,,,,,,,,
