dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r,domain_acc_train,domain_acc_val,n_domains,final_lambda,last_epoch_lambda,eligible_from_epoch,majority_domain_frac
depmap,SNRPD3,dann,0.0,276,21,0.36,0.1282,0.0477,0.2466,0.2141,0.1956,19.8,0.0,0.0,0.0,0.131
depmap,SNRPD3,dann,0.1,276,21,0.32,0.1288,0.0486,0.2525,0.2184,0.2076,19.8,0.098,0.0996,29.0,0.131
depmap,SNRPD3,dann,1.0,276,21,0.28,0.1211,0.0241,0.2043,0.1161,0.1705,19.8,0.976,0.9947,29.0,0.131
depmap,SNRPD3,dann,10.0,276,21,0.26,0.121,0.0118,0.0799,0.0948,0.1581,19.8,9.8696,9.9712,29.0,0.131
depmap,SNRPD3,dann,100.0,276,21,,,,,0.0319,0.0545,19.8,98.0015,98.7727,29.0,0.131
depmap,SNRPD3,dann,1000.0,276,21,,,,,0.0085,0.0,19.8,987.4301,987.4301,29.0,0.131
depmap,BUB3,dann,0.0,1076,29,0.14,0.0773,0.1335,0.2066,0.1408,0.1521,28.4,0.0,0.0,0.0,0.1099
depmap,BUB3,dann,0.1,1076,29,0.12,0.0868,0.1652,0.2287,0.1492,0.1677,28.4,0.0968,0.0993,29.0,0.1099
depmap,BUB3,dann,1.0,1076,29,0.12,0.0853,0.171,0.226,0.1099,0.1274,28.4,0.9668,0.9926,29.0,0.1099
depmap,BUB3,dann,10.0,1076,29,0.16,0.0643,0.0738,0.1251,0.111,0.1289,28.4,9.9345,9.9856,29.0,0.1099
depmap,BUB3,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,BUB3,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,FAM50A,dann,0.0,1076,29,0.16,0.0718,0.2277,0.3504,0.1205,0.1196,28.4,0.0,0.0,0.0,0.1099
depmap,FAM50A,dann,0.1,1076,29,0.24,0.0907,0.293,0.3979,0.1328,0.1522,28.4,0.0964,0.0992,29.0,0.1099
depmap,FAM50A,dann,1.0,1076,29,0.26,0.0899,0.2736,0.3689,0.1093,0.1273,28.4,0.9722,0.9938,29.0,0.1099
depmap,FAM50A,dann,10.0,1076,29,0.14,0.0615,0.0622,0.1696,0.1151,0.1336,28.4,9.8179,9.9597,29.0,0.1099
depmap,FAM50A,dann,100.0,1076,29,,,,,0.0246,0.0217,28.4,98.117,98.799,29.0,0.1099
depmap,FAM50A,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,PELO,dann,0.0,1076,29,0.1,0.0756,0.2582,0.3277,0.1156,0.1274,28.4,0.0,0.0,0.0,0.1099
depmap,PELO,dann,0.1,1076,29,0.18,0.0814,0.2733,0.3353,0.111,0.1274,28.4,0.0966,0.0992,29.0,0.1099
depmap,PELO,dann,1.0,1076,29,0.18,0.0832,0.258,0.3113,0.1099,0.1274,28.4,0.978,0.9951,29.0,0.1099
depmap,PELO,dann,10.0,1076,29,0.12,0.0627,0.1044,0.1448,0.1194,0.1335,28.4,9.8011,9.9558,29.0,0.1099
depmap,PELO,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,PELO,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,EIF4A1,dann,0.0,1076,29,0.1,0.0756,0.2321,0.2742,0.1197,0.1383,28.4,0.0,0.0,0.0,0.1099
depmap,EIF4A1,dann,0.1,1076,29,0.12,0.0845,0.2406,0.2822,0.1183,0.132,28.4,0.0964,0.0992,29.0,0.1099
depmap,EIF4A1,dann,1.0,1076,29,0.14,0.0839,0.2198,0.2541,0.1099,0.1274,28.4,0.9704,0.9934,29.0,0.1099
depmap,EIF4A1,dann,10.0,1076,29,0.3,0.0543,-0.0274,0.0004,0.1189,0.146,28.4,9.7505,9.9445,29.0,0.1099
depmap,EIF4A1,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,EIF4A1,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,USP7,dann,0.0,1076,29,0.12,0.0781,0.3347,0.4164,0.1107,0.1133,28.4,0.0,0.0,0.0,0.1099
depmap,USP7,dann,0.1,1076,29,0.16,0.0899,0.3503,0.4271,0.117,0.1274,28.4,0.0966,0.0992,29.0,0.1099
depmap,USP7,dann,1.0,1076,29,0.16,0.0885,0.3584,0.4341,0.1101,0.1274,28.4,0.9753,0.9945,29.0,0.1099
depmap,USP7,dann,10.0,1076,29,0.16,0.066,0.1682,0.2396,0.1126,0.1289,28.4,9.6372,9.9193,29.0,0.1099
depmap,USP7,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,USP7,dann,1000.0,1076,29,,,,,0.0246,0.0217,28.4,982.1929,988.221,29.0,0.1099
depmap,ALDOA,dann,0.0,1076,29,0.12,0.0742,0.1691,0.2574,0.1186,0.1289,28.4,0.0,0.0,0.0,0.1099
depmap,ALDOA,dann,0.1,1076,29,0.12,0.0854,0.1576,0.234,0.1134,0.1274,28.4,0.0959,0.0991,29.0,0.1099
depmap,ALDOA,dann,1.0,1076,29,0.14,0.0842,0.1685,0.2415,0.1099,0.1274,28.4,0.966,0.9924,29.0,0.1099
depmap,ALDOA,dann,10.0,1076,29,0.32,0.0587,0.0255,0.093,0.1132,0.1336,28.4,9.6873,9.9304,29.0,0.1099
depmap,ALDOA,dann,100.0,1076,29,,,,,0.0246,0.0217,28.4,98.743,98.9391,29.0,0.1099
depmap,ALDOA,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,CBFB,dann,0.0,1076,29,0.46,0.0907,0.2036,0.6183,0.1621,0.1738,28.4,0.0,0.0,0.0,0.1099
depmap,CBFB,dann,0.1,1076,29,0.24,0.0891,0.2035,0.5847,0.15,0.1801,28.4,0.0964,0.0992,29.0,0.1099
depmap,CBFB,dann,1.0,1076,29,0.26,0.0821,0.2013,0.5545,0.1183,0.1352,28.4,0.9724,0.9939,29.0,0.1099
depmap,CBFB,dann,10.0,1076,29,0.6,0.0693,0.0455,0.392,0.1162,0.1336,28.4,9.7936,9.9543,29.0,0.1099
depmap,CBFB,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,CBFB,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,LSM8,dann,0.0,1076,29,0.24,0.0712,0.0516,0.1785,0.1194,0.132,28.4,0.0,0.0,0.0,0.1099
depmap,LSM8,dann,0.1,1076,29,0.18,0.0801,0.0545,0.1707,0.1123,0.1305,28.4,0.0961,0.0991,29.0,0.1099
depmap,LSM8,dann,1.0,1076,29,0.18,0.0799,0.0461,0.1525,0.1099,0.1274,28.4,0.9786,0.9952,29.0,0.1099
depmap,LSM8,dann,10.0,1076,29,0.18,0.0461,,,0.0833,0.1088,28.4,9.754,9.9257,29.0,0.1099
depmap,LSM8,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,LSM8,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,MED12,dann,0.0,1076,29,0.26,0.0818,0.3288,0.4843,0.1432,0.1615,28.4,0.0,0.0,0.0,0.1099
depmap,MED12,dann,0.1,1076,29,0.24,0.085,0.3247,0.4719,0.1276,0.1445,28.4,0.0965,0.0992,29.0,0.1099
depmap,MED12,dann,1.0,1076,29,0.26,0.0838,0.3297,0.4564,0.1099,0.1274,28.4,0.969,0.9931,29.0,0.1099
depmap,MED12,dann,10.0,1076,29,0.28,0.0618,0.1168,0.2312,0.1162,0.1196,28.4,9.7487,9.9443,29.0,0.1099
depmap,MED12,dann,100.0,1076,29,,,,,0.0434,0.056,28.4,97.9569,98.96,29.0,0.1099
depmap,MED12,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,THAP1,dann,0.0,1076,29,0.12,0.0768,0.2927,0.3947,0.1183,0.1274,28.4,0.0,0.0,0.0,0.1099
depmap,THAP1,dann,0.1,1076,29,0.08,0.0896,0.3301,0.418,0.1315,0.146,28.4,0.0972,0.0994,29.0,0.1099
depmap,THAP1,dann,1.0,1076,29,0.06,0.0908,0.3328,0.4169,0.1099,0.1274,28.4,0.9802,0.9956,29.0,0.1099
depmap,THAP1,dann,10.0,1076,29,0.16,0.0755,0.1673,0.2566,0.1006,0.1149,28.4,9.8059,9.957,29.0,0.1099
depmap,THAP1,dann,100.0,1076,29,,,,,0.0478,0.0434,28.4,98.0575,98.9812,29.0,0.1099
depmap,THAP1,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,UBE2M,dann,0.0,1076,29,0.2,0.0714,0.1757,0.226,0.1224,0.132,28.4,0.0,0.0,0.0,0.1099
depmap,UBE2M,dann,0.1,1076,29,0.2,0.0849,0.2111,0.253,0.1205,0.1274,28.4,0.097,0.0993,29.0,0.1099
depmap,UBE2M,dann,1.0,1076,29,0.16,0.0847,0.2072,0.2401,0.1099,0.1274,28.4,0.9828,0.9962,29.0,0.1099
depmap,UBE2M,dann,10.0,1076,29,0.26,0.0442,0.0133,0.0371,0.0995,0.1227,28.4,9.6838,9.9298,29.0,0.1099
depmap,UBE2M,dann,100.0,1076,29,0.22,0.0924,,,0.0249,0.0248,28.4,98.3099,98.8425,29.0,0.1099
depmap,UBE2M,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,FAU,dann,0.0,1076,29,0.22,0.0669,0.0468,0.107,0.1279,0.1429,28.4,0.0,0.0,0.0,0.1099
depmap,FAU,dann,0.1,1076,29,0.18,0.0735,0.0456,0.1061,0.1238,0.146,28.4,0.0972,0.0994,29.0,0.1099
depmap,FAU,dann,1.0,1076,29,0.2,0.0746,0.0381,0.096,0.1104,0.1289,28.4,0.9762,0.9947,29.0,0.1099
depmap,FAU,dann,10.0,1076,29,0.34,0.0517,0.0011,0.0298,0.1205,0.1507,28.4,9.69,9.9311,29.0,0.1099
depmap,FAU,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,FAU,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,UMPS,dann,0.0,1076,29,0.3,0.0841,0.2512,0.5312,0.1563,0.1754,28.4,0.0,0.0,0.0,0.1099
depmap,UMPS,dann,0.1,1076,29,0.28,0.0891,0.2813,0.5177,0.1424,0.1693,28.4,0.0974,0.0994,29.0,0.1099
depmap,UMPS,dann,1.0,1076,29,0.34,0.0842,0.2599,0.4831,0.1123,0.1289,28.4,0.9732,0.994,29.0,0.1099
depmap,UMPS,dann,10.0,1076,29,0.5,0.0772,0.0735,0.364,0.1101,0.1227,28.4,9.7604,9.9468,29.0,0.1099
depmap,UMPS,dann,100.0,1076,29,,,,,0.0448,0.0514,28.4,98.101,98.9908,29.0,0.1099
depmap,UMPS,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,YRDC,dann,0.0,1076,29,0.32,0.0902,0.3269,0.5063,0.1654,0.1739,28.4,0.0,0.0,0.0,0.1099
depmap,YRDC,dann,0.1,1076,29,0.24,0.0983,0.3588,0.521,0.1476,0.1569,28.4,0.0976,0.0995,29.0,0.1099
depmap,YRDC,dann,1.0,1076,29,0.22,0.0981,0.3742,0.5217,0.1203,0.1305,28.4,0.983,0.9962,29.0,0.1099
depmap,YRDC,dann,10.0,1076,29,0.3,0.0854,0.2553,0.4133,0.1118,0.1258,28.4,9.8191,9.96,29.0,0.1099
depmap,YRDC,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,YRDC,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,WDR77,dann,0.0,1076,29,0.18,0.0776,0.1605,0.2928,0.1238,0.1382,28.4,0.0,0.0,0.0,0.1099
depmap,WDR77,dann,0.1,1076,29,0.1,0.0828,0.1913,0.2984,0.1317,0.146,28.4,0.0968,0.0993,29.0,0.1099
depmap,WDR77,dann,1.0,1076,29,0.06,0.0811,0.1861,0.2753,0.1101,0.1274,28.4,0.9701,0.9934,29.0,0.1099
depmap,WDR77,dann,10.0,1076,29,0.2,0.0739,0.0694,0.1748,0.1093,0.1274,28.4,9.7748,9.9499,29.0,0.1099
depmap,WDR77,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,WDR77,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,MDM2,dann,0.0,1076,29,0.14,0.0935,0.6071,0.7076,0.1358,0.1491,28.4,0.0,0.0,0.0,0.1099
depmap,MDM2,dann,0.1,1076,29,0.16,0.0923,0.6063,0.7035,0.1383,0.1584,28.4,0.0979,0.0995,29.0,0.1099
depmap,MDM2,dann,1.0,1076,29,0.14,0.0885,0.5902,0.6861,0.1099,0.1196,28.4,0.9695,0.9932,29.0,0.1099
depmap,MDM2,dann,10.0,1076,29,0.22,0.084,0.3931,0.5371,0.094,0.1055,28.4,9.7842,9.9521,29.0,0.1099
depmap,MDM2,dann,100.0,1076,29,,,,,0.0216,0.0297,28.4,98.0015,98.7727,29.0,0.1099
depmap,MDM2,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,MRPL57,dann,0.0,1076,29,0.18,0.0682,0.2329,0.278,0.1088,0.1243,28.4,0.0,0.0,0.0,0.1099
depmap,MRPL57,dann,0.1,1076,29,0.18,0.0852,0.2561,0.3093,0.1134,0.1289,28.4,0.098,0.0996,29.0,0.1099
depmap,MRPL57,dann,1.0,1076,29,0.2,0.0852,0.2477,0.2952,0.1099,0.1274,28.4,0.9753,0.9945,29.0,0.1099
depmap,MRPL57,dann,10.0,1076,29,0.22,0.06,0.1231,0.161,0.1082,0.1165,28.4,9.7113,9.9355,29.0,0.1099
depmap,MRPL57,dann,100.0,1076,29,,,,,0.0448,0.0514,28.4,98.5927,99.1012,29.0,0.1099
depmap,MRPL57,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,PGK1,dann,0.0,1076,29,0.1,0.0773,0.3214,0.3849,0.1326,0.146,28.4,0.0,0.0,0.0,0.1099
depmap,PGK1,dann,0.1,1076,29,0.08,0.0876,0.3137,0.3688,0.1203,0.1336,28.4,0.0966,0.0993,29.0,0.1099
depmap,PGK1,dann,1.0,1076,29,0.06,0.0881,0.3116,0.3582,0.1101,0.1274,28.4,0.9865,0.997,29.0,0.1099
depmap,PGK1,dann,10.0,1076,29,0.2,0.059,0.0911,0.1365,0.1025,0.1212,28.4,9.7159,9.9369,29.0,0.1099
depmap,PGK1,dann,100.0,1076,29,0.12,0.0311,,,0.088,0.101,28.4,97.4831,99.2455,29.0,0.1099
depmap,PGK1,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
depmap,HNRNPH1,dann,0.0,1076,29,0.12,0.078,0.2091,0.3631,0.1175,0.1305,28.4,0.0,0.0,0.0,0.1099
depmap,HNRNPH1,dann,0.1,1076,29,0.18,0.0901,0.2803,0.4063,0.1167,0.1274,28.4,0.0979,0.0995,29.0,0.1099
depmap,HNRNPH1,dann,1.0,1076,29,0.16,0.0883,0.2801,0.3921,0.1099,0.1274,28.4,0.9738,0.9942,29.0,0.1099
depmap,HNRNPH1,dann,10.0,1076,29,0.3,0.0734,0.0301,0.1833,0.1088,0.1305,28.4,9.7452,9.9433,29.0,0.1099
depmap,HNRNPH1,dann,100.0,1076,29,,,,,0.0016,0.0031,28.4,98.743,98.743,29.0,0.1099
depmap,HNRNPH1,dann,1000.0,1076,29,,,,,0.0016,0.0031,28.4,987.4301,987.4301,29.0,0.1099
