dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
ctrpv2,pitstop2,irm,0.0,116,22,0.32,0.2489,0.0907,0.1317
ctrpv2,pitstop2,marginal,,116,22,0.36,0.2432,0.1162,0.1221
ctrpv2,pitstop2,residualized,,116,22,0.08,0.2066,0.0097,-0.0177
ctrpv2,pitstop2,within_tissue,,116,22,0.42,0.0581,0.1162,0.1221
ctrpv2,pitstop2,irm,0.1,116,22,0.34,0.2352,0.1456,0.0772
ctrpv2,pitstop2,irm,1.0,116,22,0.36,0.2253,0.3004,0.2289
ctrpv2,pitstop2,irm,10.0,116,22,0.36,0.2253,0.3002,0.2287
ctrpv2,pitstop2,irm,100.0,116,22,0.36,0.2253,0.3001,0.2287
ctrpv2,pitstop2,irm,1000.0,116,22,0.36,0.2253,0.3001,0.2286
ctrpv2,ML203,irm,0.0,147,19,0.16,0.1961,-0.0728,-0.0373
ctrpv2,ML203,marginal,,147,19,0.3,0.1911,-0.0743,-0.0345
ctrpv2,ML203,residualized,,147,19,0.06,0.1172,0.2476,0.1142
ctrpv2,ML203,within_tissue,,147,19,0.32,0.0755,-0.0743,-0.0345
ctrpv2,ML203,irm,0.1,147,19,0.3,0.1937,-0.0904,-0.0648
ctrpv2,ML203,irm,1.0,147,19,0.3,0.1937,-0.0906,-0.065
ctrpv2,ML203,irm,10.0,147,19,0.3,0.1937,-0.0906,-0.065
ctrpv2,ML203,irm,100.0,147,19,0.3,0.1937,-0.0907,-0.065
ctrpv2,ML203,irm,1000.0,147,19,0.3,0.1937,-0.0907,-0.065
ctrpv2,PLX-4032,irm,0.0,201,22,0.48,0.1675,-0.033,0.2848
ctrpv2,PLX-4032,marginal,,201,22,0.42,0.1625,0.046,0.3098
ctrpv2,PLX-4032,residualized,,201,22,0.08,0.113,-0.0102,0.4048
ctrpv2,PLX-4032,within_tissue,,201,22,0.24,0.0614,0.046,0.3098
ctrpv2,PLX-4032,irm,0.1,201,22,0.34,0.1565,0.0118,0.2861
ctrpv2,PLX-4032,irm,1.0,201,22,0.34,0.1557,0.0163,0.2863
ctrpv2,PLX-4032,irm,10.0,201,22,0.34,0.1557,0.0163,0.2861
ctrpv2,PLX-4032,irm,100.0,201,22,0.34,0.1557,0.0163,0.2861
ctrpv2,PLX-4032,irm,1000.0,201,22,0.34,0.1557,0.0163,0.2861
ctrpv2,Navitoclax,irm,0.0,292,22,0.14,0.1467,0.2793,0.462
ctrpv2,Navitoclax,marginal,,292,22,0.18,0.1463,0.3435,0.4933
ctrpv2,Navitoclax,residualized,,292,22,0.08,0.0718,0.3467,0.472
ctrpv2,Navitoclax,within_tissue,,292,22,0.06,0.0568,0.3435,0.4933
ctrpv2,Navitoclax,irm,0.1,292,22,0.2,0.1439,0.2468,0.414
ctrpv2,Navitoclax,irm,1.0,292,22,0.16,0.1488,0.2936,0.4466
ctrpv2,Navitoclax,irm,10.0,292,22,0.14,0.1488,0.2956,0.4477
ctrpv2,Navitoclax,irm,100.0,292,22,0.14,0.1489,0.2965,0.4481
ctrpv2,Navitoclax,irm,1000.0,292,22,0.14,0.1489,0.2965,0.4481
ctrpv2,Tubastatin A,irm,0.0,293,22,0.34,0.1474,0.0601,0.372
ctrpv2,Tubastatin A,marginal,,293,22,0.48,0.1483,0.0028,0.3189
ctrpv2,Tubastatin A,residualized,,293,22,0.22,0.0692,0.0725,0.4117
ctrpv2,Tubastatin A,within_tissue,,293,22,0.32,0.0438,0.0028,0.3189
ctrpv2,Tubastatin A,irm,0.1,293,22,0.5,0.1396,-0.0328,0.2363
ctrpv2,Tubastatin A,irm,1.0,293,22,0.46,0.1369,-0.0324,0.2424
ctrpv2,Tubastatin A,irm,10.0,293,22,0.54,0.1391,-0.0317,0.2291
ctrpv2,Tubastatin A,irm,100.0,293,22,0.54,0.1392,-0.0321,0.2286
ctrpv2,Tubastatin A,irm,1000.0,293,22,0.54,0.1391,-0.0324,0.2282
ctrpv2,COL-3,irm,0.0,354,22,0.18,0.139,0.1573,0.3715
ctrpv2,COL-3,marginal,,354,22,0.16,0.1353,0.2086,0.3778
ctrpv2,COL-3,residualized,,354,22,0.12,0.0588,0.1735,0.3599
ctrpv2,COL-3,within_tissue,,354,22,0.08,0.0486,0.2086,0.3778
ctrpv2,COL-3,irm,0.1,354,22,0.24,0.1236,0.1409,0.3018
ctrpv2,COL-3,irm,1.0,354,22,0.18,0.1273,0.0526,0.2369
ctrpv2,COL-3,irm,10.0,354,22,0.2,0.1272,0.0531,0.2362
ctrpv2,COL-3,irm,100.0,354,22,0.18,0.1272,0.0532,0.2363
ctrpv2,COL-3,irm,1000.0,354,22,0.18,0.1272,0.0535,0.2366
ctrpv2,simvastatin,irm,0.0,480,23,0.24,0.1189,0.1569,0.1874
ctrpv2,simvastatin,marginal,,480,23,0.2,0.1122,0.1338,0.1621
ctrpv2,simvastatin,residualized,,480,23,0.12,0.0456,0.181,0.1835
ctrpv2,simvastatin,within_tissue,,480,23,0.16,0.0349,0.1338,0.1621
ctrpv2,simvastatin,irm,0.1,480,23,0.26,0.1071,0.1257,0.1562
ctrpv2,simvastatin,irm,1.0,480,23,0.26,0.1101,0.1496,0.1768
ctrpv2,simvastatin,irm,10.0,480,23,0.22,0.1078,0.1492,0.1722
ctrpv2,simvastatin,irm,100.0,480,23,0.22,0.1078,0.1491,0.1719
ctrpv2,simvastatin,irm,1000.0,480,23,0.22,0.1078,0.1491,0.172
ctrpv2,zebularine,irm,0.0,474,23,0.32,0.1295,0.1848,0.3933
ctrpv2,zebularine,marginal,,474,23,0.42,0.1297,0.1649,0.3939
ctrpv2,zebularine,residualized,,474,23,0.1,0.0453,0.2683,0.5398
ctrpv2,zebularine,within_tissue,,474,23,0.26,0.0298,0.1649,0.3939
ctrpv2,zebularine,irm,0.1,474,23,0.32,0.1274,0.1784,0.3805
ctrpv2,zebularine,irm,1.0,474,23,0.38,0.1301,0.179,0.4
ctrpv2,zebularine,irm,10.0,474,23,0.36,0.1262,0.16,0.3844
ctrpv2,zebularine,irm,100.0,474,23,0.4,0.1267,0.1886,0.4002
ctrpv2,zebularine,irm,1000.0,474,23,0.4,0.1267,0.1886,0.4001
ctrpv2,I-BET-151,irm,0.0,555,23,0.3,0.1296,0.1231,0.517
ctrpv2,I-BET-151,marginal,,555,23,0.28,0.1204,0.1144,0.5033
ctrpv2,I-BET-151,residualized,,555,23,0.08,0.0368,0.1749,0.5026
ctrpv2,I-BET-151,within_tissue,,555,23,0.08,0.0362,0.1144,0.5033
ctrpv2,I-BET-151,irm,0.1,555,23,0.32,0.1212,0.0251,0.4334
ctrpv2,I-BET-151,irm,1.0,555,23,0.34,0.12,0.0272,0.4298
ctrpv2,I-BET-151,irm,10.0,555,23,0.34,0.1199,0.028,0.4295
ctrpv2,I-BET-151,irm,100.0,555,23,0.34,0.1199,0.028,0.4293
ctrpv2,I-BET-151,irm,1000.0,555,23,0.34,0.1199,0.0281,0.4294
ctrpv2,BRD6340,irm,0.0,554,23,0.48,0.1253,0.2873,0.5003
ctrpv2,BRD6340,marginal,,554,23,0.4,0.1251,0.3151,0.5013
ctrpv2,BRD6340,residualized,,554,23,0.18,0.0318,0.3713,0.5816
ctrpv2,BRD6340,within_tissue,,554,23,0.26,0.0226,0.3151,0.5013
ctrpv2,BRD6340,irm,0.1,554,23,0.38,0.1213,0.1881,0.4276
ctrpv2,BRD6340,irm,1.0,554,23,0.36,0.116,0.2309,0.4137
ctrpv2,BRD6340,irm,10.0,554,23,0.44,0.1169,0.2388,0.4017
ctrpv2,BRD6340,irm,100.0,554,23,0.44,0.1167,0.2378,0.4054
ctrpv2,BRD6340,irm,1000.0,554,23,0.44,0.1167,0.2388,0.4021
ctrpv2,Etoposide,irm,0.0,614,23,0.16,0.1212,0.4113,0.6884
ctrpv2,Etoposide,marginal,,614,23,0.16,0.1191,0.4031,0.6881
ctrpv2,Etoposide,residualized,,614,23,0.14,0.0365,0.3604,0.6627
ctrpv2,Etoposide,within_tissue,,614,23,0.1,0.0264,0.4031,0.6881
ctrpv2,Etoposide,irm,0.1,614,23,0.2,0.1171,0.3301,0.6389
ctrpv2,Etoposide,irm,1.0,614,23,0.28,0.1185,0.3266,0.6435
ctrpv2,Etoposide,irm,10.0,614,23,0.22,0.1174,0.2647,0.5877
ctrpv2,Etoposide,irm,100.0,614,23,0.22,0.1174,0.2642,0.5873
ctrpv2,Etoposide,irm,1000.0,614,23,0.22,0.1174,0.2642,0.5873
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,0.0,470,22,0.14,0.1332,0.1643,0.2978
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),marginal,,470,22,0.26,0.1318,0.1438,0.2823
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),residualized,,470,22,0.1,0.0565,0.1707,0.3422
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),within_tissue,,470,22,0.1,0.0397,0.1438,0.2823
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,0.1,470,22,0.18,0.1256,0.1493,0.2859
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,1.0,470,22,0.22,0.1246,0.1036,0.2293
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,10.0,470,22,0.24,0.1243,0.1443,0.2758
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,100.0,470,22,0.24,0.1244,0.1453,0.2769
ctrpv2,erlotinib-PLX-4032 (2-1 mol-mol),irm,1000.0,470,22,0.24,0.1244,0.1438,0.276
ctrpv2,BRD-K41597374,irm,0.0,612,22,0.32,0.1245,0.0771,0.2259
ctrpv2,BRD-K41597374,marginal,,612,22,0.36,0.1222,0.0633,0.229
ctrpv2,BRD-K41597374,residualized,,612,22,0.08,0.034,0.1379,0.3638
ctrpv2,BRD-K41597374,within_tissue,,612,22,0.2,0.0227,0.0633,0.229
ctrpv2,BRD-K41597374,irm,0.1,612,22,0.44,0.114,0.0623,0.2195
ctrpv2,BRD-K41597374,irm,1.0,612,22,0.4,0.1153,0.0366,0.1897
ctrpv2,BRD-K41597374,irm,10.0,612,22,0.4,0.1165,0.0503,0.1939
ctrpv2,BRD-K41597374,irm,100.0,612,22,0.4,0.1149,0.0223,0.1756
ctrpv2,BRD-K41597374,irm,1000.0,612,22,0.38,0.115,0.0219,0.1742
ctrpv2,brefeldin A,irm,0.0,651,23,0.12,0.1133,0.2116,0.2462
ctrpv2,brefeldin A,marginal,,651,23,0.08,0.1082,0.2165,0.2424
ctrpv2,brefeldin A,residualized,,651,23,0.1,0.0282,0.2962,0.29
ctrpv2,brefeldin A,within_tissue,,651,23,0.04,0.0245,0.2165,0.2424
ctrpv2,brefeldin A,irm,0.1,651,23,0.18,0.1036,0.1666,0.2045
ctrpv2,brefeldin A,irm,1.0,651,23,0.16,0.1069,0.2016,0.2319
ctrpv2,brefeldin A,irm,10.0,651,23,0.16,0.1068,0.2002,0.2307
ctrpv2,brefeldin A,irm,100.0,651,23,0.16,0.1068,0.2002,0.2306
ctrpv2,brefeldin A,irm,1000.0,651,23,0.16,0.1068,0.2002,0.2306
ctrpv2,Serdemetan,irm,0.0,640,23,0.2,0.1244,0.2986,0.5527
ctrpv2,Serdemetan,marginal,,640,23,0.24,0.1201,0.309,0.5481
ctrpv2,Serdemetan,residualized,,640,23,0.1,0.0305,0.3742,0.578
ctrpv2,Serdemetan,within_tissue,,640,23,0.14,0.0258,0.309,0.5481
ctrpv2,Serdemetan,irm,0.1,640,23,0.28,0.1206,0.243,0.513
ctrpv2,Serdemetan,irm,1.0,640,23,0.34,0.1202,0.2302,0.5068
ctrpv2,Serdemetan,irm,10.0,640,23,0.26,0.1148,0.1848,0.4711
ctrpv2,Serdemetan,irm,100.0,640,23,0.38,0.122,0.2358,0.5065
ctrpv2,Serdemetan,irm,1000.0,640,23,0.38,0.1219,0.2334,0.5048
ctrpv2,KU-60019,irm,0.0,651,23,0.32,0.1202,0.1115,0.3065
ctrpv2,KU-60019,marginal,,651,23,0.32,0.1154,0.0734,0.2888
ctrpv2,KU-60019,residualized,,651,23,0.12,0.0334,0.1078,0.4137
ctrpv2,KU-60019,within_tissue,,651,23,0.22,0.0218,0.0734,0.2888
ctrpv2,KU-60019,irm,0.1,651,23,0.28,0.1147,0.0571,0.2262
ctrpv2,KU-60019,irm,1.0,651,23,0.3,0.1163,0.0841,0.2854
ctrpv2,KU-60019,irm,10.0,651,23,0.32,0.1144,0.0661,0.252
ctrpv2,KU-60019,irm,100.0,651,23,0.3,0.1138,0.0811,0.2502
ctrpv2,KU-60019,irm,1000.0,651,23,0.3,0.1138,0.0811,0.251
