dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
ctrpv2,CIL55,irm,0.0,230,21,0.26,0.1413,0.007,0.06
ctrpv2,CIL55,marginal,,230,21,0.36,0.1399,-0.0498,0.0141
ctrpv2,CIL55,residualized,,230,21,0.14,0.0994,-0.056,0.0872
ctrpv2,CIL55,within_tissue,,230,21,0.22,0.0586,-0.0498,0.0141
ctrpv2,CIL55,irm,0.1,230,21,0.32,0.1344,-0.0073,0.041
ctrpv2,CIL55,irm,1.0,230,21,0.26,0.1308,0.0053,0.0529
ctrpv2,CIL55,irm,10.0,230,21,0.24,0.1307,0.0068,0.0545
ctrpv2,CIL55,irm,100.0,230,21,0.26,0.1307,0.0073,0.0549
ctrpv2,CIL55,irm,1000.0,230,21,0.26,0.1307,0.0074,0.055
ctrpv2,BMS-536924,irm,0.0,708,23,0.26,0.1188,0.1654,0.3485
ctrpv2,BMS-536924,marginal,,708,23,0.32,0.1179,0.1708,0.3544
ctrpv2,BMS-536924,residualized,,708,23,0.1,0.0327,0.1509,0.3887
ctrpv2,BMS-536924,within_tissue,,708,23,0.22,0.021,0.1708,0.3544
ctrpv2,BMS-536924,irm,0.1,708,23,0.28,0.106,0.1027,0.2689
ctrpv2,BMS-536924,irm,1.0,708,23,0.28,0.1072,0.1033,0.292
ctrpv2,BMS-536924,irm,10.0,708,23,0.28,0.1069,0.1003,0.2878
ctrpv2,BMS-536924,irm,100.0,708,23,0.28,0.1069,0.1008,0.288
ctrpv2,BMS-536924,irm,1000.0,708,23,0.28,0.1069,0.1007,0.2879
ctrpv2,Idelalisib,irm,0.0,570,23,0.38,0.1264,0.0875,0.3131
ctrpv2,Idelalisib,marginal,,570,23,0.36,0.1202,0.08,0.305
ctrpv2,Idelalisib,residualized,,570,23,0.18,0.0344,0.0668,0.3419
ctrpv2,Idelalisib,within_tissue,,570,23,0.2,0.0253,0.08,0.305
ctrpv2,Idelalisib,irm,0.1,570,23,0.36,0.1191,0.0658,0.2455
ctrpv2,Idelalisib,irm,1.0,570,23,0.42,0.1195,0.0959,0.284
ctrpv2,Idelalisib,irm,10.0,570,23,0.4,0.1209,0.0825,0.2855
ctrpv2,Idelalisib,irm,100.0,570,23,0.42,0.1194,0.095,0.2845
ctrpv2,Idelalisib,irm,1000.0,570,23,0.4,0.1207,0.0809,0.2851
ctrpv2,SKI-II,irm,0.0,372,22,0.36,0.1498,0.1873,0.4186
