dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
depmap,SNRPD3,irm,0.0,276,21,0.36,0.138,0.1251,0.1752
depmap,SNRPD3,marginal,,276,21,0.44,0.1366,0.1013,0.1646
depmap,SNRPD3,residualized,,276,21,0.14,0.0831,-0.0261,0.2545
depmap,SNRPD3,within_tissue,,276,21,0.3,0.035,0.1013,0.1646
depmap,SNRPD3,irm,0.1,276,21,0.38,0.1365,0.1523,0.2697
depmap,SNRPD3,irm,1.0,276,21,0.36,0.1332,0.0958,0.1734
depmap,SNRPD3,irm,10.0,276,21,0.36,0.1332,0.0958,0.1734
depmap,SNRPD3,irm,100.0,276,21,0.36,0.1332,0.0959,0.1734
depmap,SNRPD3,irm,1000.0,276,21,0.36,0.1332,0.0959,0.1734
depmap,UMPS,irm,0.0,1076,29,0.36,0.0991,0.2125,0.4949
depmap,UMPS,marginal,,1076,29,0.4,0.0915,0.1767,0.4762
depmap,UMPS,residualized,,1076,29,0.18,0.0345,0.2536,0.5342
depmap,UMPS,within_tissue,,1076,29,0.2,0.0222,0.1767,0.4762
depmap,UMPS,irm,0.1,1076,29,0.38,0.0987,0.2782,0.5409
depmap,UMPS,irm,1.0,1076,29,0.28,0.0751,0.1258,0.4035
depmap,UMPS,irm,10.0,1076,29,0.26,0.0709,0.0837,0.3227
depmap,UMPS,irm,100.0,1076,29,0.28,0.0703,0.0844,0.3113
depmap,UMPS,irm,1000.0,1076,29,0.26,0.0709,0.0807,0.3122
depmap,PGK1,irm,0.0,1076,29,0.14,0.0957,0.2855,0.3459
depmap,PGK1,marginal,,1076,29,0.12,0.0962,0.3083,0.372
depmap,PGK1,residualized,,1076,29,0.08,0.0323,0.3065,0.3584
depmap,PGK1,within_tissue,,1076,29,0.04,0.0182,0.3083,0.372
depmap,PGK1,irm,0.1,1076,29,0.08,0.0977,0.2581,0.3134
depmap,PGK1,irm,1.0,1076,29,0.2,0.0877,0.2469,0.287
depmap,PGK1,irm,10.0,1076,29,0.08,0.0881,0.1769,0.2327
depmap,PGK1,irm,100.0,1076,29,0.1,0.09,0.2518,0.2811
depmap,PGK1,irm,1000.0,1076,29,0.1,0.09,0.2514,0.2806
depmap,USP7,irm,0.0,1076,29,0.22,0.1066,0.3295,0.4025
depmap,USP7,marginal,,1076,29,0.2,0.1024,0.3029,0.3793
depmap,USP7,residualized,,1076,29,0.12,0.0322,0.3273,0.3899
depmap,USP7,within_tissue,,1076,29,0.1,0.0186,0.3029,0.3793
depmap,USP7,irm,0.1,1076,29,0.2,0.1001,0.2979,0.3737
depmap,USP7,irm,1.0,1076,29,0.12,0.0934,0.2283,0.3087
depmap,USP7,irm,10.0,1076,29,0.14,0.0922,0.1507,0.2214
depmap,USP7,irm,100.0,1076,29,0.14,0.0922,0.1485,0.219
depmap,USP7,irm,1000.0,1076,29,0.14,0.0921,0.1481,0.2186
depmap,MDM2,irm,0.0,1076,29,0.12,0.1073,0.6002,0.7004
depmap,MDM2,marginal,,1076,29,0.14,0.1049,0.5968,0.6987
depmap,MDM2,residualized,,1076,29,0.08,0.0241,0.5904,0.6742
depmap,MDM2,within_tissue,,1076,29,0.06,0.0178,0.5968,0.6987
depmap,MDM2,irm,0.1,1076,29,0.12,0.1036,0.5626,0.6695
depmap,MDM2,irm,1.0,1076,29,0.08,0.0954,0.3958,0.4986
depmap,MDM2,irm,10.0,1076,29,0.08,0.0949,0.3931,0.4942
depmap,MDM2,irm,100.0,1076,29,0.08,0.095,0.3929,0.4941
depmap,MDM2,irm,1000.0,1076,29,0.08,0.0949,0.3921,0.493
depmap,UBE2M,irm,0.0,1076,29,0.1,0.0984,0.1535,0.193
depmap,UBE2M,marginal,,1076,29,0.12,0.0951,0.1859,0.2253
depmap,UBE2M,residualized,,1076,29,0.18,0.0321,0.2017,0.236
depmap,UBE2M,within_tissue,,1076,29,0.06,0.0183,0.1859,0.2253
depmap,UBE2M,irm,0.1,1076,29,0.08,0.1003,0.1498,0.1963
depmap,UBE2M,irm,1.0,1076,29,0.2,0.0889,0.1158,0.1535
depmap,UBE2M,irm,10.0,1076,29,0.18,0.0863,0.1391,0.1656
depmap,UBE2M,irm,100.0,1076,29,0.18,0.0862,0.1384,0.1642
depmap,UBE2M,irm,1000.0,1076,29,0.18,0.0862,0.1385,0.1642
depmap,MED12,irm,0.0,1076,29,0.22,0.1071,0.3026,0.4561
depmap,MED12,marginal,,1076,29,0.26,0.1037,0.3116,0.4556
depmap,MED12,residualized,,1076,29,0.3,0.032,0.317,0.4734
depmap,MED12,within_tissue,,1076,29,0.12,0.0188,0.3116,0.4556
depmap,MED12,irm,0.1,1076,29,0.24,0.0999,0.2891,0.4482
depmap,MED12,irm,1.0,1076,29,0.22,0.0876,0.2083,0.3127
depmap,MED12,irm,10.0,1076,29,0.22,0.0856,0.2083,0.3325
depmap,MED12,irm,100.0,1076,29,0.3,0.0828,0.1976,0.2099
depmap,MED12,irm,1000.0,1076,29,0.3,0.0835,0.1955,0.2101
depmap,FAM50A,irm,0.0,1076,29,0.24,0.1021,0.2636,0.3823
depmap,FAM50A,marginal,,1076,29,0.16,0.0988,0.2727,0.3928
depmap,FAM50A,residualized,,1076,29,0.18,0.032,0.2241,0.363
depmap,FAM50A,within_tissue,,1076,29,0.1,0.0187,0.2727,0.3928
depmap,FAM50A,irm,0.1,1076,29,0.16,0.0909,0.2625,0.376
depmap,FAM50A,irm,1.0,1076,29,0.2,0.0773,0.1701,0.2461
depmap,FAM50A,irm,10.0,1076,29,0.22,0.075,0.1581,0.2221
depmap,FAM50A,irm,100.0,1076,29,0.2,0.0745,0.1543,0.2173
depmap,FAM50A,irm,1000.0,1076,29,0.2,0.0745,0.1523,0.2144
depmap,HNRNPH1,irm,0.0,1076,29,0.1,0.1082,0.2778,0.3983
depmap,HNRNPH1,marginal,,1076,29,0.1,0.0951,0.2376,0.367
depmap,HNRNPH1,residualized,,1076,29,0.14,0.029,0.2557,0.3951
depmap,HNRNPH1,within_tissue,,1076,29,0.08,0.0191,0.2376,0.367
depmap,HNRNPH1,irm,0.1,1076,29,0.06,0.0993,0.2138,0.3457
depmap,HNRNPH1,irm,1.0,1076,29,0.08,0.0892,0.1334,0.2032
depmap,HNRNPH1,irm,10.0,1076,29,0.12,0.0901,0.1248,0.2269
depmap,HNRNPH1,irm,100.0,1076,29,0.12,0.0902,0.1198,0.223
depmap,HNRNPH1,irm,1000.0,1076,29,0.12,0.0903,0.1184,0.2229
depmap,MRPL57,irm,0.0,1076,29,0.22,0.0864,0.2271,0.2879
depmap,MRPL57,marginal,,1076,29,0.14,0.0837,0.2064,0.2529
depmap,MRPL57,residualized,,1076,29,0.02,0.0338,0.228,0.2756
depmap,MRPL57,within_tissue,,1076,29,0.02,0.0214,0.2064,0.2529
depmap,MRPL57,irm,0.1,1076,29,0.18,0.0942,0.2065,0.2632
depmap,MRPL57,irm,1.0,1076,29,0.14,0.0775,0.1591,0.1846
depmap,MRPL57,irm,10.0,1076,29,0.22,0.0672,0.1087,0.1312
depmap,MRPL57,irm,100.0,1076,29,0.2,0.0675,0.0871,0.1037
depmap,MRPL57,irm,1000.0,1076,29,0.2,0.0676,0.0881,0.1046
depmap,EIF4A1,irm,0.0,1076,29,0.2,0.0993,0.2049,0.2502
depmap,EIF4A1,marginal,,1076,29,0.18,0.0985,0.2441,0.2798
depmap,EIF4A1,residualized,,1076,29,0.14,0.0334,0.2536,0.2636
depmap,EIF4A1,within_tissue,,1076,29,0.1,0.0175,0.2441,0.2798
depmap,EIF4A1,irm,0.1,1076,29,0.22,0.0948,0.1863,0.2268
depmap,EIF4A1,irm,1.0,1076,29,0.18,0.094,0.1483,0.1709
depmap,EIF4A1,irm,10.0,1076,29,0.18,0.0957,0.1725,0.1961
depmap,EIF4A1,irm,100.0,1076,29,0.24,0.0914,0.1644,0.1851
depmap,EIF4A1,irm,1000.0,1076,29,0.22,0.0901,0.1008,0.1334
depmap,ALDOA,irm,0.0,1076,29,0.26,0.1019,0.1328,0.2036
depmap,ALDOA,marginal,,1076,29,0.26,0.0953,0.1017,0.181
depmap,ALDOA,residualized,,1076,29,0.08,0.0346,0.1534,0.2263
depmap,ALDOA,within_tissue,,1076,29,0.14,0.0188,0.1017,0.181
depmap,ALDOA,irm,0.1,1076,29,0.24,0.0935,0.0863,0.1742
depmap,ALDOA,irm,1.0,1076,29,0.2,0.0909,0.1143,0.1607
depmap,ALDOA,irm,10.0,1076,29,0.24,0.0919,0.0735,0.1329
depmap,ALDOA,irm,100.0,1076,29,0.22,0.0905,0.1099,0.172
depmap,ALDOA,irm,1000.0,1076,29,0.16,0.0922,0.051,0.0822
depmap,THAP1,irm,0.0,1076,29,0.08,0.0995,0.3381,0.4222
depmap,THAP1,marginal,,1076,29,0.08,0.0921,0.2985,0.3828
depmap,THAP1,residualized,,1076,29,0.04,0.031,0.3392,0.3943
depmap,THAP1,within_tissue,,1076,29,0.02,0.0198,0.2985,0.3828
depmap,THAP1,irm,0.1,1076,29,0.08,0.0976,0.2689,0.3641
depmap,THAP1,irm,1.0,1076,29,0.16,0.0917,0.2044,0.2771
depmap,THAP1,irm,10.0,1076,29,0.16,0.0915,0.2041,0.2765
depmap,THAP1,irm,100.0,1076,29,0.16,0.0916,0.2033,0.2758
depmap,THAP1,irm,1000.0,1076,29,0.16,0.0915,0.203,0.2755
depmap,PELO,irm,0.0,1076,29,0.16,0.1011,0.2525,0.3153
depmap,PELO,marginal,,1076,29,0.18,0.0966,0.2578,0.317
depmap,PELO,residualized,,1076,29,0.06,0.0278,0.2892,0.3416
depmap,PELO,within_tissue,,1076,29,0.1,0.0185,0.2578,0.317
depmap,PELO,irm,0.1,1076,29,0.18,0.0982,0.2371,0.2996
depmap,PELO,irm,1.0,1076,29,0.18,0.0896,0.1776,0.2281
depmap,PELO,irm,10.0,1076,29,0.14,0.0892,0.1919,0.2392
depmap,PELO,irm,100.0,1076,29,0.16,0.0888,0.1697,0.2205
depmap,PELO,irm,1000.0,1076,29,0.1,0.0919,0.1717,0.2305
depmap,WDR77,irm,0.0,1076,29,0.1,0.1035,0.1625,0.2657
depmap,WDR77,marginal,,1076,29,0.04,0.1007,0.166,0.2695
depmap,WDR77,residualized,,1076,29,0.06,0.0348,0.175,0.3165
depmap,WDR77,within_tissue,,1076,29,0.02,0.0177,0.166,0.2695
depmap,WDR77,irm,0.1,1076,29,0.1,0.1006,0.1215,0.2345
depmap,WDR77,irm,1.0,1076,29,0.16,0.0919,0.0687,0.0875
depmap,WDR77,irm,10.0,1076,29,0.14,0.0946,0.0705,0.1141
depmap,WDR77,irm,100.0,1076,29,0.14,0.0953,0.0654,0.1179
depmap,WDR77,irm,1000.0,1076,29,0.16,0.0953,0.0593,0.1112
depmap,LSM8,irm,0.0,1076,29,0.22,0.1028,0.0582,0.1422
depmap,LSM8,marginal,,1076,29,0.22,0.0962,0.0744,0.1675
depmap,LSM8,residualized,,1076,29,0.06,0.0324,0.111,0.1914
depmap,LSM8,within_tissue,,1076,29,0.12,0.0174,0.0744,0.1675
depmap,LSM8,irm,0.1,1076,29,0.2,0.0997,0.012,0.1181
depmap,LSM8,irm,1.0,1076,29,0.12,0.0951,0.005,0.0639
depmap,LSM8,irm,10.0,1076,29,0.16,0.0923,0.0431,0.0898
depmap,LSM8,irm,100.0,1076,29,0.16,0.0909,0.0562,0.1218
depmap,LSM8,irm,1000.0,1076,29,0.26,0.0929,0.0395,0.094
depmap,YRDC,irm,0.0,1076,29,0.3,0.1101,0.3442,0.5141
depmap,YRDC,marginal,,1076,29,0.26,0.1062,0.3408,0.5142
depmap,YRDC,residualized,,1076,29,0.22,0.0305,0.316,0.5066
depmap,YRDC,within_tissue,,1076,29,0.2,0.0172,0.3408,0.5142
depmap,YRDC,irm,0.1,1076,29,0.42,0.1074,0.3081,0.4811
depmap,YRDC,irm,1.0,1076,29,0.22,0.1028,0.2116,0.3713
depmap,YRDC,irm,10.0,1076,29,0.28,0.102,0.2064,0.3548
depmap,YRDC,irm,100.0,1076,29,0.32,0.1,0.2201,0.3622
depmap,YRDC,irm,1000.0,1076,29,0.26,0.102,0.2052,0.354
depmap,BUB3,irm,0.0,1076,29,0.12,0.1071,0.1481,0.2027
depmap,BUB3,marginal,,1076,29,0.1,0.098,0.092,0.1548
depmap,BUB3,residualized,,1076,29,0.12,0.0338,0.2264,0.2907
depmap,BUB3,within_tissue,,1076,29,0.06,0.0176,0.092,0.1548
depmap,BUB3,irm,0.1,1076,29,0.14,0.104,0.1106,0.1694
depmap,BUB3,irm,1.0,1076,29,0.1,0.1,0.0847,0.1292
depmap,BUB3,irm,10.0,1076,29,0.1,0.1003,0.0914,0.154
depmap,BUB3,irm,100.0,1076,29,0.18,0.1005,0.0359,0.0989
