dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
depmap,YRDC,irm,0.0,1066,29,0.3,0.1079,0.3578,0.5221
depmap,YRDC,marginal,,1066,29,0.32,0.1069,0.3642,0.5285
depmap,YRDC,residualized,,1066,29,0.24,0.0332,0.2936,0.5097
depmap,YRDC,within_tissue,,1066,29,0.26,0.0165,0.3642,0.5285
depmap,YRDC,irm,0.1,1066,29,0.34,0.1098,0.2852,0.4756
depmap,YRDC,irm,1.0,1066,29,0.36,0.1044,0.2386,0.4183
depmap,YRDC,irm,10.0,1066,29,0.36,0.1,0.2061,0.3621
depmap,YRDC,irm,100.0,1066,29,0.36,0.1001,0.2054,0.3613
depmap,YRDC,irm,1000.0,1066,29,0.36,0.1,0.2054,0.3611
depmap,DTYMK,irm,0.0,1066,29,0.2,0.1115,0.3276,0.4646
depmap,DTYMK,marginal,,1066,29,0.18,0.106,0.3262,0.4535
depmap,DTYMK,residualized,,1066,29,0.18,0.0308,0.3337,0.4799
depmap,DTYMK,within_tissue,,1066,29,0.14,0.0164,0.3262,0.4535
depmap,DTYMK,irm,0.1,1066,29,0.26,0.102,0.2548,0.3994
depmap,DTYMK,irm,1.0,1066,29,0.22,0.096,0.208,0.3427
depmap,DTYMK,irm,10.0,1066,29,0.26,0.0997,0.2257,0.3723
depmap,DTYMK,irm,100.0,1066,29,0.26,0.099,0.2298,0.3652
depmap,DTYMK,irm,1000.0,1066,29,0.26,0.0986,0.2117,0.3483
depmap,RPL13A,irm,0.0,266,21,0.3,0.1355,-0.0392,0.0036
depmap,RPL13A,marginal,,266,21,0.3,0.1365,-0.0554,-0.0186
depmap,RPL13A,residualized,,266,21,0.1,0.0824,-0.0225,-0.0323
depmap,RPL13A,within_tissue,,266,21,0.22,0.0387,-0.0554,-0.0186
depmap,RPL13A,irm,0.1,266,21,0.3,0.1337,0.0199,0.0619
depmap,RPL13A,irm,1.0,266,21,0.28,0.1335,0.0253,0.0657
depmap,RPL13A,irm,10.0,266,21,0.28,0.1335,0.0252,0.0657
depmap,RPL13A,irm,100.0,266,21,0.28,0.1335,0.0257,0.066
depmap,RPL13A,irm,1000.0,266,21,0.28,0.1335,0.0257,0.066
depmap,WDR1,irm,0.0,1066,29,0.22,0.1075,0.4197,0.4527
depmap,WDR1,marginal,,1066,29,0.22,0.1046,0.4026,0.4372
depmap,WDR1,residualized,,1066,29,0.12,0.0279,0.3686,0.3983
depmap,WDR1,within_tissue,,1066,29,0.06,0.0168,0.4026,0.4372
depmap,WDR1,irm,0.1,1066,29,0.18,0.099,0.3363,0.3685
depmap,WDR1,irm,1.0,1066,29,0.26,0.096,0.2879,0.328
depmap,WDR1,irm,10.0,1066,29,0.22,0.0949,0.3195,0.3213
depmap,WDR1,irm,100.0,1066,29,0.2,0.0947,0.3188,0.32
depmap,WDR1,irm,1000.0,1066,29,0.22,0.0947,0.3187,0.32
depmap,ESPL1,irm,0.0,1066,29,0.18,0.1016,0.0868,0.1314
depmap,ESPL1,marginal,,1066,29,0.18,0.0998,0.0597,0.1089
depmap,ESPL1,residualized,,1066,29,0.08,0.0378,0.0862,0.1616
depmap,ESPL1,within_tissue,,1066,29,0.08,0.0166,0.0597,0.1089
depmap,ESPL1,irm,0.1,1066,29,0.18,0.1001,0.0622,0.1097
depmap,ESPL1,irm,1.0,1066,29,0.14,0.1007,0.0426,0.0937
depmap,ESPL1,irm,10.0,1066,29,0.14,0.0934,0.0193,0.0452
depmap,ESPL1,irm,100.0,1066,29,0.14,0.0928,0.0151,0.0489
depmap,ESPL1,irm,1000.0,1066,29,0.18,0.0965,0.0537,0.0931
depmap,GPN2,irm,0.0,1066,29,0.24,0.1068,0.03,0.0919
depmap,GPN2,marginal,,1066,29,0.28,0.099,0.0285,0.0822
depmap,GPN2,residualized,,1066,29,0.1,0.0355,0.028,0.1487
depmap,GPN2,within_tissue,,1066,29,0.16,0.0166,0.0285,0.0822
depmap,GPN2,irm,0.1,1066,29,0.3,0.102,-0.0025,0.0428
depmap,GPN2,irm,1.0,1066,29,0.26,0.0928,0.0068,0.0186
depmap,GPN2,irm,10.0,1066,29,0.24,0.0935,-0.0036,-0.0015
depmap,GPN2,irm,100.0,1066,29,0.3,0.0966,0.0201,0.0638
depmap,GPN2,irm,1000.0,1066,29,0.22,0.0941,-0.0088,0.0021
depmap,STX4,irm,0.0,1066,29,0.22,0.1044,0.5132,0.6326
depmap,STX4,marginal,,1066,29,0.32,0.0975,0.5349,0.6542
depmap,STX4,residualized,,1066,29,0.22,0.0323,0.4785,0.5924
depmap,STX4,within_tissue,,1066,29,0.18,0.0178,0.5349,0.6542
depmap,STX4,irm,0.1,1066,29,0.3,0.099,0.4944,0.6157
depmap,STX4,irm,1.0,1066,29,0.28,0.076,0.3189,0.4248
depmap,STX4,irm,10.0,1066,29,0.28,0.0827,0.2708,0.3846
depmap,STX4,irm,100.0,1066,29,0.28,0.0825,0.2667,0.3789
depmap,STX4,irm,1000.0,1066,29,0.28,0.0824,0.2664,0.3785
depmap,RPL4,irm,0.0,1066,29,0.24,0.1086,0.0751,0.1424
depmap,RPL4,marginal,,1066,29,0.22,0.1081,0.0598,0.1316
depmap,RPL4,residualized,,1066,29,0.12,0.0378,0.0808,0.1941
depmap,RPL4,within_tissue,,1066,29,0.12,0.0159,0.0598,0.1316
