dataset,seed,item,method,mse,wt_mse,mse_noaddback
depmap,1,ACO2,baseline,0.1760178375204419,0.17534447436027215,0.1760178375204419
depmap,1,ACO2,marginal,0.16432803350096412,0.15473478533090065,0.16432803350096412
depmap,1,ACO2,residualized,0.15270036041975388,0.1426433653023749,0.750972774850203
depmap,1,ACO2,irm,0.2645651888637978,0.19306241778158648,0.2645651888637978
depmap,1,ACTB,baseline,0.16176290271586355,0.16157000463553092,0.16176290271586355
depmap,1,ACTB,marginal,0.15368164221753125,0.14890722891892644,0.15368164221753125
depmap,1,ACTB,residualized,0.15225090925007106,0.14408854123648712,0.5884261787607337
depmap,1,ACTB,irm,0.28535766768159715,0.19230385759263527,0.28535766768159715
depmap,1,ACTR1A,baseline,0.19894817504283557,0.19866747997281434,0.19894817504283557
depmap,1,ACTR1A,marginal,0.19182650273541269,0.18329288938962343,0.19182650273541269
depmap,1,ACTR1A,residualized,0.18094882945345037,0.16868731922195637,0.7624182011446355
depmap,1,ACTR1A,irm,0.316248915606247,0.23480186513729787,0.316248915606247
depmap,1,ADSL,baseline,0.24753855180576315,0.2469511009148091,0.24753855180576315
depmap,1,ADSL,marginal,0.22945644488556244,0.2166947382589546,0.22945644488556244
depmap,1,ADSL,residualized,0.21858612096461047,0.20734880917651727,1.098617380356348
depmap,1,ADSL,irm,0.3270596489435334,0.26399119916210007,0.3270596489435334
depmap,1,AK6,baseline,0.20236342851525715,0.20217499009433892,0.20236342851525715
depmap,1,AK6,marginal,0.21933730567872547,0.2047269251361072,0.21933730567872547
depmap,1,AK6,residualized,0.20097342426974296,0.1885108666558192,1.4403578491443152
depmap,1,AK6,irm,0.3433661537607151,0.25386061180721203,0.3433661537607151
depmap,1,ALDOA,baseline,0.16843983185076056,0.1674560408201388,0.16843983185076056
depmap,1,ALDOA,marginal,0.2101769520276251,0.20061254112087412,0.2101769520276251
depmap,1,ALDOA,residualized,0.1770481112397797,0.16475355445505044,1.6812921238245637
depmap,1,ALDOA,irm,0.29445680707691263,0.22809581000706017,0.29445680707691263
depmap,1,ALG13,baseline,0.1538227384073486,0.15363305877642844,0.1538227384073486
depmap,1,ALG13,marginal,0.16022764076054377,0.15291993364784115,0.16022764076054377
depmap,1,ALG13,residualized,0.15312844422501254,0.14352696924907732,0.7698064952819152
depmap,1,ALG13,irm,0.2938989671024078,0.20190750111525255,0.2938989671024078
depmap,1,ANKLE2,baseline,0.1910150941716458,0.19077859811102377,0.1910150941716458
depmap,1,ANKLE2,marginal,0.27738008185598534,0.25611942152284933,0.27738008185598534
depmap,1,ANKLE2,residualized,0.19583278512951574,0.18248649821211282,5.386408084623766
depmap,1,ANKLE2,irm,0.3590691232384591,0.28996532474818293,0.3590691232384591
depmap,1,ATP1A1,baseline,0.26572074114703903,0.2646944646160186,0.26572074114703903
depmap,1,ATP1A1,marginal,0.26271707370291403,0.2472324764085899,0.26271707370291403
depmap,1,ATP1A1,residualized,0.2607891266641688,0.24680618726398365,1.2925383108130832
depmap,1,ATP1A1,irm,0.4030482135832749,0.31151135813274283,0.4030482135832749
depmap,1,ATP6AP1,baseline,0.1634703196248299,0.16286610092646112,0.1634703196248299
depmap,1,ATP6AP1,marginal,0.1798894889047659,0.17144970430044684,0.1798894889047659
depmap,1,ATP6AP1,residualized,0.16119735225372298,0.1506255680879529,1.1382048980546609
depmap,1,ATP6AP1,irm,0.2612891541187065,0.1882880796752258,0.2612891541187065
depmap,1,ATP6V0C,baseline,0.26505599879564046,0.26476473673398465,0.26505599879564046
depmap,1,ATP6V0C,marginal,0.3694928590570646,0.35030000689971286,0.3694928590570646
depmap,1,ATP6V0C,residualized,0.2802983564422088,0.2630471999157904,4.9850369028249775
depmap,1,ATP6V0C,irm,0.48330128374077164,0.38299408854524214,0.48330128374077164
depmap,1,ATP6V1A,baseline,0.16341298471976523,0.1633602659244459,0.16341298471976523
depmap,1,ATP6V1A,marginal,0.23631784101995376,0.21799652721291574,0.23631784101995376
depmap,1,ATP6V1A,residualized,0.16351145407179066,0.15367371182491768,3.872891218684713
depmap,1,ATP6V1A,irm,0.33238217947559084,0.2631617167980007,0.33238217947559084
depmap,1,ATP6V1B2,baseline,0.31186093870829795,0.3115108345880613,0.31186093870829795
depmap,1,ATP6V1B2,marginal,0.35432774349800167,0.3304907304751113,0.35432774349800167
depmap,1,ATP6V1B2,residualized,0.291741316837017,0.2750622005582804,3.598231358858302
depmap,1,ATP6V1B2,irm,0.464117549433555,0.3870701721249691,0.464117549433555
depmap,1,ATP6V1F,baseline,0.17022280872085566,0.17004463753669324,0.17022280872085566
depmap,1,ATP6V1F,marginal,0.21701433949512358,0.20396695874236365,0.21701433949512358
depmap,1,ATP6V1F,residualized,0.18369884100613382,0.17323934273685307,1.467685716293969
