dataset,seed,item,method,n_cells,n_tissues,pearson,wt_pearson,wt_pearson_recon
depmap,1,ACO2,baseline,1076,29,0.32674085699808814,-0.2604456685583014,-0.2604456685583014
depmap,1,ACO2,marginal,1076,29,0.45368866266750063,0.32942301187012474,0.32942301187012474
depmap,1,ACO2,residualized,1076,29,0.47480622838585784,0.371541545306582,0.3110984504432867
depmap,1,ACO2,irm,1076,29,0.2547751345265402,0.1456760616600186,0.1456760616600186
depmap,1,ACTB,baseline,1076,29,0.2924095017558367,-0.2429602946632946,-0.2429602946632946
depmap,1,ACTB,marginal,1076,29,0.3987775308699366,0.2923577168646181,0.2923577168646181
depmap,1,ACTB,residualized,1076,29,0.39465186642264616,0.28530095733795746,0.23335151011066188
depmap,1,ACTB,irm,1076,29,0.1969085520773795,0.1237837456114983,0.1237837456114983
depmap,1,ACTR1A,baseline,1076,29,0.24784804123984588,-0.2928280492188626,-0.2928280492188626
depmap,1,ACTR1A,marginal,1076,29,0.386393706483117,0.2955020438114572,0.2955020438114572
depmap,1,ACTR1A,residualized,1076,29,0.4037001533931643,0.34009007840681316,0.27890216078200575
depmap,1,ACTR1A,irm,1076,29,0.21050032980305158,0.13314273337973068,0.13314273337973068
depmap,1,ADSL,baseline,1076,29,0.47413700825989463,-0.27610298934161587,-0.27610298934161587
depmap,1,ADSL,marginal,1076,29,0.5546004059925129,0.34547328547046763,0.34547328547046763
depmap,1,ADSL,residualized,1076,29,0.5674752471149674,0.35488869189870387,0.3059326663706717
depmap,1,ADSL,irm,1076,29,0.4619281256117817,0.24654283728823845,0.24654283728823845
depmap,1,AK6,baseline,1075,29,0.2915725213420602,-0.31625486873593284,-0.31625486873593284
depmap,1,AK6,marginal,1075,29,0.33066544433966305,0.21281997444846207,0.21281997444846207
depmap,1,AK6,residualized,1075,29,0.360781415164598,0.23570900964838035,0.1710701514416515
depmap,1,AK6,irm,1075,29,0.20701627350910826,0.07954920775196278,0.07954920775196278
depmap,1,ALDOA,baseline,1076,29,0.17865143157028462,-0.27447254614575944,-0.27447254614575944
depmap,1,ALDOA,marginal,1076,29,0.17998145069166255,0.1027335307348667,0.1027335307348667
depmap,1,ALDOA,residualized,1076,29,0.2299017718097444,0.16528273810066194,0.10191185774841759
depmap,1,ALDOA,irm,1076,29,0.14752899689208468,0.09443759149233956,0.09443759149233956
depmap,1,ALG13,baseline,1076,29,0.2239486338929576,-0.2849680599401587,-0.2849680599401587
depmap,1,ALG13,marginal,1076,29,0.29892450471407944,0.2205744367299478,0.2205744367299478
depmap,1,ALG13,residualized,1076,29,0.31127185663227425,0.22368881215363656,0.15976970651400227
depmap,1,ALG13,irm,1076,29,0.18575775421202692,0.1378479008204794,0.1378479008204794
depmap,1,ANKLE2,baseline,1076,29,-0.028678742972750335,-0.3119403018134082,-0.3119403018134082
depmap,1,ANKLE2,marginal,1076,29,0.1158664811602772,0.09281941915876502,0.09281941915876502
depmap,1,ANKLE2,residualized,1076,29,0.05216551713280562,0.08052780322134237,-0.03680639705052711
depmap,1,ANKLE2,irm,1076,29,0.092819958463269,0.06780803709388009,0.06780803709388009
depmap,1,ATP1A1,baseline,1076,29,0.32745027616039796,-0.24898348376999221,-0.24898348376999221
depmap,1,ATP1A1,marginal,1076,29,0.42340951998831444,0.2862195516358153,0.2862195516358153
depmap,1,ATP1A1,residualized,1076,29,0.39173548210795256,0.2409188239346897,0.18870704295330135
depmap,1,ATP1A1,irm,1076,29,0.278748731057793,0.16265871684170843,0.16265871684170843
depmap,1,ATP6AP1,baseline,1076,29,0.24367874694822217,-0.3001586720951688,-0.3001586720951688
depmap,1,ATP6AP1,marginal,1076,29,0.2725643882500072,0.16150946195554391,0.16150946195554391
depmap,1,ATP6AP1,residualized,1076,29,0.30828053116602167,0.19532026258480614,0.11047772245212613
depmap,1,ATP6AP1,irm,1076,29,0.2213844368589381,0.1322479801203464,0.1322479801203464
depmap,1,ATP6V0C,baseline,1076,29,0.09796511229475884,-0.3088657511994867,-0.3088657511994867
depmap,1,ATP6V0C,marginal,1076,29,0.10232027874931542,0.04447948403346901,0.04447948403346901
depmap,1,ATP6V0C,residualized,1076,29,0.11762018778879177,0.07141883312507849,-0.01517483512696218
depmap,1,ATP6V0C,irm,1076,29,0.08729826910568901,0.03721925582080317,0.03721925582080317
depmap,1,ATP6V1A,baseline,1076,29,0.14841841341568746,-0.26551265407573926,-0.26551265407573926
depmap,1,ATP6V1A,marginal,1076,29,0.15420133639579697,0.09525870045285961,0.09525870045285961
depmap,1,ATP6V1A,residualized,1076,29,0.21553588152319214,0.16432024345336577,0.08196367868595707
depmap,1,ATP6V1A,irm,1076,29,0.0860603949406237,0.03910650102680678,0.03910650102680678
depmap,1,ATP6V1B2,baseline,1076,29,0.175065504863667,-0.2857716695039609,-0.2857716695039609
depmap,1,ATP6V1B2,marginal,1076,29,0.27502120653025747,0.2041542526283862,0.2041542526283862
depmap,1,ATP6V1B2,residualized,1076,29,0.32483414498405644,0.2789318769965587,0.2128776326551971
depmap,1,ATP6V1B2,irm,1076,29,0.17184459037378433,0.12007863745714797,0.12007863745714797
depmap,1,ATP6V1F,baseline,1076,29,0.06960402067600412,-0.30544204165100486,-0.30544204165100486
depmap,1,ATP6V1F,marginal,1076,29,0.061414838916862606,0.018855812195066653,0.018855812195066653
depmap,1,ATP6V1F,residualized,1076,29,0.06931087432152676,0.03933801842947395,-0.04490134753928199
depmap,1,ATP6V1F,irm,1076,29,0.018562982344006416,-0.0016855577787760383,-0.0016855577787760383
depmap,1,BCL2L1,baseline,1076,29,0.2411939487271137,-0.29105378264891735,-0.29105378264891735
depmap,1,BCL2L1,marginal,1076,29,0.3605218554075582,0.2549916039621039,0.2549916039621039
depmap,1,BCL2L1,residualized,1076,29,0.3118612244600646,0.21615689957642978,0.14668503243084705
depmap,1,BCL2L1,irm,1076,29,0.20797712836968948,0.11662801534963503,0.11662801534963503
depmap,1,BUB3,baseline,1076,29,0.19316734503931574,-0.2331404110366546,-0.2331404110366546
depmap,1,BUB3,marginal,1076,29,0.17935144241457243,0.11793377125919281,0.11793377125919281
depmap,1,BUB3,residualized,1076,29,0.2867152051755481,0.2186554311675103,0.15755699275923388
depmap,1,BUB3,irm,1076,29,0.1302724965146944,0.0766227301382956,0.0766227301382956
depmap,1,CBFB,baseline,1076,29,0.5990984400067246,-0.27270190768096886,-0.27270190768096886
depmap,1,CBFB,marginal,1076,29,0.5908179538040176,0.16421228400836343,0.16421228400836343
depmap,1,CBFB,residualized,1076,29,0.6152935606527344,0.22504945578333038,0.1613272188057137
depmap,1,CBFB,irm,1076,29,0.3700321551055689,0.07878560996291277,0.07878560996291277
depmap,1,CCND1,baseline,1076,29,0.4182324832463734,-0.2632289008674547,-0.2632289008674547
depmap,1,CCND1,marginal,1076,29,0.615418930283951,0.4837925607372062,0.4837925607372062
depmap,1,CCND1,residualized,1076,29,0.6424720372970674,0.5395804001747726,0.49771972263536207
depmap,1,CCND1,irm,1076,29,0.4805562392963842,0.3472651153019295,0.3472651153019295
depmap,1,CDAN1,baseline,1076,29,0.30608797010985106,-0.26955027647353696,-0.26955027647353696
depmap,1,CDAN1,marginal,1076,29,0.4032153453082829,0.24203110318178425,0.24203110318178425
depmap,1,CDAN1,residualized,1076,29,0.42541470405229964,0.3195206735548191,0.22095973164425992
depmap,1,CDAN1,irm,1076,29,0.2900167943502242,0.14026725352000047,0.14026725352000047
depmap,1,CDC42,baseline,1076,29,0.33191484314226943,-0.257773039205038,-0.257773039205038
depmap,1,CDC42,marginal,1076,29,0.32851459876597033,0.19414707954823074,0.19414707954823074
depmap,1,CDC42,residualized,1076,29,0.4174901678662157,0.2804841832428257,0.22895343211879457
depmap,1,CDC42,irm,1076,29,0.28175169693796315,0.14412155832548784,0.14412155832548784
depmap,1,CDC45,baseline,1076,29,0.07367247061672524,-0.26615199175896564,-0.26615199175896564
depmap,1,CDC45,marginal,1076,29,0.11610243368507132,0.09888374415298944,0.09888374415298944
depmap,1,CDC45,residualized,1076,29,0.14380362236150054,0.12479267599043692,0.03994051767208124
depmap,1,CDC45,irm,1076,29,0.10639677961100662,0.07588039180707648,0.07588039180707648
depmap,1,CDK1,baseline,1076,29,0.25634519773500597,-0.2711424224206211,-0.2711424224206211
depmap,1,CDK1,marginal,1076,29,0.1943840833709161,0.09186951685082177,0.09186951685082177
depmap,1,CDK1,residualized,1076,29,0.3010805030899667,0.16878143200227605,0.0896672627898003
depmap,1,CDK1,irm,1076,29,0.15640892742463539,0.07272877180773701,0.07272877180773701
depmap,1,CDK4,baseline,1076,29,0.26511944730407805,-0.2665272115405701,-0.2665272115405701
depmap,1,CDK4,marginal,1076,29,0.49771724784052046,0.416358486622631,0.416358486622631
depmap,1,CDK4,residualized,1076,29,0.48890026001514747,0.42064821511267536,0.3771326278515224
depmap,1,CDK4,irm,1076,29,0.396324830184624,0.3073478440989472,0.3073478440989472
depmap,1,CDK6,baseline,1076,29,0.44486554029735387,-0.26716815538516303,-0.26716815538516303
depmap,1,CDK6,marginal,1076,29,0.573699293131026,0.41159585576570934,0.41159585576570934
depmap,1,CDK6,residualized,1076,29,0.5628906484752607,0.3960964104569677,0.3546967820100611
depmap,1,CDK6,irm,1076,29,0.3573260208914605,0.24708689811225132,0.24708689811225132
depmap,1,CENPW,baseline,1076,29,0.10473127405515945,-0.26665009452603067,-0.26665009452603067
depmap,1,CENPW,marginal,1076,29,0.09643149886104996,0.06988810470472757,0.06988810470472757
depmap,1,CENPW,residualized,1076,29,0.1767767521120185,0.145500782705815,0.07940823028577827
depmap,1,CENPW,irm,1076,29,0.060234775693517546,0.040528150992014504,0.040528150992014504
depmap,1,CFL1,baseline,1076,29,0.45079713220147505,-0.2639663339871538,-0.2639663339871538
depmap,1,CFL1,marginal,1076,29,0.5003286137006615,0.2544601908950098,0.2544601908950098
depmap,1,CFL1,residualized,1076,29,0.5028704174480884,0.2668221574483515,0.2238234986785863
depmap,1,CFL1,irm,1076,29,0.30520227457884713,0.10941197211807796,0.10941197211807796
depmap,1,CFLAR,baseline,1076,29,0.37595941530487786,-0.25354840497684805,-0.25354840497684805
depmap,1,CFLAR,marginal,1076,29,0.49003241355508537,0.3447184896810625,0.3447184896810625
depmap,1,CFLAR,residualized,1076,29,0.4870418396380984,0.33569733063273505,0.2745249659148597
depmap,1,CFLAR,irm,1076,29,0.4132072710963741,0.27105038780209895,0.27105038780209895
depmap,1,CHAF1B,baseline,1076,29,0.05269634264123025,-0.28664630248122563,-0.28664630248122563
depmap,1,CHAF1B,marginal,1076,29,0.06164305390549759,0.028927071682162075,0.028927071682162075
depmap,1,CHAF1B,residualized,1076,29,0.0916973779888107,0.07930481271913647,-0.017795426857054215
depmap,1,CHAF1B,irm,1076,29,0.03761278238859495,0.017926761755689028,0.017926761755689028
depmap,1,CHMP4B,baseline,1076,29,0.5048384858144029,-0.2483750999353729,-0.2483750999353729
depmap,1,CHMP4B,marginal,1076,29,0.5838827664428562,0.3438019730882861,0.3438019730882861
depmap,1,CHMP4B,residualized,1076,29,0.606121490637781,0.3949587530942014,0.34556906328805376
depmap,1,CHMP4B,irm,1076,29,0.46413159457982445,0.2516617354213508,0.2516617354213508
depmap,1,COPG1,baseline,1076,29,0.3004611151664077,-0.2749117212140513,-0.2749117212140513
depmap,1,COPG1,marginal,1076,29,0.4286215769299316,0.33200121921769205,0.33200121921769205
depmap,1,COPG1,residualized,1076,29,0.4516981858839215,0.35578972525153924,0.3022528206138397
depmap,1,COPG1,irm,1076,29,0.239544981245768,0.15451454934683787,0.15451454934683787
depmap,1,CRKL,baseline,1076,29,0.40559323825468746,-0.26766392679408424,-0.26766392679408424
depmap,1,CRKL,marginal,1076,29,0.4910987636481417,0.2978898844636533,0.2978898844636533
depmap,1,CRKL,residualized,1076,29,0.4621714118854374,0.250497930005909,0.1817909948620337
depmap,1,CRKL,irm,1076,29,0.33038941427188556,0.16415480460308543,0.16415480460308543
