dataset,method,overall_mean,overall_sd,overall_sem,overall_median,overall_n,wtrecon_mean,wtrecon_sd,wtrecon_sem,wtrecon_median,wtrecon_n,wt_mean,wt_sd,wt_sem,wt_median,wt_n
ctrpv2,adae,0.40056149861980855,0.16707422707998498,0.007964951257394427,0.4303881553625626,440,0.18002873726333607,0.12342665407244009,0.005884134858691438,0.1857430550959565,440,0.2295428758426498,0.1085555101316297,0.0051751808883489896,0.22891979053795403,440
ctrpv2,baseline,0.3461577666543603,0.14629400396573394,0.006974292990613682,0.3542094077043254,440,-0.37754668825005877,0.07569662278395306,0.003608694897836739,-0.3618486364436454,440,,,,,0
ctrpv2,dann,0.36771637742041113,0.15615833159006012,0.0074445563585065246,0.3831198732647936,440,0.18649384798484206,0.1186123896256869,0.0056546238064557235,0.19171912617361775,440,0.20609850630751508,0.11910022018917346,0.005677880216064475,0.20530508969081768,440
ctrpv2,irm,0.30783879124563723,0.15721236261497434,0.0074948053160145195,0.30291329038116943,440,0.132096092999242,0.09969498923948708,0.004752772128754641,0.12914772851370923,440,0.1700439747099268,0.10821704384806097,0.0051590451413938004,0.16596064268510013,440
ctrpv2,marginal,0.36374786335752757,0.1659936306968848,0.00791343584612642,0.37863480090415225,440,0.1748155574894253,0.11786975031957424,0.005619219866671637,0.176591943441584,440,0.20891818112388635,0.11923092269032225,0.005684111213322784,0.20620601086413506,440
ctrpv2,residualized,0.40092379076104523,0.1522193230282394,0.007256771493385818,0.42113901139926474,440,0.06128013572276894,0.1947391717348359,0.009283825745491935,0.10263873620595929,440,0.218938398071085,0.11476720242184177,0.005471311699080114,0.22383020646622864,440
depmap,adae,0.26974777075009704,0.1458592074526551,0.010313803468826783,0.2618036555575889,200,0.1486728111916789,0.10619483666743418,0.007509108913454053,0.1493183444892014,200,0.18867857904253604,0.1056412857409581,0.00746996695206972,0.19723355810317894,200
depmap,baseline,0.24288365440999427,0.13019435921818356,0.00920613142754149,0.22110612755308484,200,-0.2799181342014504,0.03446007402149587,0.0024366952020790106,-0.273184986967974,200,,,,,0
depmap,dann,0.28163325579668536,0.14693466567298316,0.010389849848874462,0.28561815373161004,200,0.2095914961671882,0.12797758083529856,0.009049381524848915,0.21224400165401633,200,0.22049498860932545,0.1303563331914518,0.009217584717028857,0.22375866435157044,200
depmap,irm,0.20516688674387068,0.12331979387876793,0.008720026250620409,0.19214550212288384,200,0.12573311856468278,0.08726127996325644,0.006170304279703644,0.11765291449831423,200,0.15388362616774592,0.09487846213263475,0.006708920396253709,0.1431199777595084,200
depmap,marginal,0.3018262744190551,0.16836779954779535,0.011905401279370342,0.29850864139849226,200,0.20409906836840364,0.13161381118664905,0.009306501838788544,0.2031494495335411,200,0.22379385351242262,0.1319359370530769,0.009329279577243216,0.2242868798776707,200
depmap,residualized,0.3289769396007432,0.15091723263789028,0.010671459859615996,0.3227712635791502,200,0.15735579265118865,0.14309589329392994,0.010118407650808446,0.1685472419952107,200,0.22992542830378782,0.12099896009334109,0.008555918519852193,0.2316172072203102,200
