dataset,method,mse_mean,mse_sd,mse_sem,mse_median,mse_n
ctrpv2,adae,1.7266276338173614,2.0584678503515326,0.09813360432374904,1.0631398201547917,440
ctrpv2,baseline,1.8867776630058837,2.2263982930984767,0.10613937406148204,1.1329041572583571,440
ctrpv2,dann,1.9955849092940101,2.008155893370413,0.09573507588508748,1.3988466066117635,440
ctrpv2,irm,2.3517577296814713,2.1081007482618648,0.10049975989141641,1.7327751037936063,440
ctrpv2,marginal,1.9981955007841024,2.0158972127528987,0.09610412880621758,1.4020668935902703,440
ctrpv2,residualized,1.8238098434528702,2.2024494325687387,0.10499765693297376,1.1189606126943161,440
depmap,adae,0.20436285827411,0.0690338334027193,0.004881429173036521,0.1847539667388698,200
depmap,baseline,0.21266692085595046,0.07031293267527432,0.004971875149979964,0.19324509272286286,200
depmap,dann,0.2559029676064844,0.11834531904848049,0.008368277762086604,0.23997414097987663,200
depmap,irm,0.38152697391243623,0.16981583733679673,0.012007793013372067,0.3593176351297145,200
depmap,marginal,0.25386103181182523,0.11495754045943733,0.008128725640739503,0.23755294926407997,200
depmap,residualized,0.20496439408732306,0.06686324513456998,0.0047279454046792865,0.18750849550961057,200
