drug_name,hugo_targets,mechanism
"1,9-Pyrazoloanthrone",MAPK10;MAPK8;MAPK9,inhibitor of Jun N-terminal kinase (JNK) 1/2/3
"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4
3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP
5-Fluorouracil,TYMS,pyrimidine analog; inhibitor of thymidylate synthase
968,GLS,inhibitor of glutaminase
A-804598,P2RX7,inhibitor of purinergic receptor P2X
AA-COCF3,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D,inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase
Abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"
Abt-737,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W"
AC55649,RARB,agonist of retinoic acid receptor beta
Adavosertib,WEE1,inhibitor of WEE1
Afatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
AGK-2,SIRT2,inhibitor of sirtuin 2
Alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B
alisertib:navitoclax (2:1 mol/mol),AURKA;AURKB;BCL2;BCL2L1;BCL2L2,"inhibitor of aurora kinases A and B;inhibitor of BCL2, BCL-xL, and BCL-W"
Alpelisib,PIK3CA,inhibitor of PI3K catalytic subunit alpha
Alvocidib,CDK1;CDK2;CDK4;CDK6,inhibitor of cyclin-dependent kinases
AM-580,RARA,agonist of retinoic acid receptor alpha
apicidin,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
AT-406,XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
AT7867,AKT1;AKT2;AKT3;RPS6KB2,inhibitor of AKT1/2/3 and S6K
Avrainvillamide,NPM1,natural product; inhibitor of nucleophosmin
Axitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
AZ-3146,TTK,inhibitor of TTK protein kinase
Azacitidine,DNMT1,inhibitor of DNA methyltransferase
Azd-1480,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
AZD-7545,PDK2,inhibitor of pyruvate dehydrogenase kinase 2
Azd4547,FGFR1;FGFR2;FGFR3,inhibitor of fibroblast growth factor receptors
AZD6482,PIK3CB;PIK3CD,inhibitor of PI3K catalytic subunits beta and delta
AZD7762,CHEK1;CHEK2,inhibitor of checkpoint kinases 1 and 2
AZD8055,MTOR,inhibitor of mTOR
Bafilomycin A1,ATP6V0A1,inhibitor of the vacuolar-type H+-ATPase
Barasertib,AURKB,inhibitor of aurora kinase B
Bax Channel Blocker,BAX,inhibitor of BAX-mediated mitochondrial cytochrome c release
BEC,ARG1;ARG2,inhibitor of arginase I and II
Belinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
Bemcentinib,AXL,inhibitor of the tyrosine-protein kinase receptor UFO
Bexarotene,RXRA;RXRB;RXRG,inhibitor of retinoid X receptors
BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1)
BIBR-1532,TERT,inhibitor of telomerase reverse transcriptase
Birinapant,DIABLO;XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
BIX-01294,EHMT2,inhibitor of G9a histone methyltransferase
Blebbistatin,MYH1;MYH2,inhibitor of myosin II ATPases
BMS-195614,RARA;RARB;RARG,antagonist of retinoic acid receptors
BMS-270394,RARG,antagonist of retinoic acid receptor gamma
BMS-345541 free base,IKBKB,inhibitor of IKK-2
Bms-754807,IGF1R,inhibitor of insulin-like growth factor 1 receptor and insulin receptor
Bortezomib,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of 26S proteasome
Bosutinib,ABL1;SRC,inhibitor of SRC and ABL1
BRD-A02303741,DOT1L,inhibitor of histone methyltransferases
BRD-A02303741:carboplatin (1:1 mol/mol),DOT1L,inhibitor of histone methyltransferases;inducer of DNA damage
BRD-A02303741:navitoclax (2:1 mol/mol),DOT1L;BCL2;BCL2L1;BCL2L2,"inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W"
BRD-A05715709,IDH1,putative inhibitor of IDH1 R132H
BRD-A71883111,IDH1,putative inhibitor of IDH1 R132H
BRD-A94377914,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
BRD-K03536150,BAX,activator of BAX
BRD-K07442505,BAX,stapled helical peptide activating BAX
BRD-K11533227,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
BRD-K13185470,MCL1,stapled helical peptide targeting MCL1
