drug,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
"(1S,3R)-Rsl3",-0.2965503182423006,-0.2961535327639569,0.2037803919794474,0.2794395448445738,0.2009756407524984,0.2794395448445738,True,True,True,True,True,True,True
16beta-Bromoandrosterone,-0.4626108913936321,-0.461828365628386,0.1969479551429082,0.210042312361825,0.2053746822783707,0.210042312361825,True,True,True,True,True,True,True
3-Cl-AHPC,-0.3445641060118757,-0.3446095884439852,0.252929300486063,0.3519389778386714,0.271699104764925,0.3519389778386714,True,True,True,True,True,True,True
5-Fluorouracil,-0.4411252641696893,-0.4406096900881296,0.246917803775612,0.2808201135722066,0.2681629909972371,0.2808201135722066,True,True,True,True,True,True,True
ABT-737,-0.3838098128617994,-0.3834781620670727,0.3436473809650661,0.4231946483259076,0.3764581174775974,0.4231946483259076,True,True,True,True,True,True,True
AGK-2,-0.5198524972308294,-0.5196960210199209,0.0902385444460431,0.0843013534975019,-0.4658127487521915,0.0843013534975019,False,False,False,False,False,False,False
AM-580,-0.3680073148067258,-0.3676624160425096,0.1506693030063435,0.2014790430129469,0.0637814145691658,0.2014790430129469,True,False,True,True,False,True,False
AT13387,-0.4900986235356291,-0.4900276425164441,0.1032681609842322,0.0922464888789695,-0.1010125449814084,0.0922464888789695,False,False,False,False,False,False,False
AT7867,-0.307792487279897,-0.3075989619787623,0.119492645874247,0.1808748668540878,0.1448487895398114,0.1808748668540878,True,True,True,True,True,True,True
AZ-3146,-0.4860407488817011,-0.4854385224620735,0.1915004447226946,0.2482895858436823,-0.0578762453441081,0.2482895858436823,True,False,True,True,False,True,False
AZD-7545,-0.367907282273445,-0.3677893776151588,0.0337493097885026,0.0553032410700678,0.0106881701144836,0.0553032410700678,False,False,False,False,False,False,False
AZD1480,-0.4367410610231769,-0.4362804707316217,0.1078828995548387,0.1908438989368018,-0.0304033066457551,0.1908438989368018,True,False,False,True,False,True,False
AZD4547,-0.3546210959177646,-0.3544798926697711,0.09330794028725,0.1238096743391721,0.0934244412181771,0.1238096743391721,True,True,True,True,True,True,True
AZD6482,-0.3243485812626684,-0.3241762606754471,0.1296194626648758,0.1748684482452886,0.1185240181613737,0.1748684482452886,True,True,True,True,True,True,True
AZD7762,-0.325784252977544,-0.3256330402388099,0.2181902049101814,0.2738269933554828,0.1796196904778013,0.2738269933554828,True,True,True,True,True,True,True
AZD8055,-0.3138267820873876,-0.3136423325448649,0.1379434979734389,0.1680576234516625,0.1329513258457477,0.1680576234516625,True,True,True,True,True,True,True
Aacocf3,-0.3717099878348706,-0.371601811326491,0.0636231584286914,0.1029175196823694,0.0080829015369718,0.1029175196823694,True,False,False,True,False,True,False
Afatinib,-0.3136551766110443,-0.31351889999715,0.2283945955182622,0.253747045555219,0.1482149521214026,0.253747045555219,True,True,True,True,True,True,True
Alisertib,-0.3409888548949301,-0.3407418721106493,0.3020725427122423,0.3729950467422483,0.3377823564559668,0.3729950467422483,True,True,True,True,True,True,True
Alpelisib,-0.3864847342180388,-0.3865413843125372,0.0757609347565357,0.0963983748511412,0.0496043367494112,0.0963983748511412,True,False,False,True,False,True,False
Axitinib,-0.4016502280216052,-0.4014381434779444,0.2885584635627914,0.3238085687089924,0.1700189863819635,0.3238085687089924,True,True,True,True,True,True,True
Azacitidine,-0.3877724758809853,-0.3876290946171685,0.0207476247623116,0.0437068888779323,-0.1412045290712284,0.0437068888779323,False,False,False,False,False,False,False
B02,-0.3614388304060554,-0.3612697010606884,0.1241431197119677,0.1718713204786266,0.1210255373657334,0.1718713204786266,True,True,True,True,True,True,True
BI-2536,-0.3086955574016916,-0.3086330619745893,0.3672351115844426,0.4162517108527815,0.3927450709789408,0.4162517108527815,True,True,True,True,True,True,True
BIBR-1532,-0.4103512865263643,-0.4103304299032224,0.1225189937530688,0.1187402532991005,0.1769049948303041,0.1187402532991005,True,True,True,True,True,True,True
BIX-01294,-0.3052405950559338,-0.3052614213193817,0.1883567668202934,0.1971094938195983,0.2257694470615472,0.1971094938195983,True,True,True,True,True,True,True
BMS-195614,-0.3629217161208546,-0.3621286322186756,0.0988385676503212,0.1010197405653458,-0.1186445860101921,0.1010197405653458,True,False,False,True,False,True,False
BMS-270394,-0.3906107233233287,-0.390214774012347,0.048320722121795,0.1004396771588995,-0.0092091412689629,0.1004396771588995,False,False,False,False,False,False,False
BMS-345541,-0.3289357028875956,-0.3286096417155434,0.1204950868845628,0.1973035582523774,0.1334985058090513,0.1973035582523774,True,True,True,True,True,True,True
BMS-536924,-0.3179783347122027,-0.3175353542919111,0.1428537560145275,0.1748802776276891,0.0662607599359652,0.1748802776276891,True,False,True,True,False,True,False
BMS-754807,-0.3415147962644196,-0.3416395905546779,0.2917021241301298,0.3259079741083869,0.2044173592045792,0.3259079741083869,True,True,True,True,True,True,True
BRD-A02303741-carboplatin_(1-1_mol-mol),-0.5072065176430085,-0.506895253814267,-0.0692095479989102,-0.0827235683312023,-0.4561542671065439,-0.0827235683312023,False,False,False,False,False,False,False
BRD-A02303741-navitoclax_(2-1_mol-mol),-0.3599207746244725,-0.3597475084916076,0.2645929943002673,0.2904154681462109,0.2382080362047683,0.2904154681462109,True,True,True,True,True,True,True
BRD-A71883111,-0.4509230676343425,-0.4506191586132804,0.0904087212180825,0.1512231161540492,-0.1899466832459542,0.1512231161540492,True,False,False,True,False,True,False
BRD-A94377914,-0.3930095222319617,-0.3926313494934043,0.2136041036831179,0.3195920271202355,0.1589996437033338,0.3195920271202355,True,True,True,True,True,True,True
BRD-K02251932,-0.3684844634686026,-0.3683660256000007,0.0349546022727755,0.0561659901778033,-0.110750283076005,0.0561659901778033,False,False,False,False,False,False,False
BRD-K11533227,-0.4304655329944961,-0.4300544342202369,-0.0082673965867045,-0.0530956702814152,-0.2353347761939367,-0.0530956702814152,False,False,False,False,False,False,False
BRD-K13999467,-0.3153559326383553,-0.3149941481241222,0.0506651410132828,0.0944947283693323,0.1016274451648872,0.0944947283693323,True,True,False,True,True,True,False
BRD-K14844214,-0.3784248383601611,-0.3781809057518766,-0.0578883392341965,-0.0420615172507593,-0.2694512844372571,-0.0420615172507593,False,False,False,False,False,False,False
BRD-K19103580,-0.3475145085325432,-0.347148002174273,0.0281587817336174,0.030824413897863,-0.1145900391589389,0.030824413897863,False,False,False,False,False,False,False
BRD-K24690302,-0.402112341255585,-0.4019710720684658,0.0996263909094035,0.0993809452560782,0.0290588971448788,0.0993809452560782,True,False,True,True,False,True,False
BRD-K26531177,-0.3119579058187875,-0.3120665152100185,0.1698196549260013,0.1967416545300484,0.1451468746538362,0.1967416545300484,True,True,True,True,True,True,True
BRD-K27188169-navitoclax_(2-1_mol-mol),-0.4546464661279938,-0.4542739906839591,0.0210084836672601,-0.0176285023387056,-0.2949462256137375,-0.0176285023387056,False,False,False,False,False,False,False
BRD-K28456706,-0.5860842018676858,-0.5859210067211396,0.1588860194450542,0.1033782409309907,-0.430801926679165,0.1033782409309907,False,False,True,False,False,False,False
BRD-K34222889,-0.2734507558400376,-0.2732589279412633,0.2515943366913968,0.3490492941906134,0.3017935808749225,0.3490492941906134,True,True,True,True,True,True,True
