target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
ACO2,-0.2827557531433586,-0.2825277624387269,0.1783971696109543,0.3294230118701247,0.2908851984892607,0.3294230118701247,True,True,True,True,True,True,True
ACTB,-0.2559383247009487,-0.2556870256966018,0.141965824770153,0.2923577168646181,0.2245166648818798,0.2923577168646181,True,True,True,True,True,True,True
ACTR1A,-0.2666428130064581,-0.2664094797365154,0.1689856028725562,0.3044680699418096,0.2792027902047302,0.3044680699418096,True,True,True,True,True,True,True
ADSL,-0.2707037380824519,-0.2704235628807153,0.2465428372882384,0.3407598797156923,0.3059326663706717,0.3407598797156923,True,True,True,True,True,True,True
AK6,-0.2907686699308115,-0.2903765990622409,0.1119885979374237,0.2169591347014453,0.1487574819063283,0.2169591347014453,True,True,True,True,True,True,True
ALDOA,-0.2805817956497626,-0.2798373218622094,0.0938934029889162,0.1402069806576346,0.0959674387149486,0.1402069806576346,True,True,True,True,True,True,True
ALG13,-0.2837298669329726,-0.2834729021590934,0.1205301035476713,0.2205744367299478,0.1718127143760302,0.2205744367299478,True,True,True,True,True,True,True
ANKLE2,-0.2883583338365152,-0.2879357127558752,0.06780803709388,0.0881265564357949,0.0230170055661133,0.0881265564357949,True,False,True,True,False,True,False
ATP1A1,-0.2846745078730085,-0.2843521190881469,0.1626587168417084,0.2716070569263463,0.1887070429533013,0.2716070569263463,True,True,True,True,True,True,True
ATP6AP1,-0.2990034512613944,-0.2989065611190246,0.1021353720127802,0.1580893956548166,0.1162589449212875,0.1580893956548166,True,True,True,True,True,True,True
ATP6V0C,-0.2857277216972507,-0.2855422424030916,0.0617422041895903,0.0654501616628959,-0.0151748351269621,0.0654501616628959,True,False,True,True,False,True,False
ATP6V1A,-0.2655126540757392,-0.2650773887586767,0.0524780284154024,0.1019686610432154,0.081963678685957,0.1019686610432154,True,True,False,True,True,True,False
ATP6V1B2,-0.2711775285352278,-0.2708757591891333,0.1200786374571479,0.1717833298237937,0.1816738803714261,0.1717833298237937,True,True,True,True,True,True,True
ATP6V1F,-0.2682271798938129,-0.267998622364898,-0.0199487870031344,0.051826279918495,-0.0029973959093427,0.051826279918495,False,False,False,False,False,False,False
BCL2L1,-0.2764977295157247,-0.27647610066513,0.1481645322011453,0.2834168021948684,0.2215934986223458,0.2834168021948684,True,True,True,True,True,True,True
BUB3,-0.2768571303275377,-0.2759393306505419,0.0908520596077632,0.1362612051666573,0.1465392181500161,0.1362612051666573,True,True,True,True,True,True,True
CBFB,-0.2727019076809688,-0.2723879598559939,0.0787856099629127,0.165692702170929,0.1613272188057137,0.165692702170929,True,True,True,True,True,True,True
CCND1,-0.2634468370079061,-0.2628938384354267,0.3990226950108047,0.5219952126952725,0.497719722635362,0.5219952126952725,True,True,True,True,True,True,True
CDAN1,-0.2668705522219848,-0.2652616147542647,0.1402672535200004,0.2420311031817842,0.2383300628124957,0.2420311031817842,True,True,True,True,True,True,True
CDC42,-0.2729859988240695,-0.2722294314782572,0.1394223522652077,0.1941470795482307,0.1742517354329643,0.1941470795482307,True,True,True,True,True,True,True
CDC45,-0.2751328276899655,-0.274903908181741,0.0758803918070764,0.0691439221074566,-0.0319400777600629,0.0691439221074566,True,False,True,True,False,True,False
CDK1,-0.2711424224206211,-0.2704155544105345,0.0654431839774638,0.0994804960052869,0.050039696485051,0.0994804960052869,True,False,True,True,False,True,False
CDK4,-0.2889720308045512,-0.2888081092079785,0.288221974522666,0.4245867755723034,0.4092896948229877,0.4245867755723034,True,True,True,True,True,True,True
CDK6,-0.267168155385163,-0.2669592715327016,0.2396466411945536,0.4069689710645581,0.3546967820100611,0.4069689710645581,True,True,True,True,True,True,True
CENPW,-0.2771932719636497,-0.2770797023393532,0.0405281509920145,0.0859859924218406,0.0720788438396008,0.0859859924218406,True,True,False,True,True,True,False
CFL1,-0.2639663339871538,-0.2635336912417269,0.1369247034089745,0.2544601908950098,0.2190006685041143,0.2544601908950098,True,True,True,True,True,True,True
CFLAR,-0.2571125214652731,-0.2569126956615826,0.1774891847996607,0.3447184896810625,0.2802459841013933,0.3447184896810625,True,True,True,True,True,True,True
CHAF1B,-0.2785741625788994,-0.2782311810830708,0.0026449712958015,0.028927071682162,-0.0177954268570542,0.028927071682162,False,False,False,False,False,False,False
