dataset,variant,n_items,method,eta2_mean,eta2_median,eta2_q90,contam@10,contam@10_sem,contam@50,contam@50_sem,contam@100,contam@100_sem,eta2_mean_vs_marginal,contam@10_vs_marginal,contam@50_vs_marginal,contam@100_vs_marginal
depmap,full,200,marginal,0.10002319539631956,0.08245720232727374,0.18663866875756577,0.231,0.011806437218695358,0.25220000000000004,0.006110852032475837,0.24509999999999998,0.004163124792772973,0.0,0.0,0.0,0.0
depmap,full,200,residualized,0.03597531656622563,0.029810856948183202,0.06350695686660619,0.1355,0.00910291521033966,0.1562,0.005209944106028365,0.1588,0.003758113500870767,-0.6403302611591093,-0.41341991341991335,-0.38065027755749414,-0.3521011831905344
depmap,full,200,irm,0.09254923225927333,0.0758647264832788,0.17211808390258007,0.231,0.012017365993724901,0.24520000000000003,0.005538789665150129,0.24270000000000003,0.0038382562519035097,-0.07472229923701512,0.0,-0.027755749405233954,-0.009791921664626502
depmap,full,200,within_tissue,0.019432782947311822,0.01698910518481505,0.034863762397704966,0.1075,0.00801811704859845,0.13870000000000002,0.004424866917341233,0.1527,0.0036893912831524123,-0.8057172351841614,-0.5346320346320347,-0.45003965107057886,-0.3769889840881272
depmap,full,200,dann,0.10912204502134654,0.09205390320315215,0.2013890932043367,0.24150000000000002,0.01112463651938535,0.24370000000000006,0.005030714705910215,0.2433,0.003576240692044816,0.09096739600224546,0.045454545454545414,-0.033703409992069666,-0.007343941248470043
depmap,full,200,adae,0.11661215621062197,0.090852568066005,0.22881789486435164,0.509,0.02055987701114887,0.4573,0.013194088443285736,0.41534999999999994,0.010004993100181199,0.16585113831419163,1.2034632034632033,0.8132434575733543,0.6946144430844552
ctrpv2,full,440,marginal,0.1372436495860143,0.1152554789898558,0.25638878085236544,0.30250000000000005,0.008460758699537258,0.30468181818181816,0.00538377809244517,0.3015227272727272,0.0045011444281899595,0.0,0.0,0.0,0.0
ctrpv2,full,440,residualized,0.05758642044248708,0.04103222574615445,0.11796212001853819,0.0934090909090909,0.004465002981377817,0.11600000000000002,0.0024992854642575833,0.13113636363636363,0.0019034358452791878,-0.5804073950511195,-0.6912096168294517,-0.6192749515142473,-0.5650863043642118
ctrpv2,full,440,irm,0.13040383140229764,0.1092094246554665,0.24396887198708836,0.2918181818181818,0.00846788283031863,0.2892727272727273,0.005081529981147658,0.28504545454545455,0.00420533187364244,-0.04983704677300904,-0.0353117956423743,-0.05057436968521545,-0.05464686816914133
ctrpv2,full,440,within_tissue,0.03585570985954827,0.02770593959665585,0.07101223673853034,0.1318181818181818,0.006425314213202329,0.17631818181818185,0.004738795055725564,0.1964318181818182,0.004471961123934491,-0.7387441242803986,-0.5642374154770851,-0.42130389377890487,-0.34853395643325524
ctrpv2,full,440,dann,0.14261728504658558,0.12088823971997689,0.2657605903761312,0.23454545454545458,0.007164498068140167,0.24695454545454545,0.004443753011921842,0.24518181818181817,0.00369581755191208,0.03915398254695557,-0.22464312546957177,-0.1894674026555273,-0.1868546016431747
ctrpv2,full,440,adae,0.13860203666536866,0.10697482890749441,0.2802322331439225,0.24136363636363636,0.008826102891180935,0.2767727272727273,0.00634115745480876,0.2787045454545455,0.0054218222496765665,0.009897631573131838,-0.20210368144252455,-0.09160077577204229,-0.07567649054043846
depmap,a61,144,marginal,0.0968492041308704,0.0789461876999625,0.18179566251339435,0.22291666666666668,0.014271984431992618,0.245,0.007280856955803899,0.2378472222222222,0.004759323237310043,0.0,0.0,0.0,0.0
depmap,a61,144,residualized,0.03256987159936743,0.02815899346243,0.05557427798711766,0.14930555555555555,0.011106101969172964,0.1713888888888889,0.006235013976894194,0.1715277777777778,0.004318694392439447,-0.6637053252873776,-0.3302180685358256,-0.300453514739229,-0.278832116788321
depmap,a61,144,irm,0.08820455825837581,0.07124731651000235,0.1651729146178495,0.22986111111111113,0.014686568040200796,0.24069444444444443,0.0068687698887185365,0.2361111111111111,0.004753143881584422,-0.08925882200139978,0.031152647975077885,-0.017573696145124718,-0.007299270072992692
depmap,a61,144,within_tissue,0.018857891872020395,0.017047708802343402,0.0334966246517073,0.10347222222222223,0.00942258743070716,0.13541666666666666,0.0053933062702995575,0.14479166666666668,0.004086012809558443,-0.8052860419323828,-0.5358255451713396,-0.44727891156462585,-0.39124087591240864
depmap,a61,144,dann,0.10692923518392003,0.0896100695239958,0.19872749007219745,0.23194444444444443,0.013024272726273307,0.23541666666666666,0.005632899357085583,0.2340277777777778,0.0037828070812289754,0.10407964777313694,0.04049844236760114,-0.03911564625850339,-0.016058394160583744
depmap,a61,144,adae,0.11671934481417007,0.08907849730793395,0.2343095924297259,0.5368055555555556,0.02253260022328181,0.47680555555555554,0.014761327277753504,0.43125,0.010944549703878557,0.20516576116051022,1.4080996884735204,0.9461451247165533,0.813138686131387
ctrpv2,a61,232,marginal,0.12247340615133373,0.10005976939553696,0.23246300962523686,0.27586206896551724,0.010932103614019362,0.28155172413793106,0.006970928611768568,0.2790948275862069,0.005803015353738213,0.0,0.0,0.0,0.0
ctrpv2,a61,232,residualized,0.03643879566017974,0.030968379053693,0.06500495159439687,0.10948275862068967,0.0065782944227937,0.12836206896551725,0.003554161536827563,0.14327586206896553,0.0024240606481463426,-0.7024758532872492,-0.6031249999999999,-0.5440906307409676,-0.4866409266409266
ctrpv2,a61,232,irm,0.1154357062175291,0.0937887662014542,0.2193236046732368,0.2625,0.010584279930115728,0.2696551724137931,0.006824485386808743,0.2681465517241379,0.005613076201577792,-0.05746308651780718,-0.04843749999999991,-0.04225352112676062,-0.03922779922779929
ctrpv2,a61,232,within_tissue,0.027716770557265978,0.023012951945189902,0.05297931398049561,0.11163793103448277,0.0076283093075957134,0.1606896551724138,0.005882186706514746,0.1784051724137931,0.005692966976855984,-0.7736915186059423,-0.5953124999999999,-0.42927127985303126,-0.36077220077220074
ctrpv2,a61,232,dann,0.1274706198346807,0.10507901621872731,0.242371191337899,0.2228448275862069,0.009492380345739104,0.23974137931034484,0.005870270664543533,0.2362068965517242,0.004868516907359857,0.040802438997835866,-0.19218749999999996,-0.14849969381506434,-0.1536679536679535
ctrpv2,a61,232,adae,0.12251767085188345,0.09225555504682754,0.2526842402353871,0.25862068965517243,0.0128016364945183,0.2941379310344828,0.009043718337098935,0.29314655172413795,0.007453396804293525,0.0003614229565480631,-0.06249999999999989,0.04470300061237009,0.05034749034749031
depmap,marginal,170,marginal,0.09801398185895008,0.0802734509502807,0.18339405182302632,0.2235294117647059,0.012933580025299955,0.24611764705882355,0.0064650864183517925,0.24094117647058827,0.004419876519753457,0.0,0.0,0.0,0.0
depmap,marginal,170,residualized,0.03364948724437761,0.028802615831240802,0.057495225124823315,0.14294117647058824,0.010144328138349722,0.16364705882352942,0.005638299564720902,0.16458823529411765,0.004042160238884432,-0.6566868664431785,-0.3605263157894737,-0.3350860420650096,-0.3168945312500001
depmap,marginal,170,irm,0.09001427120382519,0.07318622170484695,0.1679284516554171,0.2247058823529412,0.013001158338334675,0.241764705882353,0.00607377370776115,0.23917647058823527,0.004218553759179373,-0.08161805594876359,0.0052631578947368585,-0.017686424474187223,-0.007324218750000222
depmap,marginal,170,within_tissue,0.018832084993016977,0.01684704067165935,0.03364509428237239,0.10411764705882352,0.008644902662765415,0.13576470588235298,0.004834002535825714,0.14794117647058821,0.0037858595780918486,-0.8078632799541003,-0.5342105263157895,-0.44837476099426377,-0.3859863281250002
depmap,marginal,170,dann,0.10755842215354748,0.09035953719007625,0.1991595951529653,0.23,0.011853908257095194,0.2398823529411765,0.005361935582126261,0.23947058823529413,0.003701592553576062,0.09737835473649681,0.02894736842105261,-0.02533460803059273,-0.006103515625000111
