variant,dataset,method,n_sets,pearson_NES,spearman_NES,sign_agree,n_sig_full,n_sig_sub,n_sig_both,frac_full_sig_replicated,sign_agree_full_sig
a61,ctrpv2,adae,225,0.730118680165063,0.805526759376317,0.7911111111111111,0,0,0,0.0,
a61,ctrpv2,dann,225,0.7693962266277667,0.8365528866413823,0.8177777777777778,0,1,0,0.0,
a61,ctrpv2,irm,225,0.7694837025769506,0.8351074589127687,0.8666666666666667,0,0,0,0.0,
a61,ctrpv2,residualized,225,0.9487397942443736,0.9741045090602614,0.9511111111111111,27,18,16,0.5925925925925926,1.0
a61,ctrpv2,within_tissue,225,0.9632143808715367,0.9906753055204385,0.9555555555555556,22,31,22,1.0,1.0
a61,depmap,adae,200,0.9154750008021043,0.937217430435761,0.92,3,21,3,1.0,1.0
a61,depmap,dann,200,0.810360507199556,0.8856536413410336,0.85,0,0,0,0.0,
a61,depmap,irm,200,0.830451057019474,0.8619845496137404,0.87,3,2,2,0.6666666666666666,1.0
a61,depmap,residualized,200,0.9459279981068733,0.9724128103202582,0.95,23,21,20,0.8695652173913043,1.0
a61,depmap,within_tissue,200,0.9858819558627856,0.9963459086477163,0.98,19,21,19,1.0,1.0
marginal,ctrpv2,adae,225,0.8418621051439501,0.9072661188369154,0.8577777777777778,0,0,0,0.0,
marginal,ctrpv2,dann,225,0.850246431606128,0.9191434892541088,0.88,0,1,0,0.0,
marginal,ctrpv2,irm,225,0.8554506743395056,0.9350558364938897,0.9022222222222223,0,0,0,0.0,
marginal,ctrpv2,residualized,225,0.974984385946338,0.9873029919932578,0.9733333333333334,27,21,21,0.7777777777777778,1.0
marginal,ctrpv2,within_tissue,225,0.9789318650299745,0.9935766961651918,0.9733333333333334,22,31,22,1.0,1.0
marginal,depmap,adae,200,0.9515954101330304,0.9634545863646593,0.95,3,8,3,1.0,1.0
marginal,depmap,dann,200,0.8951218139409283,0.9362424060601516,0.915,0,0,0,0.0,
marginal,depmap,irm,200,0.8599804566950737,0.9199204980124503,0.86,3,2,2,0.6666666666666666,1.0
marginal,depmap,residualized,200,0.9589842672468392,0.9824120603015077,0.955,23,19,18,0.782608695652174,1.0
marginal,depmap,within_tissue,200,0.9959554962169515,0.9985299632490814,0.99,19,20,19,1.0,1.0
all4,ctrpv2,adae,225,0.7368977462811545,0.7851801517067005,0.8088888888888889,0,0,0,0.0,
all4,ctrpv2,dann,225,0.7885766387843454,0.8482100716392753,0.8311111111111111,0,0,0,0.0,
all4,ctrpv2,irm,225,0.7544850221088144,0.8145090602612728,0.8577777777777778,0,0,0,0.0,
all4,ctrpv2,residualized,225,0.9470337353677789,0.9731215760640541,0.9511111111111111,27,16,15,0.5555555555555556,1.0
all4,ctrpv2,within_tissue,225,0.9565429987283185,0.9902012220817533,0.9466666666666667,22,32,22,1.0,1.0
all4,depmap,adae,200,0.8947095758756636,0.9379314482862073,0.895,3,23,3,1.0,1.0
all4,depmap,dann,200,0.8066643846257722,0.8746268656716418,0.85,0,0,0,0.0,
all4,depmap,irm,200,0.8076967401696382,0.8614565364134105,0.84,3,2,1,0.3333333333333333,1.0
all4,depmap,residualized,200,0.946990487365241,0.9702512562814072,0.95,23,17,16,0.6956521739130435,1.0
all4,depmap,within_tissue,200,0.9858589750043136,0.9961869046726171,0.98,19,20,19,1.0,1.0
