variant,dataset,method,n_lineage,n_sig,n_sig_demoted,n_sig_promoted,mean_NES,median_NES
full,ctrpv2,adae,38,0,0,0,-0.360605871416403,-0.7859436941704028
full,ctrpv2,dann,38,0,0,0,0.09234796230434796,0.6824368381859633
full,ctrpv2,irm,38,0,0,0,-0.4543474271764717,-0.9213001265915852
full,ctrpv2,residualized,38,10,9,1,-0.7646248144053391,-0.9897621626338937
full,ctrpv2,within_tissue,38,5,5,0,-0.6885834193006289,-1.0057338736086328
full,depmap,adae,38,1,1,0,0.4118170064203586,0.8939000582133271
full,depmap,dann,38,0,0,0,0.34190283960140194,0.7742922512123689
full,depmap,irm,38,0,0,0,-0.12853240930914592,-0.7016881179879924
full,depmap,residualized,38,7,7,0,-0.5987083892811265,-0.9931515563093865
full,depmap,within_tissue,38,6,6,0,-0.710429900377814,-0.9297045886028956
a61,ctrpv2,adae,38,0,0,0,-0.10679365998832843,-0.7550546579404112
a61,ctrpv2,dann,38,0,0,0,-0.15870517355922334,-0.7565349489439177
a61,ctrpv2,irm,38,0,0,0,-0.378087066559729,-0.8204413736028853
a61,ctrpv2,residualized,38,7,6,1,-0.7372849646428609,-0.9966114804112917
a61,ctrpv2,within_tissue,38,7,7,0,-0.7853652892606654,-1.0060514931606273
a61,depmap,adae,38,8,2,6,0.5199707718337235,0.9840347559868485
a61,depmap,dann,38,0,0,0,0.20071718617825213,0.6704096800470623
a61,depmap,irm,38,0,0,0,-0.3266005816623147,-0.775377087419101
a61,depmap,residualized,38,6,6,0,-0.5307228023035452,-0.9294723825579208
a61,depmap,within_tissue,38,6,6,0,-0.7872516999747251,-0.9459255267747516
marginal,ctrpv2,adae,38,0,0,0,-0.19133989044912167,-0.7865145753896602
marginal,ctrpv2,dann,38,0,0,0,0.054868378844419634,0.6383086408173092
marginal,ctrpv2,irm,38,0,0,0,-0.38665730361961836,-0.8847208370942075
marginal,ctrpv2,residualized,38,8,7,1,-0.7651655169179374,-1.0043669493965617
marginal,ctrpv2,within_tissue,38,8,8,0,-0.7461758432297737,-1.024983435559069
marginal,depmap,adae,38,4,2,2,0.4626742174653277,0.9670642457530683
marginal,depmap,dann,38,0,0,0,0.2518104545736108,0.6981929349671019
marginal,depmap,irm,38,0,0,0,-0.3774919296758546,-0.7899261162142652
marginal,depmap,residualized,38,4,4,0,-0.6062608996269501,-0.998054362417694
marginal,depmap,within_tissue,38,6,6,0,-0.7389865709575969,-0.9473420307241592
all4,ctrpv2,adae,38,0,0,0,-0.11252333942141887,-0.7749744635348419
all4,ctrpv2,dann,38,0,0,0,-0.18871103406316408,-0.7605670368742234
all4,ctrpv2,irm,38,0,0,0,-0.2996317198093973,-0.8032903644377235
all4,ctrpv2,residualized,38,7,6,1,-0.7384946020368425,-0.9827871560968675
all4,ctrpv2,within_tissue,38,8,8,0,-0.7876396609589412,-1.0147928520677656
all4,depmap,adae,38,8,3,5,0.5258550820437057,0.972542711223549
all4,depmap,dann,38,0,0,0,0.20800166180068747,0.6725707175087117
all4,depmap,irm,38,0,0,0,-0.31878028358506405,-0.7894143682535216
all4,depmap,residualized,38,4,4,0,-0.5193745052112261,-0.9309627880686531
all4,depmap,within_tissue,38,6,6,0,-0.7884122785481235,-0.9517268258333584
