dataset,convention,method,n_items,marginal_mean,method_mean,delta_mean,frac_items_better,wilcoxon_p,wilcoxon_q_bh
ctrpv2,wt_tissue,baseline,440,0.17481555748942534,-0.37754668825005877,-0.5523622457394841,0.0,7.965347060950978e-74,7.965347060950978e-73
ctrpv2,wt_tissue,residualized,440,0.17481555748942534,0.21671372335510067,0.04189816586567534,0.7954545454545454,1.8319907422674864e-42,6.106635807558288e-42
ctrpv2,wt_tissue,irm,440,0.17481555748942534,0.13209609299924202,-0.04271946449018331,0.08636363636363636,5.439882514367062e-63,2.719941257183531e-62
ctrpv2,wt_tissue,dann,440,0.17481555748942534,0.17273878088086325,-0.0020767766085620833,0.44772727272727275,0.001666421753885535,0.0018515797265394832
ctrpv2,wt_tissue,adae,440,0.17481555748942534,0.17967654529136945,0.004860987801944128,0.5,0.3851035547490417,0.3851035547490417
ctrpv2,wt_tissue_recon,baseline,440,0.17481555748942534,-0.37754668825005877,-0.5523622457394841,0.0,7.965347060950978e-74,7.965347060950978e-73
ctrpv2,wt_tissue_recon,residualized,440,0.17481555748942534,0.061280135722768955,-0.11353542176665637,0.09318181818181819,1.472017106724414e-65,7.3600855336220705e-65
ctrpv2,wt_tissue_recon,irm,440,0.17481555748942534,0.13209609299924202,-0.04271946449018331,0.08636363636363636,5.439882514367062e-63,1.8132941714556875e-62
ctrpv2,wt_tissue_recon,dann,440,0.17481555748942534,0.17273878088086325,-0.0020767766085620833,0.44772727272727275,0.001666421753885535,0.0018515797265394832
ctrpv2,wt_tissue_recon,adae,440,0.17481555748942534,0.17967654529136945,0.004860987801944128,0.5,0.3851035547490417,0.3851035547490417
ctrpv2,wt_foldsym,residualized,440,0.20891818112388635,0.218938398071085,0.010020216947198646,0.4863636363636364,0.12202117656988333,0.12202117656988333
ctrpv2,wt_foldsym,irm,440,0.20891818112388635,0.17004397470992685,-0.03887420641395952,0.08181818181818182,1.973010687155323e-62,1.5784085497242583e-61
ctrpv2,wt_foldsym,dann,440,0.20891818112388635,0.20609850630751517,-0.0028196748163712097,0.41818181818181815,9.79351981963612e-05,0.0001566963171141779
ctrpv2,wt_foldsym,adae,440,0.20891818112388635,0.22954287584264987,0.0206246947187635,0.5636363636363636,1.0368075838646687e-05,2.0736151677293375e-05
ctrpv2,wt_foldsym_stripped,residualized,440,0.20891818112388635,0.218938398071085,0.01002021694719865,0.4863636363636364,0.12202117656988333,0.12202117656988333
ctrpv2,wt_foldsym_stripped,irm,440,0.20891818112388635,0.17004397470992685,-0.03887420641395952,0.08181818181818182,1.973010687155323e-62,1.5784085497242583e-61
ctrpv2,wt_foldsym_stripped,dann,440,0.20891818112388635,0.20609850630751517,-0.0028196748163712097,0.41818181818181815,9.79351981963612e-05,0.0001566963171141779
ctrpv2,wt_foldsym_stripped,adae,440,0.20891818112388635,0.22954287584264987,0.0206246947187635,0.5636363636363636,1.0368075838646687e-05,2.0736151677293375e-05
depmap,wt_tissue,baseline,200,0.20409906836840372,-0.27991813420145045,-0.48401720256985414,0.0,1.436146412761353e-34,3.5903660319033823e-34
depmap,wt_tissue,residualized,200,0.20409906836840372,0.22753326997310958,0.023434201604705916,0.775,6.884967093293972e-19,1.1474945155489955e-18
depmap,wt_tissue,irm,200,0.20409906836840372,0.1257331185646828,-0.07836594980372086,0.05,2.1093129273909258e-33,4.2186258547818516e-33
depmap,wt_tissue,dann,200,0.20409906836840372,0.20071685798725164,-0.0033822103811520753,0.4,8.233864333667229e-05,0.00010292330417084036
depmap,wt_tissue,adae,200,0.20409906836840372,0.16440769577108105,-0.03969137259732263,0.215,1.9823167809592355e-17,2.8318811156560506e-17
depmap,wt_tissue_recon,baseline,200,0.20409906836840372,-0.27991813420145045,-0.48401720256985414,0.0,1.436146412761353e-34,3.5903660319033823e-34
depmap,wt_tissue_recon,residualized,200,0.20409906836840372,0.15735579265118868,-0.046743275717214997,0.04,1.0487513785898165e-32,1.747918964316361e-32
depmap,wt_tissue_recon,irm,200,0.20409906836840372,0.1257331185646828,-0.07836594980372086,0.05,2.1093129273909258e-33,4.2186258547818516e-33
depmap,wt_tissue_recon,dann,200,0.20409906836840372,0.20071685798725164,-0.0033822103811520753,0.4,8.233864333667229e-05,0.00010292330417084036
depmap,wt_tissue_recon,adae,200,0.20409906836840372,0.16440769577108105,-0.03969137259732263,0.215,1.9823167809592355e-17,2.8318811156560506e-17
depmap,wt_foldsym,residualized,200,0.22379385351242262,0.22992542830378787,0.006131574791365207,0.555,0.028421004736733126,0.032481148270552145
depmap,wt_foldsym,irm,200,0.22379385351242262,0.15388362616774598,-0.0699102273446767,0.04,1.312821594829068e-33,5.251286379316272e-33
depmap,wt_foldsym,dann,200,0.22379385351242262,0.22049498860932548,-0.003298864903097179,0.37,0.00014635765287885117,0.00019514353717180156
depmap,wt_foldsym,adae,200,0.22379385351242262,0.18867857904253613,-0.035115274469886576,0.255,2.3084462234774386e-14,6.155856595939836e-14
depmap,wt_foldsym_stripped,residualized,200,0.22379385351242262,0.22992542830378787,0.006131574791365204,0.555,0.028421004736733126,0.032481148270552145
depmap,wt_foldsym_stripped,irm,200,0.22379385351242262,0.15388362616774598,-0.0699102273446767,0.04,1.312821594829068e-33,5.251286379316272e-33
depmap,wt_foldsym_stripped,dann,200,0.22379385351242262,0.22049498860932548,-0.003298864903097179,0.37,0.00014635765287885117,0.00019514353717180156
depmap,wt_foldsym_stripped,adae,200,0.22379385351242262,0.18867857904253613,-0.035115274469886576,0.255,2.3084462234774386e-14,6.155856595939836e-14
